NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n66(2A)-n71B,n668n718CA_n66A-n71A8,n66,CA_n66(2A)_BCS1,0
,,n71,CA_n71B_BCS2,
,,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n71,CA_n71B_BCS 4 and 5,
CA_n66(2A)-n71(2A),n668n718CA_n66A-n71A8,n66,CA_n66(2A)_BCS1,0
,,n71,CA_n71(2A)_BCS0,
,,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n66(3A)-n71A,n668n718CA_n66A-n71A,n66,CA_n66(3A)_BCS0,0
,,n71,"5, 10, 15, 20",
,,n66,CA_n66(3A)_BCS 4 and 5,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n66(3A)-n71(2A),CA_n66A-n71A,n66,CA_n66(3A)_BCS 4 and 5,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n66B-n71A,n668n718CA_n66A-n71A,n66,CA_n66B_BCS0,0
,,n71,"5, 10, 15, 20",
CA_n66A-n77A,"n668n778,9CA_n66A-n77A8,9,13,14",n66,"5, 10, 15, 20, 40",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n66A-n77B,CA_n66A-n77A,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77B_BCS 4 and 5,
CA_n66(2A)-n77A,"n668n778,9CA_n66A-n77A8,9,13,14",n66,CA_n66(2A)_BCS1,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,CA_n66(2A)_BCS1,1
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n66(2A)-n77B,CA_n66A-n77A,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n77,CA_n77B_BCS 4 and 5,
CA_n66A-n77(2A),"n668n778,9CA_n66A-n77A8,13,14CA_n77(2A)8",n66,"5, 10, 15, 20, 40",0
,,n77,CA_n77(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n77,CA_n77(2A)_BCS1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n66(3A)-n77A,"n668n778,9CA_n66A-n77A8",n66,CA_n66(3A)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n66A-n77A,n66,CA_n66(3A)_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n66(2A)-n77(2A),"n668n778,9CA_n66A-n77A8CA_n77(2A)",n66,CA_n66(2A)_BCS0,0
,,n77,CA_n77(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,1
,,n77,CA_n77(2A)_BCS1,
,,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n66(3A)-n77(2A),"n778,9CA_n66A-n77A8",n66,CA_n66(3A)_BCS0,0
,,n77,CA_n77(2A)_BCS1,
,,n66,CA_n66(3A)_BCS 4 and 5,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n66A-n77C,"n778,9CA_n77C8,9CA_n66A-n77A8,13,14",n66,"5, 10, 15, 20, 25, 30, 40",0
,,n77,CA_n77C_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n77,CA_n77C_BCS1,
,"n778,9CA_n77C8,9CA_n66A-n77A8,13,14CA_n66A-n77C",n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77C_BCS 4 and 5,
CA_n66A-n77(3A),"n778,9CA_n77(2A)8CA_n66A-n77A8",n66,"5, 10, 15, 20, 40",0
,,n77,CA_n77(3A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n77,CA_n77(3A)_BCS1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n66(2A)-n77(3A),CA_n77(2A)CA_n66A-n77A,n66,CA_n66(2A)_BCS0,0
,,n77,CA_n77(3A)_BCS1,
CA_n66(2A)-n77C,"n778,9CA_n77C8,9CA_n66A-n77A8,13,14",n66,CA_n66(2A)_BCS0,0
,,n77,CA_n77C_BCS1,
,,n66,CA_n66(2A)_BCS1,1
,,n77,CA_n77C_BCS1,
,"n778,9CA_n77C8,9CA_n66A-n77A8,13,14CA_n66A-n77C",n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n77,CA_n77C_BCS 4 and 5,
CA_n66(3A)-n77C,"n778,9CA_n77CCA_n66A-n77A8",n66,CA_n66(3A)_BCS0,0
,,n77,CA_n77C_BCS1,
CA_n66B-n77A,"n668n778,9CA_n66A-n77A8",n66,CA_n66B_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n66B-n77C,"n778,9CA_n77CCA_n66A-n77A8",n66,CA_n66B_BCS0,0
,,n77,CA_n77C_BCS0,
,,n66,CA_n66B_BCS0,1
,,n77,CA_n77C_BCS1,
CA_n66A-n78A,"n788,9CA_n66A-n78A8",n66,"5, 10, 15, 20, 40",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n66A-n78(2A),"n788,9CA_n66A-n78A8",n66,"5, 10, 15, 20, 30, 40",0
,CA_n78(2A)8,n78,CA_n78(2A)_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n78,CA_n78(2A)_BCS2,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n66(2A)-n78A,"n788,9CA_n66A-n78A8",n66,CA_n66(2A)_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n66,CA_n66(2A)_BCS1,1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n66,CA_n66(2A)_BCS4 and 5,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n66(2A)-n78(2A),"n788,9CA_n66A-n78A8",n66,CA_n66(2A)_BCS0,0
,,n78,CA_n78(2A)_BCS1,
,,n66,CA_n66(2A)_BCS1,1
,,n78,CA_n78(2A)_BCS2,
,,n66,CA_n66(2A)_BCS4 and 5,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n66A-n85A,n668CA_n66A-n85A8,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n66(2A)-n85A,CA_n66A-n85A,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n67A-n78A,-,n67,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n67,n67 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n67A-n78(2A),CA_n78(2A),n67,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n67,n67 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
