NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n78(2A),"n788,9CA_n1A-n78A8,13, 14",n1,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS0,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n78,CA_n78(2A)_BCS1,
,"n788,9CA_n78(2A)8CA_n1A-n78A8, 13, 14",n1,"5, 10, 15, 20",2
,,n78,CA_n78(2A)_BCS2,
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n78C,"n788,9CA_n78C8CA_n1A-n78A8,13,14",n1,"5, 10, 15, 20",0
,,n78,CA_n78C_BCS0,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n78,CA_n78C_BCS0,
,,n1,"5, 10, 15, 20, 25, 30, 40",2
,,n78,CA_n78C_BCS0,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",3
,,n78,CA_n78C_BCS1,
,"n788,9CA_n78C8CA_n1A-n78A8,13,14CA_n1A-n78C",n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78C_BCS4 and 5,
CA_n1A-n78(A-C),CA_n78CCA_n1A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n78,CA_n78(A-C)_BCS1,
CA_n1A-n78D,CA_n78CCA_n1A-n78ACA_n1A-n78C,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78D_BCS4 and 5,
CA_n1(2A)-n78A,-,n1,CA_n1(2A)_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n79A,"n798,9CA_n1A-n79A8",n1,"5, 10, 15, 20",0
,,n79,"40, 50, 60, 80, 100",
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n79C,CA_n1A-n79A,n1,"5, 10, 15, 20",0
,,n79,CA_n79C_BCS0,
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n1(2A)-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n79,"40, 60, 80, 100",
,,n1,CA_n1(2A)_BCS4 and 5,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n1(2A)-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n79,CA_n79C_BCS0,
,,n1,CA_n1(2A)_BCS4 and 5,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n1A-n102A,CA_n1A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,"20, 40, 60, 80, 100",
CA_n1A-n102(2A),CA_n1A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102(2A)_BCS0,
CA_n1A-n102B,CA_n1A-n102ACA_n1A-n102B,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102B_BCS0,
CA_n1A-n102C,CA_n1A-n102ACA_n1A-n102C,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102C_BCS0,
CA_n1A-n102D,CA_n1A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102D_BCS0,
CA_n1A-n102E,CA_n1A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102E_BCS0,
CA_n1A-n105A,CA_n1A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n105,"5, 10, 15, 20, 25, 30, 35",
