NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n46N-n48(3A),CA_n46A-n48A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(3A)_BCS0,
CA_n46N-n48(4A),CA_n46A-n48A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(4A)_BCS0,
CA_n46N-n48B,CA_n46A-n48ACA_n46A-n48B,n46,CA_n46N_BCS1,0
,,n48,CA_n48B_BCS0,
CA_n46N-n48C,CA_n46A-n48A,n46,CA_n46N_BCS1,0
,,n48,CA_n48C_BCS0,
CA_n46A-n66A,-,n46,"20, 40, 60, 80",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n46A-n77A,CA_n46A-n77A,n46,"10, 20, 40, 60, 80",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46C-n77A,CA_n46A-n77A,n46,CA_n46C_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46D-n77A,CA_n46A-n77A,n46,CA_n46D_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46A-n77(2A),CA_n77(2A)CA_n46A-n77A,n46,"10, 20, 40, 60, 80",0
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n46C-n77(2A),CA_n77(2A)CA_n46A-n77A,n46,CA_n46C_BCS0,0
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n46D-n77(2A),CA_n77(2A)CA_n46A-n77A,n46,CA_n46D_BCS0,0
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n46(2A)-n77A,CA_n46A-n77A,n46,CA_n46(2A)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46(2A)-n77(2A),CA_n77(2A)CA_n46A-n77A,n46,CA_n46(2A)_BCS0,0
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n46A-n78A,CA_n46A-n78A,n46,"20, 40, 60, 80",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46C-n78A,CA_n46A-n78A,n46,CA_n46C_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46D-n78A,CA_n46A-n78A,n46,CA_n46D_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46A-n78(2A),CA_n78(2A)CA_n46A-n78A,n46,"10, 20, 40, 60, 80",0
,,n78,CA_n78(2A)_BCS2,
CA_n46C-n78(2A),CA_n78(2A)CA_n46A-n78A,n46,CA_n46C_BCS0,0
,,n78,CA_n78(2A)_BCS2,
CA_n46D-n78(2A),CA_n78(2A)CA_n46A-n78A,n46,CA_n46D_BCS0,0
,,n78,CA_n78(2A)_BCS2,
CA_n46(2A)-n78A,CA_n46A-n78A,n46,CA_n46(2A)_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n46(2A)-n78(2A),CA_n78(2A)CA_n46A-n78A,n46,CA_n46(2A)_BCS0,0
,,n78,CA_n78(2A)_BCS2,
CA_n46A-n96A,-,n46,"10, 20, 40, 60, 80",0
,,n96,"20, 40, 60, 80",
CA_n46B-n96A,-,n46,CA_n46B_BCS0,0
,,n96,"20, 40, 60, 80",
CA_n46C-n96A,-,n46,CA_n46C_BCS0,0
,,n96,"20, 40, 60, 80",
CA_n46D-n96A,-,n46,CA_n46D_BCS0,0
,,n96,"20, 40, 60, 80",
CA_n46M-n96A,-,n46,CA_n46M_BCS0,0
,,n96,"20, 40, 60, 80",
CA_n46N-n96A,-,n46,CA_n46N_BCS1,0
,,n96,"20, 40, 60, 80",
CA_n46A-n96B,-,n46,"10, 20, 40, 60, 80",0
,,n96,CA_n96B_BCS0,
CA_n46B-n96B,-,n46,CA_n46B_BCS0,0
,,n96,CA_n96B_BCS0,
CA_n46C-n96B,-,n46,CA_n46C_BCS0,0
,,n96,CA_n96B_BCS0,
CA_n46D-n96B,-,n46,CA_n46D_BCS0,0
,,n96,CA_n96B_BCS0,
CA_n46M-n96B,-,n46,CA_n46M_BCS0,0
,,n96,CA_n96B_BCS0,
CA_n46N-n96B,-,n46,CA_n46N_BCS1,0
,,n96,CA_n96B_BCS0,
CA_n46A-n96C,-,n46,"10, 20, 40, 60, 80",0
,,n96,CA_n96C_BCS0,
CA_n46B-n96C,-,n46,CA_n46B_BCS0,0
,,n96,CA_n96C_BCS0,
CA_n46C-n96C,-,n46,CA_n46C_BCS0,0
,,n96,CA_n96C_BCS0,
CA_n46D-n96C,-,n46,CA_n46D_BCS0,0
,,n96,CA_n96C_BCS0,
CA_n46M-n96C,-,n46,CA_n46M_BCS0,0
,,n96,CA_n96C_BCS0,
CA_n46N-n96C,-,n46,CA_n46N_BCS1,0
,,n96,CA_n96C_BCS0,
CA_n46A-n96D,-,n46,"10, 20, 40, 60, 80",0
,,n96,CA_n96D_BCS0,
CA_n46B-n96D,-,n46,CA_n46B_BCS0,0
,,n96,CA_n96D_BCS0,
CA_n46C-n96D,-,n46,CA_n46C_BCS0,0
,,n96,CA_n96D_BCS0,
CA_n46D-n96D,-,n46,CA_n46D_BCS0,0
,,n96,CA_n96D_BCS0,
CA_n46M-n96D,-,n46,CA_n46M_BCS0,0
,,n96,CA_n96D_BCS0,
CA_n46N-n96D,-,n46,CA_n46N_BCS1,0
,,n96,CA_n96D_BCS0,
CA_n46A-n96E,-,n46,"10, 20, 40, 60, 80",0
,,n96,CA_n96E_BCS0,
CA_n46B-n96E,-,n46,CA_n46B_BCS0,0
,,n96,CA_n96E_BCS0,
CA_n46C-n96E,-,n46,CA_n46C_BCS0,0
,,n96,CA_n96E_BCS0,
CA_n46D-n96E,-,n46,CA_n46D_BCS0,0
,,n96,CA_n96E_BCS0,
CA_n46M-n96E,-,n46,CA_n46M_BCS0,0
,,n96,CA_n96E_BCS0,
CA_n46N-n96E,-,n46,CA_n46N_BCS1,0
,,n96,CA_n96E_BCS0,
CA_n46A-n102A,-,n46,"10, 20, 40, 60, 80, 100",0
,,n102,"20, 40, 60, 80, 100",
CA_n46A-n102(2A),-,n46,"10, 20, 40, 60, 80, 100",0
,,n102,CA_n102(2A)_BCS0,
CA_n46A-n102B,CA_n102B,n46,"10, 20, 40, 60, 80, 100",0
,,n102,CA_n102B_BCS0,
CA_n46A-n102C,CA_n102C,n46,"10, 20, 40, 60, 80, 100",0
,,n102,CA_n102C_BCS0,
CA_n46A-n102D,-,n46,"10, 20, 40, 60, 80, 100",0
,,n102,CA_n102D_BCS0,
CA_n46A-n102E,-,n46,"10, 20, 40, 60, 80, 100",0
,,n102,CA_n102E_BCS0,
CA_n46(2A)-n102A,-,n46,CA_n46(2A)_BCS0,0
,,n102,"20, 40, 60, 80, 100",
CA_n46(2A)-n102(2A),-,n46,CA_n46(2A)_BCS0,0
,,n102,CA_n102(2A)_BCS0,
CA_n46(2A)-n102B,CA_n102B,n46,CA_n46(2A)_BCS0,0
,,n102,CA_n102B_BCS0,
CA_n46(2A)-n102C,CA_n102C,n46,CA_n46(2A)_BCS0,0
,,n102,CA_n102C_BCS0,
CA_n46(2A)-n102D,-,n46,CA_n46(2A)_BCS0,0
,,n102,CA_n102D_BCS0,
CA_n46(2A)-n102E,-,n46,CA_n46(2A)_BCS0,0
,,n102,CA_n102E_BCS0,
CA_n46C-n102A,-,n46,CA_n46C_BCS0,0
,,n102,"20, 40, 60, 80, 100",
CA_n46C-n102(2A),-,n46,CA_n46C_BCS0,0
,,n102,CA_n102(2A)_BCS0,
CA_n46C-n102B,CA_n102B,n46,CA_n46C_BCS0,0
,,n102,CA_n102B_BCS0,
CA_n46C-n102C,CA_n102C,n46,CA_n46C_BCS0,0
,,n102,CA_n102C_BCS0,
CA_n46C-n102D,-,n46,CA_n46C_BCS0,0
,,n102,CA_n102D_BCS0,
CA_n46C-n102E,-,n46,CA_n46C_BCS0,0
,,n102,CA_n102E_BCS0,
CA_n46D-n102A,-,n46,CA_n46D_BCS0,0
,,n102,"20, 40, 60, 80, 100",
CA_n46D-n102(2A),-,n46,CA_n46D_BCS0,0
,,n102,CA_n102(2A)_BCS0,
CA_n46D-n102B,CA_n102B,n46,CA_n46D_BCS0,0
,,n102,CA_n102B_BCS0,
CA_n46D-n102C,CA_n102C,n46,CA_n46D_BCS0,0
,,n102,CA_n102C_BCS0,
CA_n46D-n102D,-,n46,CA_n46D_BCS0,0
,,n102,CA_n102D_BCS0,
CA_n46D-n102E,-,n46,CA_n46D_BCS0,0
,,n102,CA_n102E_BCS0,
