NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n48,CA_n48B_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46D-n48B-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46M-n48B-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46M_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46N-n48B-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48B_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46A-n48C-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48C_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46B-n48C-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46C-n48C-n96A,CA_n46A-n48ACA_n46A-n48B CA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46D-n48C-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46M-n48C-n96A,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46N-n48C-n96A,CA_n46A-n48ACA_n46A-n48B CA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48C_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46A-n48A-n96B,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96B_BCS0,
CA_n46B-n48A-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96B_BCS0,
CA_n46C-n48A-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96B_BCS0,
CA_n46D-n48A-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 1001",
,,n96,CA_n96B_BCS0,
CA_n46M-n48A-n96B,-,n46,CA_n46M_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96B_BCS0,
CA_n46N-n48A-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96B_BCS0,
CA_n46A-n48A-n96C,-,n46,"10, 20, 40, 60, 80",0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96C_BCS0,
CA_n46B-n48A-n96C,-,n46,CA_n46B_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96C_BCS0,
CA_n46C-n48A-n96C,-,n46,CA_n46C_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96C_BCS0,
CA_n46D-n48A-n96C,-,n46,CA_n46D_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96C_BCS0,
CA_n46M-n48A-n96C,-,n46,CA_n46M_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96C_BCS0,
CA_n46N-n48A-n96C,-,n46,CA_n46N_BCS1,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96C_BCS0,
CA_n46A-n48B-n96C,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48B_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46B-n48B-n96C,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46C-n48B-n96C,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46D-n48B-n96C,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46M-n48B-n96C,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46N-n48B-n96C,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48B_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46A-n48C-n96C,-,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46B-n48C-n96C,-,n46,CA_n46B_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46C-n48C-n96C,-,n46,CA_n46C_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46D-n48C-n96C,-,n46,CA_n46D_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46M-n48C-n96C,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46N-n48C-n96C,-,n46,CA_n46N_BCS1,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46A-n48A-n96D,-,n46,"10, 20, 40, 60, 80",0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96D_BCS0,
CA_n46B-n48A-n96D,-,n46,CA_n46B_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96D_BCS0,
CA_n46C-n48A-n96D,-,n46,CA_n46C_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96D_BCS0,
CA_n46D-n48A-n96D,-,n46,CA_n46D_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96D_BCS0,
CA_n46M-n48A-n96D,-,n46,CA_n46M_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96D_BCS0,
CA_n46N-n48A-n96D,-,n46,CA_n46N_BCS1,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96D_BCS0,
CA_n46A-n48C-n96D,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46B-n48C-n96D,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46C-n48C-n96D,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46D-n48C-n96D,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46M-n48C-n96D,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46N-n48C-n96D,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46A-n48A-n96E,-,n46,"10, 20, 40, 60, 80",0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96E_BCS0,
CA_n46B-n48A-n96E,-,n46,CA_n46B_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96E_BCS0,
CA_n46C-n48A-n96E,-,n46,CA_n46C_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96E_BCS0,
CA_n46D-n48A-n96E,-,n46,CA_n46D_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96E_BCS0,
CA_n46M-n48A-n96E,-,n46,CA_n46M_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96E_BCS0,
CA_n46N-n48A-n96E,-,n46,CA_n46N_BCS1,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,CA_n96E_BCS0,
CA_n46A-n48C-n96E,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46B-n48C-n96E,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46C-n48C-n96E,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46D-n48C-n96E,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46M-n48C-n96E,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46N-n48C-n96E,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48C_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46A-n48(2A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(2A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46B-n48(2A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46C-n48(2A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46D-n48(2A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46M-n48(2A)-n96A,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46N-n48(2A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(2A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46A-n48(2A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,"20, 40, 60, 80",0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46B-n48(2A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46C-n48(2A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46D-n48(2A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46M-n48(2A)-n96B,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46N-n48(2A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46A-n48(2A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46B-n48(2A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46C-n48(2A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46D-n48(2A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46M-n48(2A)-n96C,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46N-n48(2A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46A-n48(2A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46B-n48(2A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46C-n48(2A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46D-n48(2A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46M-n48(2A)-n96D,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46N-n48(2A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46A-n48(2A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46B-n48(2A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46C-n48(2A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46D-n48(2A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46M-n48(2A)-n96E,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46N-n48(2A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(2A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46A-n48(3A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(3A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46B-n48(3A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46C-n48(3A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46D-n48(3A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46M-n48(3A)-n96A,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46N-n48(3A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(3A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46A-n48(3A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46B-n48(3A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46C-n48(3A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46D-n48(3A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46M-n48(3A)-n96B,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46N-n48(3A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46A-n48(3A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46B-n48(3A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46C-n48(3A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46D-n48(3A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46M-n48(3A)-n96C,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46N-n48(3A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46A-n48(3A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46B-n48(3A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46C-n48(3A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46D-n48(3A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46M-n48(3A)-n96D,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46N-n48(3A)-n96D,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96D_BCS0,
CA_n46A-n48(3A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46B-n48(3A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46C-n48(3A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46D-n48(3A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46M-n48(3A)-n96E,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46N-n48(3A)-n96E,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(3A)_BCS0,
,,n96,CA_n96E_BCS0,
CA_n46A-n48(4A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(4A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46B-n48(4A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46C-n48(4A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46D-n48(4A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46M-n48(4A)-n96A,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46N-n48(4A)-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(4A)_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46A-n48(4A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46B-n48(4A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46C-n48(4A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46D-n48(4A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46M-n48(4A)-n96B,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46N-n48(4A)-n96B,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96B_BCS0,
CA_n46A-n48(4A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46B-n48(4A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96C_BCS0,
CA_n46C-n48(4A)-n96C,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(4A)_BCS0,
,,n96,CA_n96C_BCS0,
