NR CA configuration,Uplink CA configurationor single uplink carrier 4,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n20,n20 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n26A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20",
CA_n1A-n3B-n7A-n26A,CA_n3BCA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
CA_n1A-n3A-n7B-n26A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26ACA_n7B,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20",
CA_n1A-n3B-n7B-n26A,CA_n7BCA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
CA_n1A-n3A-n7A-n26(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,CA_n26(2A),n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n3B-n7A-n26(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,CA_n26(2A),n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n3A-n7B-n26(2A),CA_n7BCA_n26(2A)CA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n3B-n7B-n26(2A),CA_n7BCA_n26(2A)CA_n1A-n3ACA_n1A-n7ACA_n1A-n26ACA_n3A-n7ACA_n3A-n26ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n3A-n7A-n28A,n35n75,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,n35n75CA_n1A-n3A5CA_n1A-n7A5CA_n1A-n28ACA_n3A-n7A5CA_n3A-n28A5CA_n7A-n28A5,n1,"5, 10, 15, 20",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 202",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7B-n28A,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n3A-n7ACA_n3A-n28ACA_n7A-n28ACA_n7B,n1,"5, 10, 15, 20",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
CA_n1A-n3B-n7A-n28A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n3A-n7ACA_n3A-n28ACA_n7A-n28A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
CA_n1A-n3B-n7B-n28A,CA_n7BCA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n3A-n7ACA_n3A-n28ACA_n7A-n28A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20, 25, 30",
CA_n1A-n3A-n7A-n38A7,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3A-n7A-n38A7,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3B-n7A-n38A7,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3B-n7A-n38A7,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3(2A)-n7A-n38A7,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3(2A)_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3(2A)-n7A-n38A7,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3A-n7A-n40A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n40ACA_n3A-n7ACA_n3A-n40ACA_n7A-n40A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n67A,CA_n1A-n3ACA_n1A-n7ACA_n3A-n7A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n67,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n75A,CA_n1A-n3ACA_n1A-n7ACA_n3A-n7A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n77A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n77ACA_n3A-n7ACA_n3A-n77ACA_n7A-n77A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n77(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n77ACA_n3A-n7ACA_n3A-n77ACA_n7A-n77ACA_n77(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n1A-n3A-n7A-n78A,"n35n75n785,6CA_n1A-n3A5CA_n1A-n7A5CA_n1A-n78A5CA_n3A-n7A5CA_n3A-n78A5CA_n7A-n78A5",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,"5, 10, 15, 20",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",2
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3B-n7A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7B-n78A,CA_n7BCA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n78(2A),"n35n75n785,6CA_n78(2A)5CA_n1A-n3A5CA_n1A-n7A5CA_n1A-n78A5CA_n3A-n7A5CA_n3A-n78A5CA_n7A-n78A5",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3A-n7A-n78C,CA_n78CCA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n7B-n78A,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7B_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,CA_n7B_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7A-n78(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78(2A)_BCS2,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n78,CA_n78(2A)_BCS2,
,CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,CA_n3B_BCS 4 and 5,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3B-n7A-n78C,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n78C,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n78,CA_n78C_BCS1,
CA_n1A-n3A-n7B-n78(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7B_BCS0,
,,n78,CA_n78(2A)_BCS2,
,CA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n78,CA_n78(2A)_BCS2,
,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,CA_n7B_BCS 4 and 5,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3A-n7B-n78C,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n7BCA_n78C,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7B_BCS0,
,,n78,CA_n78C_BCS0,
,CA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n78,CA_n78C_BCS1,
,CA_n3A-n7ACA_n78CCA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n78ACA_n7A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,CA_n7B_BCS 4 and 5,
,,n78,CA_n78C_BCS 4 and 5,
CA_n1A-n3B-n7B-n78(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n78,CA_n78(2A)_BCS0,
,CA_n3BCA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n78,CA_n78(2A)_BCS2,
,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,CA_n3B_BCS 4 and 5,
,,n7,CA_n7B_BCS 4 and 5,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3B-n7B-n78C,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n7BCA_n78C,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n78,CA_n78C_BCS1,
CA_n1A-n3(2A)-n7A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7(2A)-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3(2A)-n7(2A)-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n7,CA_n7(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n79A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3A-n7A-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n3A-n7A-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n3A-n7A-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1A-n3B-n7A-n79A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3B-n7A-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n3B-n7A-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n3B-n7A-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1A-n3(2A)-n7A-n79A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3(2A)-n7A-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n3(2A)-n7A-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n3(2A)-n7A-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1A-n3A-n7A-n105A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n105ACA_n3A-n7ACA_n3A-n105ACA_n7A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n105,"5, 10,15, 20, 25, 30, 35",
CA_n1A-n3A-n8A-n40A,CA_n1A-n3ACA_n1A-n8ACA_n1A-n40ACA_n3A-n8ACA_n3A-n40ACA_n8A-n40A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n8A-n41A,CA_n1A-n3ACA_n1A-n8ACA_n1A-n41ACA_n3A-n8ACA_n3A-n41ACA_n8A-n41A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n8A-n77A,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
CA_n1A-n3A-n8A-n77(2A),-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n3A-n8A-n78A,CA_n1A-n3ACA_n1A-n8ACA_n1A-n78ACA_n3A-n8ACA_n3A-n78ACA_n8A-n78A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 901, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
