NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n3A-n40A,CA_n1A-n3ACA_n1A-n40ACA_n3A-n40A,n1,"5, 10, 15, 20, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 30, 35, 40, 45, 50",
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n41A,"n417,9CA_n1A-n3ACA_n1A-n41A7CA_n3A-n41A7",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3(2A)-n41A,CA_n1A-n3ACA_n1A-n41ACA_n3A-n41A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
CA_n1A-n3A-n67A,CA_n1A-n3A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n67,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n71A,CA_n1A-n3ACA_n1A-n71ACA_n3A-n71A,n1,"5,10,15,20,25,30,40,45,50",0
,,n3,"5,10,15,20,25,30,35,40,45,50",
,,n71,"5,10,15,20",
CA_n1A-n3(2A)-n71A,CA_n1A-n3ACA_n1A-n71ACA_n3A-n71A,n1,"5,10,15,20,25,30,40,45,50",0
,,n3,CA_n3(2A)_BCS 4 and 5,
,,n71,"5,10,15,20",
CA_n1A-n3A-n75A,CA_n1A-n3A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n77A,"n777,9CA_n1A-n3ACA_n1A-n77A7,9CA_n3A-n77A7,9",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20",2
,,n3,"5, 10, 15, 20, 25, 30, 35,40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n77(2A),"n777,9CA_n1A-n3ACA_n1A-n77A7CA_n3A-n77A7CA_n77(2A)7",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A)_BCS1,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n1A-n3A-n77(3A),"n777,9CA_n1A-n3ACA_n1A-n77A7CA_n3A-n77A7CA_n77(2A)7",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(3A)_BCS1,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n1A-n3A-n78A,"n37n787,9CA_n1A-n3A7CA_n1A-n78A7,13, 14CA_n3A-n78A7,13, 14",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 40, 50, 60, 70, 80, 90, 100",
,,n1,"5, 10, 15, 20",2
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n78C,"n787,9CA_n1A-n3ACA_n1A-n78A7,13,14CA_n3A-n78A7,13,14CA_n78C",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78C_BCS1,
,"CA_n1A-n3ACA_n1A-n78A7,13,14CA_n1A-n78CCA_n3A-n78A7,13,14CA_n3A-n78CCA_n78C",n1,"5, 10, 15, 20, 25, 30, 40, 50",4 and 5
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78C_BCS4 and 5,
CA_n1A-n3(2A)-n78A,"n787,9CA_n1A-n3ACA_n1A-n78A7CA_n3A-n78A7",n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n1A-n3ACA_n1A-n78ACA_n3A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",4 and 5
,,n3,CA_n3(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3(2A)-n78C,CA_n1A-n3ACA_n1A-n78ACA_n1A-n78CCA_n3A-n78ACA_n3A-n78CCA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 50",4 and 5
,,n3,CA_n3(2A)_BCS0,
,,n78,CA_n78C_BCS4 and 5,
CA_n1A-n3A-n78(2A),"n37n787,9CA_n1A-n3A7CA_n1A-n78A7,13, 14CA_n3A-n78A7,13, 14CA_n78(2A)7",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n3A-n78(A-C),"n787,9CA_n1A-n3ACA_n1A-n78A7CA_n3A-n78A7CA_n78C7",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n78,CA_n78(A-C)_BCS1,
CA_n1A-n3B-n78A,"CA_n1A-n3ACA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"CA_n3BCA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n78(2A),"n787,9CA_n1A-n3ACA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n78,CA_n78(2A)_BCS0,
,"CA_n3BCA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n78,CA_n78(2A)_BCS2,
,"CA_n78(2A)CA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,CA_n3B_BCS4 and 5,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n3B-n78C,"CA_n78CCA_n1A-n3ACA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n78,CA_n78C_BCS0,
,"CA_n3BCA_n1A-n78A7,13,14CA_n3A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n78,CA_n78C_BCS1,
CA_n1A-n3A-n79A,"n797,9CA_n1A-n3ACA_n1A-n79A7CA_n3A-n79A7",n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n79,"40, 50, 60, 80, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
,CA_n1A-n3ACA_n1A-n79ACA_n3A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n3A-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3A-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n3A-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1A-n3B-n79A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3B_BCS0,
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3B-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3B_BCS0,
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n3B-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n3B-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n79,CA_n79C_BCS0,
CA_n1A-n3(2A)-n79A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3(2A)_BCS1,
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3(2A)-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3(2A)_BCS1,
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n3(2A)-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS1,
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n3(2A)-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS1,
,,n79,CA_n79C_BCS0,
CA_n1A-n3A-n105A,CA_n1A-n3ACA_n1A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,CA_n3A-n105A,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n5A-n7A,CA_n1A-n5ACA_n1A-n7ACA_n5A-n7A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n5A-n7B,CA_n1A-n5ACA_n1A-n7ACA_n5A-n7ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
,,n7,CA_n7B_BCS0,
CA_n1A-n5A-n8A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
,,n8,"5, 10, 15, 20",
CA_n1A-n5A-n28A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
,,n28,"5, 10, 15, 20, 30",
,CA_n1A-n5ACA_n1A-n28ACA_n5A-n28A,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,See n5 channel bandwidths in Table 5.3.5-1,
,,n28,See n28 channel bandwidths in Table 5.3.5-1,
CA_n1A-n5A-n40A,CA_n1A-n5ACA_n1A-n40ACA_n5A-n40A,n1,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n5,"5, 10, 15, 20, 25",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n5A-n78A,CA_n1A-n5ACA_n1A-n78ACA_n5A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 704, 80, 90, 100",
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,See n5 channel bandwidths in Table 5.3.5-1,
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n5A-n78(2A),CA_n1A-n5ACA_n1A-n78ACA_n5A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n5A-n78(A-C),CA_n78CCA_n1A-n5ACA_n1A-n78ACA_n5A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n78,CA_n78(A-C)_BCS1,
CA_n1A-n5A-n78C,CA_n78CCA_n1A-n5ACA_n1A-n78ACA_n5A-n78A,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,See n5 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78C_BCS4 and 5,
CA_n1A-n5A-n79A,CA_n1A-n5ACA_n1A-n79ACA_n5A-n79A,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,See n5 channel bandwidths in Table 5.3.5-1,
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n5A-n105A,CA_n1A-n5ACA_n1A-n105ACA_n5A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n7A-n8A,CA_n1A-n7ACA_n1A-n8ACA_n7A-n8A,n1,"5, 10, 15, 20, 25, 30, 40",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n8,"5, 10, 15, 20",
CA_n1A-n7(2A)-n8A,CA_n1A-n7ACA_n1A-n8ACA_n7A-n8A,n1,"5, 10, 15, 20",0
,,n7,CA_n7(2A)_BCS0,
,,n8,"5, 10, 15, 20",
CA_n1A-n7A-n20A,n77CA_n1A-n7A7CA_n1A-n20ACA_n7A-n20A7,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n26A,n77n267CA_n1A-n26ACA_n1A-n7ACA_n7A-n26A,n1,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20",
CA_n1A-n7A-n26(2A),n77n267CA_n26(2A)CA_n1A-n26ACA_n1A-n7ACA_n7A-n26A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n7B-n26A,n77n267CA_n1A-n26ACA_n1A-n7ACA_n7A-n26ACA_n7B,n1,"5, 10, 15, 20",0
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20",
CA_n1A-n7B-n26(2A),n77n267CA_n1A-n26ACA_n1A-n7ACA_n7A-n26ACA_n7BCA_n26(2A),n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n7A-n28A,n77CA_n1A-n7A7CA_n1A-n28ACA_n7A-n28A7,n1,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,See n7 channel bandwidths in Table 5.3.5-1,
,,n28,See n28 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7B-n28A,n77CA_n1A-n28ACA_n1A-n7ACA_n7A-n28ACA_n7B,n1,"5, 10, 15, 20",0
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
CA_n1A-n7A-n38A10,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n7A-n38A10,-,n1,CA_n1(2A)_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n7A-n40A,CA_n1A-n7ACA_n1A-n40ACA_n7A-n40A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n67A,CA_n1A-n7A,n1,"5, 10, 15, 20, 30, 40, 45, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n67,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n75A,CA_n1A-n7A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n77A,CA_n1A-n7ACA_n1A-n77ACA_n7A-n77A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n77(2A),CA_n77(2A)CA_n1A-n7ACA_n1A-n77ACA_n7A-n77A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
