NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n18A-n40A,"n408,9CA_n18A-n40A8,9",n18,"5, 10, 15",0
,,n40,"10, 15, 20, 30, 40",
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n18A-n41A,"n418,9CA_n18A-n41A8,9",n18,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n18A-n74A,CA_n18A-n74A,n18,"5, 10, 15",0
,,n74,"5, 10, 15, 20",
CA_n18A-n77A,"n778,9CA_n18A-n77A8,9",n18,"5, 10, 15",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n18,See n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n18A-n77(2A),"n778,9CA_n18A-n77A8,9CA_n77(2A)8",n18,"5, 10, 15",0
,,n77,CA_n77(2A)_BCS0,
,,n18,See n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n18A-n77(3A),"n778,9CA_n18A-n77A8,9CA_n77(2A)8",n18,"5, 10, 15",0
,,n77,CA_n77(3A)_BCS1,
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n18A-n78A,CA_n18A-n78A,n18,"5, 10, 15",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n18,See n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n18A-n78(2A),CA_n18A-n78A,n18,"5, 10, 15",0
,,n78,CA_n78(2A)_BCS2,
,,n18,See n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
