NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n3B-n26A,n268CA_n3A-n26A,n3,CA_n3B_BCS0,0
,,n26,"5, 10, 15, 20, 25, 30",
,CA_n3Bn268,n3,CA_n3B_BCS1,1
,,n26,"5, 10, 15, 20, 25, 30",
CA_n3B-n26(2A),n268CA_n26(2A)CA_n3A-n26A,n3,CA_n3B_BCS0,0
,,n26,CA_n26(2A)_BCS0,
,CA_n3Bn268,n3,CA_n3B_BCS1,1
,,n26,CA_n26(2A)_BCS0,
CA_n3A-n28A,n38CA_n3A-n28A8,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n3,"5, 10, 15, 20, 25, 30, 40",1
,,n28,"5, 10, 15, 20",
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",2
,,n28,"5, 10, 15, 20, 30",
,,n3,"5, 10, 15, 20, 25, 30, 35, 40",3
,,n28,"5, 10, 15, 20, 25, 30",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n3B-n28A,CA_n3A-n28A,n3,CA_n3B_BCS0,0
,,n28,"5, 10, 15, 20",
,CA_n3B,n3,CA_n3B_BCS1,1
,,n28,"5, 10, 15, 20, 25, 30",
CA_n3(2A)-n28A,-,n3,CA_n3(2A)_BCS0,0
,,n28,"5, 10, 15, 20",
CA_n3A-n34A,CA_n3A-n34A,n3,"5, 10, 15, 20, 25, 30",0
,,n34,"5, 10, 15",
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n34,See n34 channel bandwidths in Table 5.3.5-1,
CA_n3A-n38A,CA_n3A-n38A,n3,"5, 10, 15, 20, 25, 30",0
,,n38,"5, 10, 15, 20, 40",
CA_n3B-n38A,-,n3,CA_n3B_BCS0,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n3(2A)-n38A,-,n3,CA_n3(2A)_BCS1,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n3A-n39A,n3,n3,"5, 10, 15, 20, 25, 30",0
,,n39,"5, 10, 15, 20, 25, 30, 35, 40",
CA_n3A-n40A,"n408,9CA_n3A-n40A8",n3,"5, 10, 15, 20, 25, 30",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n3,"5, 10, 15, 20, 25, 30, 35,40",2
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
CA_n3A-n41A,"n418,9CA_n3A-n41A8",n3,"5, 10, 15, 20, 25, 30",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n3,"5, 10, 15, 20, 25, 30",1
,,n41,"10, 15, 20, 40, 50, 60",
,,n3,"5, 10, 15, 20, 25, 30, 40",2
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",3
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n3A-n41B,CA_n3A-n41A,n3,"5, 10, 15, 20",0
,,n41,CA_n41B_BCS0,
CA_n3A-n41C,n418CA_n41C8CA_n3A-n41A8CA_n3A-n41C8,n3,"5, 10, 15, 20, 25, 30",0
,,n41,CA_n41C_BCS0,
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS4 and 5,
CA_n3A-n41(2A),CA_n3A-n41A,n3,"5, 10, 15, 20, 25, 30",0
,,n41,CA_n41(2A)_BCS0,
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS4 and 5,
CA_n3(2A)-n41A,CA_n3A-n41A,n3,CA_n3(2A)_BCS0,0
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
CA_n3A-n67A,n38,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n67,"5, 10, 15, 20",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n3A-n71A,CA_n3A-n71A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n71,"5, 10, 15, 20",
CA_n3(2A)-n71A,CA_n3A-n71A,n3,CA_n3(2A)_BCS0,0
,,n71,"5, 10, 15, 20",
CA_n3A-n74A,CA_n3A-n74A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n74,"5, 10, 15, 20",
CA_n3A-n75A,-,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n75,"5, 10, 15, 20, 25, 30, 40, 50",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n3A-n77A,"n778,9CA_n3A-n77A8",n3,"5, 10, 15, 20, 25, 30",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n3,"5, 10, 15, 20, 25, 30, 35,40",1
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n3A-n77(2A),"n778,9CA_n77(2A)8CA_n3A-n77A8",n3,"5, 10, 15, 20, 25, 30",0
,,n77,CA_n77(2A)_BCS0,
,,n3,"5, 10, 15, 20, 25, 30, 35,40",1
,,n77,CA_n77(2A)_BCS1,
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n3A-n77(3A),"n778,9CA_n77(2A)8CA_n3A-n77A8",n3,"5, 10, 15, 20, 25, 30, 40",0
,,n77,CA_n77(3A)_BCS0,
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n3A-n78A,"n38n788,9CA_n3A-n78A8,13, 14",n3,"5, 10, 15, 20, 25, 30",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n3,"5, 10, 15, 20, 25, 30, 40,",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n3A-n78C,"n788,9CA_n78C8CA_n3A-n78A8,13,14",n3,"5, 10, 15, 20, 25, 30",0
,,n78,CA_n78C_BCS0,
,"n788,9CA_n78C8CA_n3A-n78A8,13,14",n3,"5, 10, 15, 20, 25, 30, 40",1
,,n78,CA_n78C_BCS0,
,,n3,"5, 10, 15, 20, 25, 30, 40",2
,,n78,CA_n78C_BCS1,
,"n788,9CA_n78C8CA_n3A-n78A8,13,14CA_n3A-n78C",n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78C_BCS4 and 5,
CA_n3A-n78(2A),"n38n788,9CA_n3A-n78A8,13, 14CA_n78(2A)8",n3,"5, 10, 15, 20, 25, 30",0
,,n78,CA_n78(2A)_BCS0,
,,n3,"5, 10, 15, 20, 25, 30, 40",1
,,n78,CA_n78(2A)_BCS2,
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n3A-n78(A-C),CA_n78CCA_n3A-n78A,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n78,CA_n78(A-C)_BCS1,
CA_n3(2A)-n78A,"CA_n3A-n78A8,14",n3,CA_n3(2A)_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n3,CA_n3(2A)_BCS1,1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n3(2A)-n78C,CA_n78CCA_n3A-n78ACA_n3A-n78C,n3,CA_n3(2A)_BCS0,0
,,n78,CA_n78C_BCS0,
CA_n3B-n78A,"n788,9CA_n3A-n78A8,13,14",n3,CA_n3B_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n3,CA_n3B_BCS4 and 5,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,"CA_n3BCA_n3A-n78A8,13,14",n3,CA_n3B_BCS1,1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n3B-n78C,"n788,9CA_n78C8CA_n3A-n78A8,13,14",n3,CA_n3B_BCS0,0
,,n78,CA_n78C_BCS0,
,"CA_n3BCA_n3A-n78A8,13,14",n3,CA_n3B_BCS1,1
,,n78,CA_n78C_BCS1,
CA_n3B-n78(2A),"n788,9CA_n3A-n78A8,13,14",n3,CA_n3B_BCS0,0
,CA_n78(2A)8,n78,CA_n78(2A)_BCS0,
,CA_n3B,n3,CA_n3B_BCS1,1
,,n78,CA_n78(2A)_BCS2,
,"CA_n78(2A)CA_n3A-n78A8,13,14",n3,CA_n3B_BCS4 and 5,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n3B-n78(A-C),CA_n78CCA_n3A-n78A,n3,CA_n3B_BCS1,0
,,n78,CA_n78(A-C)_BCS1,
CA_n3A-n79A,"n38n798,9CA_n3A-n79A8",n3,"5, 10, 15, 20, 25, 30",0
,,n79,"40, 50, 60, 80, 100",
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n79,"40, 50, 60, 80, 100",
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n3(2A)-n79A,CA_n3A-n79A,n3,CA_n3(2A)_BCS1,0
,,n79,"40, 50, 60, 80, 100",
,,n3,CA_n3(2A)_BCS4 and 5,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n3A-n79C,"n38n798,9CA_n79C8CA_n3A-n79A8",n3,"5, 10, 15, 20, 25, 30",0
,,n79,CA_n79C_BCS0,
,CA_n79CCA_n3A-n79ACA_n3A-n79C,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n3(2A)-n79C,CA_n3A-n79A,n3,CA_n3(2A)_BCS1,0
,,n79,CA_n79C_BCS0,
,,n3,CA_n3(2A)_BCS4 and 5,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n3B-n79A,-,n3,CA_n3B_BCS0,0
,,n79,"40, 50, 60, 80, 100",
,,n3,CA_n3B_BCS4 and 5,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n3B-n79C,-,n3,CA_n3B_BCS0,0
,,n79,CA_n79C_BCS0,
,,n3,CA_n3B_BCS4 and 5,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n3A-n102A,CA_n3A-n102A,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n102,"20, 40, 60, 80, 100",
CA_n3A-n102(2A),CA_n3A-n102A,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n102,CA_n102(2A)_BCS0,
CA_n3A-n102B,CA_n3A-n102ACA_n3A-n102B,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n102,CA_n102B_BCS0,
CA_n3A-n102C,CA_n3A-n102ACA_n3A-n102C,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n102,CA_n102C_BCS0,
CA_n3A-n102D,CA_n3A-n102A,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n102,CA_n102D_BCS0,
CA_n3A-n102E,CA_n3A-n102A,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n102,CA_n102E_BCS0,
CA_n3A-n104A,CA_n3A-n104A,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,n104 channel bandwidths in Table 5.3.5-1,
CA_n3A-n104C,CA_n104CCA_n3A-n104ACA_n3A-n104C,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n104,CA_n104C_BCS0,
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,CA_n104C_BCS 4 and 5,
CA_n3A-n105A,CA_n3A-n105A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n105,"5, 10, 15, 20, 25, 30, 35",
