NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n34A-n104C,CA_n104CCA_n34A-n104ACA_n34A-n104C,n34,"5, 10, 15",0
,,n104,CA_n104C_BCS0,
,,n34,n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,CA_n104C_BCS 4 and 5,
CA_n38A-n40A,-,n38,"5, 10, 15, 20, 25, 30, 40",0
,,n40,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n38A-n66A,CA_n38A-n66A,n38,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 30, 40",
,,n38,"5, 10, 15, 20, 25, 30, 40",1
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n38A-n66(2A),CA_n38A-n66A,n38,"5, 10, 15, 20",0
,,n66,CA_n66(2A)_BCS1,
,,n38,"5, 10, 15, 20, 25, 30, 40",1
,,n66,CA_n66(2A)_BCS1,
CA_n38A-n71A,-,n38,"5, 10, 15, 20",0
,,n71,"5, 10, 15, 20",
CA_n38A-n78A,CA_n38A-n78A,n38,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n38,"5, 10, 15, 20, 25, 30, 40",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n38,See n38 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n38A-n78(2A),CA_n38A-n78A,n38,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS0,
,,n38,"5, 10, 15, 20",1
,,n78,CA_n78(2A)_BCS2,
,,n38,See n38 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n38A-n79A,-,n38,"5, 10, 15, 20, 25, 30, 40",0
,,n79,"40, 50, 60, 80, 100",
,,n38,See n38 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n38A-n79C,-,n38,"5, 10, 15, 20, 25, 30, 40",0
,,n79,CA_n79C_BCS0,
,,n38,See n38 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n39A-n40A,"n398n408,9CA_n39A-n40A8",n39,"5, 10, 15, 20, 25, 30, 40",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n39,See n39 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
CA_n39A-n41A,"n398n418,9CA_n39A-n41A8",n39,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n39,See n39 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n39A-n41C,"n398n418,9CA_n41C8CA_n39A-n41A8CA_n39A-n41C8",n39,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41C_BCS0,
,,n39,See n39 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS4 and 5,
CA_n39A-n41(2A),CA_n39A-n41A,n39,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41(2A)_BCS0,
,,n39,See n39 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS4 and 5,
CA_n39A-n79A,"n398n798,9CA_n39A-n79A8",n39,"5, 10, 15, 20, 25, 30, 40",0
,,n79,"40, 50, 60, 80, 100",
,,n39,See n39 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n39A-n79C,CA_n79CCA_n39A-n79ACA_n39A-n79C,n39,"5, 10, 15, 20, 25, 30, 40",0
,,n79,CA_n79C_BCS0,
,,n39,See n39 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n40A-n41A,"n408,9n418,9CA_n40A-n41A8",n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n40,"5, 10, 15, 20, 25, 30, 40",1
,,n41,"10, 15, 20, 40, 50, 60",
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n40A-n41B,"n418,9CA_n40A-n41A8,9",n40,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41B_BCS0,
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41B_BCS4 and 5,
CA_n40A-n41C,CA_n41CCA_n40A-n41ACA_n40A-n41C,n40,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41C_BCS0,
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS4 and 5,
CA_n40A-n50A,CA_n40A-n50A,n40,n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n50,n50 channel bandwidths in Table 5.3.5-1,
CA_n40A-n71A,CA_n40A-n71A,n40,n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n40A-n75A,-,n40,n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n40A-n77A,"n408,9n778,9CA_n40A-n77A8,9",n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 704, 80, 904, 100",
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n40A-n77(2A),"n408,9n778,9CA_n40A-n77A8,9",n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n77,CA_n77(2A)_BCS1,
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n40A-n77C,CA_n40A-n77A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n77,CA_n77C_BCS1,
CA_n40B-n77A,n778CA_n40A-n77A,n40,CA_n40B_BCS1,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 704, 80, 904, 100",
CA_n40B-n77(2A),CA_n40A-n77A,n40,CA_n40B_BCS1,0
,,n77,CA_n77(2A)_BCS1,
CA_n40B-n77C,CA_n40A-n77A,n40,CA_n40B_BCS1,0
,,n77,CA_n77C_BCS1,
,,n40,CA_n40B_BCS4 and 5,4 and 5
,,n77,CA_n77C_BCS4 and 5,
CA_n40A-n78A,"n408,9n788,9CA_n40A-n78A8",n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n40A-n78(2A),CA_n40A-n78A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n78,CA_n78(2A)_BCS1,
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n40A-n78C,CA_n40A-n78A,n40,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n78,CA_n78C_BCS1,
CA_n40B-n78A,-,n40,CA_n40B_BCS0,0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,CA_n40A-n78A,n40,CA_n40B_BCS1,1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n40B-n78(2A),CA_n40A-n78A,n40,CA_n40B_BCS1,0
,,n78,CA_n78(2A)_BCS2,
,,n40,CA_n40B_BCS 4 and 5,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n40B-n78C,CA_n40A-n78A,n40,CA_n40B_BCS1,0
,,n78,CA_n78C_BCS1,
CA_n40A-n79A,"n408,9n798,9CA_n40A-n79A8",n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n79,"40, 50, 60, 80, 100",
,,n40,"5, 10, 15, 20, 25, 30, 40",1
,,n79,"40, 50, 60, 80, 100",
,,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n40A-n79C,"n408,9n798,9CA_n79C8CA_n40A-n79A8",n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n79,CA_n79C_BCS0,
,CA_n79CCA_n40A-n79ACA_n40A-n79C,n40,See n40 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS0,
CA_n40A-n105A,CA_n40A-n105A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n105,"5, 10, 15, 20, 25, 30, 35",
