NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n7(2A)-n77A,"n778,9CA_n7A-n77A8",n7,CA_n7(2A)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n77(2A),"n778,9CA_n77(2A)8CA_n7A-n77A8",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n77,CA_n77(2A)_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n77,CA_n77(2A)_BCS4 and 5,
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n7(2A)-n77(2A),"n778,9 CA_n77(2A)8CA_n7A-n77A8",n7,CA_n7(2A)_BCS0,0
,,n77,CA_n77(2A)_BCS1,
CA_n7A-n77(3A),"n778,9CA_n77(2A)8CA_n7A-n77A8",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n77,CA_n77(3A)_BCS1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n7(2A)-n77(3A),"n778,9CA_n77(2A)8CA_n7A-n77A8",n7,CA_n7(2A)_BCS0,0
,,n77,CA_n77(3A)_BCS1,
CA_n7A-n78A,"n78n788,9CA_n7A-n78A8,13, 14",n7,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n78C,"n78n788,9CA_n7A-n78A8,13,14CA_n78C8",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
CA_n7A-n78(A-C),CA_n78CCA_n7A-n78A,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n78,CA_n78(A-C)_BCS1,
CA_n7B-n78A,"n78n788,9CA_n7A-n78A8,13,14CA_n7B",n7,CA_n7B_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,CA_n7B_BCS4 and 5,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7B-n78(2A),"n78n788,9CA_n7A-n78A8,13,14CA_n7B",n7,CA_n7B_BCS0,0
,,n78,CA_n78(2A)_BCS0,
,"n78CA_n78(2A)8CA_n7A-n78A8,13,14",n7,CA_n7B_BCS4 and 5,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n7B-n78C,"n78n788,9CA_n7BCA_n7A-n78A8,13,14CA_n78C8",n7,CA_n7B_BCS0,0
,,n78,CA_n78C_BCS0,
CA_n7A-n78(2A),"n78n788,9CA_n7A-n78A8,13, 14CA_n78(2A)8",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n78,CA_n78(2A)_BCS2,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n7(2A)-n78A,"n788,9CA_n7A-n78A8",n7,CA_n7(2A)_BCS0,0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n7,CA_n7(2A)_BCS0,1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,CA_n7(2A)_BCS4 and 5,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n7B-n78(A-C),CA_n7BCA_n7A-n78ACA_n78C,n7,CA_n7B_BCS0,0
,,n78,CA_n78(A-C)_BCS1,
CA_n7(2A)-n78(2A),"n788,9CA_n7A-n78A8CA_n78(2A)",n7,CA_n7(2A)_BCS0,0
,,n78,CA_n78(2A)_BCS0,
,,n7,CA_n7(2A)_BCS0,1
,,n78,CA_n78(2A)_BCS2,
,,n7,CA_n7(2A)_BCS4 and 5,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n7A-n79A,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n79,"40, 50, 60, 80, 100",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n7A-n79C,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n79,CA_n79C_BCS0,
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n7A-n102A,CA_n7A-n102A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,"20, 40, 60, 80, 100",
CA_n7A-n102(2A),CA_n7A-n102A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102(2A)_BCS0,
CA_n7A-n102B,CA_n7A-n102ACA_n7A-n102B,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102B_BCS0,
CA_n7A-n102C,CA_n7A-n102ACA_n7A-n102C,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102C_BCS0,
CA_n7A-n102D,CA_n7A-n102A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102D_BCS0,
CA_n7A-n102E,CA_n7A-n102A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n102,CA_n102E_BCS0,
CA_n7A-n105A,CA_n7A-n105A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n8A-n20A,CA_n8A-n20A,n8,"5, 10, 15, 20",0
,,n20,"5, 10, 15, 20",
CA_n8A-n28A,CA_n8A-n28A,n8,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20, 30",
,,n8,"5, 10, 15, 20",1
,,n28,"5, 10, 15, 20, 25, 30",
CA_n8A-n34A,"n88n348,9CA_n8A-n34A8",n8,"5, 10, 15, 20",0
,,n34,"5, 10, 15",
CA_n8A-n38A,-,n8,"5, 10, 15, 20",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n8A-n39A,"n88n398,9CA_n8A-n39A8",n8,"5, 10, 15, 20",0
,,n39,"5, 10, 15, 20, 25, 30, 40",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n39,See n39 channel bandwidths in Table 5.3.5-1,
CA_n8A-n40A,"n88n408,9CA_n8A-n40A8",n8,"5, 10, 15, 20",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
CA_n8A-n41A,"n88n418,9CA_n8A-n41A8",n8,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n8,"5, 10, 15, 20",1
,,n41,"10, 15, 20, 40, 50, 60",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n8A-n41C,"n88n418,9CA_n41CCA_n8A-n41A8CA_n8A-n41C",n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS4 and 5,
CA_n8A-n50A,CA_n8A-n50A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n50,n50 channel bandwidths in Table 5.3.5-1,
CA_n8A-n75A,-,n8,"5, 10, 15, 20",0
,,n75,"5, 10, 15, 20",
,,n8,"5, 10,15, 20",1
,,n75,"5, 10,15, 20, 25, 30, 40, 50",
CA_n8A-n77A,"n778,9CA_n8A-n77A8",n8,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n8A-n77(2A),-,n8,"5, 10, 15, 20",0
,,n77,CA_n77(2A)_BCS1,
,CA_n8A-n77A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n8A-n78A,"n788,9CA_n8A-n78A8,13",n8,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n8,"5, 10, 15, 20",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n8A-n78C,CA_n8A-n78A,n8,"5, 10, 15, 20",0
,,n78,CA_n78C_BCS0,
,CA_n8A-n78ACA_n8A-n78CCA_n78C,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78C_BCS4 and 5,
CA_n8A-n78(2A),CA_n8A-n78A,n8,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS1,
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n8A-n79A,"n88n798,9CA_n8A-n79A8",n8,"5, 10, 15, 20",0
,,n79,"10, 20, 40, 50, 60, 80, 100",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n79C,CA_n79CCA_n8A-n79A,n8,"5, 10, 15, 20",0
,,n79,CA_n79C_BCS0,
,CA_n79CCA_n8A-n79ACA_n8A-n79C,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS0,
CA_n8A-n104A,CA_n8A-n104A,n8,"5, 10, 15, 20, 25, 30, 35",0
,,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,n104 channel bandwidths in Table 5.3.5-1,
CA_n8A-n104C,CA_n104CCA_n8A-n104ACA_n8A-n104C,n8,"5, 10, 15, 20, 25, 30, 35",0
,,n104,CA_n104C_BCS0,
,,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,CA_n104C_BCS 4 and 5,
