NR CA configuration,Uplink CA configurationor single uplink carrier 4,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n5A-n14A-n30A-n66A,CA_n5A-n14ACA_n5A-n30ACA_n5A-n66ACA_n14A-n30ACA_n14A-n66ACA_n30A-n66A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n5A-n14A-n30A-n66(2A),CA_n5A-n14ACA_n5A-n30ACA_n5A-n66ACA_n14A-n30ACA_n14A-n66ACA_n30A-n66A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n5A-n25A-n29A-n66A,CA_n5A-n25ACA_n5A-n66ACA_n25A-n66A,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n29,"5, 10",
,,n66,"5, 10, 15, 20, 30, 40",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n5A-n25A-n66A-n77A,"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25(2A)-n66A-n77A,"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25A-n66(2A)-n77A,"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25A-n66A-n77(2A),"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n5A-n25A-n66A-n77(3A),CA_n5A-n25ACA_n5A-n66ACA_n5A-n77ACA_n25A-n66ACA_n25A-n77ACA_n66A-n77A,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 30, 40",
,,n77,CA_n77(3A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n5A-n25(2A)-n66(2A)-n77A,"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25(2A)-n66A-n77(2A),"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n5A-n25A-n66(2A)-n77(2A),"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n5A-n25(2A)-n66(2A)-n77(2A),"n775,6CA_n5A-n25ACA_n5A-n66ACA_n5A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n5A-n25A-n66A-n78A,n785CA_n5A-n25ACA_n5A-n66ACA_n5A-n78A5CA_n25A-n66ACA_n25A-n78A5CA_n66A-n78A5,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25(2A)-n66A-n78A,CA_n5A-n25ACA_n5A-n66ACA_n5A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25A-n66(2A)-n78A,CA_n5A-n25ACA_n5A-n66ACA_n5A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25A-n66A-n78(2A),n785CA_n5A-n25ACA_n5A-n66ACA_n5A-n78A5CA_n25A-n66ACA_n25A-n78A5CA_n66A-n78A5,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n5A-n25(2A)-n66(2A)-n78A,CA_n5A-n25ACA_n5A-n66ACA_n5A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n25(2A)-n66A-n78(2A),CA_n5A-n25ACA_n5A-n66ACA_n5A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n5A-n25A-n66(2A)-n78(2A),CA_n5A-n25ACA_n5A-n66ACA_n5A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n5A-n25(2A)-n66(2A)-n78(2A),CA_n5A-n25ACA_n5A-n66ACA_n5A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n5A-n28A-n78A-n79A,CA_n5A-n28ACA_n5A-n78ACA_n5A-n79ACA_n28A-n78ACA_n28A-n79ACA_n78A-n79A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n5A-n30A-n66A-n77A,"n775,6CA_n5A-n30ACA_n5A-n66ACA_n5A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n30A-n66(2A)-n77A,"n775,6CA_n5A-n30ACA_n5A-n66ACA_n5A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n30A-n66(2A)-n77(2A),"n775,6CA_n5A-n30ACA_n5A-n66ACA_n5A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n5A-n30A-n66A-n77(2A),"n775,6CA_n5A-n30ACA_n5A-n66ACA_n5A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n5A-n40A-n78A-n105A,CA_n5A-n40ACA_n5A-n78ACA_n5A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n5,"5, 10, 15, 20, 25",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n5A-n48A-n66A-n77A,"n775,6",n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 30, 40, 508, 608, 708, 808, 908, 1008",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n775,6CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A5CA_n48A-n66ACA_n66A-n77A5",n5,"5, 10, 15, 20, 25",1
,,n48,"5, 10, 15, 20, 30, 40, 508, 608, 708, 808, 908, 1008",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48(2A)-n66(2A)-n77A,CA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48(2A)_BCS4 and 5,
,,n66,CA_n66(2A)_BCS4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48A-n66A-n77C,"n775,6CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A5CA_n48A-n66ACA_n66A-n77A5",n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 30, 40, 508, 608, 708, 808, 908, 1008",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77C_BCS1,
,CA_n77CCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n5A-n77CCA_n48A-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,CA_n66A-n77C,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS 4 and 5,
CA_n5A-n48A-n66(2A)-n77C,CA_n77CCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n5A-n77CCA_n48A-n66ACA_n66A-n77ACA_n66A-n77C,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
,,n77,CA_n77C_BCS 4 and 5,
CA_n5B-n48A-n66A-n77A,CA_n5BCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5B-n48(2A)-n66A-n77A,CA_n5BCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n48,CA_n48(2A)_BCS4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5B-n48A-n66(2A)-n77A,CA_n5BCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5B-n48A-n66A-n77C,CA_n5BCA_n77CCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n5A-n77CCA_n48A-n66ACA_n66A-n77ACA_n66A-n77C,n5,CA_n5B_BCS4 and 5,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS 4 and 5,
CA_n5A-n48B-n66A-n77A,"n775,6",n5,"5, 10, 15, 20",0
,,n48,CA_n48B_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n775,6CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A5CA_n48A-n66ACA_n66A-n77A5",n5,"5, 10, 15, 20, 25",1
,,n48,CA_n48B_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,"5, 10, 15, 20, 25",2
,,n48,CA_n48B_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,"5, 10, 15, 20, 25",3
,,n48,CA_n48B_BCS2,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n48BCA_n5A-n48ACA_n5A-n48BCA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n48B-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48B_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5B-n48B-n66A-n77A,CA_n5BCA_n48BCA_n5A-n48ACA_n5A-n48BCA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n48B-n66ACA_n66A-n77A,n5,CA_n5B_BCS4 and 5,4 and 5
,,n48,CA_n48B_BCS4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48B-n66(2A)-n77A,CA_n48BCA_n5A-n48ACA_n5A-n48BCA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n48B-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48B_BCS4 and 5,
,,n66,CA_n66(2A)_BCS4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48B-n66A-n77C,CA_n48BCA_n77CCA_n5A-n48ACA_n5A-n48BCA_n5A-n66ACA_n5A-n77ACA_n5A-n77CCA_n48A-n66ACA_n48B-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,CA_n66A-n77C,n48,CA_n48B_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS 4 and 5,
CA_n5A-n48(2A)-n66A-n77A,"n775,6",n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n775,6CA_n5A-n48ACA_n5A-n66ACA_n5A-n77A5CA_n48A-n66ACA_n66A-n77A5",n5,"5, 10, 15, 20, 25",1
,,n48,CA_n48(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,"5, 10, 15, 20, 25",2
,,n48,CA_n48(2A)_BCS1,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48A-n66(2A)-n77A,CA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n48A-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS 4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48(2A)-n66A-n77C,CA_n77CCA_n5A-n48ACA_n5A-n66ACA_n5A-n77ACA_n5A-n77CCA_n48A-n66ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,CA_n66A-n77C,n48,CA_n48(2A)_BCS 4 and 5,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77C_BCS 4 and 5,
CA_n7A-n8A-n28A-n40A,CA_n7A-n8ACA_n7A-n28ACA_n7A-n40ACA_n8A-n28ACA_n8A-n40ACA_n28A-n40A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n7A-n8A-n40A-n78A,CA_n7A-n8ACA_n7A-n40A CA_n7A-n78ACA_n8A-n40A CA_n8A-n78A CA_n40A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n8,"5, 10, 15, 20",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n8A-n40A-n79A,CA_n7A-n8ACA_n7A-n40ACA_n7A-n79ACA_n8A-n40ACA_n8A-n79ACA_n40A-n79A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n7A-n12A-n25A-n66A,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n12,"5, 10, 15",
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n12,n12 channel bandwidths in Table 5.3.5-1,
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n7A-n20A-n28A-n78A11,CA_n7A-n20ACA_n7A-n28ACA_n7A-n78ACA_n20A-n28ACA_n20A-n78ACA_n28A-n78A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n20A-n67A-n78A,CA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n20A-n67A-n78(2A),CA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n7A-n20A-n75A-n78A,CA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n20A-n75A-n78(2A),CA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n7A-n25A-n29A-n77A,CA_n7A-n25ACA_n7A-n77ACA_n25A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25A-n29A-n77(2A),CA_n7A-n25ACA_n7A-n77ACA_n25A-n77ACA_n77(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n29 channel bandwidths in Table 5.3.5-1,
,,n29,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n7A-n25A-n29A-n77(3A),CA_n7A-n25ACA_n7A-n77ACA_n25A-n77ACA_n77(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n29 channel bandwidths in Table 5.3.5-1,
,,n29,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n7A-n25A-n66A-n71A,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n71,"5, 10, 15, 20",
,CA_n7A-n25ACA_n7A-n66ACA_n7A-n71ACA_n25A-n66ACA_n25A-n71ACA_n66A-n71A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25A-n66A-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
