NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
,,n77,CA_n77C_BCS 4 and 5,
CA_n5A-n78A,"n788,9CA_n5A-n78A8",n5,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n5,"5, 10, 15, 20",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,See n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n5A-n78(2A),"n788,9CA_n5A-n78A8CA_n78(2A)8",n5,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS2,
,,n5,See n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n5A-n78C,CA_n5A-n78A,n5,"5, 10, 15, 20",0
,,n78,CA_n78C_BCS0,
,,n5,"5, 10, 15, 20",1
,,n78,CA_n78C_BCS1,
,CA_n78CCA_n5A-n78C,n5,See n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78C_BCS4 and 5,
CA_n5A-n78(A-C),CA_n78CCA_n5A-n78A,n5,"5, 10, 15, 20, 25",0
,,n78,CA_n78(A-C)_BCS1,
CA_n5A-n79A,CA_n5A-n79A,n5,"5, 10, 15, 20",0
,,n79,"40, 50, 60, 80, 100",
,,n5,See n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n5A-n79C,CA_n5A-n79A,n5,"5, 10, 15, 20",0
,,n79,CA_n79C_BCS0,
,,n5,See n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n5A-n105A,CA_n5A-n105A,n5,"5, 10, 15, 20",0
,,n105,"5, 10, 15, 20, 25, 30, 35",
