NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n8A-n41C-n79A,CA_n41CCA_n8A-n41ACA_n8A-n79ACA_n41A-n79A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS 4 and 5,
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n78A-n79A,-,n8,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,CA_n8A-n78A CA_n8A-n79ACA_n78A-n79A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n78(2A)-n79A,-,n8,"5, 10, 15, 20",0
,,n78,CA_n78(2A)_BCS1,
,,n79,"40, 50, 60, 80, 100",
CA_n12A-n25A-n41A,-,n12,"5, 10, 15",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n12A-n25A-n66A,-,n12,"5, 10, 15",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 40",
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,
CA_n12A-n30A-n66A,CA_n12A-n30ACA_n12A-n66ACA_n30A-n66A,n12,"5, 10, 15",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n12A-n30A-n66(2A),CA_n12A-n30ACA_n12A-n66ACA_n30A-n66A,n12,"5, 10, 15",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
CA_n12A-n30A-n66(3A),CA_n12A-n30ACA_n12A-n66ACA_n30A-n66A,n12,"5, 10, 15",0
,,n30,"5, 10",
,,n66,CA_n66(3A)_BCS0,
CA_n12A-n30A-n77A,"n777,9CA_n12A-n30A,CA_n12A-n77A7CA_n30A-n77A7",n12,"5, 10",0
,,n30,"5, 10",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n30A-n77(2A),"n777,9CA_n12A-n30ACA_n12A-n77A7CA_n30A-n77A7",n12,"5, 10",0
,,n30,"5, 10",
,,n77,CA_n77(2A)_BCS1,
CA_n12A-n41A-n66A,-,n12,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n66,"5, 10, 15, 20, 40",
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,
CA_n12A-n41A-n77A,-,n12,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n12A-n66A-n77A,"n777,9CA_n12A-n66ACA_n12A-n77A7CA_n66A-n77A7",n12,"5, 10, 15",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n66(2A)-n77A,"n777,9CA_n12A-n66ACA_n12A-n77A7CA_n66A-n77A7",n12,"5, 10, 15",0
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n66A-n77(2A),"n777,9CA_n12A-n66ACA_n12A-n77A7CA_n66A-n77A7",n12,"5, 10, 15",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n12A-n66(2A)-n77(2A),"n777,9CA_n12A-n66ACA_n12A-n77A7CA_n66A-n77A7",n12,"5, 10, 15",0
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n12A-n66(3A)-n77A,"n777,9CA_n12A-n66ACA_n12A-n77A7CA_n66A-n77A7",n12,"5, 10, 15",0
,,n66,CA_n66(3A)_BCS0,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n66(3A)-n77(2A),"n777,9CA_n12A-n66ACA_n12A-n77A7CA_n66A-n77A7",n12,"5, 10, 15",0
,,n66,CA_n66(3A)_BCS0,
,,n77,CA_n77(2A)_BCS1,
CA_n12A-n71A-n77A,CA_n12A-n77ACA_n71A-n77A,n12,"5, 10, 15",0
,,n71,"5, 10, 15, 20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n13A-n25A-n66A,CA_n13A-n25ACA_n13A-n66ACA_n25A-n66A,n13,"5, 10",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n13A-n25A-n77A,"n777,9CA_n13A-n25ACA_n13A-n77A7CA_n25A-n77A7",n13,"5, 10",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n13A-n25A-n77(2A),"n777,9CA_n77(2A)7CA_n13A-n25ACA_n13A-n77A7CA_n25A-n77A7",n13,"5, 10",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n13A-n66A-n77A,"n777, 9CA_n13A-n66ACA_n13A-n77A7CA_n66A-n77A7",n13,"5, 10",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n13A-n66A-n77(2A),"n777,9CA_n77(2A)7CA_n13A-n66ACA_n13A-n77A7CA_n66A-n77A7",n13,"5, 10",0
,,n66,"10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n14A-n30A-n66A,CA_n14A-n30ACA_n14A-n66ACA_n30A-n66A,n14,"5, 10",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n14A-n30A-n66(2A),CA_n14A-n30ACA_n14A-n66ACA_n30A-n66A,n14,"5, 10",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,CA_n66(2A)_BCS4 and 5,
CA_n14A-n30A-n66(3A),CA_n14A-n30ACA_n14A-n66ACA_n30A-n66A,n14,"5, 10",0
,,n30,"5, 10",
,,n66,CA_n66(3A)_BCS0,
CA_n14A-n30A-n77A,"n777,9CA_n14A-n30ACA_n14A-n77A7CA_n30A-n77A7",n14,"5, 10",0
,,n30,"5, 10",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n14A-n30A-n77(2A),"n777,9CA_n14A-n30ACA_n14A-n77A7CA_n30A-n77A7",n14,"5, 10",0
,,n30,"5, 10",
,,n77,CA_n77(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n14A-n66A-n77A,"n777,9CA_n14A-n66ACA_n14A-n77A7CA_n66A-n77A7",n14,"5, 10",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n14A-n66(2A)-n77A,"n777,9CA_n14A-n66ACA_n14A-n77A7CA_n66A-n77A7",n14,"5, 10",0
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(2A)_BCS4 and 5,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n14A-n66A-n77(2A),"n777,9CA_n14A-n66ACA_n14A-n77A7CA_n66A-n77A7",n14,"5, 10",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n14A-n66(2A)-n77(2A),"n777,9CA_n14A-n66ACA_n14A-n77A7CA_n66A-n77A7",n14,"5, 10",0
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(2A)_BCS4 and 5,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n14A-n66(3A)-n77A,"n777,9CA_n14A-n66ACA_n14A-n77A7CA_n66A-n77A7",n14,"5, 10",0
,,n66,CA_n66(3A)_BCS0,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n14A-n66(3A)-n77(2A),"n777,9CA_n14A-n66ACA_n14A-n77A7CA_n66A-n77A7",n14,"5, 10",0
,,n66,CA_n66(3A)_BCS0,
,,n77,CA_n77(2A)_BCS1,
CA_n18A-n28A-n41A,"n417,9CA_n18A-n28ACA_n18A-n41A7,9CA_n28A-n41A7,9",n18,"5, 10, 15",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,"n417,9CA_n18A-n28ACA_n18A-n41A7,9CA_n28A-n41A7,9",n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n18A-n28A-n77A,"n777,9CA_n18A-n28ACA_n18A-n77A7,9CA_n28A-n77A7,9",n18,"5, 10, 15",0
,,n28,"5, 10",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n18A-n28A-n77(2A),"n777,9CA_n18A-n28ACA_n18A-n77A7CA_n28A-n77A7",n18,"5, 10, 15",0
,CA_n77(2A),n28,"5, 10",
,,n77,CA_n77(2A)_BCS1,
CA_n18A-n28A-n77(3A),"n777,9CA_n18A-n28ACA_n18A-n77A7CA_n28A-n77A7",n18,"5, 10, 15",0
,,n28,"5, 10",
,,n77,CA_n77(3A)_BCS1,
CA_n18A-n40A-n77A,"n407,9n777,9CA_n18A-n40A7,9CA_n18A-n77A7,9CA_n40A-n77A7,9",n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n18A-n41A-n77A,"n417,9n777,9CA_n18A-n41A7CA_n18A-n77A7,9CA_n41A-n77A7,9",n18,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n18A-n41A-n77(2A),"n417,9n777,9CA_n18A-n41A7,9CA_n18A-n77A7,9CA_n41A-n77A7,9CA_n77(2A)7",n18,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A)_BCS1,
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n18A-n41A-n77(3A),"n417,9n777,9CA_n18A-n41A7CA_n18A-n77A7CA_n41A-n77A7",n18,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(3A)_BCS1,
CA_n20A-n28A-n75A,CA_n20A-n28A,n20,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n75,"5, 10, 15, 20",
,,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n20A-n28A-n78A17,-,n20,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,CA_n20A-n28ACA_n20A-n78ACA_n28A-n78A,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n20A-n28A-n78C,-,n20,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n78,CA_n78C_BCS1,
CA_n20A-n41A-n71A,CA_n20A-n41ACA_n20A-n71ACA_n41A-n71A,n20,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10, 15, 20",
CA_n20A-n41A-n77A,CA_n20A-n41ACA_n20A-n77ACA_n41A-n77A,n20,"5,10,15,20",0
,,n41,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n20A-n41A-n77(2A),CA_n20A-n41ACA_n20A-n77ACA_n41A-n77A,n20,"5,10,15,20",0
,,n41,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n20A-n41A-n78A,CA_n20A-n41ACA_n20A-n78ACA_n41A-n78A,n20,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n20A-n67A-n78A,CA_n20A-n78A,n20,See n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,See n67 channel bandwidths in Table 5.3.5-1,
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n20A-n71A-n78A,CA_n20A-n71ACA_n20A-n78ACA_n71A-n78A,n20,"5, 10, 15, 20",0
,,n71,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n20A-n67A-n78(2A),CA_n20A-n78ACA_n78(2A),n20,See n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,See n67 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n20A-n75A-n78A,CA_n20A-n78A,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n20A-n75A-n78(2A),CA_n78(2A)CA_n20A-n78A,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n24A-n41A-n48A,CA_n24A-n41ACA_n24A-n48ACA_n41A-n48A,n24,"5, 10",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n48,"5, 10, 15, 20, 40, 5012, 6012, 7012, 8012, 9012, 10012",
CA_n24A-n41(2A)-n48A,CA_n24A-n41ACA_n24A-n48ACA_n41A-n48A,n24,"5, 10",0
,,n41,CA_n41(2A)_BCS1,
,,n48,"5, 10, 15, 20, 40, 5012, 6012, 7012, 8012, 9012, 10012",
CA_n24A-n41A-n48(2A),CA_n24A-n41ACA_n24A-n48ACA_n41A-n48A,n24,"5, 10",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n48,CA_n48(2A)_BCS0,
CA_n24A-n41(2A)-n48(2A),CA_n24A-n41ACA_n24A-n48ACA_n41A-n48A,n24,"5, 10",0
,,n41,CA_n41(2A)_BCS1,
,,n48,CA_n48(2A)_BCS0,
CA_n24A-n41A-n77A,CA_n24A-n41ACA_n24A-n77ACA_n41A-n77A,n24,"5, 10",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n24,See n24 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n24A-n41(2A)-n77A,CA_n24A-n41ACA_n24A-n77ACA_n41A-n77A,n24,"5, 10",0
,,n41,CA_n41(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n24,"5, 10",1
,,n41,CA_n41(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n24,See n24 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS4 and 5,
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n24A-n41A-n77(2A),CA_n24A-n41ACA_n24A-n77ACA_n41A-n77A,n24,"5, 10",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A)_BCS0,
,,n24,"5, 10",1
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A)_BCS0,
,,n24,See n24 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n24A-n41(2A)-n77(2A),CA_n24A-n41ACA_n24A-n77ACA_n41A-n77A,n24,"5, 10",0
,,n41,CA_n41(2A)_BCS1,
,,n77,CA_n77(2A)_BCS0,
,,n24,"5, 10",1
,,n41,CA_n41(2A)_BCS1,
,,n77,CA_n77(2A)_BCS0,
,,n24,See n24 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS4 and 5,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n24A-n48A-n77A,-,n24,"5, 10",0
,,n48,"5, 10, 15, 20, 40, 5012, 6012, 8012, 9012, 10012",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n24A-n48(2A)-n77A,-,n24,"5, 10",0
,,n48,CA_n48(2A)_BCS0,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n24A-n48A-n77(2A),-,n24,"5, 10",0
,,n48,"5, 10, 15, 20, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n77,CA_n77(2A)_BCS0,
CA_n24A-n48(2A)-n77(2A),-,n24,"5, 10",0
,,n48,CA_n48(2A)_BCS0,
,,n77,CA_n77(2A)_BCS0,
CA_n25A-n29A-n66A,CA_n25A-n66A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n29,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n25A-n29A-n77A,CA_n25A-n77A,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n29A-n77(2A),CA_n25A-n77ACA_n77(2A),n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
