PRACH configuration Index(See Table 5.7.1-3),UL/DL configuration (See Table 4.2-2),,,,,,
,0,1,2,3,4,5,6
12,"(0,0,0,1)(0,0,0,2)(0,0,1,1)(0,0,1,2)","(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)(1,0,0,2)","(0,0,0,0)(0,0,0,1)(1,0,0,0)(1,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)","(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,1)"
13,"(0,0,0,0)(0,0,0,2)(0,0,1,0)(0,0,1,2)",N/A,N/A,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(1,0,0,1)",N/A,N/A,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,1)"
14,"(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)",N/A,N/A,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(1,0,0,0)",N/A,N/A,"(0,0,0,0)(0,0,0,2)(0,0,1,0)(0,0,1,1)"
15,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,1)(0,0,1,2)","(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)(1,0,0,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)(2,0,0,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)(1,0,0,1)(1,0,0,2)","(0,0,0,0)(0,0,0,1)(1,0,0,0)(1,0,0,1)(2,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)(4,0,0,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,1)"
16,"(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,1)(0,0,1,2)","(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)(1,0,1,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)(2,0,1,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)(1,0,0,0)(1,0,0,2)","(0,0,0,0)(0,0,0,1)(1,0,0,0)(1,0,0,1)(2,0,0,0)",N/A,N/A
17,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,2)","(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)(1,0,0,0)",N/A,"(0,0,0,0)(0,0,0,1)(0,0,0,2) (1,0,0,0)(1,0,0,1)",N/A,N/A,N/A
18,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,1)(0,0,1,2)","(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)(1,0,0,1)(1,0,1,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)(2,0,0,0)(2,0,1,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)(1,0,0,0)(1,0,0,1)(1,0,0,2)","(0,0,0,0)(0,0,0,1)(1,0,0,0)(1,0,0,1)(2,0,0,0)(2,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)(4,0,0,0)(5,0,0,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,1)(1,0,0,2)"
19,N/A,"(0,0,0,0)(0,0,0,1)(0,0,1,0)(0,0,1,1)(1,0,0,0)(1,0,1,0)",N/A,N/A,N/A,N/A,"(0,0,0,0)(0,0,0,1)(0,0,0,2)(0,0,1,0)(0,0,1,1)(1,0,1,1)"
20 / 30,"(0,1,0,1)","(0,1,0,0)",N/A,"(0,1,0,1)","(0,1,0,0)",N/A,"(0,1,0,1)"
21 / 31,"(0,2,0,1)","(0,2,0,0)",N/A,"(0,2,0,1)","(0,2,0,0)",N/A,"(0,2,0,1)"
22 / 32,"(0,1,1,1)","(0,1,1,0)",N/A,N/A,N/A,N/A,"(0,1,1,0)"
23 / 33,"(0,0,0,1)","(0,0,0,0)",N/A,"(0,0,0,1)","(0,0,0,0)",N/A,"(0,0,0,1)"
24 / 34,"(0,0,1,1)","(0,0,1,0)",N/A,N/A,N/A,N/A,"(0,0,1,0)"
25 / 35,"(0,0,0,1)(0,0,1,1)","(0,0,0,0)(0,0,1,0)",N/A,"(0,0,0,1)(1,0,0,1)","(0,0,0,0)(1,0,0,0)",N/A,"(0,0,0,1)(0,0,1,0)"
26 / 36,"(0,0,0,1)(0,0,1,1)(1,0,0,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)",N/A,"(0,0,0,1)(1,0,0,1)(2,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)",N/A,"(0,0,0,1)(0,0,1,0)(1,0,0,1)"
27 / 37,"(0,0,0,1)(0,0,1,1)(1,0,0,1)(1,0,1,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)",N/A,"(0,0,0,1)(1,0,0,1)(2,0,0,1)(3,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)",N/A,"(0,0,0,1)(0,0,1,0)(1,0,0,1)(1,0,1,0)"
28 / 38,"(0,0,0,1)(0,0,1,1)(1,0,0,1)(1,0,1,1)(2,0,0,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)(2,0,0,0)",N/A,"(0,0,0,1)(1,0,0,1)(2,0,0,1)(3,0,0,1)(4,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)(4,0,0,0)",N/A,"(0,0,0,1)(0,0,1,0)(1,0,0,1)(1,0,1,0)(2,0,0,1)"
29 /39,"(0,0,0,1)(0,0,1,1)(1,0,0,1)(1,0,1,1)(2,0,0,1)(2,0,1,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)(2,0,0,0)(2,0,1,0)",N/A,"(0,0,0,1)(1,0,0,1)(2,0,0,1)(3,0,0,1)(4,0,0,1)(5,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)(4,0,0,0)(5,0,0,0)",N/A,"(0,0,0,1)(0,0,1,0)(1,0,0,1)(1,0,1,0)(2,0,0,1)(2,0,1,0)"
40,"(0,1,0,0)",N/A,N/A,"(0,1,0,0)",N/A,N/A,"(0,1,0,0)"
41,"(0,2,0,0)",N/A,N/A,"(0,2,0,0)",N/A,N/A,"(0,2,0,0)"
42,"(0,1,1,0)",N/A,N/A,N/A,N/A,N/A,N/A
43,"(0,0,0,0)",N/A,N/A,"(0,0,0,0)",N/A,N/A,"(0,0,0,0)"
44,"(0,0,1,0)",N/A,N/A,N/A,N/A,N/A,N/A
45,"(0,0,0,0)(0,0,1,0)",N/A,N/A,"(0,0,0,0)(1,0,0,0)",N/A,N/A,"(0,0,0,0)(1,0,0,0)"
46,"(0,0,0,0)(0,0,1,0)(1,0,0,0)",N/A,N/A,"(0,0,0,0)(1,0,0,0)(2,0,0,0)",N/A,N/A,"(0,0,0,0)(1,0,0,0)(2,0,0,0)"
47,"(0,0,0,0)(0,0,1,0)(1,0,0,0)(1,0,1,0)",N/A,N/A,"(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)",N/A,N/A,"(0,0,0,0)(1,0,0,0)(2,0,0,0)(3,0,0,0)"
48,"(0,1,0,*)","(0,1,0,*)","(0,1,0,*)","(0,1,0,*)","(0,1,0,*)","(0,1,0,*)","(0,1,0,*)"
49,"(0,2,0,*)","(0,2,0,*)","(0,2,0,*)","(0,2,0,*)","(0,2,0,*)","(0,2,0,*)","(0,2,0,*)"
50,"(0,1,1,*)","(0,1,1,*)","(0,1,1,*)",N/A,N/A,N/A,"(0,1,1,*)"
51,"(0,0,0,*)","(0,0,0,*)","(0,0,0,*)","(0,0,0,*)","(0,0,0,*)","(0,0,0,*)","(0,0,0,*)"
52,"(0,0,1,*)","(0,0,1,*)","(0,0,1,*)",N/A,N/A,N/A,"(0,0,1,*)"
53,"(0,0,0,*)(0,0,1,*)","(0,0,0,*)(0,0,1,*)","(0,0,0,*)(0,0,1,*)","(0,0,0,*)(1,0,0,*)","(0,0,0,*)(1,0,0,*)","(0,0,0,*)(1,0,0,*)","(0,0,0,*)(0,0,1,*)"
54,"(0,0,0,*)(0,0,1,*)(1,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)"
55,"(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)"
56,"(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)(4,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)(4,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)(4,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)"
57,"(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)(2,0,1,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)(2,0,1,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)(2,0,1,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)(4,0,0,*)(5,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)(4,0,0,*)(5,0,0,*)","(0,0,0,*)(1,0,0,*)(2,0,0,*)(3,0,0,*)(4,0,0,*)(5,0,0,*)","(0,0,0,*)(0,0,1,*)(1,0,0,*)(1,0,1,*)(2,0,0,*)(2,0,1,*)"
58,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NOTE:*UpPTS,,,,,,,
