SS-RSRPNote3,"Config 1,2,4,5",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/SCS,-84.65,,-121,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-120.5,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-120,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,-119.5,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,-119,
,,NR_FDD_FR1_F,,,,-118.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-118,
,,NR_FDD_FR1_H,,,,-117.5,
,,NR_FDD_FR1_N,,,,-114.5,
,"Config 3,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-81.65,,-118,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-117.5,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-117,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,-116.5,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,-116,
,,NR_FDD_FR1_F,,,,-115.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-115,
,,NR_FDD_FR1_H,,,,-114.5,
,,NR_FDD_FR1_N,,,,-111.5,
IoNote3,"Config 1,2,4,5",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/9.36 MHz,-56.28,,-87.76,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-87.26,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-86.76,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,-86.26,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,-85.76,
,,NR_FDD_FR1_F,,,,-85.26,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-84.76,
,,NR_FDD_FR1_H,,,,-84.26,
,,NR_FDD_FR1_N,,,,-81.26,
,"Config 3,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/38.16 MHz,-50.19,,-84.76,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-84.26,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-83.76,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,-83.26,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,-82.76,
,,NR_FDD_FR1_F,,,,-82.26,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-81.76,
,,NR_FDD_FR1_H,,,,-81.26,
,,NR_FDD_FR1_N,,,,-78.26,
Propagation condition,,,-,AWGN,,,
Antenna configuration,,,-,1x2,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2.NOTE 6: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.",,,,,,,
