SUL configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
SUL_n41A-n99A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,n99,"5, 10",
SUL_n48A-n99A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n99,"5, 10",
SUL_n77A-n80A,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n80,"5, 10, 15, 20, 25, 30",
SUL_n77A-n84A,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n84,"5, 10, 15, 20",
SUL_n77A-n99A,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n99,"5, 10",
SUL_n78A-n80A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n80,"5, 10, 15, 20, 25, 30",
,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,n80,"5, 10, 15, 20, 25, 30, 40",
,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n80,See n80 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n78A-n81A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n81,"5, 10, 15, 20",
,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,n81,"5, 10, 15, 20",
,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n81,See n81 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n78A-n82A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n82,"5, 10, 15, 20",
SUL_n78A-n83A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n83,"5, 10, 15, 20",
,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,n83,"5, 10, 15, 20, 30",
SUL_n78A-n84A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,n84,"5, 10, 15, 20",
,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,n84,"5, 10, 15, 20, 25, 30, 40, 50",
,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n84,See n84 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n78A-n86A,n78,"10, 15, 20, 40, 50, 60, 70, 80, 90, 100",0
,n86,"5, 10, 15, 20",
SUL_n78A-n89A,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,n89,"5, 10, 15, 20",
SUL_n79A-n80A,n79,"40, 50, 60, 80, 100",0
,n80,"5, 10, 15, 20, 25, 30",
,n79,"40, 50, 60, 80, 100",1
,n80,"5, 10, 15, 20, 25, 30, 40",
SUL_n79A-n81A,n79,"40, 50, 60, 80, 100",0
,n81,"5, 10, 15, 20",
SUL_n79A-n83A,n79,"40, 50, 60, 80, 100",0
,n83,"5, 10, 15, 20, 30",
,n79,See n79 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n83,See n83 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n79A-n84A,n79,"40, 50, 60, 80, 100",0
,n84,"5, 10, 15, 20",
SUL_n79A-n95A,n79,"40, 50, 60, 80, 100",0
,n95,"5, 10, 15",
,n79,See n79 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n95,See n95 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n79A-n97A,n79,"40, 50, 60, 80, 100",0
,n97,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,n79,"40, 50, 60, 80, 100",1
,n97,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,n79,See n79 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n97,See n97 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n79A-n98A,n79,"40, 50, 60, 80, 100",0
,n98,"5, 10, 15, 20, 25, 30, 40",
,n79,See n79 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n98,See n98 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n80A-n104A,n80,See n80 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n104,See n104 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n81A-n104A,n81,See n81 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n104,See n104 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n83A-n104A,n83,See n83 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n104,See n104 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n84A-n104A,n84,See n84 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n104,See n104 channel bandwidths in Table 5.3.5-1 for each carrier,
SUL_n89A-n104A,n89,See n89 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,n104,See n104 channel bandwidths in Table 5.3.5-1 for each carrier,
NOTE 1:The SCS of each channel bandwidth for NR band refers to Table 5.3.5-1.,,,
