NR DCconfiguration,Uplink NR DCconfiguration
DC_n48(2A)-n70A,DC_n48A-n70A
DC_n48A-n71A DC_n48B-n71ADC_n48C-n71A,DC_n48A-n71A
DC_n48A-n71(2A)DC_n48(2A)-n71ADC_n48(2A)-n71(2A)DC_n48(3A)-n71ADC_n48(4A)-n71ADC_n48B-n71(2A),DC_n48A-n71A
DC_n48A-n96ADC_n48B-n96ADC_n48C-n96ADC_n48A-n96BDC_n48B-n96BDC_n48C-n96BDC_n48A-n96CDC_n48B-n96CDC_n48C-n96CDC_n48A-n96DDC_n48B-n96DDC_n48C-n96DDC_n48A-n96EDC_n48B-n96EDC_n48C-n96E,DC_n48A-n96ADC_n48B-n96A
DC_n66A-n71A,DC_n66A-n71A
DC_n66A-n77ADC_n66A-n77BDC_n66A-n77CDC_n66B-n77ADC_n66B-n77C,DC_n66A-n77A
DC_n66A-n77(2A)DC_n66A-n77(3A)DC_n66(2A)-n77(2A)DC_n66(2A)-n77(3A)DC_n66(3A)-n77(2A)DC_n66(2A)-n77ADC_n66(2A)-n77BDC_n66(2A)-n77CDC_n66(3A)-n77ADC_n66(3A)-n77C,DC_n66A-n77A
DC_n71A-n77A,DC_n71A-n77A
DC_n71A-n77(2A),DC_n71A-n77A
DC_n77A-n79A1,DC_n77A-n79A
DC_n77(2A)-n79A1,DC_n77A-n79A
DC_n78A-n79A,DC_n78A-n79A
DC_n78(2A)-n79A,DC_n78A-n79A
DC_n77A-n102ADC_n77A-n102BDC_n77A-n102CDC_n77A-n102DDC_n77A-n102E,DC_n77A-n102ADC_n77A-n102BDC_n77A-n102C
DC_n77A-n102(2A)DC_n77(2A)-n102ADC_n77(2A)-n102BDC_n77(2A)-n102CDC_n77(2A)-n102DDC_n77(2A)-n102EDC_n77(2A)-n102(2A),DC_n77A-n102ADC_n77A-n102BDC_n77A-n102C
DC_n78A-n102ADC_n78A-n102BDC_n78A-n102CDC_n78A-n102DDC_n78A-n102E,DC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n78A-n102(2A)DC_n78(2A)-n102ADC_n78(2A)-n102BDC_n78(2A)-n102CDC_n78(2A)-n102DDC_n78(2A)-n102EDC_n78(2A)-n102(2A),DC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n100A-n101A,DC_n100A-n101A
NOTE 1:The minimum requirements apply only when there is non-simultaneous Rx/Tx operation between n77-n79 NR carriers. This restriction applies also for these carriers when applicable NR DC configuration is part of a higher order configuration.NOTE 2:Applicable for UE supporting inter-band NR DC with mandatory simultaneous Rx/Tx capability.NOTE 3:The frequency range below 2506 MHz for Band n41 is not used in this combination.,
