SUL band combination with CA,UL configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
,,n84,"5, 10, 15, 20",
CA_n3A_n78C-n84A,SUL_n78A-n84ACA_n3A-n78ACA_n78CCA_n78C-n84A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n78,See CA_n78C Bandwidth Combination Set 1 in Table 5.5A.1-1,
,,n84,"5, 10, 15, 20",
CA_n3A_n79A-n80A,SUL_n79A-n80A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n79,"40, 50, 60, 80, 100",
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n3A_n79C-n80A,SUL_n79A-n80ACA_n79C-n80A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n79,CA_n79C_BCS0,
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n5A_n78A-n84A,SUL_n78A-n84ACA_n5A-n78A,n5,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n84,"5, 10, 15, 20",
CA_n5A_n78C-n84A,SUL_n78A-n84ACA_n5A-n78ACA_n78CCA_n78C-n84A,n5,"5, 10, 15, 20",0
,,n78,See CA_n78C Bandwidth Combination Set 1 in Table 5.5A.1-1,
,,n84,"5, 10, 15, 20",
CA_n5A_n78A-n89A,SUL_n78A-n89A,n5,See n5 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n89,See n89 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n5A_n78C-n89A,SUL_n78A-n89ACA_n78C-n89A,n5,See n5 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n89,See n89 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n8A_n78A-n81A,SUL_n78A-n81A,n8,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n81,"5, 10, 15, 20",
CA_n8A_n78A-n84A,SUL_n78A-n84ACA_n8A-n78A,n8,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n84,"5, 10, 15, 20",
CA_n8A_n78C-n84A,SUL_n78A-n84ACA_n78CCA_n8A-n78ACA_n78C-n84A,n8,"5, 10, 15, 20",0
,,n78,See CA_n78C Bandwidth Combination Set 1 in Table 5.5A.1-1,
,,n84,"5, 10, 15, 20",
CA_n28A_n41A-n83A,SUL_n41A-n83A,n28,"5, 10, 15, 20, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n28A_n41C-n83A,SUL_n41A-n83ACA_n41C-n83A,n28,"5, 10, 15, 20, 30",0
,,n41,CA_n41C_BCS1,
,,n83,"5, 10, 15, 20, 30",
CA_n28A_n79A-n83A,SUL_n79A-n83A,n28,"5, 10, 15, 20, 30",0
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n28A_n79C-n83A,SUL_n79A-n83ACA_n79C-n83A,n28,"5, 10, 15, 20, 30",0
,,n79,CA_n79C_BCS0,
,,n83,"5, 10, 15, 20, 30",
CA_n41A_n79A-n80A,SUL_n79A-n80A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n41A_n79A-n83A,SUL_n79A-n83A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n41A_n79C-n83A,SUL_n79A-n83ACA_n79C-n83ACA_n41A-n79ACA_n79C,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,,n83,"5, 10, 15, 20, 30",
CA_n41C_n79A-n83A,SUL_n79A-n83ACA_n41CCA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n41C_n79C-n83A,CA_n41CCA_n79CSUL_n79A-n83ACA_n79C-n83ACA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,CA_n79C_BCS0,
,,n83,"5, 10, 15, 20, 30",
CA_n41A_n79A-n95A,SUL_n79A-n95A,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n95,"5, 10, 15",
CA_n41A_n79C-n95A,SUL_n79A-n95ACA_n79C-n95ACA_n41A-n79ACA_n79C,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,,n95,"5, 10, 15",
CA_n41C_n79A-n95A,SUL_n79A-n95ACA_n41CCA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n95,"5, 10, 15",
CA_n41C_n79C-n95A,CA_n41CCA_n79CSUL_n79A-n95ACA_n79C-n95ACA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,CA_n79C_BCS0,
,,n98,"5, 10, 15",
CA_n41A_n79A-n97A,SUL_n79A-n97A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n97,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n41A_n79A-n98A,SUL_n79A-n98A,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n41A_n79C-n98A,SUL_n79A-n98ACA_n79C-n98ACA_n41A-n79ACA_n79C,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n41C_n79A-n98A,SUL_n79A-n98ACA_n41CCA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n41C_n79C-n98A,CA_n41CCA_n79CSUL_n79A-n98ACA_n79C-n98ACA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,CA_n79C_BCS0,
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n78A_n1A-n80A,SUL_n1A-n80A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n80,"5, 10, 15, 20, 25, 30",
CA_n78C_n1A-n80A,SUL_n1A-n80ACA_n78CCA_n1A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
,,n80,"5, 10, 15, 20, 25, 30",
CA_n78A_n1A-n81A,SUL_n1A-n81A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n81,"5, 10, 15, 20",
CA_n78C_n1A-n81A,SUL_n1A-n81ACA_n78CCA_n1-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
,,n81,"5, 10, 15, 20",
CA_n78A_n1A-n89A,SUL_n1A-n89A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n89,"5, 10, 15, 20",
CA_n78C_n1A-n89A,SUL_n1A-n89ACA_n78CCA_n1A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
,,n89,"5, 10, 15, 20",
CA_n78A_n3A-n84A,SUL_n3A-n84A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n84,"5, 10, 15, 20",
CA_n78C_n3A-n84A,SUL_n3A-n84ACA_n78CCA_n3A-n78A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n78,CA_n78C_BCS1,
,,n84,"5, 10, 15, 20",
CA_n78A_n5A-n84A,SUL_n5A-n84ACA_n5A-n78A,n5,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n84,"5, 10, 15, 20",
CA_n78C_n5A-n84A,SUL_n5A-n84ACA_n78CCA_n5A-n78A,n5,"5, 10, 15, 20",0
,,n78,See CA_n78C Bandwidth Combination Set 1 in Table 5.5A.1-1,
,,n84,"5, 10, 15, 20",
CA_n78A_n8A-n84A,SUL_n8A-n84ACA_n8A-n78A,n8,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n84,"5, 10, 15, 20",
CA_n78C_n8A-n84A,SUL_n8A-n84ACA_n78CCA_n8A-n78A,n8,"5, 10, 15, 20",0
,,n78,See CA_n78C Bandwidth Combination Set 1 in Table 5.5A.1-1,
,,n84,"5, 10, 15, 20",
CA_n79A_n41A-n80A,SUL_n41A-n80A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n79A_n41A-n83A,SUL_n41A-n83A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n79A_n41C-n83A,SUL_n41A-n83ACA_n41C-n83ACA_n41A-n79ACA_n41C,n41,CA_n41C_BCS1,0
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n79C_n41A-n83A,SUL_n41A-n83ACA_n41A-n79ACA_n79C,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,,n83,"5, 10, 15, 20, 30",
CA_n79C_n41C-n83A,CA_n41CCA_n79CSUL_n41A-n83ACA_n41C-n83ACA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,CA_n79C_BCS0,
,,n83,"5, 10, 15, 20, 30",
CA_n79A_n41A-n95A,SUL_n41A-n95A,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n95,"5, 10, 15",
CA_n79C_n41A-n95A,SUL_n41A-n95ACA_n41A-n79ACA_n79C,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,,n95,"5, 10, 15",
CA_n79A_n41C-n95A,SUL_n41A-n95ACA_n41C-n95ACA_n41A-n79ACA_n41C,n41,CA_n41C_BCS1,0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n95,"5, 10, 15",
CA_n79C_n41C-n95A,CA_n41CCA_n79CSUL_n41A-n95ACA_n41C-n95ACA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,CA_n79C_BCS0,
,,n95,"5, 10, 15",
CA_n79A_n41A-n97A,SUL_n41A-n97A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n97,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n79A_n41A-n98A,SUL_n41A-n98A,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n79C_n41A-n98A,SUL_n41A-n98ACA_n41A-n79ACA_n79C,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n79A_n41C-n98A,SUL_n41A-n98ACA_n41C-n98ACA_n41A-n79ACA_n41C,n41,CA_n41C_BCS1,0
,,n79,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n79C_n41C-n98A,CA_n41CCA_n79CSUL_n41A-n98ACA_n41C-n98ACA_n41A-n79A,n41,CA_n41C_BCS1,0
,,n79,CA_n79C_BCS0,
,,n98,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3A_n78A-n80A,SUL_n78A-n80A,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n3,See n3 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n80,See n80 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n1A-n3A_n78A-n84A,SUL_n78A-n84A,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n3,See n3 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n84,See n84 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n28A-n79A_n41A-n83A,SUL_n41A-n83A,n28,"5, 10, 15, 20, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
CA_n28A-n41A_n79A-n83A,SUL_n79A-n83A,n28,"5, 10, 15, 20, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n83,"5, 10, 15, 20, 30",
NOTE 1:The SCS of each channel bandwidth for NR band refers to Table 5.3.5-1.,,,,
