NR DCconfiguration,Uplink NR DCconfiguration
DC_n2A-n48A-n77ADC_n2A-n48A-n77CDC_n2A-n48B-n77ADC_n2A-n48B-n77C,DC_n2A-n48ADC_n2A-n77A
DC_n2A-n48(2A)-n77ADC_n2A-n48(2A)-n77C,DC_n2A-n48ADC_n2A-n77A
DC_n2A-n66A-n77ADC_n2A-n66A-n77C,DC_n2A-n66ADC_n2A-n77ADC_n66A-n77A
DC_n2(2A)-n66A-n77ADC_n2A-n66(2A)-n77ADC_n2A-n66A-n77(2A)DC_n2(2A)-n66A-n77(2A)DC_n2A-n66(2A)-n77(2A)DC_n2(2A)-n66(2A)-n77ADC_n2(2A)-n66(2A)-n77(2A)DC_n2A-n66(3A)-n77ADC_n2A-n66(3A)-n77(2A),DC_n2A-n66ADC_n2A-n77ADC_n66A-n77A
DC_n3A-n7A-n20A,DC_n3A-n7ADC_n3A-n20ADC_n7A-n20A
DC_n3A-n7A-n28A,DC_n3A-n7ADC_n3A-n28ADC_n7A-n28A
DC_n3A-n7A-n67A,DC_n3A-n7A
DC_n3A-n7A-n78A,DC_n3A-n7ADC_n3A-n78ADC_n7A-n78A
DC_n3A-n7A-n78(2A),DC_n3A-n7ADC_n3A-n78ADC_n7A-n78A
DC_n3A-n20A-n67A,DC_n3A-n20A
DC_n3A-n20A-n78A,DC_n3A-n20ADC_n3A-n78ADC_n20A-n78A
DC_n3A-n20A-n78(2A),DC_n3A-n20ADC_n3A-n78ADC_n20A-n78A
DC_n3A-n28A-n41A,DC_n3A-n28ADC_n3A-n41ADC_n28A-n41A
DC_n3A-n28A-n77A,DC_n3A-n28ADC_n3A-n77ADC_n28A-n77A
DC_n3A-n28A-n77(2A),DC_n3A-n28ADC_n3A-n77ADC_n28A-n77A
DC_n3A-n28A-n78A,DC_n3A-n28ADC_n3A-n78ADC_n28A-n78A
DC_n3A-n28A-n78(2A),DC_n3A-n28ADC_n3A-n78ADC_n28A-n78A
DC_n3A-n28A-n79A,DC_n3A-n28ADC_n3A-n79ADC_n28A-n79A
DC_n3A-n41A-n77A,DC_n3A-n41ADC_n3A-n77ADC_n41A-n77A
DC_n3A-n41A-n79A,DC_n3A-n41ADC_n3A-n79ADC_n41A-n79A
DC_n3A-n67A-n78A,DC_n3A-n78A
DC_n3A-n67A-n78(2A),DC_n3A-n78A
DC_n3A-n77A-n79A,DC_n3A-n77ADC_n3A-n79ADC_n77A-n79A
DC_n3A-n77(2A)-n79A,DC_n3A-n77ADC_n3A-n79ADC_n77A-n79A
DC_n5A-n48A-n66ADC_n5A-n48B-n66A,DC_n5A-n48ADC_n5A-n66ADC_n48A-n66A
DC_n5A-n48(2A)-n66ADC_n5A-n48(A-B)-n66A,DC_n5A-n48ADC_n5A-n66ADC_n48A-n66A
DC_n5A-n48A-n77ADC_n5A-n48A-n77CDC_n5A-n48B-n77ADC_n5A-n48B-n77C,DC_n5A-n48ADC_n5A-n77A
DC_n5A-n48(2A)-n77ADC_n5A-n48(2A)-n77C,DC_n5A-n48ADC_n5A-n77A
DC_n5A-n66A-n77ADC_n5A-n66A-n77C,DC_n5A-n66ADC_n5A-n77ADC_n66A-n77A
DC_n5A-n66(2A)-n77ADC_n5A-n66A-n77(2A)DC_n5A-n66(2A)-n77(2A)DC_n5A-n66(3A)-n77ADC_n5A-n66(3A)-n77(2A)DC_n5A-n66A-n77(3A),DC_n5A-n66ADC_n5A-n77ADC_n66A-n77A
DC_n7A-n20A-n67A,DC_n7A-n20A
DC_n7A-n20A-n78A,DC_n7A-n20ADC_n7A-n78ADC_n20A-n78A
DC_n7A-n20A-n78(2A),DC_n7A-n20ADC_n7A-n78ADC_n20A-n78A
DC_n7A-n28A-n78A,DC_n7A-n28ADC_n7A-n78ADC_n28A-n78A
DC_n7A-n28A-n78(2A),DC_n7A-n28ADC_n7A-n78ADC_n28A-n78A
DC_n7A-n46A-n78ADC_n7A-n46C-n78ADC_n7A-n46D-n78A,DC_n7A-n46ADC_n7A-n78ADC_n46A-n78A
DC_n7A-n46(2A)-n78ADC_n7A-n46(2A)-n78(2A)DC_n7A-n46A-n78(2A)DC_n7A-n46C-n78(2A)DC_n7A-n46D-n78(2A),DC_n7A-n46ADC_n7A-n78ADC_n46A-n78A
DC_n7A-n67A-n78A,DC_n7A-n78A
DC_n7A-n67A-n78(2A),DC_n7A-n78A
DC_n7A-n78A-n102ADC_n7A-n78A-n102BDC_n7A-n78A-n102CDC_n7A-n78A-n102DDC_n7A-n78A-n102E,DC_n7A-n78ADC_n7A-n102ADC_n7A-n102BDC_n7A-n102CDC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n7A-n78(2A)-n102ADC_n7A-n78(2A)-n102BDC_n7A-n78(2A)-n102CDC_n7A-n78(2A)-n102DDC_n7A-n78(2A)-n102EDC_n7A-n78A-n102(2A)DC_n7A-n78(2A)-n102(2A),DC_n7A-n78ADC_n7A-n102ADC_n7A-n102BDC_n7A-n102CDC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n13A-n66A-n77A,DC_n13A-n66ADC_n13A-n77ADC_n66A-n77A
DC_n13A-n66A-n77(2A),DC_n13A-n66ADC_n13A-n77ADC_n66A-n77A
DC_n20A-n67A-n78A,DC_n20A-n78A
DC_n20A-n67A-n78(2A),DC_n20A-n78A
DC_n28A-n41A-n77A,DC_n28A-n41ADC_n28A-n77ADC_n41A-n77A
DC_n28A-n41A-n79A,DC_n28A-n41ADC_n28A-n79ADC_n41A-n79A
DC_n28A-n46A-n78ADC_n28A-n46C-n78ADC_n28A-n46D-n78A,DC_n28A-n46ADC_n28A-n78ADC_n46A-n78A
DC_n28A-n46(2A)-n78ADC_n28A-n46(2A)-n78(2A)DC_n28A-n46A-n78(2A)DC_n28A-n46C-n78(2A)DC_n28A-n46D-n78(2A),DC_n28A-n46ADC_n28A-n78ADC_n46A-n78A
DC_n28A-n77A-n79A,DC_n28A-n77ADC_n28A-n79ADC_n77A-n79A
DC_n28A-n77(2A)-n79A,DC_n28A-n77ADC_n28A-n79ADC_n77A-n79A
DC_n28A-n78A-n102ADC_n28A-n78A-n102BDC_n28A-n78A-n102CDC_n28A-n78A-n102DDC_n28A-n78A-n102E,DC_n28A-n78ADC_n28A-n102ADC_n28A-n102BDC_n28A-n102CDC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n28A-n78(2A)-n102ADC_n28A-n78(2A)-n102BDC_n28A-n78(2A)-n102CDC_n28A-n78(2A)-n102DDC_n28A-n78(2A)-n102EDC_n28A-n78A-n102(2A)DC_n28A-n78(2A)-n102(2A),DC_n28A-n78ADC_n28A-n102ADC_n28A-n102BDC_n28A-n102CDC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n41A-n77A-n79A,DC_n41A-n77ADC_n41A-n79ADC_n77A-n79A
DC_n46A-n48A-n96ADC_n46B-n48A-n96ADC_n46C-n48A-n96ADC_n46D-n48A-n96ADC_n46M-n48A-n96ADC_n46N-n48A-n96ADC_n46A-n48B-n96ADC_n46B-n48B-n96ADC_n46C-n48B-n96ADC_n46D-n48B-n96ADC_n46M-n48B-n96ADC_n46N-n48B-n96ADC_n46A-n48C-n96ADC_n46B-n48C-n96ADC_n46C-n48C-n96ADC_n46D-n48C-n96ADC_n46M-n48C-n96ADC_n46N-n48C-n96ADC_n46A-n48A-n96BDC_n46B-n48A-n96BDC_n46C-n48A-n96BDC_n46D-n48A-n96BDC_n46M-n48A-n96BDC_n46N-n48A-n96B,DC_n46A-n48ADC_n46A-n48BDC_n48A-n96ADC_n48B-n96A
DC_n48A-n66A-n77ADC_n48A-n66A-n77CDC_n48B-n66A-n77ADC_n48B-n66A-n77C,DC_n48A-n66ADC_n66A-n77A
DC_n48(2A)-n66A-n77ADC_n48(2A)-n66A-n77CDC_n48A-n66(2A)-n77A,DC_n48A-n66ADC_n66A-n77A
