NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,
EN-DCConfiguration,EUTRA or NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),IMD order
DC_3A_n38A,3,1712.8,5,25,1807.8,8.2,IMD4
,n38,2616.7,10,50,2616.7,N/A,N/A
DC_3A_n41ADC_3C_n41ADC_3A_SUL_n41A-n80ADC_3C_SUL_n41A-n80ADC_3A-3A_n41A,3,1740,5,25,1835,8.2,IMD4
,n41,2657.5,10,50,2657.5,N/A,N/A
DC_3A_n77ADC_3A_n77(2A)DC_3A_n77(3A)DC_3A_SUL_n77A-n80ADC_3A_n78ADC_3A_SUL_n78A-n80ADC_3A_n78(2A)DC_3A_n78(A-C)DC_3C_n78ADC_3C_n78(2A),3,1740,5,25,1835,26,IMD212
,"n77, n78",3575,10,50,3575,N/A,N/A
DC_4A_n2A,n2,1860,20,502,1940,5,IMD3
,4,1752.5,5,25,2152.5,N/A,N/A
,n2,1868.3,5,25,1948.3,N/A,N/A
,4,1735,5,25,2135,5,IMD5
DC_4A_n5A,n5,838,5,25,883,30,IMD23
,4,1721,5,25,2121,N/A,N/A
DC_4A_n7A,4,1730,5,25,2130,N/A,N/A
,n7,2535,10,50,2655,15,IMD4
DC_5A_n3A,5,838,5,25,883,N/A,N/A
,n3,1771,10,50,1866,4,IMD4
,5,838,5,25,883,24,IMD23
,n3,1721,10,50,1816,N/A,N/A
DC_5_n7,n7,2547,10,50,2667,N/A,N/A
,5,834,5,25,879,12,IMD33
DC_5_n38,5,844,5,25,889,12,IMD33
,n38,2577,10,50,2577,N/A,N/A
DC_5A_n41A,5,839,5,25,884,15.6,IMD33
,n41,2562,10,50,2562,N/A,N/A
DC_5A_n66A,5,838,5,25,883,30,IMD23
,n66,1721,5,25,2121,N/A,N/A
DC_5A_n77A8DC_5A_n77(2A)8DC_5A_n77(3A)8,5,844,5,25,889,8.3,IMD4
,n77,3421,10,50,3421,N/A,N/A
,5,826.5,5,25,871.5,5.5,IMD5
,n77,4177.5,10,50,4177.5,N/A,N/A
DC_5A_n78ADC_5A_n78(2A)DC_5A_n78(A-C)DC_5A_n78CDC_5A_SUL_n78A-n89A,5,844,5,25,889,8.3,IMD4
,n78,3421,10,50,3421,N/A,N/A
DC_7_n3DC_7-7_n3,7,2535,10,50,2655,13,IMD4
,n3,1730,5,25,1825,N/A,N/A
DC_7_n5,7,2547,10,50,2667,N/A,N/A
,n5,834,5,25,879,12,IMD33
DC_7A_n20A,7,2512,10,50,2632,N/A,N/A
,n20,851,5,25,810,12,IMD33
DC_7A_n26ADC_7C_n26A,7,2547,10,50,2667,N/A,N/A
,n26,834,5,25,879,12,IMD33
,7,2567.5,5,25,2687.5,2.5,IMD5
,n26,816.5,5,25,861.5,N/A,N/A
DC_7A_n40ADC_7A-7A_n40A,7,2510,5,25,2630,23,IMD3
,n40,2390,10,50,2390,N/A,N/A
DC_7A_n66ADC_7A-7A_n66ADC_7C_n66A,7,2535,10,50,2655,15,IMD4
,n66,1730,5,25,2130,N/A,N/A
DC_7A_n77ADC_7A-7A_n77(2A)DC_7A-7A_n77(3A)DC_7A_n77(2A)DC_7A_n77(3A)DC_7C_n77ADC_7C_n77(2A),7,2540,5,25,2660,7.1,IMD4
,n77,3870,10,50,3870,N/A,N/A
DC_7_n79DC_7-7_n79,7,2510,5,25,2630,[8],IMD4
,n79,4900,40,216,4900,N/A,N/A
DC_8A_n1ADC_8B_n1A,8,887.5,5,25,932.5,N/A,N/A
,n1,1965,5,25,2155,6,IMD4
DC_8A_n3ADC_8B_n3A,8,900,5,25,945,8,IMD43
,n3,1755,10,50,1850,N/A,N/A
,8,897.5,5,25,942.5,N/A,N/A
,n3,1747.5,10,50,1842.5,6.4,IMD5
DC_8A_n20A,n20,849.5,5,25,808.5,25,IMD33
,8,890.5,5,25,935.5,N/A,N/A
,n20,847.5,5,25,806.5,N/A,N/A
,8,892.5,5,25,937.5,25,IMD33
DC_8A_n38A,8,887.5,5,25,932.5,8.1,IMD5
,n38,2617.5,5,25,2617.5,N/A,N/A
DC_8A_n41ADC_8A_SUL_n41A-n81A,8,882.5,5,25,927.5,12.1,IMD33
,n41,2685,10,50,2685,N/A,N/A
DC_8A_n77ADC_8B_n77ADC_8B_n77(2A)DC_8A_n78ADC_8B_n78ADC_8A_n78(2A)DC_8A_n77(3A)DC_8A_SUL_n78A-n81A,8,897.5,5,25,942.5,8.3,IMD4
,"n77, n78",3635,10,50,3635,N/A,N/A
"DC_8A_n79A,DC_8A_n79C,DC_8A_SUL_n79A-n81A",8,897.5,5,25,942.5,4.8,IMD5
,n79,4532.5,40,216,4532.5,N/A,N/A
DC_11A_n28A,11,1430.5,5,25,1478.5,N/A,N/A
,n28,743,5,25,798,10.4,IMD4
DC_12A_n77ADC_12A_n77(2A),12,702,5,20,732,5.5,IMD5
,n77,3540,10,50,3540,N/A,N/A
DC_12A_n78A,12,710,5,25,740,5.5,IMD5
,n78,3580,10,50,3580,N/A,N/A
DC_13A_n5A,13,783,5,25,752,N/A,N/A
,n5,828,5,25,873,25,IMD3
DC_13A_n7ADC_13A_n7(2A),13,784.5,5,25,753.5,N/A,N/A
,n7,2520,40,216,2640,2.5,IMD5
DC_13A_n77A,13,784.5,5,20,753.5,5.5,IMD5
,n77,3891.5,10,50,3891.5,N/A,N/A
DC_14A_n5A,14,791,5,25,761,N/A,N/A
,n5,836,5,25,881,25,IMD3
,14,795.5,5,25,765.5,25,IMD3
,n5,826.5,5,25,871.5,N/A,N/A
DC_14A_n77ADC 14A_n77(2A),14,795.5,5,15,765.5,5.5,IMD5
,n77,3947.5,10,50,3947.5,N/A,N/A
DC_18A_n3A,18,823,5,25,868,N/A,N/A
,n3,1721,5,25,1816,4,IMD4
DC_18A_n77A10,18,827.5,5,25,872.5,8.4,IMD410
,n77,3355,10,50,3355,N/A,N/A
,18,817.5,5,25,862.5,4.5,IMD510
,n77,4130,10,50,4130,N/A,N/A
DC_18A_n78A,18,827.5,5,25,872.5,8.4,IMD411
,n78,3355,10,50,3355,N/A,N/A
DC_19A_n77A,19,836.5,5,25,881.5,13.6,IMD43
,n77,3391,10,50,3391,N/A,N/A
DC_19A_n78A,19,836.5,5,25,881.5,13.6,IMD4
,n78,3391,10,50,3391,N/A,N/A
DC_20A_n3A,20,840,5,25,799,N/A,N/A
,n3,1775,5,25,1870,4,IMD4
,20,847,5,25,806,9,IMD4
,n3,1735,5,25,1830,N/A,N/A
DC_20_n7,20,851,5,25,810,12,IMD33
,n7,2512,10,50,2632,N/A,N/A
DC_20A_n8A,20,849.5,5,25,808.5,25,IMD33
,n8,890.5,5,25,935.5,N/A,N/A
,20,847.5,5,25,806.5,N/A,N/A
,n8,892.5,5,25,937.5,25,IMD33
DC_20A_n38A,20,N/A,N/A,N/A,N/A,N/A,IMD5
,n38,N/A,N/A,N/A,N/A,N/A,N/A
DC_20_n41,20,851,5,25,810,12.1,IMD33
,n41,2512,10,50,2512,N/A,N/A
DC_20A_n77A,20,850,5,25,809,11,IMD4
,n77,3359,10,50,3359,N/A,N/A
,20,840,5,25,799,6.5,IMD5
,n77,4159,10,50,4159,N/A,N/A
DC_20A_n78ADC_20A_n78C7DC_20A_n78(2A)DC_20A_SUL_n78A-n82A,20,850,5,25,809,11,IMD4
,n78,3359,10,50,3359,N/A,N/A
DC_21A_n28A7,21,1450.4,5,25,1498.4,2.5,IMD5
,n28,735.5,5,25,790.5,N/A,N/A
DC_21A_n79A,21,1457.5,5,25,1505.5,18.4,IMD3
,n79,4420.5,40,216,4420.5,N/A,N/A
DC_25A_n77ADC_25A-25A_n77A,25,1855,5,25,1935,26,IMD212
,n77,3790,10,50,3790,N/A,N/A
,25,1885,5,25,1965,5,IMD5
,n77,3810,10,50,3810,N/A,N/A
DC_25A_n78A,25,1855,5,25,1935,26,IMD212
DC_25A-25A_n78A,n78,3790,10,50,3790,N/A,N/A
,25,1875,5,25,1955,5,IMD5
,n78,3790,10,50,3790,N/A,N/A
DC_26A_n41A,26,839,5,25,884,15.6,IMD33
,n41,2562,10,50,2562,N/A,N/A
DC_26A_n77ADC_26A_n78ADC_26A_n78(2A),26,836.5,5,25,881.5,11.1,IMD4
,"n77, n78",3391,10,50,3391,N/A,N/A
DC_28_n50,28,730,10,50,775,15.3,IMD212
,n50,1500,10,50,1500,N/A,N/A
,28,740,10,50,785,0.5,IMD5
,n50,1500,10,50,1500,N/A,N/A
DC_28A_n51A,28,742.3,5,25,797.3,5,IMD4
,n51,1429.5,5,25,1429.5,N/A,N/A
DC_28A_n77ADC_28C_n77ADC_28C_n77(2A)DC_28A_n78ADC_28A_n78(2A)DC_28A_SUL_n78A-n83A,28,705.5,5,25,760.5,5.5,IMD5
,"n77, n78",3582.5,10,50,3582.5,N/A,N/A
DC_30A_n77ADC_30A_n77(2A),30,2310,5,25,2355,8.0,IMD4
,n77,3487.5,10,50,3487.5,N/A,N/A
DC_38A_n3A,n3,1713,5,25,1808,8.2,IMD4
,38,2617,5,25,2617,N/A,N/A
DC_38A_n8A,38,2617.5,5,25,2617.5,N/A,N/A
,n8,887.5,5,25,932.5,8.1,IMD5
DC_40A_n7A,n7,2510,5,25,2630,23,IMD3
,40,2390,5,25,2390,N/A,N/A
DC_41A_n3ADC_41C_n3A,n3,1740,5,25,1835,8.2,IMD4
,41,2657.5,5,25,2657.5,N/A,N/A
DC_42_n3,42,3575,10,50,3575,N/A,N/A
,n3,1740,5,25,1835,26,IMD212
DC_42_n28,42,3582.5,10,50,3582.5,N/A,N/A
,n28,705.5,5,25,760.5,5.5,IMD5
DC_48A_n2ADC_48C_n2ADC_48D_n2ADC_48E_n2A,48,3625,20,100,3625,N/A,N/A
,n2,1852.5,5,25,1932.5,12,IMD4
DC_48A_n12A,48,3557.5,10,50,3557.5,N/A,N/A
,n12,705.5,5,25,735.5,5.5,IMD5
DC_48A_n25ADC_48C_n25ADC_48D_n25A,48,3625,20,100,3625,N/A,N/A
,n25,1852.5,5,25,1932.5,12,IMD4
DC_48A_n66ADC_48C_n66ADC_48D_n66A,48,3630,20,100,3630,N/A,N/A
,n66,1715,5,25,2115,4,IMD5
"DC_66A_n2A,DC_66A_n2(2A)DC_66A-66A_n2A",66,1775,5,25,2175,N/A,N/A
,n2,1855,5,25,1935,20,IMD3
,66,1750,5,25,2150,4,IMD5
,n2,1883.3,5,25,1963.3,N/A,N/A
DC_66A_n5A,n5,838,5,25,883,30,IMD23
,66,1721,5,25,2121,N/A,N/A
DC_66A_n7ADC_66A-66A_n7ADC_66A_n7(2A)DC_66A-66A_n7(2A),66,1730,5,25,2130,N/A,N/A
,n7,2535,10,50,2655,15,IMD4
DC_66A_n25A,66,1775,5,25,2175,N/A,N/A
,n25,1855,5,25,1935,20,IMD3
,66,1712.5,5,25,2112.5,23,IMD3
,n25,1912.5,5,25,1992.5,N/A,N/A
DC_66A_n46A,66,1735,5,25,2135,12.0,IMD3
,n46,5605,20,100,5605,N/A,N/A
DC_66A_n48A,66,1715,5,25,2115,4,IMD5
,n48,3630,20,100,3630,N/A,N/A
DC_66A_n71A,66,1750,5,25,2150,5,IMD4
,n71,675,5,25,629,N/A,N/A
DC_66A_n77ADC_66A_n77(2A)DC_66A-66A_n77ADC_66A-66A_n77(2A)DC_66A-66A-66A_n77ADC_66A-66A-66A_n77(2A),66,1775,5,25,2175,31.0,IMD2
,n77,3950,10,50,3950,N/A,N/A
,66,1760,5,25,2160,5.0,IMD5
,n77,3720,10,50,3720,N/A,N/A
DC_66A_n78A,66,1730,5,25,2150,5.0,IMD5
,n78,3660,10,50,3660,N/A,N/A
DC_68A_n77A,68,705.5,5,25,760.5,5.5,IMD5
,n77,3582.5,10,50,3582.5,N/A,N/A
DC_68A_n78A,68,705.5,5,25,760.5,5.5,IMD5
,n78,3582.5,10,50,3582.5,N/A,N/A
DC_71A_n38A,71,665,5,25,619,11,IMD4
,n38,2614,10,50,2614,N/A,N/A
DC_71A_n41A,71,666,5,25,620,9.5,IMD4
,n41,2618,10,50,2618,N/A,N/A
DC_71A_n66A,71,675,5,25,629,N/A,N/A
,n66,1750,5,25,2150,5,IMD4
DC_71A_n77A8DC_71A_n77(2A)8,71,671,5,25,625,5.5,IMD5
,n77,3309,10,50,3309,N/A,N/A
DC_71A_n78A,71,681.5,5,25,635.5,5.5,IMD5
DC_71A_n78(2A),n78,3361.5,10,50,3361.5,N/A,N/A
DC_106A_n41ADC_106A_n41C DC_106A_n41(2A),106,898.5,3,25,937.5,[10],IMD5
,n41,2656.5,10,50,N/A,N/A,N/A
DC_106A_n48ADC_106A_n48C DC_106A_n48(2A),106,898.5,3,25,937.5,[10],IMD4
,n48,3633,10,50,N/A,N/A,N/A
"NOTE 1:E-UTRA carrier shall be set to min(+20 dBm, PCMAX_L_E-UTRA,c) and NR carrier shall be set to min(+20 dBm, PCMAX_L,f,c,NR) as defined in clause 6.2B.4.1.3.NOTE 2:RBstart = 0NOTE 3:This band is subject to IMD5 also which MSD is not specified.NOTE 4:VoidNOTE 5:VoidNOTE 6: VoidNOTE 7:The frequency range in band n28 is restricted for this band combination to 728 – 738 MHz for the UL and 783 – 793 MHz for the DL. This band is subject to IMD2, IMD4 and IMD5 fall in n28 also which MSD is not specified. In addition, this band is subject to IMD4 fall in B21 also which MSD is not specified.NOTE 8:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 from TS 38.101-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 9:  This test configuration ensures the B3 self-interference would not interrupt the testing.NOTE 10:For a UE which supports this band combination only when the Band n77 frequency range restriction of 3400 - 4100 MHz in Japan applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 11:For a UE which supports this band combination only when the Band n78 frequency range restriction of 3400 - 3800 MHz in Japan applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 12:This band is subject to IMD4 also which MSD is not specified.",,,,,,,
