UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
38,n1,2580,20,15,100 (RBstart=0),2167.5,5,1.9,>ACLR2
39,n41,1910,20,15,100 (RBstart=0),2501,10,[3.3],>ACLR2
n40,1,2350,100,30,270 (RBstart=0),2167.5,5,[21.9],ACLR2
n40,7,2350,100,30,270 (RBstart=3),2622.5,5,22.3,>ACLR2
40,n1,2310,20,15,100 (RBstart=0),2167.5,5,8.3,>ACLR2
40,n7,2390,20,15,100 (RBstart=0),2622.5,5,[22.3],>ACLR2
n41,1,2546,100,30,270 (RBstart=0),2167.5,5,9.1,>ACLR2
n41,2,2546,100,30,270 (RBstart=0),1987.5,5,0.6,>ACLR2
n41,3,2546,100,30,270 (RBstart=0),1877.5,5,0.6,>ACLR2
n41,4,2546,100,30,270 (RBstart=0),2152.5,5,3.5,>ACLR2
n41,25,2546,100,30,270 (RBstart=0),1992.5,5,0.6,>ACLR2
n41,39,2546,100,30,270 (RBstart=3),1917.5,5,1.6,>ACLR2
n41,40,2546,100,30,270 (RBstart=0),2397.5,5,31.4,ACLR2
n41,661,2546,100,30,270 (RBstart=0),2177.5,5,3.5,>ACLR2
41,n1,2506,20,15,100 (RBstart=0),2167.5,5,9.1,>ACLR2
41,n3,2506,20,15,100 (RBstart=0),1877.5,5,0.6,>ACLR2
41,n77,2680,20,15,100 (RBstart=0),3305,10,8.3,>ACLR2
41,n78,2680,20,15,100 (RBstart=0),3305,10,8.3,>ACLR2
n46,48,5190,80,30,216 (RBstart=0),3697.5,5,13.3,>ACLR2
48,n46,3690,20,15,100 (RBstart=0),5160,20,7,>ACLR2
n50,3,1487,60,30,162 (RBstart=0),1807.5,5,2.5,>ACLR2
68,n20,720.5,15,15,25 (RBstart=50),793.5,5,5.7,>ACLR2
n71,12,688,20,15,20 (RBstart=86),731.5,5,8.2,>ACLR2
n71,28,688,20,15,20 (RBstart=86),760.5,5,6.5,>ACLR2
71,n12,688,20,15,20 (RBstart=80),731.5,5,8.2,ACLR2
n77,71,3350,100,30,270 (RBstart=0),2687.5,5,4.5,>ACLR2
n77,411,3350,100,30,270 (RBstart=0),2687.5,5,4.5,>ACLR2
n78,71,3350,100,30,270 (RBstart=0),2687.5,5,4.5,>ACLR2
n78,38,3350,100,30,270 (RBstart=0),2617.5,5,3.3,>ACLR2
n78,401,3350,100,30,270 (RBstart=0),2397.5,5,4.5,>ACLR2
n78,411,3350,100,30,270 (RBstart=0),2687.5,5,4.5,>ACLR2
n78,46,3750,100,30,270 (RBstart=3),5160,20,13.5,>ACLR2
n79,426,4550,100,30,270 (RBstart=0),3597.5,5,2.6,>ACLR2
n84,3,1945,50,15,128 (RBstart=0),1877.5,5,19.7,ACLR1
n105,28,693,20,15,20 (RBstart=86),760.5,5,6.9,>ACLR2
NOTE 1:Applicable only when harmonic mixing MSD for this combination is not applied.NOTE 2:The B41 requirements are modified by -0.5dB when carrier frequency of the assigned E-UTRA channel bandwidth is within 2515 – 2690 MHz.NOTE 3:Void.NOTE 4:The NR DL band should be configured using the lowest SCS that is compatible with the specified DL CBW.NOTE 5:Void.NOTE 6:The requirements only apply for UEs supporting inter-band DC_42_n79 ENDC with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band 42 with a n77 implementation only. These restrictions are applicable to related higher order configurations.NOTE 7: The MSD exceptions are applicable to the case that interference of UL band 3rd order IMD product falls into the affected DL channels.,,,,,,,,,
