Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)6",,,,
DC_1-3-28_n7-n78,0.7,0.7,0.6,0.7,0.8
DC_1-3-28-40_n78,0.5,0.5,0.6,0.5,0.8
DC_1-3-28_n40-n71,0.5,0.5,1.1,0.6,1.1
DC_1-3-28_n40-n77,0.5,0.5,0.5,0.3,0.8
DC_1-3-28_n40-n78,0.5,0.6,0.5,0.35,0.85
DC_1-3-28-42_n77,0.6,0.6,0.6,N/A,0.8
DC_1-3-28-42_n78,0.6,0.6,0.6,N/A,0.8
DC_1-3-28-42_n79,0.6,0.6,0.6,N/A,-
DC_1-3-28_n71-n77,0.6,0.6,1.1,1.1,0.8
DC_1-3_n28-n77-n79,0.6,0.6,0.6,0.8,0.5
DC_1_n3-n28-n77-n79,0.6,0.6,0.6,0.8,0.8
DC_1-3_n28-n78-n79,0.3,0.6,0.6,0.8,0.5
DC_1-3-32_n28-n78,0.3,0.6,N/A,0.6,0.8
DC_1-3-38_n7-n78,0.7,0.7,N/A,N/A,0.8
DC_1-3-38_n28-n78,0.5,0.6,0.3,0.5,0.8
DC_1-3_n40-n78-n105,0.5,0.6,0.5,0.8,0.5
DC_1-3-41_n1-n41DC_1-3-3-41_n1-n41,0.5,0.5,0.33 / 0.84,0.5,0.33 / 0.84
DC_1-3-41_n1-n78DC_1-3-3-41_n1-n78,0.5,0.5,0.33 / 0.84,0.5,0.8
DC_1-3-41_n3-n41,0.5,0.5,0.33 / 0.84,0.5,0.33 / 0.84
DC_1-3-41_n3-n77,0.6,0.6,0.5,0.6,0.8
DC_1-3-41_n3-n78,0.6,0.6,0.5,0.6,0.8
DC_1-3-41_n28-n41,0.3,0.3,0.33 / 0.84,0.6,0.33 / 0.84
DC_1-3-41_n28-n77,0.6,0.6,0.33 / 0.84,0.5,0.8
DC_1-3-41_n28-n78,0.5,0.6,0.33 / 0.84,0.5,0.8
DC_1-3-41_n41-n77,0.6,0.6,0.5,0.5,0.8
DC_1-3-41_n41-n78,0.6,0.6,0.5,0.5,0.8
DC_1-3-41-42_n77,0.6,0.6,0.5,N/A,0.8
DC_1-3-41-42_n78,0.6,0.6,0.5,N/A,0.8
DC_1-3-41-42_n79,0.6,0.6,0.5,N/A,-
DC_1-3-42_n28-n77,0.6,0.6,0.8,0.8,0.8
DC_1-5-7_n28-n78,0.6,0.6,0.6,0.6,0.9
DC_1-5-7_n40-n77DC_1-5-7-7_n40-n77,0.6,0.6,0.5,0.35,0.85
DC_1-5-7_n40-n78DC_1-5-7-7_n40-n78,0.6,0.6,0.5,0.35,0.85
DC_1-7-8_n7-n78,0.6,0.6,0.6,0.6,0.8
DC_1-7-8-20 _n28,0.5,0.6,0.6,0.6,0.6
DC_1-7-8-20_n78,0.6,0.7,0.6,0.6,0.8
DC_1-7-8_n28-n78,0.6,0.6,0.6,0.6,0.8
DC_1-7-8-32_n78,0.7,0.7,0.6,N/A,-
DC_1-7-8-40_n78,0.6,0.5,0.6,0.35,0.85
DC_1-7-20_n3-n38,0.6,0.6,0.6,0.6,0.5
DC_1-7-20_n3-n78,0.6,0.7,0.4,0.5,0.8
DC_1-7-20_n8-n78,0.6,0.6,0.6,0.6,0.8
DC_1-7-20-28 _n3,0.6,0.6,0.6,0.6,0.6
DC_1-7-20_n28-n78,0.6,0.7,0.6,0.6,0.8
DC_1-7-20-32_n3,0.7,0.7,0.3,N/A,0.7
DC_1-7-20-32_n8,0.7,0.7,0.6,N/A,0.6
DC_1-7-20-32_n28,0.5,0.6,0.6,N/A,0.7
DC_1-7-20-32_n78,0.6,0.7,0.4,N/A,0.8
DC_1-7-20-38_n3,0.6,0.5,0.5,0.5,0.6
DC_1-7-20-38_n8,0.5,N/A,0.6,N/A,0.6
DC_1-7-20-38_n78,0.6,0.7,0.6,-,0.8
DC_1-7-28_n3-n78,0.7,0.7,0.6,0.7,0.6
DC_1-7-28_n5-n40,0.6,0.8,0.6,0.6,0.9
DC_1-7-28_n7-n78,0.6,0.6,0.6,0.6,0.8
DC_1-7-28-32_n3,0.6,0.6,0.6,N/A,0.6
DC_1-7-32_n28-n78,0.5,0.6,N/A,0.7,0.8
DC_1-7-28_n40-n78,0.6,0.5,0.3,0.5,0.8
DC_1-7-38_n3-n78,0.6,N/A,N/A,0.6,0.8
DC_1-7_n40-n78-n105,0.5,0.6,0.5,0.8,0.5
DC_1-8-(n)3-n77,0.6,0.6,0.8,0.8,0.8
DC_1-8-(n)3-n78,0.6,0.6,0.8,0.8,0.8
DC_1-8_n3-n28-n77,0.6,0.6,0.8,0.6,0.8
DC_1-8_n3-n28-n79,0.6,0.6,0.6,0.6,0.8
DC_1-8_n3-n77-n79,0.6,0.6,0.8,0.8,0.8
DC_1-8-11_n3-n28,0.3,0.6,0.8,0.9,0.6
DC_1-8-11_n3-n77,0.6,0.6,0.8,0.9,0.8
DC_1-8-11_n3-n79,0.3,0.3,0.8,0.9,0.8
DC_1-8-11_n28-n77,0.6,0.6,0.4,0.6,0.8
DC_1-8-11_n77-n79,0.6,0.6,0.4,0.8,0.5
DC_1-8-20-28_n78,0.6,0.6,0.6,0.6,0.8
DC_1-8-20-38_n28,0.6,0.6,0.6,0.5,0.6
DC_1-8-20-38_n78,0.6,0.6,0.6,0.5,0.8
DC_1-8-20-40_n28,0.6,0.6,0.6,0.5,0.6
DC_1-8-28_n40-n71,0.3,0.7,1.1,0.3,1.1
DC_1-8-28_n40-n77,0.6,0.6,0.5,0.3,0.8
DC_1-8-28_n71-n77,0.6,0.6,1.1,1.1,0.8
DC_1-8_n28-n77-n79,0.6,0.6,0.6,0.8,0.8
DC_1-8-41_n1-n41,0.6,0.3,0.6,0.6,0.6
DC_1-8-41_n1-n78,0.6,0.6,0.6,0.6,0.8
DC_1-8-42_n3-n28,0.3,0.6,0.8,0.6,0.8
DC_1-8-42_n3-n77,0.6,0.6,0.8,0.8,0.8
DC_1-8-42_n28-n77,0.6,0.6,0.8,0.8,0.8
DC_1-11_n3-n28-n77,0.6,0.8,0.9,0.6,0.8
DC_1-11_n3-n77-n79,0.6,0.8,0.9,0.8,0.8
DC_1-18-41_n3-n77,0.6,0.3,0.33 / 0.84,0.6,0.8
DC_1-18-41_n3-n78,0.6,0.3,0.33 / 0.84,0.6,0.8
DC_1-19-21-42_n77,0.3,0.3,0.4,0.8,0.8
DC_1-19-21-42_n78,0.3,0.3,0.4,N/A,0.8
DC_1-19-21-42_n79,0.3,0.3,0.4,N/A,-
DC_1-19-42_n77-n79,0.6,0.3,N/A,0.8,-
DC_1-19-42_n78-n79,0.3,0.3,N/A,0.8,-
DC_1-20-28-32_n3,0.5,0.6,0.6,N/A,0.5
DC_1-20-38_n3-n78,0.5,0.6,0.5,0.6,0.8
DC_1-20-41_n1-n78,0.5,0.3,0.5,0.5,0.8
DC_1-21-28-42_n77,0.6,0.4,0.6,N/A,0.8
DC_1-21-28-42_n78,0.3,0.4,0.6,N/A,0.8
DC_1-21-28-42_n79,0.3,0.4,0.6,N/A,-
DC_1-21_n28-n77-n79,0.6,0.4,0.6,0.8,0.5
DC_1-21_n28-n78-n79,0.6,0.4,0.6,0.8,0.5
DC_1-21-42_n77-n79,0.6,0.4,N/A,0.8,-
DC_1-28-32_n40-n41,0.6,0.6,N/A,0.9,0.8
DC_1-42_n3-n28-n77,0.6,0.8,0.8,0.8,0.8
DC_1-21-42_n78-n79,0.3,0.4,N/A,0.8,-
DC_2-5-7_n2-n66,0.5,0.3,0.5,0.5,0.5
DC_2-5-7_n2-n77,0.6,0.6,0.6,0.3,0.8
DC_2-5-7_n2-n78,0.6,0.6,0.6,0.3,0.8
DC_2-5-7-66_n2,0.5,0.3,0.5,0.5,0.5
DC_2-5-7-66_n7DC_2-5-7-66-66_n7,0.5,0.3,0.5,0.5,0.5
DC_2-5-7-(n)66DC_2-5-7-7-(n)66DC_2-5-7-66_n66,0.5,0.3,0.5,0.5,0.5
DC_2-5-7-66_n77DC_2-5-7_n66-n77,0.6,0.6,0.6,0.6,0.8
DC_2-5-7-66_n78DC_2-5-7_n66-n78,0.6,0.6,0.6,0.6,0.6
DC_2-5-66_n2-n41,0.5,0.6,0.5,0.5,0.81 / 1.32
DC_2-5-66_n2-n77DC_2-5-66-66_n2-n77,0.6,0.6,0.6,0.6,0.8
DC_2-5-66_n2-n78,0.6,0.6,0.6,0.6,0.8
DC_2-5-66_n5-n77DC_2-5-66-66_n5-n77,0.6,0.6,0.6,0.6,0.8
DC_2-5-66_n41-n66,0.6,0.6,0.81 / 1.32,0.41 / 0.92,0.81 / 1.32
DC_2-5-66_n41-n77,0.6,0.6,0.81 / 1.32,0.81 / 1.32,0.8
DC_2-5-66_n41-n78,0.6,0.5,0.81 / 1.32,0.41 / 0.92,0.8
DC_2-5-30-66_n2,0.5,0.3,0.3,0.5,0.5
DC_2-5-30-66_n66,0.5,0.3,0.3,0.5,0.5
DC_2-5-30-66_n77,0.6,0.6,0.3,0.6,0.8
DC_2-5-66_n66-n77,0.5,0.3,0.5,0.5,0.8
DC_2-7-12_n2-n77,0.6,0.6,0.6,0.5,0.8
DC_2-7-12_n2-n66,0.5,0.5,0.8,0.5,0.5
DC_2-7-12_n2-n78,0.6,0.6,0.6,0.5,0.6
DC_2-7-12-66_n2,0.5,0.5,0.8,0.5,0.5
DC_2-7-12-66_n66,0.6,0.8,0.5,0.8,0.8
DC_2-7-12-66_n77DC_2-7-12_n66-n77,0.6,0.8,0.5,1,0.8
DC_2-7-12-66_n78DC_2-7-12_n66-n78,0.6,0.6,0.6,0.6,0.6
DC_2-7-13_n25-n66,0.5,0.5,0.3,0.5,0.5
DC_2-7-13-(n)66DC_2-7-7-13-(n)66DC_2-7-13-66_n66,0.5,0.5,0.3,0.5,0.5
DC_2-7-28-66_n7,0.5,0.5,0.6,0.5,0.5
DC_2-7-28-66_n66,0.5,0.5,0.6,0.5,0.5
DC_2-7-29-66_n78DC_2-7-7-29-66_n78,0.6,0.5,N/A,0.6,0.8
DC_2-7-66_n2-n66,0.5,0.5,0.5,0.5,0.5
DC_2-7-66_n2-n71,0.5,0.5,0.5,0.5,0.3
DC_2-7-66_n2-n77,0.6,0.5,0.6,0.5,0.8
DC_2-7-66_n2-n78,0.6,0.5,0.6,0.5,0.8
DC_2-7-66_n25-n66,0.5,0.5,0.5,0.5,0.5
DC_2-7-66_n66-n71,0.5,0.5,0.5,0.5,0.6
DC_2-7-66_n66-n77,0.6,0.5,0.6,0.6,0.8
DC_2-7-(n)66-n78DC_2-7-66_n66-n78DC_2-7-7-(n)66-n78DC_2-7-7-66_n66-n78,0.6,0.5,0.6,0.6,0.8
DC_2-7-66-71_n2,0.5,0.5,0.5,0.3,0.5
DC_2-7-66-71_n66,0.5,0.5,0.5,0.6,0.5
DC_2-7-66-71_n77DC_2-7-66_n71-n77,0.6,0.6,0.6,0.6,0.8
DC_2-7-66-71_n78DC_2-7-66_n71-n78,0.6,0.6,0.6,0.6,0.6
DC_2-7-71_n2-n66,0.5,0.5,0.3,0.5,0.5
DC_2-7-71_n2-n77,0.6,0.6,0.6,0.5,0.8
DC_2-7-71_n2-n78,0.6,0.6,0.6,0.5,0.8
DC_2-7-71_n66-n77,0.6,0.6,0.6,0.5,0.8
DC_2-7-71_n66-n78,0.6,0.6,0.6,0.5,0.8
DC_2-12-30-66_n2,0.5,0.8,0.3,0.5,0.5
DC_2-12-30-66_n66,0.5,0.8,0.3,0.5,0.5
DC_2-12-30-66_n77,0.6,0.8,0.3,0.6,0.8
DC_2-12-66_n2-n41,0.5,0.8,0.5,0.5,0.51 / 12
DC_2-12-66_n2-n66,0.5,0.8,0.5,0.5,0.5
DC_2-12-66_n2-n77,0.6,0.3,0.6,0.6,0.8
DC_2-12-66_n2-n78,0.6,0.3,0.6,0.6,0.8
DC_2-12-66_n66-n77,0.6,0.3,0.6,0.6,0.8
DC_2-13-66_n2-n77DC_2-13-66-66_n2-n77,0.6,0.3,0.6,0.6,0.8
DC_2-13-66_n5-n77DC_2-2-13-66_n5-n77DC_2-13-66-66_n5-n77,0.6,0.5,0.6,0.6,0.8
DC_2-13-66_n66-n77DC_2-2-13-66_n66-n77,0.6,0.3,0.6,0.6,0.8
DC_2-14-30-66_n2,0.5,0.3,0.3,0.5,0.5
DC_2-14-30-66_n66,0.5,0.3,0.3,0.5,0.5
DC_2-14-30-66_n77,0.6,0.6,0.3,0.6,0.8
DC_2-29-30-66_n2,0.5,N/A,0.3,0.5,0.5
DC_2-29-30-66_n66,0.5,N/A,0.3,0.5,0.5
DC_2-29-30-66_n77,0.6,N/A,0.3,0.6,0.8
DC_2-30-66-(n)5,0.5,0.3,0.3,0.5,0.3
DC_2-46-66_n41-n71,0.5,N/A,0.5,0.41 / 0.92,0.6
DC_2-66-71_n2-n41,0.5,0.5,0.6,0.5,0.41 / 0.92
DC_2-66-71_n2-n66,0.5,0.5,0.3,0.5,0.5
DC_2-66-71_n2-n77,0.5,0.5,0.3,0.5,0.8
DC_2-66-71_n2-n78,0.5,0.5,0.3,0.5,0.5
DC_2-66-71_n66-n77,0.5,0.5,0.3,0.5,0.8
DC_3-5-7_n28-n78,0.6,0.6,0.6,0.6,0.9
DC_3-5-7_n40-n77DC_3-5-7-7_n40-n77,0.6,0.6,0.5,0.55,0.85
DC_3-5-7_n40-n78DC_3-5-7-7_n40-n78,0.6,0.6,0.5,0.55,0.85
DC_3-7_n1-n40-n78,0.2,0.3,0.2,0.8,0.5
DC_3-7_n1-n75-n78,0.7,0.7,0.7,-,0.8
DC_3-7-8_n1-n40,0.5,0.8,0.6,0.6,0.9
DC_3-7-8_n1-n78DC_3-3-7-8_n1-n78DC_3-7-7-8_n1-n78DC_3-3-7-7-8_n1-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7_n1-n8-n78DC_3-3-7_n1-n8-n78DC_3-7-7_n1-n8-n78DC_3-3-7-7_n1-n8-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-8_n7-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-8-20_n1,0.6,0.6,0.6,0.6,0.6
DC_3-7-8-20_n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-8_n28-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-8-32_n1,0.6,0.7,0.6,N/A,0.7
DC_3-7-8-32_n78,0.6,0.6,0.6,N/A,0.8
DC_3-7-8-40_n78,0.6,0.5,0.6,0.55,0.85
DC_3-7-8_n40-n78,0.6,0.5,0.6,0.55,0.85
DC_3-7-20_n1-n75,0.7,0.7,0.3,0.7,N/A
DC_3-7-20_n1-n78,0.6,0.7,0.6,0.6,0.8
DC_3-7-20_n8-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-20-28_n1,0.6,0.6,0.6,0.6,0.6
DC_3-7-20_n28-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-20-28_n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-20-32_n1,0.7,0.7,0.3,N/A,0.7
DC_3-7-20-32_n78,0.6,0.6,0.3,N/A,0.8
DC_3-7-20-38_n78,0.6,0.6,0.6,0.5,0.8
DC_3-7-28_n1-n40,0.6,0.8,0.6,0.6,0.9
DC_3-7-28_n1-n78,0.7,0.7,0.6,0.7,0.6
DC_3-7-28_n3-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-28_n5-n40,0.6,0.8,0.6,0.6,0.9
DC_3-7-28_n7-n78,0.6,0.6,0.6,0.6,0.8
DC_3-7-28_n40-n78,0.6,0.5,0.3,0.5,0.8
DC_3-7-32_n1-n28,0.6,0.6,N/A,0.6,0.7
DC_3-7-32_n1-n78,0.3,0.3,N/A,0.3,0.5
DC_3-7-32_n28-n78,0.6,0.5,N/A,0.3,0.8
DC_3-7-40_n1-n78,0.6,0.5,0.35,0.6,0.85
DC_3-8-11_n28-n77,0.8,0.6,0.9,0.6,0.8
DC_3-8-20-28_n1,0.2,0.2,0.2,0.2,0.2
DC_3-8-20_n1-n78,0.6,0.6,0.6,0.3,0.8
DC_3-8-20-38_n1,0.2,0.2,0.2,0.5,0.2
DC_3-8-20-38_n28,0.2,0.2,0.2,0.5,0.2
DC_3-8-20-40_n1,0.2,0.2,0.2,0.5,0.2
DC_3-8-20-40_n28,0.2,0.2,0.2,0.5,0.2
DC_3-8-20-40_n78,0.2,0.2,0.2,0.5,0.8
DC_3-8-28-38_n1,0.2,0.2,0.2,0.5,0.2
DC_3-8-28-40_n1,0.2,0.2,0.2,0.5,0.2
DC_3-8-20-28_n78,0.2,0.2,0.2,0.2,0.5
DC_3-8-28_n40-n71,0.3,0.7,1.1,0.3,1.1
DC_3-8-28_n40-n77,0.6,0.6,0.5,0.3,0.8
DC_3-8-28_n71-n77,0.6,0.6,1.1,1.1,0.8
DC_3-8-32_n1-n78,0.6,0.6,N/A,0.8,0.8
DC_3-8-40_n1-n78,0.6,0.6,0.35,0.6,0.85
DC_3-8-41_n1-n41DC_3-3-8-41_n1-n41,0.5,0.3,0.33 / 0.84,0.5,0.33 / 0.84
DC_3-8-41_n1-n78DC_3-3-8-41_n1-n78,0.6,0.6,0.6,0.6,0.8
DC_3-19-21-42_n77,0.8,0.3,0.9,N/A,0.8
DC_3-19-21-42_n78,0.8,0.3,0.9,N/A,0.8
DC_3-19-21-42_n79,0.8,0.3,0.9,N/A,-
DC_3-19-42_n1-n77,0.6,0.3,N/A,0.6,0.8
DC_3-19-42_n1-n78,0.6,0.3,N/A,0.6,0.8
DC_3-19-42_n1-n79,0.6,0.3,0.8,0.6,-
DC_3-20_n1-n28-n75,0.3,0.6,0.3,0.6,-
DC_3-20-28-38_n1,0.2,0.2,0.2,0.5,0.2
DC_3-20-28-40_n1,0.2,0.2,0.2,0.5,0.2
DC_3-20-28-40_n78,0.2,0.2,0.2,0.5,0.8
DC_3-20-32_n1-n28,0.3,0.6,N/A,0.3,0.6
DC_3-20-38-40_n1,0.2,0.2,0.5,0.5,0.2
DC_3-20-38-40_n28,0.2,0.2,0.5,0.5,0.2
DC_3-20-32_n1-n78,0.6,0.6,N/A,0.3,0.8
DC_3-20-41_n1-n78DC_3-3-20-41_n1-n78,0.5,0.3,0.5,0.5,0.8
DC_3-21_n1-n77-n79,0.8,0.9,0.6,0.8,0.5
DC_3-21_n1-n78-n79,0.8,0.9,0.6,0.8,0.5
DC_3-21_n28-n77-n79,0.8,0.9,0.5,0.8,0.5
DC_3-21_n28-n78-n79,0.8,0.9,0.5,0.8,0.5
DC_3-21-42_n1-n77,0.8,0.9,N/A,0.6,0.6
DC_3-21-42_n1-n78,0.8,0.9,N/A,0.6,0.6
DC_3-21-42_n1-n79,0.8,0.9,0.8,0.6,-
DC_3-28_n1-n40-n78,0.6,0.8,0.6,0.9,0.8
DC_3-28-41-42_n78,1.0,0.5,0.33 / 0.84,N/A,0.8
DC_5-7-66_n2-n66,0.3,0.5,0.5,0.5,0.5
DC_5-7-66_n2-n77,0.3,0.5,0.5,0.5,0.8
DC_5-7-66_n2-n78,0.3,0.5,0.5,0.5,0.8
DC_5-7-66_n66-n77,0.3,0.5,0.5,0.5,0.8
DC_7-8-20-32_n1,0.7,0.6,0.7,N/A,0.5
DC_7-8-20_n1-n78,0.6,0.6,0.6,0.5,0.8
DC_7-8-32_n1-n78,0.7,0.6,N/A,0.7,0.8
DC_7-8-40_n1-n78,0.5,0.6,0.35,0.6,0.85
DC_7-12-66_n2-n66,0.5,0.8,0.5,0.5,0.5
DC_7-12-66_n2-n77,0.8,0.8,1.0,0.5,0.8
DC_7-12-66_n2-n78,0.8,0.8,1.0,0.5,0.8
