Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)12",,,
DC_1-3_n28-n75,0.3,0.3,0.6,N/A
DC_1-3-28_n77,0.6,0.6,0.6,0.8
DC_1_n3-n28-n77,0.6,0.6,0.6,0.8
DC_1-3-28_n78DC_1-3-3-28_n78,0.6,0.6,0.6,0.8
DC_1-3_n28-n78,0.6,0.6,0.6,0.8
DC_1-3-28_n79,0.6,0.6,0.6,-
DC_1_n3-n28-n79,0.6,0.6,0.6,-
DC_1-3_n28-n77,0.6,0.6,0.6,0.8
DC_1-3_n28-n79,0.3,0.3,0.6,-
DC_1-3-32_n28,0.3,0.3,N/A,0.6
DC_1-3-38_n28,0.5,0.5,0.5,0.6
DC_1-3-32_n78,0.6,0.6,-,0.8
DC_1-3-38_n78,0.6,0.6,0.5,0.8
DC_1-3_n38-n78,0.5,0.6,0.6,0.8
DC_1-3-40_n28,0.5,0.5,0.5,0.6
DC_1-3_n40-n71,0.6,0.6,0.6,0.5
DC_1-3_n40-n77,0.5,0.6,0.36,0.86
DC_1-3_n40-n78,0.5,0.6,0.36,0.86
DC_1-3-40_n78,0.6,0.6,0.39,0.89
DC_1-3_n40-n105,0.6,0.6,0.6,0.5
DC_1-3-41_n1DC_1-3-3-41_n1,0.5,0.5,0.34 / 0.85,0.5
DC_1-3-41_n3,0.5,0.5,0.34 / 0.85,0.5
DC_1-3-41_n28,0.5,0.5,0.34 / 0.85,0.6
DC_1-3-41_n41DC_1-3-3-41_n41,0.5,0.5,0.34 / 0.85,0.34 / 0.85
DC_1-3_(n)41,0.5,0.5,0.34 / 0.85,0.34 / 0.85
DC_1-3-41_n77,0.6,0.6,0.5,0.8
DC_1-3_n41-n77,0.6,0.6,0.5,0.8
DC_1-3-41_n78DC_1-3-3-41_n78,0.6,0.6,0.5,0.8
DC_1-3_n41-n78,0.6,0.6,0.5,0.8
DC_1-3-41_n79,0.5,0.5,0.34 / 0.85,-
DC_1-3-42_n28,0.6,0.6,0.8,0.8
DC_1-3-42_n77,0.6,0.6,N/A,0.8
DC_1-3-42_n78,0.6,0.6,N/A,0.8
DC_1-3-42_n79,0.6,0.6,N/A,-
DC_1-3_n71-n77,0.6,0.6,0.6,0.8
DC_1-3_n75-n78,0.6,0.6,N/A,0.8
DC_1-3_n77-n79,0.6,0.6,0.8,-
DC_1_n3-n77-n79,0.6,0.6,0.8,-
DC_1-3_n78-n79,0.6,0.6,0.8,-
DC_1-3_n78-n105,0.6,0.6,0.8,0.6
DC_1-3_SUL_n78-n80,0.6,0.6,0.8,0.6
DC_1-5-7_n28DC_1-5-7-7_n28,0.5,0.7,0.6,0.7
DC_1-5-7_n77,0.6,0.6,0.6,0.8
DC_1-5-7_n78DC_1-5-7-7_n78,0.6,0.6,0.6,0.8
DC_1-5_n28-n78,0.3,0.6,0.6,0.9
DC_1-5_n40-n77,0.6,0.6,0.5,0.8
DC_1-5_n40-n78,0.6,0.6,0.5,0.8
DC_1-5-41_n79,0.5,0.3,0.5,-
DC_1-7_n3-n38,0.6,0.6,0.6,0.5
DC_1-7_n3-n78,0.5,0.2,0.6,0.8
DC_1-7_n5-n40,0.6,0.8,0.6,0.9
DC_1-7_n7-n78,0.6,0.6,0.6,0.8
DC_1-7-8_n3,0.6,0.6,0.3,0.6
DC_1-7-8_n7,0.5,0.6,0.6,0.6
DC_1-7-8_n20,0.5,0.6,0.6,0.6
DC_1-7-8_n28DC_1-7-7-8_n28,0.5,0.6,0.6,0.6
DC_1-7-8_n78DC_1-7-7-8_n78,0.6,0.6,0.6,0.8
DC_1-7_n8-n78DC_1-7-7_n8-n78,0.6,0.6,0.6,0.8
DC_1-7-20_n3,0.3,0.5,0.3,0.5
DC_1-7-20_n8,0.6,0.6,0.6,0.6
DC_1-7-20_n28,0.5,0.6,0.6,0.6
DC_1-7-20_n38,0.5,N/A,0.3,N/A
DC_1-7-20_n78DC_1-1-7-20_n78DC_1-7-7-20_n78,0.6,0.7,0.4,0.8
DC_1-7-26_n78,0.6,0.6,0.6,0.8
DC_1-7_n26-n78,0.6,0.6,0.6,0.8
DC_1-7-28_n3,0.6,0.6,0.6,0.6
DC_1-7-28_n5,0.3,0.3,0.6,0.6
DC_1-7-28_n7,0.5,0.6,0.6,0.6
DC_1-7-28_n20,0.5,0.6,0.6,0.6
DC_1-7-28_n38,0.5,N/A,0.6,N/A
DC_1-7-28_n40,0.6,0.8,0.6,0.9
DC_1-7-28_n78,0.6,0.6,0.6,0.8
DC_1-7_n28-n78,0.6,0.6,0.6,0.8
DC_1-7-32_n3,0.6,0.6,N/A,0.6
DC_1-7-32_n8,0.7,0.7,N/A,0.6
DC_1-7-32_n28,0.5,0.6,N/A,0.7
DC_1-7_n40-n77DC_1-7-7_n40-n77,0.6,0.5,0.5,0.8
DC_1-7_n40-n105,0.6,0.5,0.5,0.5
DC_1-7-38_n3,0.6,N/A,N/A,0.6
DC_1-7-38_n78,0.3,N/A,N/A,0.8
DC_1-7-32_n78,0.6,0.6,-,0.8
DC_1-7-38_n8,0.5,N/A,N/A,0.5
DC_1-7-38_n28,0.3,N/A,N/A,0.6
DC_1-7-40_n78,0.6,0.5,0.39,0.89
DC_1-7_n40-n78DC_1-7-7_n40-n78,0.6,0.5,0.5,0.8
DC_1-7_n75-n78,0.2,0.2,N/A,0.5
DC_1-7_n78-n105,0.6,0.6,0.8,0.6
DC_1-8_n1-n41,0.5,0.6,0.5,0.6
DC_1-8_n1-n78,0.6,0.6,0.6,0.8
DC_1-8-(n)3,0.3,0.3,0.3,0.3
DC_1-8_n3-n28,0.3,0.6,0.3,0.6
DC_1-8_n3-n77,0.6,0.6,0.8,0.8
DC_1-8_n3-n78,0.6,0.6,0.8,0.8
DC_1-8_n3-n79,0.3,0.3,0.3,0.8
DC_1-8_n7-n78,0.6,0.6,0.6,0.8
DC_1-8-11_n3,0.3,0.3,0.8,0.9
DC_1-8-11_n28,0.3,0.6,0.4,0.6
DC_1-8-11_n77,0.6,0.6,0.4,0.8
DC_1-8-11_n78,0.3,0.6,0.4,0.8
DC_1-8-11_n79,0.3,0.3,0.4,-
DC_1-8-20_n3,0.3,0.4,0.4,0.3
DC_1-8-20_n28,0.3,0.6,0.6,0.6
DC_1-8-20_n78,0.3,0.6,0.6,0.8
DC_1-8-28_n3,0.3,0.6,0.6,0.3
DC_1-8-28_n40,0.3,0.6,0.6,0.5
DC_1-8-28_n71,0.3,0.7,1.1,1.1
DC_1-8-28_n77,0.6,0.6,0.6,0.8
DC_1-8_n28-n77,0.6,0.6,0.6,0.8
DC_1-8-28_n78,0.3,0.6,0.6,0.8
DC_1-8_n28-n78,0.3,0.6,0.5,0.8
DC_1-8_n28-n79,0.3,0.6,0.6,0.8
DC_1-8-32_n3,0.5,0.3,N/A,0.8
DC_1-8-32_n78,0.5,0.6,N/A,0.8
DC_1-8_n40-n77,0.6,0.6,0.5,0.8
DC_1-8-38_n28,0.5,0.6,0.6,0.6
DC_1-8-38_n78,0.6,0.6,0.6,0.8
DC_1-8-40_n28,0.5,0.6,0.6,0.6
DC_1-8_n40-n71,0.5,0.5,0.5,0.6
DC_1-8-40_n78,0.6,0.6,0.39,0.89
DC_1-8-41_n1,0.6,0.3,0.6,0.6
DC_1-8-41_n41,0.5,0.6,0.6,0.6
DC_1-8-41_n78,0.6,0.6,0.6,0.8
DC_1-8_n41-n78,0.6,0.6,0.6,0.8
DC_1-8-42_n3,0.3,0.6,0.8,0.6
DC_1-8-42_n28,0.3,0.6,0.8,0.8
DC_1-8_n40-n78,0.5,0.3,0.5,0.8
DC_1-8-42_n77,0.6,0.6,N/A,0.8
DC_1-8_n71-n77,0.6,0.6,0.6,0.8
DC_1-8_n77-n79,0.6,0.6,0.8,0.5
DC_1-11_n3-n28,0.3,0.8,0.9,0.6
DC_1-11_n3-n77,0.6,0.8,0.9,0.8
DC_1-11_n3-n79,0.3,0.8,0.9,0.8
DC_1-11-18_n3,0.3,0.9,0.3,0.8
DC_1-11-18_n28,0.3,0.4,0.4,0.6
DC_1-11-18_n41,0.5,0.4,0.3,0.5
DC_1-11-18_n77,0.6,0.4,0.3,0.8
DC_1-11-18_n78,0.3,0.4,0.3,0.8
DC_1-11_n77-n79,0.6,0.4,0.8,-
DC_1-18_n3-n41,0.3,0.3,0.3,0.34
DC_1-18_n3-n77,0.6,0.3,0.6,0.8
DC_1-18_n3-n78,0.6,0.3,0.6,0.8
DC_1-18_n28-n41,0.3,0.3,0.5,0.34
DC_1-18-28_n77,0.3,0.5,0.5,0.8
DC_1-18_n28-n77,0.3,0.5,0.5,0.8
DC_1-18-28_n78,0.3,0.5,0.5,0.8
DC_1-18_n28-n78,0.3,0.5,0.5,0.8
DC_1-18-28_n79,0.3,0.5,0.5,-
DC_1-18-41_n77,0.6,0.3,0.5,0.8
DC_1-18_n41-n77,0.6,0.3,0.5,0.8
DC_1-18-41_n78,0.5,0.3,0.5,0.8
DC_1-18_n41-n78,0.5,0.3,0.5,0.8
DC_1-18-42_n77,0.3,0.3,N/A,0.8
DC_1-18-42_n78,0.3,0.3,N/A,0.8
DC_1-18-42_n79,0.3,0.3,N/A,-
DC_1-19-42_n77,0.6,0.3,N/A,0.8
DC_1-19-42_n78,0.3,0.3,N/A,0.8
DC_1-19-42_n79,0.3,0.3,N/A,-
DC_1-19_n77-n79,0.3,0.3,0.8,-
DC_1-19_n78-n79,0.3,0.3,0.8,-
DC_1-20_n1-n41,0.5,0.3,0.5,0.5
DC_1-20_n1-n78,0.3,0.3,0.3,0.8
DC_1-20_n3-n38,0.5,0.3,0.3,0.5
DC_1-20_n3-n78,0.3,0.6,0.3,0.8
DC_1-20_n7-n78,0.5,0.3,0.3,0.8
DC_1-20_n8-n78,0.3,0.6,0.6,0.8
DC_1-20-28_n3,0.3,0.6,0.6,0.3
DC_1-20_n28-n75,0.3,0.6,0.7,N/A
DC_1-20-28_n78,0.3,0.6,0.6,0.8
DC_1-20_n28-n78,0.3,0.6,0.6,0.8
DC_1-20-32_n3,0.5,0.3,N/A,0.5
DC_1-20-32_n28,0.3,0.6,N/A,0.7
DC_1-20-32_n78,0.3,0.3,N/A,0.8
DC_1-20-38_n3,0.3,0.3,0.3,0.3
DC_1-20-38_n28,0.5,0.6,0.6,0.6
DC_1-20-40_n28,0.5,0.6,0.6,0.6
DC_1-20_(n)38,0.5,0.3,0.5,0.5
DC_1-20-38_n8,0.5,0.5,0.5,0.6
DC_1-20-38_n78,0.3,0.6,-,0.8
DC_1-20-40_n78,0.5,0.3,0.59,0.89
DC_1-20-41_n1,0.5,0.3,0.5,0.5
DC_1-20-41_n41,0.5,0.3,0.5,0.5
DC_1-20-41_n78,0.5,0.3,0.5,0.8
DC_1-20_n41-n78,0.5,0.3,0.5,0.8
DC_1-21-28_n77,0.6,0.4,0.6,0.8
DC_1-21-28_n78,0.3,0.4,0.6,0.8
DC_1-21-28_n79,0.3,0.4,0.6,-
DC_1-21_n28-n77,0.3,0.4,0.6,0.8
DC_1-21_n28-n78,0.6,0.4,0.6,0.8
DC_1-21_n28-n79,0.3,0.4,0.6,-
DC_1-21-42_n77,0.6,0.4,N/A,0.8
DC_1-21-42_n78,0.3,0.4,N/A,0.8
DC_1-21-42_n79,0.3,0.4,N/A,-
DC_1-21_n77-n79,0.3,0.3,0.8,
DC_1-21_n78-n79,0.3,0.3,0.8,
DC_1-28_n3-n77,0.6,0.6,0.6,0.8
DC_1-28_n3-n78,0.6,0.6,0.6,0.8
DC_1-28_n5-n40,0.6,0.6,0.6,0.9
DC_1-28-(n)7,0.5,0.6,0.6,0.6
DC_1-28_n7-n78,0.6,0.6,0.6,0.8
DC_1-28-32_n3,0.5,0.6,N/A,0.5
DC_1-28-32_n41,0.6,0.6,N/A,0.8
DC_1-28_n40-n41,0.6,0.6,0.9,0.8
DC_1-28_n40-n71,0.5,1.1,0.6,1.1
DC_1-28_n40-n77,0.5,0.5,0.3,0.8
DC_1-28-40_n78,0.5,0.5,0.36,0.86
DC_1-28_n40-n78,0.5,0.5,0.36,0.86
DC_1-28_n41-n77,0.5,0.5,0.3,0.8
DC_1-28-42_n77,0.6,0.6,N/A,0.8
DC_1-28-42_n78,0.3,0.6,N/A,0.8
DC_1-28-42_n79,0.3,0.6,N/A,
DC_1-28_n71-n77,0.6,0.61.1,0.61.1,0.8
DC_1_n28-n77-n79,0.6,0.6,0.8,0.5
DC_1_n28-n78-n79,0.3,0.6,0.8,0.5
DC_1-32_n28-n78,0.3,N/A,0.7,0.8
DC_1-32_n40-n41,0.6,N/A,0.9,0.8
DC_1-38_n3-n78,0.5,0.6,0.6,0.8
DC_1-38_n7-n78,0.6,0.5,0.6,0.8
DC_1-38_n28-n78,0.5,0.5,0.5,0.8
DC_1_n40-n78-n105,0.5,0.5,0.8,0.5
DC_1-41_n1-n41,0.5,0.34 / 0.85,0.5,0.34 / 0.85
DC_1-41_n1-n78,0.5,0.34 / 0.85,0.5,0.8
DC_1-41_n3-n41,0.5,0.34 / 0.85,0.5,0.34 / 0.85
DC_1-41_n3-n77,0.6,0.34 / 0.85,0.6,0.8
DC_1-41_n3-n78,0.6,0.34 / 0.85,0.6,0.8
DC_1-41_n28-n41,0.5,0.34 / 0.85,0.5,0.34 / 0.85
DC_1-41_n28-n77,0.6,0.5,0.5,0.8
DC_1-41_n28-n78,0.5,0.5,0.5,0.8
DC_1-41_n41-n77,0.5,0.5,0.5,0.8
DC_1-41_n41-n78,0.5,0.5,0.5,0.8
DC_1-41-42_n77,0.5,0.5,N/A,0.8
DC_1-41-42_n78,0.5,0.5,N/A,0.8
DC_1-41-42_n79,0.5,0.5,N/A,-
DC_1-42_n3-n28,0.3,0.8,0.6,0.8
DC_1-42_n3-n77,0.6,N/A,0.6,0.8
DC_1-42_n77-n79,0.6,N/A,0.8,-
DC_1-42_n28-n77,0.6,N/A,0.8,0.8
DC_1-42_n78-n79,0.3,N/A,0.8,-
DC_2-4-7_n28,0.5,0.5,0.5,0.6
DC_2-4-7_n78,0.6,0.6,0.5,0.8
DC_2-5_n2-n41,0.5,0.6,0.5,0.41 / 0.92
DC_2-5_n2-n66,0.5,0.3,0.5,0.5
DC_2-5_n2-n77,0.6,0.6,0.6,0.8
DC_2-5_n2-n78,0.6,0.6,0.6,0.8
DC_2-5_n5-n77,0.6,0.6,0.6,0.8
DC_2-5-7_n2,0.5,0.3,0.5,0.3
DC_2-5-7_n7,0.5,0.3,0.5,0.5
DC_2-5-7_n66 DC_2-2-5-7_n66DC_2-5-7-7_n66,0.5,0.3,0.5,0.5
DC_2-5-7_n77,0.6,0.6,0.6,0.8
DC_2-5-7_n78,0.6,0.6,0.6,0.8
DC_2-5_(n)12,0.3,0.8,0.4,0.4
DC_2-12_(n)5,-,0.5,0.3,0.5
DC_2-5-30_n2,0.5,0.3,0.3,0.5
DC_2-5-30_n66,0.5,0.3,0.3,0.5
DC_2-5-30_n77DC_2-2-5-30_n77,0.6,0.6,0.3,0.8
DC_2-5_n41-n66,0.5,0.6,0.51 / 12,0.5
DC_2-5_n41-n77,0.6,0.6,0.41 / 0.92,0.8
DC_2-5_n41-n78,0.6,0.6,0.41 / 0.92,0.8
DC_2-5-48_n12,0.6,0.8,0.8,0.4
DC_2-5-48_n71,0.6,0.5,0.8,0.5
DC_2-5-48_n77,0.6,0.6,N/A,0.8
DC_2-5-66_n2,0.5,0.3,0.5,0.5
DC_2-5-66_n5,0.5,0.3,0.5,0.3
DC_2-5-66_n7,0.5,0.3,0.5,0.5
DC_2-5-66_n12,0.3,0.5,0.5,0.3
DC_2-5-66_n30DC_2-2-5-66_n30DC_2-5-66-66_n30,0.5,0.3,0.5,0.3
DC_2-5-66_n41DC_2-2-5-66_n41,0.5,0.6,0.5,0.81 / 1.32
DC_2-5-66_n48DC_2-5-66-66_n48,0.5,0.3,0.5,0.8
DC_2-2-5-(n)66DC_2-5-66-(n)66DC_2-5-(n)66DC_2-5-66_n66DC_2-5-5-66_n66DC_2-5-66-66_n66DC_2-2-5-66-(n)66DC_2-2-5-66-66_n66DC_2-5-5-66-66_n66,0.5,0.3,0.5,0.5
DC_2-5-66_n71,0.5,0.5,0.5,0.5
DC_2-5-66_n77DC_2-2-5-66_n77DC_2-5-66-66_n77,0.5,0.3,0.5,0.8
DC_2-5-66_n78,0.6,0.6,0.6,0.8
DC_2-5_n66-n77,0.6,0.6,0.6,0.8
DC_2-5_n66-n78,0.5,0.3,0.5,0.8
DC_2-7_n2-n66,0.5,0.5,0.5,0.5
DC_2-7_n2-n71,0.5,0.5,0.5,0.6
DC_2-7_n2-n77,0.6,0.5,0.6,0.8
DC_2-7_n2-n78,0.6,0.5,0.6,0.8
DC_2-7-12_n2,0.5,0.5,0.3,0.5
DC_2-7-12_n66DC_2-2-7-12_n66,0.5,0.5,0.8,0.5
DC_2-7-12_n77,0.6,0.6,0.6,0.8
DC_2-7_n12-n77,0.6,0.5,0.3,0.8
DC_2-7-12_n78DC_2-2-7-12_n78,0.6,0.6,0.6,0.8
DC_2-7-13_n25,0.5,0.5,0.3,0.5
DC_2-7-13_n66DC_2-7-7-13_n66DC_2-2-7-7-13_n66,0.5,0.5,0.3,0.5
DC_2-7_n25-n66,0.5,0.5,0.5,0.5
DC_2-7-28_n7,0.5,0.5,0.3,0.5
DC_2-7-28_n66,0.5,0.5,0.6,0.5
DC_2-7-28_n78,0.5,0.5,0.3,0.8
DC_2-7-29_n78DC_2-7-7-29_n78,0.6,0.5,N/A,0.8
DC_2-7_n38-n66DC_2-7-7_n38-n66,0.5,N/A,N/A,0.5
DC_2-7-38_n78,0.6,N/A,N/A,0.8
DC_2-7_n38-n78DC_2-7-7_n38-n78,0.6,N/A,N/A,0.8
DC_2-7-66_n2,0.5,0.5,0.5,0.5
DC_2-7-66_n7DC_2-7-66-66_n7,0.5,0.5,0.5,0.5
DC_2-7-66_n12,0.5,0.5,0.5,0.8
DC_2-7-66_n25,0.5,0.5,0.5,0.5
DC_2-7-66_n28,0.5,0.5,0.5,0.6
DC_2-7-66_n38DC_2-2-7-66_n38,0.5,N/A,0.5,N/A
DC_2-7-(n)66DC_2-7-66_n66DC_2-7-7-(n)66DC_2-7-7-66_n66DC_2-7-7-66-(n)66DC_2-7-66-(n)66,0.5,0.5,0.5,0.5
DC_2-7-66_n71DC_2-2-7-66_n71,0.5,0.5,0.5,0.3
DC_2-7_n66-n71,0.5,0.5,0.5,0.3
DC_2-7-66_n77,0.6,0.5,0.6,0.8
DC_2-7-66_n78DC_2-7-7-66_n78DC_2-7-66-66_n78DC_2-7-7-66-66_n78DC_2-7_n66-n78DC_2-7-7_n66-n78,0.6,0.5,0.6,0.8
DC_2-7_n66-n77,0.6,0.5,0.6,0.8
DC_2-7-71_n2,0.5,0.5,0.6,0.5
DC_2-7-71_n66DC_2-2-7-71_n66,0.5,0.5,0.3,0.5
DC_2-7-71_n77,0.6,0.6,0.6,0.8
DC_2-7_n71-n77,0.6,0.6,0.6,0.8
DC_2-7-71_n78DC_2-2-7 -71_n78,0.6,0.6,0.6,0.8
DC_2-7_n71-n78,0.6,0.6,0.6,0.8
DC_2-12_n2-n41,0.5,0.3,0.5,0.41 / 0.92
DC_2-12_n2-n66,0.5,0.3,0.5,0.5
DC_2-12_n2-n77,0.6,0.6,0.6,0.8
DC_2-12_n2-n78,0.6,0.6,0.6,0.8
DC_2-12-30_n2,0.5,0.3,0.3,0.5
DC_2-12-30_n66,0.5,0.8,0.3,0.5
DC_2-12-30_n77DC_2-2-12-30_n77,0.6,0.5,0.3,0.8
DC_2-12_n41-n66,0.5,0.8,0.51 / 12,0.5
DC_2-12-48_n5,0.6,0.4,0.8,0.8
DC_2-12-66_n2,0.5,0.3,0.5,0.5
DC_2-12-66_n5,0.5,0.8,0.5,0.8
DC_2-12-66_n7,0.5,0.6,0.5,0.8
DC_2-12-66_n30DC_2-2-12-66_n30DC_2-12-66-66_n30,0.5,0.8,0.5,0.3
DC_2-2-12-(n)66DC_2-12-(n)66DC_2-12-66_n66,0.5,0.8,0.5,0.5
DC_2-12-66_n77DC_2-2-12-66_n77DC_2-12-66-66_n77,0.6,0.8,0.6,0.8
DC_2-12_n66-n77,0.6,0.8,0.6,0.8
DC_2-12-66_n78DC_2-2-12-66_n78,0.6,0.3,0.6,0.8
DC_2-12_n66-n78,0.5,0.3,0.5,0.8
DC_2-13_n25-n66,0.5,0.3,0.5,0.5
DC_2-13-48_n77,0.6,0.5,N/A,0.8
DC_2-13-66_n2,0.5,0.3,0.5,0.5
DC_2-13-66_n5,0.5,0.3,0.5,0.3
DC_2-13-66_n48,0.6,0.3,0.6,0.8
DC_2-13-(n)66DC_2-2-13-(n)66DC_2-13-66_n66DC_2-13-66-(n)66DC_2-2-13-66-(n)66,0.5,0.3,0.5,0.5
DC_2-13-66_n77DC_2-2-13-66_n77DC_2-2-13-66-66_n77DC_2-13-66-66_n77,0.5,0.3,0.5,0.8
DC_2-13_n66-n77,0.6,0.3,0.6,0.8
DC_2-14-30_n2,0.5,0.3,0.5,0.5
DC_2-14-30_n66,0.5,0.3,0.3,0.5
DC_2-14-30_n77DC_2-2-14-30_n77,0.6,0.5,0.3,0.8
DC_2-14-66_n2DC_2-14-66-66_n2,0.5,0.3,0.5,0.5
DC_2-14-66_n30DC_2-2-14-66_n30DC_2-14-66-66_n30,0.5,0.3,0.5,0.3
DC_2-14-66_n66DC_2-2-14-66_n66,0.5,0.3,0.5,0.5
DC_2-14-66_n77DC_2-2-14-66_n77DC_2-14-66-66_n77,0.6,0.6,0.6,0.8
DC_2-28-66_n7,0.5,0.6,0.5,0.5
DC_2-28-66_n66,0.5,0.6,0.5,0.5
DC_2-29-30_n2,0.5,N/A,0.3,0.5
DC_2-29-30_n66,0.5,N/A,0.3,0.5
DC_2-29-30_n77DC_2-2-29-30_n77,0.6,N/A,0.3,0.8
DC_2-29-66_n2DC_2-29-66-66_n2,0.5,N/A,0.5,0.5
DC_2-29-66_n30DC_2-2-29-66_n30DC_2-29-66-66_n30,0.5,N/A,0.5,0.3
DC_2-29-(n)66DC_2-2-29-(n)66DC_2-29-66_n66,0.5,N/A,0.5,0.5
DC_2-29-66_n77,0.6,N/A,0.6,0.8
DC_2-29-66_n78,0.6,N/A,0.6,0.8
DC_2-30-(n)5DC_2-2-30-(n)5,0.5,0.3,0.3,0.3
DC_2-30-66_n2DC_2-30-66-66_n2,0.5,0.3,0.5,0.5
DC_2-30-66_n5,0.5,0.3,0.5,0.3
DC_2-30-66_n66,0.5,0.3,0.5,0.5
DC_2-30-66_n77DC_2-2-30-66_n77DC_2-30-66-66_n77,0.6,0.3,0.6,0.8
DC_2-46_n41-n66,0.5,N/A,0.5,0.5
DC_2-46_n41-n71,0.5,N/A,0.5,0.6
DC_2-46-48_n2,0.6,N/A,0.8,0.6
DC_2-46-48_n5,0.6,N/A,0.8,0.3
DC_2-46-48_n66,0.6,N/A,0.8,0.6
DC_2-46-66_n5,0.5,N/A,0.5,0.3
DC_2-46-66_n41,0.5,N/A,0.5,0.81 / 1.32
DC_2-46-66_n71,-,N/A,0.3,0.3
DC_2-48-66_n77,0.6,N/A,0.6,0.8
DC_2-48_n48-n66,0.6,0.8,0.8,0.6
DC_2-48_(n)5,0.6,0.3,0.8,0.3
DC_2-46_n66_n71,0.5,N/A,0.5,0.3
DC_2-48-66_n2,0.6,0.8,0.6,0.6
