NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order,
,3,N/A,5,N/A,1807.5,31.2,IMD2,
,n78,3757.5,10,50,3757.5,N/A,N/A,
,1,N/A,5,N/A,2125,2.8,IMD5,
,3,1775,5,25,1870,N/A,N/A,
,n78,3725,10,50,3725,N/A,N/A,
DC_1A_n3A-n77ADC_1A_n3A-n77(2A),1,1950,5,25,2140,N/A,N/A,
,n3,1750,5,25,1845,N/A,N/A,
,n77,N/A,10,N/A,3700,28.4,IMD29,
,1,1950,5,25,2140,N/A,N/A,
,n3,N/A,5,N/A,1807.5,31.5,IMD29,
,n77,3757.5,10,50,3757.5,N/A,N/A,
DC_1A_n3A-n78A,1,1950,5,25,2140,N/A,N/A,
,n3,1750,5,25,1845,N/A,N/A,
,n78,N/A,10,N/A,3700,28.4,IMD2,
,1,1950,5,25,2140,N/A,N/A,
,n3,N/A,5,N/A,1830,27.9,IMD2,
,n78,3780,10,50,3780,N/A,N/A,
DC_1A-3A_n105A,1,1970,5,25,2160,N/A,N/A,
,3,N/A,5,N/A,1855,4,IMD5,
,n105,695,5,25,644,N/A,N/A,
,1,N/A,5,N/A,2160,5,IMD4,
,3,1775,5,25,1870,N/A,N/A,
,n105,695,5,25,644,N/A,N/A,
DC_1A-5A_n77ADC_1A-5A_n77(2A)DC_1A-5A_n77(3A),1,N/A,5,N/A,2122,18.1,IMD3,
,5,829,5,25,874,N/A,N/A,
,n77,3780,10,50,3780,N/A,N/A,
,1,1975,5,25,2165,N/A,N/A,
,5,N/A,5,N/A,885,3.1,IMD5,
,n77,3405,10,50,3405,N/A,N/A,
DC_1A-5A_n78ADC_1A-5A_n78CDC_1A-5A_n78(A-C),1,N/A,5,N/A,2122,18.1,IMD3,
,5,829,5,25,874,N/A,N/A,
,n78,3780,10,50,3780,N/A,N/A,
,1,1975,5,25,2165,N/A,N/A,
,5,N/A,5,N/A,885,3.1,IMD5,
,n78,3405,10,50,3405,N/A,N/A,
DC_1A_n5A-n78A,1,1932,5,25,2122,N/A,N/A,
,n5,829,5,25,874,N/A,N/A,
,n78,3583,10,50,3583,18.1,IMD3,
,1,1975,5,25,2165,N/A,N/A,
,n5,840,5,25,885,3.1,IMD5,
,n78,3405,10,50,3405,N/A,N/A,
DC_1A-7A_n77ADC_1A-7A_n77(2A)DC_1A-7A_n77(3A)DC_1A-7A-7A_n77ADC_1A-7A-7A_n77(2A)DC_1A-7A-7A_n77(3A),1,1977.5,5,25,2167.5,N/A,N/A,
,7,N/A,5,N/A,2627.5,9.1,IMD44,
,n77,3305,10,50,3305,N/A,N/A,
,1,N/A,5,N/A,2140,8.7,IMD4,
,7,2510,10,50,2630,N/A,N/A,
,n77,3580,10,50,3580,N/A,N/A,
DC_1A-7A_n78ADC_1A-7C_n78ADC_1A-7A_n78(2A)DC_1A-7C_n78(2A)DC_1A-7A_n78CDC_1A-7A_n78(A-C)DC_1A-1A-7A_n78ADC_1A-7A-7A_n78CDC_1A-7A-7A_n78(A-C),1,1977.5,5,25,2167.5,N/A,N/A,
,7,N/A,5,N/A,2627.5,9.1,IMD4,
,n78,3305,10,50,3305,N/A,N/A,
,1,N/A,5,N/A,2140,8.7,IMD4,
,7,2510,10,50,2630,N/A,N/A,
,n78,3580,10,50,3580,N/A,N/A,
DC_1A_n7A-n78ADC_1A_n7B-n78ADC_1A_n7A-n78(2A),1,1977.5,5,25,2167.5,N/A,N/A,
,n7,N/A,5,N/A,2627.5,9.1,IMD4,
,n78,3305,10,50,3305,N/A,N/A,
,1,1970,5,25,2160,N/A,N/A,
,n7,2520,5,25,2640,N/A,N/A,
,n78,N/A,10,N/A,3390,10.1,IMD4,
DC_1A-3A_n79A,1,N/A,5,N/A,2140,3.6,IMD5,
,3,1750,5,25,1845,N/A,N/A,
,n79,4860,40,216,4860,N/A,N/A,
DC_1A-5A_n28A,1,N/A,5,N/A,2123,4,IMD5,
,5,829,5,25,874,N/A,N/A,
,n28,738,5,25,793,N/A,N/A,
,1,1965,5,25,2155,N/A,N/A,
,5,N/A,5,N/A,875,4.6,IMD5,
,n28,710,5,25,765,N/A,N/A,
DC_1A-5A_n40A,1,N/A,5,N/A,2144,4.0,IMD5,
,5,832,5,25,877,N/A,N/A,
,n40,2320,10,50,2320,N/A,N/A,
,1,1945,5,25,2135,N/A,N/A,
,5,N/A,5,N/A,880,8.0,IMD4,
,n40,2385,10,50,2385,N/A,N/A,
DC_1A-5A_n79A,1,1950,5,25,2140,N/A,N/A,
,5,N/A,5,N/A,882.5,18.3,IMD3,
,n79,4782.5,40,216,4782.5,N/A,N/A,
,1,1930,5,25,2120,N/A,N/A,
,5,N/A,5,N/A,882.5,8.9,IMD4,
,n79,4907.5,40,216,4907.5,N/A,N/A,
,1,N/A,5,N/A,2140,8.1,IMD4,
,5,837.5,5,25,882.5,N/A,N/A,
,n79,4652.5,40,216,4652.5,N/A,N/A,
DC_1A-7A_n105A,1,1975,5,25,2165,N/A,N/A,
,7,N/A,5,N/A,2673,30,IMD2,
,n105,698,5,25,647,N/A,N/A,
DC_1A-8A_n7A,1,1977.5,5,25,2167.5,N/A,N/A,
,n7,2502.5,5,25,2622.5,N/A,N/A,
,8,N/A,5,N/A,927.5,1.0,IMD5,
DC_1A-8A_n28A,1,1970,5,25,2160,N/A,N/A,
,n28,730,5,25,785,N/A,N/A,
,8,N/A,5,N/A,950,3.3,IMD5,
DC_1A-8A_n40A,1,1930,5,25,2120,N/A,N/A,
,8,N/A,5,N/A,930,8.0,IMD4,
,n40,2395,10,50,2395,N/A,N/A,
,1,N/A,5,N/A,2135,5.3,IMD5,
,8,885,5,25,930,N/A,N/A,
,n40,2395,10,50,2395,N/A,N/A,
DC_1A-8A_n77A,1,1955,5,25,2145,N/A,N/A,
DC_1A-8A_n77(2A)DC_1A-8A_n77(3A)DC_1A-8B_n77ADC_1A-8B_n77(2A),n77,3410,10,50,3410,N/A,N/A,
,8,N/A,5,N/A,955,3.3,IMD5,
,1,N/A,5,N/A,2140,14.4,IMD3,
,8,910,5,25,955,N/A,N/A,
,n77,3960,10,50,3960,N/A,N/A,
DC_1A-8A_n79A,1,1935,5,25,2125,N/A,N/A,
,n79,4815,40,216,4815,N/A,N/A,
,8,N/A,5,N/A,945,15.8,IMD3,
,1,N/A,5,N/A,2145,8.2,IMD4,
,8,900,5,25,945,N/A,N/A,
,n79,4845,40,216,4845,N/A,N/A,
DC_1A_n8A-n40A,1,1930,5,25,2120,N/A,N/A,
,n8,N/A,5,N/A,930,8.0,IMD4,
,n40,2395,10,50,2395,N/A,N/A,
DC_1A_n8A-n78A,1,1945,5,25,2135,N/A,N/A,
,n8,900,5,25,945,N/A,N/A,
,n78,N/A,10,N/A,3745,14.9,IMD3,
,1,1940,5,25,2130,N/A,N/A,
,n8,N/A,5,N/A,940,3.3,IMD5,
,n78,3380,10,50,3330,N/A,N/A,
DC_1A-11A_n3A,1,1960,5,25,2150,N/A,N/A,
,n3,1720,5,25,1815,N/A,N/A,
,11,N/A,5,N/A,1480,15.2,IMD3,
DC_1A-11A_n28A,11,1440,5,25,1488,N/A,N/A,
,n28,710,5,25,765,N/A,N/A,
,1,N/A,5,N/A,2150,28.3,IMD21,
DC_1A-11A_n41A,11,1442,5,25,1490,N/A,N/A,
,n41,2520,10,50,2520,N/A,N/A,
,1,N/A,5,N/A,2156,10.2,IMD4,
,1,1940,5,25,2130,N/A,N/A,
,n41,2685,10,50,2685,N/A,N/A,
,11,N/A,5,N/A,1490,10.6,IMD4,
DC_1A-11A_n77ADC_1A-11A_n77(2A)DC_1A-11A_n77(3A),1,1955,5,25,2145,N/A,N/A,
,11,N/A,5,N/A,1486,31.4,IMD2,
,n77,3441,10,50,3441,N/A,N/A,
,1,N/A,5,N/A,2140,30.8,IMD2,
,11,1438,5,25,1486,N/A,N/A,
,n77,3578,10,50,3578,N/A,N/A,
DC_1A-11A_n78ADC_1A-11A_n78(2A),1,1955,5,25,2145,N/A,N/A,
,11,N/A,5,N/A,1486,31.4,IMD2,
,n78,3441,10,50,3441,N/A,N/A,
,1,N/A,5,N/A,2140,30.8,IMD2,
,11,1438,5,25,1486,N/A,N/A,
,n78,3578,10,50,3578,N/A,N/A,
DC_1A-11A_n79A,1,1970,5,25,2160,N/A,N/A,
,11,N/A,5,N/A,1483,10.2,IMD4,
,n79,4427,40,216,4427,N/A,N/A,
,1,N/A,5,N/A,2118,15.6,IMD3,
,11,1431,5,25,1479,N/A,N/A,
,n79,4980,40,216,4980,N/A,N/A,
DC_1A-18A_n77ADC_1A-18A_n77(2A),1,1970,5,25,2160,N/A,N/A,
,18,N/A,5,N/A,870,3.5,IMD5,
,n77,3390,10,50,3390,N/A,N/A,
,1,N/A,5,N/A,2120,16.4,IMD3,
,18,825,5,25,870,N/A,N/A,
,n77,3770,10,50,3770,N/A,N/A,
DC_1A-18A_n78ADC_1A-18A_n78(2A),1,1970,5,25,2160,N/A,N/A,
,18,N/A,5,N/A,870,3.5,IMD5,
,n78,3390,10,50,3390,N/A,N/A,
,1,N/A,5,N/A,2120,16.4,IMD3,
,18,819,5,25,864,N/A,N/A,
,n78,3758,10,50,3758,N/A,N/A,
DC_1A-18A_n79A,1,1935,5,25,2125,N/A,N/A,
,18,N/A,5,N/A,867.5,18.3,IMD3,
,n79,4737.5,40,216,4737.5,N/A,N/A,
,1,1930,5,25,2120,N/A,N/A,
,18,N/A,5,N/A,865,8.9,IMD4,
,n79,4925,40,216,4925,N/A,N/A,
,1,N/A,5,N/A,2125,8.1,IMD4,
,18,822.5,5,25,867.5,N/A,N/A,
,n79,4592.5,40,216,4592.5,N/A,N/A,
DC_1A-19A_n77ADC_1A-19A_n78A,1,N/A,5,N/A,2130,17.8,IMD3,
,19,832.5,5,25,877.5,N/A,N/A,
,"n77, n78",3795,10,50,3795,N/A,N/A,
,1,1940,5,25,2130,N/A,N/A,
,19,N/A,5,N/A,880,5.1,IMD5,
,"n77, n78",3350,10,50,3350,N/A,N/A,
DC_1A-19A_n79A,1,1950,5,25,2140,N/A,N/A,
,19,N/A,5,N/A,882.5,18.3,IMD3,
,n79,4782.5,40,216,4782.5,N/A,N/A,
,1,N/A,5,N/A,2140,8.1,IMD4,
,19,837.5,5,25,882.5,N/A,N/A,
,n79,4652.5,40,216,4652.5,N/A,N/A,
DC_1A-20A_n1A,n1,1930,5,25,2120,N/A,N/A,
,20,850,5,25,809,N/A,N/A,
,1,N/A,5,N/A,2160,6,IMD4,
DC_1A_n28A-n41A,1,1935,5,25,2125,N/A,N/A,
,n28,718,5,25,773,N/A,N/A,
,n41,N/A,10,N/A,2653,30.1,IMD2,
,1,1923,5,25,2113,N/A,N/A,
,n28,N/A,5,N/A,762,29.3,IMD2,
,n41,2685,10,50,2685,N/A,N/A,
,1,1935,5,25,2125,N/A,N/A,
,n28,N/A,10,N/A,785,4.5,IMD5,
,n41,2510,10,50,2510,N/A,N/A,
DC_1A-20A_n7A,1,1940,5,25,2130,N/A,N/A,
,20,N/A,10,N/A,800,4.5,IMD5,
,n7,2510,10,50,2630,N/A,N/A,
DC_1A-20A_n8A,1,1925,5,25,2115,N/A,N/A,
,20,N/A,5,N/A,805,11.5,IMD4,
,n8,910,5,25,955,N/A,N/A,
DC_1A-20A_n38A,1,N/A,N/A,N/A,N/A,N/A,N/A,
,20,N/A,N/A,N/A,N/A,N/A,IMD5,
,n38,N/A,N/A,N/A,N/A,N/A,N/A,
DC_1A-20A_n78ADC_1A-1A-20A_n78A,1,N/A,5,N/A,2120,20.3,IMD3,
DC_1A-20A_n78(2A),20,835,5,25,794,N/A,N/A,
DC_1A-20A_n78C,n78,3790,10,50,3790,N/A,N/A,
,1,1950,5,25,2140,N/A,N/A,
,20,N/A,5,N/A,810,3.0,IMD5,
,n78,3330,10,50,3330,N/A,N/A,
DC_1A-21A_n28A10,1,N/A,5,N/A,2165.3,16.1,IMD3,
,21,1450.4,5,25,1498.4,N/A,N/A,
,n28,735.5,5,25,790.5,N/A,N/A,
DC_1A-21A_n77ADC_1A-21A_n78A,1,N/A,5,N/A,2154.6,30.6,IMD2,
,21,1450.4,5,25,1498.4,N/A,N/A,
,"n77, n78",3605,10,50,3605,N/A,N/A,
,1,N/A,5,N/A,2154.6,3.6,,IMD5
,21,1450.4,5,25,1498.4,N/A,,N/A
,"n77, n78",3647,10,50,3647,N/A,,N/A
,1,1950,5,25,2140,N/A,N/A,
,21,N/A,5,N/A,1500,31.5,IMD2,
,"n77, n78",3450,10,50,3450,N/A,N/A,
,1,1950,5,25,2140,N/A,N/A,
,21,N/A,5,N/A,1500,2.9,IMD5,
,"n77, n78",3675,10,50,3675,N/A,N/A,
DC_1A-21A_n79A,1,N/A,N/A,N/A,N/A,N/A,N/A,
,21,N/A,N/A,N/A,N/A,N/A,IMD4,
,n79,N/A,N/A,N/A,N/A,N/A,N/A,
DC_1A-26A_n78A,1,N/A,5,N/A,2122,18.1,IMD3,
,26,829,5,25,874,N/A,N/A,
,n78,3780,10,50,3780,N/A,N/A,
,1,1975,5,25,2165,N/A,N/A,
,26,N/A,5,N/A,885,3.1,IMD5,
,n78,3405,10,50,3405,N/A,N/A,
DC_1A_n26A-n78A,n1,1950,5,25,2140,N/A,N/A,
,n26,830,5,25,875,N/A,N/A,
,n78,N/A,10,N/A,3610,15.7,IMD3,
,1,1975,5,25,2165,N/A,N/A,
,n26,N/A,5,N/A,885,3.1,IMD5,
,n78,3405,10,50,3405,N/A,N/A,
DC_1A-28A_n3A,1,N/A,5,N/A,2139,11.0,IMD4,
,28,710.5,5,25,765.5,N/A,N/A,
,n3,1780,5,25,1875,N/A,N/A,
DC_1A-28A_n7ADC_1A-1A-28A_n7ADC_1A-28A_n7BDC_1A-1A-28A_n7B,1,1935,5,25,2125,N/A,N/A,
,28,N/A,10,N/A,785,4.5,IMD5,
,n7,2510,10,50,2630,N/A,N/A,
DC_1A-28A_n40A,1,1950,5,25,2140,N/A,N/A,
DC_1A-28C_n40A,28,N/A,5,N/A,780,8.9,IMD4,
,n40,2340,10,50,2340,N/A,N/A,
DC_1A-28A_n38A,1,1975,5,25,2165,N/A,N/A,
,28,N/A,5,N/A,765,4.5,IMD5,
,n38,2580,5,25,2580,N/A,N/A,
DC_1A-28A_n71A,1,1922.5,5,25,2112.5,N/A,N/A,
,28,N/A,5,N/A,779.5,7.5,IMD5,
,n71,675.5,5,25,629.5,N/A,N/A,
DC_1A-28A_n77A,1,N/A,5,N/A,2150,15.7,IMD3,
,28,740,5,25,795,N/A,N/A,
,n77,3630,10,50,3630,N/A,N/A,
,1,1970,5,25,2160,N/A,N/A,
,28,N/A,5,N/A,794,4.2,IMD5,
,n77,3352,10,50,3352,N/A,N/A,
DC_1A-28A_n78A,1,N/A,5,N/A,2150,15.7,IMD3,
,28,740,5,25,795,N/A,N/A,
,n78,3630,10,50,3630,N/A,N/A,
,1,1970,5,25,2160,N/A,N/A,
,28,N/A,5,N/A,794,4.2,IMD5,
,n78,3352,10,50,3352,N/A,N/A,
DC_1A-28A_n79A,1,1930,5,25,2120,N/A,N/A,
,28,N/A,5,N/A,788,15.2,IMD3,
,n79,4648,40,216,4648,N/A,N/A,
,1,1925,5,25,2115,N/A,N/A,
,28,N/A,5,N/A,795,10.0,IMD4,
,n79,4980,40,216,4980,N/A,N/A,
,1,N/A,5,N/A,2167.5,1.2,IMD4,
,28,745.5,5,25,800.5,N/A,N/A,
,n79,4420,40,216,4420,N/A,N/A,
,1,N/A,5,N/A,2125,4.5,IMD5,
,28,718,5,25,773,N/A,N/A,
,n79,4807,40,216,4807,N/A,N/A,
DC_1A_n28A-n40A,1,1930,5,25,2120,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,n40,N/A,10,N/A,2374,10.1,IMD4,
,1,1930,5,25,2120,N/A,N/A,
,n28,N/A,5,N/A,768,8.6,IMD4,
,n40,2314,10,50,2314,N/A,N/A,
DC_1A_n28A-n77ADC_1A_n28A-n78A,1,1950,5,25,2140,N/A,N/A,
,n28,733,5,25,788,N/A,N/A,
,n77/n78,N/A,10,N/A,3416,15.7,IMD3,
,1,1950,5,25,2140,N/A,N/A,
,n77/n78,3320,10,50,3320,N/A,N/A,
,n28,N/A,5,N/A,790,4.2,IMD5,
DC_1A_n28A-n79A,1,1930,5,25,2120,N/A,N/A,
,n28,N/A,5,N/A,788,15.2,IMD39,
,n79,4648,40,216,4648,N/A,N/A,
,1,1950,5,25,2140,N/A,N/A,
,n28,730,5,25,785,N/A,N/A,
,n79,N/A,40,N/A,4630,14.9,IMD34,
DC_1A-32A_n3A,n3,1720,5,25,1815,N/A,N/A,
,32,N/A,5,N/A,1480,15.2,IMD34,
,1,1960,5,25,2150,N/A,N/A,
DC_1-32_n41,1,1977.5,5,25,2167.5,N/A,N/A,
,32,N/A,5,N/A,1454.5,13.2,IMD3,
,n41,2501,10,50,2501,N/A,N/A,
,1,1925,5,25,2115,N/A,N/A,
,32,N/A,5,N/A,1490,6.2,IMD4,
,n41,2670,10,50,2670,N/A,N/A,
DC_1A-32A_n78ADC_1A-32A_n78CDC_1A-32A_n78(2A),1,1930,5,25,2120,N/A,N/A,
,32,N/A,5,N/A,1470,31.8,IMD2,
,n78,3400,10,50,3400,N/A,N/A,
,1,1930,5,25,2120,N/A,N/A,
,32,N/A,5,N/A,1470,0,IMD5,
,n78,3630,10,50,3630,N/A,N/A,
DC_1A-38A_n78ADC_1A-38A_n78(2A),1,1970,5,25,2160,N/A,N/A,
,38,N/A,5,N/A,2590,12.7,IMD4,
,n78,3320,10,50,3320,N/A,N/A,
DC_1A_n38A-n78A,1,1970,5,25,2160,N/A,N/A,
,n38,N/A,10,N/A,2590,12.7,IMD4,
,n78,3320,10,50,3320,N/A,N/A,
DC_1A-40A_n28A,1,1920,5,25,2120,N/A,N/A,
,40,N/A,5,N/A,2374,10.1,IMD4,
,n28,743,5,25,798,N/A,N/A,
DC_1A_n40A-n41A,1,1922.5,5,25,2112.5,N/A,N/A,
,n40,2302.5,5,25,2302.5,N/A,N/A,
,n41,N/A,10,N/A,2682.5,20,IMD3,
DC_1A_n40A-n71A,1,1977,5,25,2167,N/A,N/A,
,n40,2305,10,50,2305,N/A,N/A,
,n71,N/A,5,N/A,649,1,IMD4,
DC_1A_n40A-n77A,1,1930,5,25,2120,N/A,N/A,
DC_1A_n40A-n77(2A),n40,2340,10,50,2340,N/A,N/A,
,n77,N/A,10,N/A,3450,9.8,IMD4,
,1,1960,5,25,2150,N/A,N/A,
,n40,N/A,10,N/A,2360,10.6,IMD4,
,n77,3520,10,50,3520,N/A,N/A,
DC_1A-40A_n78ADC_1A-40C_n78A,1,1930,5,25,2120,N/A,N/A,
,40,N/A,5,N/A,2340,10.6,IMD4,
,n78,3450,10,50,3450,N/A,N/A,
,1,N/A,5,N/A,2140,9.1,IMD4,
,40,2360,5,25,2360,N/A,N/A,
,n78,3430,10,50,3430,N/A,N/A,
DC_1A_n40A-n78ADC_1A_n40A-n78(2A),1,1930,5,25,2120,N/A,N/A,
DC_1A_n40A-n78C,n40,2340,10,50,2340,N/A,N/A,
,n78,N/A,10,N/A,3450,9.8,IMD4,
,1,1960,5,25,2150,N/A,N/A,
,n40,N/A,10,N/A,2360,10.6,IMD4,
,n78,3520,10,50,3520,N/A,N/A,
DC_1_n40-n105,1,1977,5,25,2167,N/A,N/A,
,n40,2305,10,50,2305,N/A,N/A,
,n105,700,5,25,649,1,IMD4,
DC_1A-41A_n3ADC_1A-41C_n3A,1,1977.5,5,25,2167.5,N/A,N/A,
,41,N/A,5,N/A,2507.5,5.0,IMD5,
,n3,1712.5,5,25,1807.5,N/A,N/A,
DC_1A-41A_n28A,1,1935,5,25,2125,N/A,N/A,
,41,N/A,10,N/A,2653,30,IMD2,
,n28,718,5,25,773,N/A,N/A,
DC_1A-41A_n77ADC_1A-41C_n77ADC_1A-41A_n77(2A)DC_1A-41C_n77(2A),1,1970,5,25,2160,N/A,N/A,
,41,2510,5,25,2510,11.0,IMD4,
,n77,3400,10,50,3400,N/A,N/A,
,1,N/A,5,N/A,2140,9.3,IMD4,
,41,2640,5,25,2640,N/A,N/A,
,n77,3710,10,50,3710,N/A,N/A,
,1,1930,5,25,2120,N/A,N/A,
,41,2510,5,25,2510,3.6,IMD5,
,n77,4150,10,50,4150,N/A,N/A,
DC_1A_n41A-n77ADC_1A_n41A-n77(2A),1,1975,5,25,2165,N/A,N/A,
,n41,N/A,10,N/A,2515,11.5,IMD44,
,n77,3410,10,50,3410,N/A,N/A,
,1,1970,5,25,2160,N/A,N/A,
,n41,2650,10,25,2650,N/A,N/A,
,n77,N/A,10,N/A,3330,19.6,"IMD34,9",
DC_1A-41A_n78ADC_1A-41C_n78ADC_1A-41A_n78(2A)DC_1A-41C_n78(2A),1,N/A,5,N/A,2140,9.3,IMD4,
,41,2640,5,25,2640,N/A,N/A,
,n78,3710,10,50,3710,N/A,N/A,
,1,1975,5,25,2165,N/A,N/A,
,41,N/A,5,N/A,2515,12,IMD4,
,n78,3410,10,50,3410,N/A,N/A,
DC_1A_n41A-n78ADC_1A_n41A-n78(2A),1,1975,5,25,2165,N/A,N/A,
,n41,N/A,10,N/A,2515,11.5,IMD44,
,n78,3410,10,50,3410,N/A,N/A,
,1,1970,5,25,2160,N/A,N/A,
,n41,2650,10,25,2650,N/A,N/A,
,n78,N/A,10,N/A,3330,19.6,"IMD34,9",
DC_1A-41A_n79A,1,1970,5,25,2160,N/A,N/A,
,41,N/A,5,N/A,2530,29.4,IMD2,
,n79,4500,40,216,4500,N/A,N/A,
DC_1A-42A_n3A,1,1922.5,5,25,2112.5,N/A,N/A,
,n3,1782.5,5,25,1877.5,N/A,N/A,
,42,N/A,5,N/A,3425,13.0,IMD4,
DC_1A-42A_n28A,1,1950,5,25,2140,N/A,N/A,
,n28,733,5,25,788,N/A,N/A,
,42,N/A,5,N/A,3416,15.7,IMD3,
,1,N/A,5,N/A,2134,15.7,IMD3,
,42,3580,5,25,3580,N/A,N/A,
,n28,723,5,25,778,N/A,N/A,
DC_1A-42A_n79A,1,1977.5,5,25,2167.5,N/A,N/A,
,n79,4420,40,216,4420,N/A,N/A,
,42,N/A,5,N/A,3490,4.8,IMD5,
,42,3402.5,5,25,3402.5,N/A,N/A,
,n79,4640,40,216,4640,N/A,N/A,
,1,N/A,5,N/A,2165,15.5,IMD3,
,42,3450,5,25,3450,N/A,N/A,
,n79,4520,40,216,4520,N/A,N/A,
,1,N/A,5,N/A,2140,9.3,IMD4,
DC_1A_n71A-n77A,1,1970,5,25,2160,N/A,N/A,
,n71,N/A,5,N/A,635,15.2,IMD3,
,n77,3305,10,50,3305,N/A,N/A,
,1,1970,5,25,2160,N/A,N/A,
,n71,686,5,25,640,N/A,N/A,
,n77,N/A,10,N/A,3342,15.7,IMD3,
,1,1950,5,25,2140,N/A,N/A,
,n71,680,5,25,634,N/A,N/A,
,n77,N/A,10,N/A,3990,9.4,IMD4,
DC_1A_SUL_n77A-n80A,1,N/A,5,N/A,2140,23,IMD3,
,n80,1760,5,25,N/A,N/A,N/A,
,1,1922.5,5,25,2112.5,N/A,N/A,
,n78,N/A,10,N/A,3425,13.0,IMD4,
,n80,1782.5,5,25,,N/A,N/A,
DC_1A_n75A-n78ADC_1A_n75A-n78(2A),1,1930,5,25,2120,N/A,N/A,
