DC configuration,Aggregated bandwidth,,Wgap / (MHz),UL NR allocation(LCRB),ΔRIBNC (dB),Duplex mode
,,,0 < Wgap  ≤ 20,451,0.0,
,20MHz,15MHz,15.0 < Wgap ≤ 35.0,361,0.0,
,,,0.0 < Wgap ≤ 15.0,501,0.0,
,20MHz,20MHz,15.0 < Wgap ≤ 30.0,321,0.0,
,,,0.0 < Wgap ≤ 15.0,451,0.0,
DC_71A_n71A,5 MHz,5 MHz,5 < Wgap ≤ 25,5,4.0,FDD
,,,0 < Wgap ≤ 5,20,0,
,10 MHz,5 MHz,5 < Wgap ≤ 20,5 (RBstart = 9),4.6,
,,,0 < Wgap ≤ 5,20 (RBstart = 9),2.3,
,10 MHz,10 MHz,5 < Wgap ≤ 15,5 (RBstart = 9),4.3,
,,,0 < Wgap ≤ 5,20 (RBstart = 9),3.2,
,15 MHz,10 MHz,5 < Wgap ≤ 10,5 (RBstart = 2),22.2,
,,,0 < Wgap ≤ 5,20 (RBstart = 19),5.2,
,20 MHz,10 MHz,Wgap = 5,5,[22.2],
NOTE 1:1 refers to the UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission.NOTE 2:Wgap is the sub-block gap between the two sub-blocks.NOTE 3:The NR uplink carrier is the aggressor and the ΔRIBNC applies to the E-UTRA DL carrier only. The NR uplink carrier shall be located as close as possible to the E-UTRA downlink carrier center frequency. The NR SCS should be the smallest SCS that is compatible with the highest uplink channel bandwidth.NOTE 4:All combinations of channel bandwidths defined in Table 5.3B.1.3-1.NOTE 5:Void.NOTE 6:Void.NOTE 7:Void. NOTE 8:Void. NOTE 9: Void.9 refers to the UL resource blocks shall be located at RBstart=75. NOTE 10: All applicable sub-block gap sizes.NOTE 11:Void.NOTE 12:Void.NOTE 13: Void.NOTE 14: Void.NOTE 15: Void.,,,,,,
