Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)7",,
DC_7_n77DC_7-7_n77,0.5,0.8,
DC_7_n78DC_7-7_n78,0.5,0.8,
DC_7_n79DC_7-7_n79,0.5,0.8,
DC_7_n105,0.3,0.6,
DC_8_n1,0.3,0.3,
DC_8_n2,0.3,0.3,
DC_8_n3,0.3,0.3,
DC_8_n7,0.6,0.3,
DC_8_n20,0.4,0.4,
DC_8_n28,0.6,0.5,
DC_8_n34,0.3,0.3,
DC_8_n38,0.6,0.3,
DC_8_n39,0.3,0.3,
DC_8_n40,0.3,0.3,
DC_8_n41,0.3,0.3,
DC_8_n71,0.5,0.5,
DC_8_n77,0.6,0.8,
DC_8_n78,0.6,0.8,
DC_11_n1,0.3,0.3,
DC_11_n3,0.8,0.9,
DC_11_n28,0.4,0.6,
DC_11_n41,0.3,0.3,
DC_11_n77,0.4,0.8,
DC_11_n78,0.4,0.8,
DC_12_n2,0.3,0.3,
DC_12_n5,0.4,0.8,
DC_12_n7,0.3,0.3,
DC_12_n25,0.3,0.3,
DC_12_n30,0.3,0.3,
DC_12_n38,0.3,0.3,
DC_12_n41,0.3,0.3,
DC_12_n66,0.8,0.3,
DC_12_n71,1,1,
DC_12_n77,0.5,0.8,
DC_12_n78,0.5,0.8,
DC_13_n2,0.3,0.3,
DC_13_n5,0.5,0.5,
DC_13_n7,0.5,0.5,
DC_13_n25,0.3,0.3,
DC_13_n48,0.3,0.3,
DC_13_n66,0.3,0.3,
DC_13_n71,0.5,0.5,
DC_13_n77,0.5,0.8,
DC_13_n78,0.5,0.8,
DC_14_n2,0.3,0.3,
DC_14_n5,0.5,0.5,
DC_14_n30,0.3,0.3,
DC_14_n41,0.3,0.3,
DC_14_n66,0.3,0.3,
DC_14_n77,0.5,0.8,
DC_18_n3,0.3,0.3,
DC_18_n28,0.5,0.5,
DC_18_n41,0.3,0.33,
DC_18_n77,0.3,0.8,
DC_18_n78,0.3,0.8,
DC_19_n1,0.3,0.3,
DC_19_n77,0.3,0.8,
DC_19_n78,0.3,0.8,
DC_20_n1,0.3,0.3,
DC_20_n3,0.3,0.3,
DC_20_n7,0.3,0.3,
DC_20_n8,0.4,0.4,
DC_20_n28,0.5,0.5,
DC_20_n38,0.5,0.3,
DC_20_n40,0.3,0.3,
DC_20_n41,0.3,0.3,
DC_20_n50,0.3,0.4,
DC_20_n51,0.5,0.5,
DC_20_n77,0.6,0.8,
DC_20_n78,0.6,0.8,
DC_21_n1,0.3,0.3,
DC_21_n28,0.4,0.3,
DC_21_n77,0.4,0.8,
DC_21_n78,0.4,0.8,
"DC_25_n41,DC_25-25_n41",0.5,0.41 / 0.92,
DC_25_n77DC_25-25_n77,0.6,0.8,
DC_25_n78DC_25-25_n78,0.6,0.8,
DC_26_n25,0.3,0.3,
DC_26_n41,0.3,0.3,
DC_26_n77,0.3,0.8,
DC_26_n78,0.3,0.8,
DC_28_n1,0.6,0.3,
DC_28_n2,0.3,0.3,
DC_28_n3,0.3,0.3,
DC_28_n5,0.5,0.5,
DC_28_n7,0.3,0.3,
DC_28_n8,0.5,0.6,
DC_28_n20,0.5,0.5,
DC_28_n38,0.3,0.3,
DC_28_n40,0.3,0.3,
DC_28_n41,0.3,0.3,
DC_28_n50,0.3,0.4,
DC_28_n51,0.5,0.5,
DC_28_n66,0.6,0.3,
DC_28_n71,1.1,1.1,
DC_28_n77,0.5,0.8,
DC_28_n78,0.5,0.8,
DC_28_n105,1.0,1.0,
DC_30_n2,0.3,0.5,
DC_30_n5,0.3,0.3,
DC_30_n12,0.3,0.3,
DC_30_n14,0.3,0.3,
DC_30_n66,0.5,0.8,
DC_30_n77,0.5,0.8,
DC_38_n1,0.5,0.5,
DC_38_n3,0.5,0.5,
DC_38_n8,0.6,0.3,
DC_38_n28,0.3,0.3,
DC_38_n78,-,0.5,
DC_38_n79,0.3,0.8,
DC_39-n41,0.5,0.5,
DC_39_n78,0.3,0.8,
DC_39_n79,0.3,0.8,
DC_40_n1,0.5,0.5,
DC_40_n3,0.5,0.5,
DC_40_n7,0.6,0.5,
DC_40_n28,0.3,0.3,
DC_40_n41,0.5,0.5,
DC_40_n77,-,0.5,
DC_40_n78,-,0.56,
DC_40_n79,0.3,0.8,
DC_41_n1,0.5,0.5,
DC_41_n3,0.33 / 0.84,0.5,
DC_41_n28,0.3,0.3,
DC_41_n77,0.3,0.8,
DC_41_n78,0.3,0.8,
DC_41_n79,0.3,0.8,
DC_42_n1,0.8,0.3,
DC_42_n3,0.8,0.6,
DC_42_n28,0.5,0.8,
DC_42_n51,0.6,0.8,
DC_48_n2,0.8,0.6,
DC_48_n5,0.3,0.3,
DC_48_n12,0.3,0.3,
DC_48_n25,0.8,0.6,
DC_48_n46,0.8,-,
DC_48_n66,0.8,0.6,
DC_48_n71DC_48-48_n71DC_48-48-48_n71,0.3,0.3,
DC_66_n2DC_66-66_n2DC_66-66-66_n2,0.5,0.5,
"DC_66_n5,DC_66-66_n5,DC_66-66-66_n5",0.3,0.3,
DC_66_n7DC_66-66_n7,0.5,0.5,
DC_66_n12,0.8,0.3,
DC_66_n14,0.3,0.3,
DC_66_n25,0.5,0.5,
DC_66_n28,0.3,0.6,
DC_66_n30DC_66-66_n30,0.5,0.8,
DC_66_n38DC_66-66_n38,0.5,0.5,
DC_66_n41,0.5,0.81 / 1.32,
DC_66_n48DC_66-66_n48,0.6,0.8,
DC_66_n71DC_66-66_n71,0.3,0.3,
DC_66_n77DC_66-66_n77DC_66-66-66_n77,0.6,0.8,
DC_66_n78DC_66-66_n78,0.6,0.8,
DC_68_n1,0.6,0.3,
DC_68_n3,0.3,0.3,
DC_68_n7,0.3,0.3,
DC_68_n8,0.5,0.6,
DC_68_n20,0.5,0.5,
DC_68_n38,0.3,0.3,
DC_68_n40,0.3,0.3,
DC_68_n41,0.3,0.3,
DC_68_n77,0.5,0.8,
DC_68_n78,0.5,0.8,
DC_71_n2,0.3,0.3,
DC_71_n5,0.5,0.5,
DC_71_n7,0.6,0.3,
DC_71_n12,1,1,
DC_71_n25,0.3,0.3,
DC_71_n38,0.6,0.3,
DC_71_n41,0.6,0.3,
DC_71_n48,0.3,0.3,
DC_71_n66,0.3,0.3,
DC_71_n77,0.5,0.8,
DC_71_n78,0.5,0.8,
DC_106_n41,0.6,0.3,
DC_106_n48,0.6,0.8,
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2545-2690 MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496-2545 MHz.NOTE 3:Applicable for the frequency range of 2515 – 2690 MHz.NOTE 4:Applicable for the frequency range of 2496 - 2515 MHz.NOTE 5:Applicable for UE supporting inter-band EN-DC without simultaneous Rx/Tx.NOTE 6:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 7:“-” denotes ΔTIB,c = 0.NOTE 8:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively.",,,
