NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,,,,,,,,
EN-DC Configuration,,EUTRA / NR band,,UL Fc (MHz),,UL/DL BW (MHz),,ULLCRB,,DL Fc (MHz),,MSD (dB),,IMD order,
,,n77,,3960,,10,,50,,3960,,N/A,,N/A,
DC_1A-8A_n78A,,1,,1955,,5,,25,,2145,,N/A,,N/A,
DC_1A-8A_n78(2A),,8,,910,,5,,25,,955,,15.7,,IMD5,
,,n78,,3410,,10,,50,,3410,,N/A,,N/A,
DC_1A_n8A-n78A,,1,,1940,,5,,25,,2130,,N/A,,N/A,
,,n8,,N/A,,5,,N/A,,940,,15,,IMD5,
,,n78,,3380,,10,,50,,3330,,N/A,,N/A,
DC_1A-11A_n77A,,1,,1955,,5,,25,,2145,,N/A,,N/A,
,,11,,N|/A,,5,,N/A,,1486,,37.6,,IMD2,
,,n77,,3441,,10,,50,,3441,,N/A,,N/A,
DC_1A-11A_n79A,,1,,1970,,5,,25,,2160,,N/A,,N/A,
,,11,,N/A,,5,,N/A,,1483,,22.2,,IMD4,
,,n79,,4427,,40,,216,,4427,,N/A,,N/A,
DC_1A-18A_n77A,,1,,1970,,5,,25,,2160,,N/A,,N/A,
,,18,,N/A,,5,,N/A,,870,,15.8,,IMD5,
,,n77,,3390,,10,,50,,3390,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2120,,25.0,,IMD3,
,,18,,825,,5,,25,,870,,N/A,,N/A,
,,n77,,3770,,10,,50,,3770,,N/A,,N/A,
DC_1A-19A_n77ADC_1A-19A_n77(2A),,1,,N/A,,5,,N/A,,2130,,26.7,,IMD3,
,,19,,832.5,,5,,25,,877.5,,N/A,,N/A,
,,n77,,3795,,10,,50,,3795,,N/A,,N/A,
,,1,,1940,,5,,25,,2130,,N/A,,N/A,
,,19,,N/A,,5,,N/A,,880,,18.5,,IMD5,
,,n77,,3350,,10,,50,,3350,,N/A,,N/A,
DC_1A-19A_n78ADC_1A-19A_n78(2A),,1,,N/A,,5,,N/A,,2130,,26.7,,IMD3,
,,19,,832.5,,5,,25,,877.5,,N/A,,N/A,
,,n78,,3795,,10,,50,,3795,,N/A,,N/A,
,,1,,1940,,5,,25,,2130,,N/A,,N/A,
,,19,,N/A,,5,,N/A,,880,,18.5,,IMD5,
,,n78,,3350,,10,,50,,3350,,N/A,,N/A,
DC_1A-19A_n79A,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,19,,N/A,,5,,N/A,,882.5,,33.3,,IMD35,
,,n79,,4782.5,,10,,50,,4782.5,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2140,,26.1,,IMD4,
,,19,,837.5,,5,,25,,882.5,,N/A,,N/A,
,,n79,,4652.5,,10,,50,,4652.5,,N/A,,N/A,
DC_1A-21A_n77ADC_1A-21A_n77(2A),,1,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,21,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD2,
,,n77,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,21,,N/A,,5,,N/A,,1500,,17.9,,IMD5,
,,n77,,3605,,10,,50,,3605,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2154.6,,36.6,,IMD21,
,,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,
,,n77,,3605,,10,,50,,3605,,N/A,,N/A,
DC_1A-21A_n78ADC_1A-21A_n78(2A),,1,,N/A,,5,,N/A,,2154.6,,36.6,,IMD2,
,,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,
,,n78,,3605,,10,,50,,3605,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2154.6,,16.2,,IMD5,
,,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,
,,n78,,3647,,10,,50,,3647,,N/A,,N/A,
,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,21,,N/A,,5,,N/A,,1500,,37.5,,IMD2,
,,n78,,3450,,10,,50,,3450,,N/A,,N/A,
,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,21,,N/A,,5,,N/A,,1500,,14.9,,IMD5,
,,n78,,3675,,10,,50,,3675,,N/A,,N/A,
"DC_1A-21A_n79A7,8",,1,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,21,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD4,
,,n79,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
DC_1A_n28A-n77ADC_1A_n28A-n77(2A),,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,n77,,3320,,10,,50,,3320,,N/A,,N/A,
,,n28,,N/A,,5,,25,,790,,18.7,,IMD5,
DC_1A-41A_n77A,,1,,1970,,5,,25,,2160,,N/A,,N/A,
DC_1A-41C_n77A,,41,,N/A,,5,,N/A,,2510,,22.5,,IMD4,
,,n77,,3400,,10,,50,,3400,,N/A,,N/A,
,,1,,1930,,5,,25,,2120,,N/A,,N/A,
,,41,,N/A,,5,,N/A,,2510,,15.6,,IMD5,
,,n77,,4150,,10,,50,,4150,,N/A,,N/A,
DC_1A_n41A-n77A,,1,,1975,,5,,25,,2165,,N/A,,N/A,
,,n41,,N/A,,10,,N/A,,2515,,22.0,,IMD41,
,,n77,,3410,,10,,50,,3410,,N/A,,N/A,
,,1,,1970,,5,,25,,2160,,N/A,,N/A,
,,n41,,2650,,10,,25,,2650,,N/A,,N/A,
,,n77,,N/A,,10,,N/A,,3330,,28.2,,"IMD31,5",
DC_1A-42A_n79ADC_1A-42C_n79ADC_1A-42D_n79ADC_1A-42E_n79A,,1,,1977.5,,5,,25,,2167.5,,N/A,,N/A,
,,42,,N/A,,5,,N/A,,3490,,25.8,,IMD5,
,,n79,,4420,,10,,50,,4420,,N/A,,N/A,
DC_1A_n78A-n79A,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,n78,,3410,,10,,50,,3410,,N/A,,N/A,
,,n79,,N/A,,10,,N/A,,4870,,24.9,,IMD31,
,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,n78,,N/A,,10,,N/A,,3490,,22.6,,IMD5,
,,n79,,4670,,10,,50,,4670,,N/A,,N/A,
DC_2A_n2A-n77ADC_2A_n2A-n77C,,2,,1875,,5,,25,,1955,,N/A,,N/A,
,,n2,,1855,,5,,25,,1935,,32.0,,IMD25,
,,n77,,3810,,10,,50,,3810,,N/A,,N/A,
DC_2A-5A_n77A2DC_2A-5A_n77(2A)2 DC_2A-2A-5A_n77A2DC_2A-2A-5A_n77(2A)2DC_2A-5A_n77C2DC_2A-2A-5A_n77C2,,2,,1907.5,,5,,25,,1987.5,,N/A,,N/A,
,,5,,N/A,,5,,N/A,,887.5,,13.6,,IMD5,
,,n77,,3305,,10,,50,,3305,,N/A,,N/A,
,,2,,N/A,,5,,N/A,,1987,,24.8,,IMD3,
,,5,,846.5,,5,,25,,891.5,,N/A,,N/A,
,,n77,,3680,,10,,50,,3680,,N/A,,N/A,
DC_2A_n5A-n77A2 DC_2A-2A_n5A-n77A2DC_2A_n5A-n77C2DC_2A-2A_n5A-n77C2,,2,,1907,,5,,25,,1987,,N/A,,N/A,
,,n5,,N/A,,5,,N/A,,889,,13.6,,IMD52,
,,n77,,3305,,10,,50,,3305,,N/A,,N/A,
DC_2A-7A_n78A,,2,,1870,,5,,25,,1950,,20.0,,IMD4,
,,7,,2550,,5,,25,,2685,,N/A,,N/A,
,,n78,,3525,,10,,50,,3525,,N/A,,N/A,
DC_2A-12A_n77ADC_2A-12A_n77(2A)DC_2A-2A-12A_n77ADC_2A-2A-12A_n77(2A),,2,,N/A,,5,,N/A,,1960,,24.8,,"IMD32, 5",
,,12,,707.5,,5,,25,,737.5,,N/A,,N/A,
,,n77,,3375,,10,,50,,3375,,N/A,,N/A,
DC_2A-13A_n77ADC_2A-2A-13A_n77ADC_2A-13A_n77CDC_2A-2A-13A_n77C,,2,,N/A,,5,,N/A,,1944,,24.2,,IMD3,
,,13,,783,,5,,25,,752,,N/A,,N/A,
,,n77,,3510,,10,,50,,3510,,N/A,,N/A,
DC_2A-14A_n77ADC_2A-14A_n77(2A)DC_2A-2A-14A_n77ADC_2A-2A-14A_n77(2A),,2,,N/A,,5,,N/A,,1954,,24.8,,IMD3,
,,14,,793,,5,,25,,763,,N/A,,N/A,
,,n77,,3540,,10,,50,,3540,,N/A,,N/A,
DC_2A-30A_n77ADC_2A-30A_n77(2A)DC_2A-2A-30A_n77ADC_2A-2A-30A_n77(2A),,2,,N/A,,5,,N/A,,1986,,19.3,,IMD42,
,,30,,2312,,5,,25,,2357,,N/A,,N/A,
,,n77,,3305,,10,,50,,3305,,N/A,,N/A,
,,2,,1905,,5,,25,,1985,,N/A,,N/A,
,,30,,N/A,,5,,N/A,,2354,,22.2,,IMD42,
,,n77,,3361,,10,,50,,3361,,N/A,,N/A,
,,2,,1860,,5,,25,,1940,,N/A,,N/A,
,,30,,N/A,,5,,N/A,,2354,,12.9,,IMD5,
,,n77,,3967,,10,,50,,3967,,N/A,,N/A,
DC_2A-66A_n41A,,2,,N/A,,5,,N/A,,1940,,21.5,,IMD4,
,,66,,1715,,5,,25,,2115,,N/A,,N/A,
,,n41,,2685,,10,,50,,2685,,N/A,,N/A,
DC_2A-66A_n77ADC_2A-66A_n77(2A)DC_2A-2A-66A_n77ADC_2A-2A-66A_n77(2A)DC_2A-66A-66A_n77ADC_2A-66A-66A_n77(2A)DC_2A-2A-66A-66A_n77ADC_2A-66A_n77CDC_2A-66A-66A_n77CDC_2A-2A-66A-66A_n77C,,2,,1855,,5,,25,,1935,,N/A,,N/A,
,,66,,N/A,,5,,N/A,,2115,,34.7,,IMD25,
,,n77,,3970,,10,,50,,3970,,N/A,,N/A,
,,2,,N/A,,5,,N/A,,1960,,37.6,,IMD25,
,,66,,1760,,5,,25,,2160,,N/A,,N/A,
,,n77,,3720,,10,,50,,3720,,N/A,,N/A,
DC_2A_n66A-n77ADC_2A-2A_n66A-n77ADC_2A_n66A-n77CDC_2A-2A_n66A-n77C,,2,,1855,,5,,25,,1935,,N/A,,N/A,
,,n66,,N/A,,5,,N/A,,2115,,35.2,,IMD25,
,,n77,,3970,,10,,50,,3970,,N/A,,N/A,
DC_2A-66A_n78A,,2,,1880,,5,,25,,1960,,M/A,,N/A,
,,66,,1740,,5,,25,,2140,,21.1,,IMD4,
,,n78,,3500,,10,,50,,3500,,N/A,,N/A,
,,2,,1880,,5,,25,,1960,,37.6,,IMD25,
,,66,,1760,,5,,25,,2160,,N/A,,N/A,
,,n78,,3720,,10,,50,,3720,,N/A,,N/A,
,,2,,1880,,5,,25,,1960,,13.2,,IMD5,
,,66,,1760,,5,,25,,2160,,N/A,,N/A,
,,n78,,3620,,10,,50,,3620,,N/A,,N/A,
DC_3A_n1A-n78ADC_3A-3A_n1A-n78A,,3,,1770,,5,,25,,1865,,N/A,,N/A,
,,n1,,N/A,,5,,N/A,,2130,,17.8,,IMD5,
,,n78,,3720,,10,,50,,3720,,N/A,,N/A,
DC_3A_n1A-n79A,,n1,,N/A,,5,,N/A,,2140,,18.7,,IMD5,
,,3,,1750,,5,,25,,1845,,N/A,,N/A,
,,n79,,4860,,40,,216,,4860,,N/A,,N/A,
DC_3A-7A_n78ADC_3A-3A-7A_n78ADC_3A-7A-7A_n78ADC_3A-3A-7A-7A_n78A,,3,,N/A,,5,,N/A,,1820,,26.5,,IMD35,
,,7,,2565,,5,,25,,2685,,N/A,,N/A,
,,n78,,3310,,10,,50,,3310,,N/A,,N/A,
DC_3A-8A_n77A,,3,,1715,,5,,25,,1810,,N/A,,N/A,
DC_3C-8A_n77A,,8,,910,,5,,25,,955,,21.2,,IMD4,
DC_3A-8A_n77(2A),,n77,,4190,,10,,50,,4190,,N/A,,N/A,
DC_3C-8A_n77(2A)DC_3A-8A_n77(3A),,3,,1725,,5,,25,,1820,,24.8,,IMD3,
,,8,,910,,5,,25,,955,,N/A,,N/A,
,,n77,,3640,,10,,50,,3640,,N/A,,N/A,
DC_3A-8A_n78ADC_3A-8B_n78ADC_3A-3A-8A_n78ADC_3A-3A-8B_n78ADC_3C-8A_n78ADC_3A-8A_n78(2A),,8,,910,,5,,25,,955,,N/A,,N/A,
,,n78,,3640,,10,,50,,3640,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1820,,24.8,,IMD3,
DC_3A-8A_n79A,,8,,910,,5,,25,,955,,N/A,,N/A,
,,n79,,4580,,40,,216,,4580,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1850,,21.2,,IMD4,
DC_3A-11A_n77A,,3,,1720,,5,,25,,1815,,N/A,,N/A,
,,n77,,3675,,10,,50,,3675,,N/A,,N/A,
,,11,,N/A,,5,,N/A,,1491,,20.2,,IMD4,
DC_3A-18A_n77A,,3,,N/A,,5,,N/A,,1865,,24.2,,IMD3,
,,18,,820,,5,,25,,865,,N/A,,N/A,
,,n77,,3505,,10,,50,,3505,,N/A,,N/A,
DC_3A-19A_n77ADC_3A-19A_n77(2A),,3,,N/A,,5,,N/A,,1850,,26.3,,IMD3,
,,19,,835,,5,,25,,880,,N/A,,N/A,
,,n77,,3520,,10,,50,,3520,,N/A,,N/A,
DC_3A-19A_n78ADC_3A-19A_n78(2A),,3,,N/A,,5,,N/A,,1850,,26.3,,IMD3,
,,19,,835,,5,,25,,880,,N/A,,N/A,
,,n78,,3520,,10,,50,,3520,,N/A,,N/A,
DC_3A-19A_n79A,,3,,1775,,5,,25,,1870,,N/A,,N/A,
,,19,,N/A,,5,,N/A,,885,,27.5,,IMD35,
,,n79,,4435,,40,,216,,4435,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1877.5,,16.2,,IMD4,
,,19,,842.5,,5,,25,,887.5,,N/A,,N/A,
,,n79,,4420,,40,,216,,4420,,N/A,,N/A,
DC_3A-21A_n77ADC_3A-21A_n77(2A),,3,,1767.5,,5,,25,,1862.5,,N/A,,N/A,
,,21,,N/A,,5,,N/A,,1507.5,,20.8,,IMD4,
,,n77,,3795,,10,,50,,3795,,N/A,,N/A,
,,3,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD2,
,,21,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,n77,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1866.6,,18.4,,IMD5,
,,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,
,,n77,,3935,,10,,50,,3935,,N/A,,N/A,
DC_3A-21A_n78ADC_3A-21A_n78(2A),,3,,N/A,,5,,N/A,,1862.5,,36.6,,IMD2,
,,21,,1459.5,,5,,25,,1507.5,,N/A,,N/A,
,,n78,,3322,,10,,50,,3322,,N/A,,N/A,
,,3,,1767.5,,5,,25,,1862.5,,N/A,,N/A,
,,21,,1459.5,,5,,25,,1507.5,,23.2,,IMD4,
,,n78,,3795,,10,,50,,3795,,N/A,,N/A,
,,3,,1767.5,,5,,25,,1862.5,,N/A,,N/A,
,,21,,N/A,,5,,N/A,,1503.5,,9.5,,IMD5,
,,n78,,3403,,10,,50,,3403,,N/A,,N/A,
DC_3A-21A_n79A7,,3,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,21,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD3,
,,n79,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1869.2,,32.8,,IMD3,
,,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,
,,n79,,4770,,10,,50,,4770,,N/A,,N/A,
DC_3A-28A_n41A,,3,,1720,,5,,25,,1815,,N/A,,N/A,
,,n41,,2510,,10,,50,,2510,,N/A,,N/A,
,,28,,N/A,,5,,N/A,,790,,30.5,,IMD211,
,,3,,N/A,,5,,N/A,,1832.5,,32,,IMD2,
,,n41,,2543,,10,,50,,2543,,N/A,,N/A,
,,28,,710.5,,5,,25,,765.5,,N/A,,N/A,
DC_3A-28A_n77A,,3,,1712.5,,5,,25,,1807.5,,N/A,,N/A,
,,28,,N/A,,5,,N/A,,770,,24.2,,IMD3,
,,n77,,4195,,10,,50,,4195,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1850,,25.8,,IMD35,
,,28,,735,,5,,25,,790,,N/A,,N/A,
,,n77,,3320,,10,,50,,3320,,N/A,,N/A,
DC_3A_n28A-n77ADC_3A_n28A-n77(2A),,3,,1712.5,,5,,25,,1807.5,,N/A,,N/A,
,,n28,,715,,5,,25,,770,,24.2,,IMD3,
,,n77,,4195,,10,,50,,4195,,N/A,,N/A,
DC_3A-28A_n78A,,3,,N/A,,5,,N/A,,1850,,25.9,,IMD3,
,,28,,735,,5,,25,,790,,N/A,,N/A,
,,n78,,3320,,10,,50,,3320,,N/A,,N/A,
DC_3A_n41A-n77A,,3,,1720,,5,,25,,1815,,N/A,,N/A,
,,n41,,2580,,10,,50,,2580,,N/A,,N/A,
,,n77,,N/A,,10,,N/A,,3440,,23.9,,IMD31,
,,3,,1720,,5,,25,,1815,,N/A,,N/A,
,,n41,,N/A,,10,,N/A,,2640,,17.6,,IMD5,
,,n77,,3900,,10,,50,,3900,,N/A,,N/A,
DC_3A-41A_n77ADC_3A-41C_n77ADC_3A-41A_n77(2A)DC_3A-41C_n77(2A),,3,,1720,,5,,25,,1815,,N/A,,N/A,
,,n77,,3900,,10,,50,,3900,,N/A,,N/A,
,,41,,N/A,,5,,N/A,,2640,,13,,IMD5,
DC_3A-42A_n79A9DC_3A-42C_n79A9DC_3A-42D_n79A9DC_3A-42E_n79A9,,3,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
,,42,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD5,
,,n79,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
DC_3A_n78A-n79A,,3,,1770,,5,,25,,1865,,N/A,,N/A,
,,n78,,3340,,10,,50,,3340,,N/A,,N/A,
,,n79,,N/A,,10,,N/A,,4910,,25.3,,IMD3,
,,3,,1770,,5,,25,,1865,,N/A,,N/A,
,,n78,,N/A,,10,,N/A,,3710,,25.2,,IMD5,
,,n79,,4510,,10,,50,,4510,,N/A,,N/A,
DC_5A_n2A-n77A2 DC_5A_n2A-n77C2,,n2,,N/A,,5,,N/A,,1987,,25.5,,IMD3,
,,5,,846.5,,5,,25,,891.5,,N/A,,N/A,
,,n77,,3680,,10,,50,,3680,,N/A,,N/A,
DC_5A_n5A-n77A2 DC_5A_n5A-n77C2,,5,,834,,5,,25,,879,,N/A,,N/A,
,,n5,,N/A,,5,,N/A,,889,,20.3,,IMD41,
,,n77,,3391,,10,,50,,3391,,N/A,,N/A,
DC_5A-13A_n77A2DC_5A-13A_n77C2,,5,,840,,5,,25,,885,,N/A,,N/A,
,,13,,N/A,,5,,N/A,,750,,19.4,,IMD5,
,,n77,,4110,,10,,50,,4110,,N/A,,N/A,
,,5,,N/A,,5,,N/A,,885,,19.5,,IMD5,
,,13,,782,,5,,20,,751,,N/A,,N/A,
,,n77,,4013,,10,,50,,4013,,N/A,,N/A,
DC_5A-30A_n77ADC_5A-30A_n77(2A),,5,,N/A,,5,,N/A,,880,,23.5,,IMD31,
,,30,,2310,,5,,25,,2355,,N/A,,N/A,
,,n77,,3740,,10,,50,,3740,,N/A,,N/A,
,,5,,835,,5,,25,,880,,N/A,,N/A,
,,30,,N/A,,5,,N/A,,2355,,21.4,,IMD32,
,,n77,,4025,,10,,50,,4025,,N/A,,N/A,
DC_5A-66A_n77ADC_5A-66A_n77(2A)DC_5A-66A-66A_n77ADC_5A-66A-66A_n77(2A),,5,,826.5,,5,,25,,871.5,,N/A,,N/A,
,,66,,N/A,,5,,N/A,,2142,,22.2,,IMD3,
,,n77,,3795,,10,,50,,3795,,N/A,,N/A,
DC_5A_n66A-n77A DC_5A_n66A-n77C,,5,,826.5,,5,,25,,871.5,,N/A,,N/A,
,,n66,,N/A,,5,,N/A,,2142,,22.2,,IMD3,
,,n77,,3795,,10,,50,,3795,,N/A,,N/A,
DC_7A_n1A-n78ADC_7A-7A_n1A-n78A,,1,,N/A,,5,,N/A,,2140,,19.7,,IMD4,
,,7,,2510,,10,,50,,2630,,N/A,,N/A,
,,n78,,3580,,10,,50,,3580,,N/A,,N/A,
DC_7A_n5A-n78A,,7,,2555,,5,,25,,2675,,N/A,,N/A,
,,n5,,N/A,,5,,N/A,,881,,34.7,,IMD21,
,,n78,,3436,,10,,50,,3436,,N/A,,N/A,
DC_7A-8A_n78ADC_7A-8B_n78ADC_7A-7A-8A_n78ADC_7A-7A-8B_n78A,,7,,2530,,5,,25,,2650,,N/A,,N/A,
,,8,,N/A,,5,,N/A,,940,,35.5,,IMD21,
,,n78,,3470,,10,,50,,3470,,N/A,,N/A,
,,7,,N/A,,5,,N/A,,2650,,33,,IMD2,
,,8,,895,,5,,25,,940,,N/A,,N/A,
,,n78,,3545,,10,,50,,3545,,N/A,,N/A,
DC_7A_n8A-n78ADC_7A-7A_n8A-n78A,,7,,2530,,5,,25,,2650,,N/A,,N/A,
,,n8,,N/A,,5,,N/A,,940,,35.5,,IMD21,
,,n78,,3470,,10,,50,,3470,,N/A,,N/A,
DC_7A-28A_n78A,,7,,2567.5,,5,,25,,2687.5,,N/A,,N/A,
,,28,,N/A,,5,,N/A,,782.5,,33.8,,IMD21,
,,n78,,3350,,10,,50,,3350,,N/A,,N/A,
,,7,,N/A,,5,,N/A,,2650,,35.5,,IMD2,
,,28,,740,,5,,25,,795,,N/A,,N/A,
,,n78,,3390,,10,,50,,3390,,N/A,,N/A,
DC_7A_n28A-n78ADC_7A-7A_n28A-n78A,,7,,2565,,5,,25,,2685,,N/A,,N/A,
,,n78,,3365,,10,,50,,3365,,N/A,,N/A,
,,n28,,N/A,,5,,N/A,,800,,33.8,,IMD21,
DC_7A-66A_n78A,,7,,2540,,5,,25,,2660,,N/A,,N/A,
,,66,,1760,,5,,25,,2160,,20.5,,IMD4,
,,n78,,3620,,10,,50,,3620,,N/A,,N/A,
DC_8A_n1A-n77ADC_8A_n1A-n77(2A),,8,,910,,5,,25,,955,,N/A,,N/A,
,,n1,,N/A,,5,,N/A,,2140,,27.5,,IMD3,
,,n77,,3960,,10,,50,,3960,,N/A,,N/A,
DC_8A_n1A-n79A,,8,,900,,5,,25,,945,,N/A,,N/A,
,,n1,,N/A,,5,,25,,2145,,25.7,,IMD4,
,,n79,,4845,,40,,216,,4845,,N/A,,N/A,
DC_8A_n3A-n77ADC_8A_n3A-n77(2A),,8,,910,,5,,25,,955,,N/A,,N/A,
,,n3,,N/A,,5,,N/A,,1820,,24.5,,IMD3,
,,n77,,3640,,10,,50,,3640,,N/A,,N/A,
DC_8A_n3A-n79A,,8,,910,,5,,25,,955,,N/A,,N/A,
,,n3,,N/A,,5,,N/A,,1850,,22.7,,IMD4,
,,n79,,4580,,40,,216,,4580,,N/A,,N/A,
DC_8A-11A_n77A,,8,,910,,5,,25,,955,,N/A,,N/A,
,,n77,,3311,,10,,50,,3311,,N/A,,N/A,
,,11,,N/A,,5,,N/A,,1491,,28.4,,IMD3,
DC_8A-11A_n79A,,8,,882.5,,5,,25,,927.5,,N/A,,N/A,
,,n79,,4980,,40,,216,,4980,,N/A,,N/A,
,,11,,N/A,,5,,N/A,,1478.4,,16.2,,IMD5,
DC_8A_n28A-n77ADC_8A_n28A-n77(2A),,8,,910,,5,,25,,955,,N/A,,N/A,
,,n28,,N/A,,5,,N/A,,765,,23,,IMD4,
,,n77,,3495,,10,,50,,3495,,N/A,,N/A,
DC_8A_n28A-n78A,,8,,910,,5,,25,,955,,N/A,,N/A,
,n28,,N/A,,5,,N/A,,765,,23,,IMD4,,
,n78,,3495,,10,,50,,3495,,N/A,,N/A,,
DC_8A_n28A-n79A,8,,905,,5,,25,,950,,N/A,,N/A,,
,n79,,4420,,40,,216,,4420,,N/A,,N/A,,
,n28,,N/A,,5,,N/A,,800,,24.0,,IMD5,,
DC_8A-41A_n77ADC_8A-41C_n77A,8,,895,,5,,25,,940,,N/A,,N/A,,
,41,,N/A,,5,,N/A,,2650,,34.0,,IMD2,,
,n77,,3545,,10,,50,,3545,,N/A,,N/A,,
DC_12A-30A_n77ADC_12A-30A_n77(2A),12,,N/A,,5,,N/A,,740,,23.5,,IMD31,,
,30,,2310,,5,,25,,2355,,N/A,,N/A,,
,n77,,3880,,10,,50,,3880,,N/A,,N/A,,
,12,,707.5,,5,,25,,737.5,,N/A,,N/A,,
,30,,N/A,,5,,N/A,,2355,,21.4,,IMD3,,
,n77,,3770,,10,,50,,3770,,N/A,,N/A,,
