Inter-band EN-DC configuration,"ΔRIB,c for E-UTRA band / NR band (dB)6",,,,
DC_1-3-8-41_n1DC_1-3-3-8-41_n1,-,-,-,03 / 0.54,-
DC_1-3-8-41_n41DC_1-3-3-8-41_n41,-,-,-,03 / 0.54,03 / 0.54
DC_1-3-8_n41-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-8-42_n77,0.2,0.2,0.2,0.5,0.5
DC_1-(n)3-n8-n77,0.2,0.2,0.2,0.2,0.5
DC_1-3-8_n71-n77,0.2,0.3,0.3,0.2,0.5
DC_1-3-8_n77-n79,0.2,0.3,0.3,0.5,-
DC_1-3-11_n28-n77,0.2,0.3,0.5,0.2,0.5
DC_1-3-18_n3-n41,-,0.5,-,0.5,03 / 0.54
DC_1-3-18_n3-n77,0.2,0.2,-,0.2,0.5
DC_1-3-18_n3-n78,0.2,0.2,-,0.2,0.5
DC_1-3-18_n28-n41,-,0.5,-,0.2,03 / 0.54
DC_1-3-18_n28-n77,-,-,-,0.2,0.5
DC_1-3-18_n28-n78,-,-,-,0.2,0.5
DC_1-3-18_n41-n77,-,0.5,-,03 / 0.54,0.5
DC_1-3-18_n41-n78,-,0.5,-,03 / 0.54,0.5
DC_1-3-18-42_n77,0.2,0.2,-,0.5,0.5
DC_1-3-18-42_n78,0.2,0.2,-,0.5,0.5
DC_1-3-18-42_n79,0.2,0.2,-,0.5,-
DC_1-3-19-21_n77,0.2,0.3,-,0.5,0.5
DC_1-3-19-21_n78,0.2,0.3,-,0.5,0.5
DC_1-3-19-21_n79,-,0.3,-,0.5,-
DC_1-3-19-42_n77,0.2,0.2,-,0.5,0.5
DC_1-3-19-42_n78,0.2,0.2,-,0.5,0.5
DC_1-3-19-42_n79,0.2,0.2,-,0.5,-
DC_1-3-20_n1-n78,0.2,0.2,-,0.2,0.5
DC_1-3-20_n7-n78,0.2,0.2,-,-,0.5
DC_1-3-20_n8-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-20_n28-n75,0.2,0.5,0.2,0.5,-
DC_1-3-20_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-20-28_n78DC_1-3-3-20-28_n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-20-32_n28,-,0.5,0.2,-,0.5
DC_1-3-20-32_n78,0.2,0.2,-,-,0.5
DC_1-3-20-38_n28,-,0.2,0.2,0.4,0.5
DC_1-3-20-38_n78,-,0.2,0.2,0.4,0.5
DC_1-3-20_n38-n78,-,0.2,0.2,0.4,0.5
DC_1-3-20-40_n28,-,0.2,0.2,0.4,0.5
DC_1-3-20-40_n78,-,-,-,05,0.55
DC_1-3-20-41_n1DC_1-3-3-20-41_n1,-,-,-,03 / 0.54,-
DC_1-3-20-41_n78,-,-,-,03 / 0.54,0.5
DC_1-3-20_n41-n78,-,-,-,-,0.5
DC_1-3-21-42_n77,0.2,0.3,0.5,0.5,0.2
DC_1-3-21-42_n78,0.2,0.3,0.5,0.5,0.2
DC_1-3-21-42_n79,0.2,0.3,0.5,0.5,-
DC_1-3-21_n77-n79,0.2,0.3,0.5,0.5,-
DC_1-3-21_n78-n79,0.2,0.3,0.5,0.5,-
DC_1-3-28_n3-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-28_n7-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-28_n40-n71,0.2,0.2,0.7,0.2,0.7
DC_1-3-28_n40-n77,-,-,-,-,0.5
DC_1-3-28-40_n78,-,-,0.2,-,0.5
DC_1-3-28_n40-n78,-,0.2,0.2,0.45,0.55
DC_1-3-28-42_n77,0.2,0.2,0.2,0.5,0.5
DC_1-3-28-42_n78,0.2,0.2,0.2,0.5,0.5
DC_1-3-28-42_n79,0.2,0.2,0.2,0.5,-
DC_1-3-28_n71-n77,0.2,0.2,0.7,0.7,0.5
DC_1-3_n28-n77-n79,0.2,0.2,0.2,0.5,-
DC_1_n3-n28-n77-n79,0.3,0.2,0.5,0.5,0.5
DC_1-3_n28-n78-n79,0.2,0.2,0.2,0.5,-
DC_1-3-32_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-38_n7-n78,0.3,0.3,0.4,0.3,0.5
DC_1-3-38_n28-n78,-,0.2,-,0.2,0.5
DC_1-3-41_n1-n41DC_1-3-3-41_n1-n41,-,-,03 / 0.54,-,03 / 0.54
DC_1-3-41_n1-n78DC_1-3-3-41_n1-n78,-,-,03 / 0.54,-,0.5
DC_1-3-41_n3-n41,-,-,03 / 0.54,-,03 / 0.54
DC_1-3-41_n3-n77,0.2,0.2,-,0.2,0.5
DC_1-3-41_n3-n78,0.2,0.2,-,0.2,0.5
DC_1-3-41_n28-n41,-,-,03 / 0.54,0.2,03 / 0.54
DC_1-3-41_n28-n77,0.2,0.2,03 / 0.54,0.2,0.5
DC_1-3-41_n28-n78,-,0.2,03 / 0.54,0.2,0.5
DC_1-3-41_n41-n77,0.2,0.2,-,-,0.5
DC_1-3-41_n41-n78,0.2,0.2,-,-,0.5
DC_1-3-41-42_n77,0.2,0.2,-,0.5,0.5
DC_1-3-41-42_n78,0.2,0.2,-,0.5,0.5
DC_1-3-41-42_n79,0.2,0.2,-,0.5,-
DC_1-3-42_n28-n77,0.2,0.2,0.5,0.5,0.5
DC_1-5-7_n28-n78,0.2,0.2,0.2,0.2,0.8
DC_1-5-7_n40-n77DC_1-5-7-7_n40-n77,0.2,0.2,-,0.45,0.55
DC_1-5-7_n40-n78DC_1-5-7-7_n40-n78,0.2,0.2,-,0.45,0.55
DC_1-7-8_n7-n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-8-20 _n3,-,-,0.2,0.2,-
DC_1-7-8-20 _n28,-,-,0.2,0.2,0.2
DC_1-7-8-20_n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-8_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-8-32_n78,0.2,0.2,0.2,-,0.5
DC_1-7-8-40_n78,0.2,-,0.2,0.45,0.55
DC_1-7-20_n3-n38,-,-,0.2,-,0.2
DC_1-7-20_n3-n78,0.2,0.2,0.2,-,0.5
DC_1-7-20_n8-n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-20-28_n3,-,-,0.2,0.2,-
DC_1-7-20_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-20-32_n8,-,-,0.2,-,0.2
DC_1-7-20-32_n28,-,-,0.2,-,0.2
DC_1-7-20-32_n78,0.2,0.2,0.2,-,0.5
DC_1-7-20-38_n3,-,-,-,0.2,-
DC_1-7-28_n3-n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-28_n5-n40,-,0.3,0.2,0.2,0.8
DC_1-7-28_n7-n78,0.2,0.2,0.2,0.2,0.5
DC_1-7-28-32_n3,-,-,0.2,-,-
DC_1-7-28_n40-n78,0.2,-,0.2,0.4,0.5
DC_1-7-32_n28-n78,-,-,-,0.2,0.5
DC_1-7-38_n3-n78,0.6,0.6,-,-,0.8
DC_1-7_n40-n78-n105,0.2,0.2,0.2,0.5,0.3
DC_1-8_n3-n28-n77,0.2,0.2,0.2,0.2,0.5
DC_1-8_n3-n28-n79,0.3,0.3,0.2,0.2,0.5
DC_1-8_n3-n77-n79,0.2,0.2,0.2,0.5,0.5
DC_1-8-11_n3-n28,-,0.2,0.3,0.5,0.2
DC_1-8-11_n3-n77,0.2,0.2,0.3,0.5,0.5
DC_1-8-11_n28-n77,0.2,0.2,-,0.2,0.5
DC_1-8-11_n3-n79,-,-,0.3,0.5,0.5
DC_1-8-11_n77-n79,0.2,0.2,-,0.5,-
DC_1-8-20-28_n78,0.2,0.2,0.2,0.2,0.5
DC_1-8-20-38_n28,0.2,0.2,0.2,-,0.2
DC_1-8-20-38_n78,0.2,0.2,0.2,-,0.5
DC_1-8-20-40_n28,0.2,0.2,0.2,-,0.2
DC_1-8-28_n40-n71,-,0.2,0.7,-,0.7
DC_1-8-28_n40-n77,-,-,-,-,0.5
DC_1-8-28_n71-n77,0.2,0.2,0.7,0.7,0.5
DC_1-8_n28-n77-n79,0.3,0.3,0.3,0.5,0.5
DC_1-8-41_n1-n41,0.2,0.2,0.2,0.2,0.2
DC_1-8-41_n1-n78,0.2,0.2,0.2,0.2,0.5
DC_1-8-42_n28-n77,0.2,0.2,0.5,0.5,0.5
DC_1-11_n3-n28-n77,0.2,0.3,0.5,0.2,0.3
DC_1-18-41_n3-n77,0.2,-,03 / 0.54,0.2,0.5
DC_1-18-41_n3-n78,0.2,-,03 / 0.54,0.2,0.5
DC_1-8-(n)3-n77,0.2,0.2,0.2,0.2,0.5
DC_1-8-(n)3-n78,0.2,0.2,0.2,0.2,0.5
DC_1-8-42_n3-n28,-,0.2,0.5,0.2,0.5
DC_1-8-42_n3-n77,0.2,0.2,0.5,0.2,0.5
DC_1-11_n3-n77-n79,0.2,0.3,0.5,0.5,0.5
DC_1-19-21-42_n77,0.2,-,-,0.5,0.5
DC_1-19-21-42_n78,-,-,-,0.5,0.5
DC_1-19-21-42_n79,-,-,-,0.5,-
DC_1-19-42_n77-n79,0.2,-,0.5,0.5,-
DC_1-19-42_n78-n79,-,-,0.5,0.5,-
DC_1-20-28-32_n3,-,0.2,0.2,-,-
DC_1-20-38_n3-n78,-,-,-,0.2,0.5
DC_1-20-41_n1-n78,-,-,-,-,0.5
DC_1-21-28-42_n77,0.2,-,0.2,0.5,0.5
DC_1-21-28-42_n78,-,-,0.2,0.5,0.5
DC_1-21-28-42_n79,-,-,0.2,0.5,-
DC_1-21_n28-n77-n79,0.3,-,0.3,0.5,-
DC_1-21_n28-n78-n79,0.3,-,0.3,0.5,-
DC_1-21-42_n77-n79,0.2,0.2,0.5,0.5,-
DC_1-21-42_n78-n79,-,0.2,0.5,0.5,-
DC_1-28-32_n40-n41,-,0.2,-,0.8,0.3
DC_1-42_n3-n28-n77,0.2,0.5,0.2,0.5,0.5
DC_2-5-7_n2-n66,0.3,-,0.5,0.3,0.5
DC_2-5-7_n2-n77,0.2,0.2,0.2,0.5,0.5
DC_2-5-7_n2-n78,0.2,0.2,0.2,0.5,0.5
DC_2-5-7-66_n2,0.3,-,0.5,0.5,0.3
DC_2-5-7-66_n7DC_2-5-7-66-66_n7,0.3,0.2,0.5,0.5,0.5
DC_2-5-7-(n)66DC_2-5-7-7-(n)66DC_2-5-7-66_n66,0.3,-,0.5,0.5,0.5
DC_2-5-7-66_n77DC_2-5-7_n66-n77,0.2,-,0.2,0.2,0.5
DC_2-5-7-66_n78DC_2-5-7_n66-n78,0.2,-,0.2,0.2,0.5
DC_2-5-30-66_n2,0.4,-,0.5,0.4,0.4
DC_2-5-30-66_n66,0.4,-,0.5,0.4,0.4
DC_2-5-30-66_n77,0.3,0.2,0.5,0.4,0.5
DC_2-5-66_n2-n41,0.3,0.2,0.5,0.5,0.51 / 12
DC_2-5-66_n2-n66,0.3,-,0.3,0.3,0.3
DC_2-5-66_n2-n77DC_2-5-66-66_n2-n77,0.2,0.2,0.3,0.3,0.5
DC_2-5-66_n2-n78,0.2,0.2,0.3,0.3,0.5
DC_2-5-66_n5-n77DC_2-5-66-66_n5-n77,0.3,0.2,0.2,0.2,0.5
DC_2-5-66_n41-n66,0.3,-,0.6,0.5,0.6
DC_2-5-66_n41-n77,0.3,0.2,0.6,0.51 / 12,0.6
DC_2-5-66_n41-n78,0.3,0.2,0.6,0.51 / 12,0.6
DC_2-5-66_n66-n77,0.3,-,0.3,0.3,0.5
DC_2-7-12_n2-n66,0.3,0.3,0.5,0.3,0.5
DC_2-7-12_n2-n77,0.2,0.2,0.2,-,0.5
DC_2-7-12_n2-n78,0.3,0.3,0.5,0.3,0.5
DC_2-7-12-66_n2,0.3,0.3,0.5,0.5,0.3
DC_2-7-12-66_n66,0.3,0.3,0.5,0.5,0.5
DC_2-7-12-66_n77DC_2-7-12_n66-n77,0.2,0.5,0.2,0.5,0.5
DC_2-7-12-66_n78DC_2-7-12_n66-n78,0.2,0.2,-,0.2,0.5
DC_2-7-13-(n)66DC_2-7-7-13-(n)66DC_2-7-13_n25-n66,0.3,0.5,-,0.3,0.5
DC_2-7-13-66_n66,0.3,0.5,-,0.5,0.5
DC_2-7-28-66_n7,0.3,0.5,0.2,0.5,0.5
DC_2-7-28-66_n66,0.3,0.5,0.2,0.5,0.5
DC_2-7-29-66_n78DC_2-7-7-29-66_n78,0.2,0.5,0.2,0.5,0.5
DC_2-7-66_n2-n66,0.3,0.5,0.3,0.3,0.5
DC_2-7-66_n2-n71,0.3,0.5,0.3,0.5,-
DC_2-7-66_n2-n77,0.3,0.5,0.5,0.3,0.5
DC_2-7-66_n2-n78,0.3,0.5,0.5,0.3,0.5
DC_2-7-66_n25-n66,0.3,0.5,0.5,0.3,0.5
DC_2-7-66_n66-n71,0.3,0.5,0.5,0.5,0.2
DC_2-7-66_n66-n77,0.3,0.5,0.5,0.5,0.5
DC_2-7-(n)66-n78DC_2-7-66_n66-n78DC_2-7-7-(n)66-n78DC_2-7-7-66_n66-n78,0.3,0.5,0.5,0.5,0.5
DC_2-7-66-71_n2,0.3,0.5,0.5,-,0.3
DC_2-7-66-71_n66,0.3,0.5,0.5,0.2,0.5
DC_2-7-66-71_n77DC_2-7-66_n71-n77,0.2,0.2,0.2,-,0.5
DC_2-7-66-71_n78DC_2-7-66_n71-n78,0.2,0.2,0.2,-,0.5
DC_2-7-71_n2-n66,0.3,0.5,-,0.3,0.5
DC_2-7-71_n2-n77,0.2,0.2,0.2,-,0.5
DC_2-7-71_n2-n78,0.2,0.2,0.2,-,0.5
DC_2-7-71_n66-n77,0.3,0.5,0.2,0.3,0.5
DC_2-7-71_n66-n78,0.3,0.5,0.2,0.3,0.5
DC_2-12-30-66_n2,0.4,0.5,0.5,0.4,0.4
DC_2-12-30-66_n66,0.4,0.5,0.5,0.4,0.4
DC_2-12-30-66_n77,0.2,0.5,0.5,0.5,0.5
DC_2-12-66_n2-n41,0.3,0.5,0.3,0.3,0.5
DC_2-12-66_n2-n66,0.5,0.3,0.3,0.3,0.3
DC_2-12-66_n2-n77,0.2,-,0.3,0.3,0.5
DC_2-12-66_n2-n78,0.2,-,0.3,0.3,0.5
DC_2-12-66_n66-n77,0.3,-,0.3,0.3,0.5
DC_2-13-66_n2-n77DC_2-13-66-66_n2-n77,0.2,-,0.3,0.3,0.5
DC_2-13-66_n5-n77DC_2-2-13-66_n5-n77DC_2-13-66-66_n5-n77,0.3,0.2,0.2,0.2,0.5
DC_2-13-66_n66-n77DC_2-2-13-66_n66-n77,0.3,-,0.3,0.3,0.5
DC_2-14-30-66_n2,0.4,-,0.5,0.4,0.4
DC_2-14-30-66_n66,0.4,-,0.5,0.4,0.4
DC_2-14-30-66_n77,0.2,0.2,0.5,0.5,0.5
DC_2-29-30-66_n2,0.4,-,0.5,0.4,0.4
DC_2-29-30-66_n66,0.4,-,0.5,0.4,0.4
DC_2-29-30-66_n77,0.2,0.5,0.5,0.5,0.5
DC_2-30-66-(n)5,0.4,-,0.5,0.4,-
DC_2-46-66_n41-n71,0.3,-,0.3,0.51 / 12,0.5
DC_2-66-71_n2-n41,0.3,0.3,0.2,0.3,0.3
DC_2-66-71_n2-n66,0.3,0.3,-,0.3,0.3
DC_2-66-71_n2-n77,0.3,0.5,-,0.3,0.5
DC_2-66-71_n2-n78,0.3,0.5,-,0.3,0.5
DC_2-66-71_n66-n77,0.3,0.3,-,0.3,0.5
DC_3-5-7_n28-n78,0.2,0.2,0.2,0.2,0.8
DC_3-5-7_n40-n77DC_3-5-7-7_n40-n77,0.2,0.2,-,0.45,0.55
DC_3-5-7_n40-n78DC_3-5-7-7_n40-n78,0.2,0.2,-,0.45,0.55
DC_3-7_n1-n40-n78,0.6,0.8,0.6,0.9,0.8
DC_3-7_n1-n75-n78,0.3,0.3,0.3,-,0.5
DC_3-7-8_n1-n40,-,0.3,0.2,0.1,0.8
DC_3-7-8_n1-n78DC_3-3-7-8_n1-n78DC_3-7-7-8_n1-n78DC_3-3-7-7-8_n1-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-8_n7-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-8-20_n1,-,-,0.2,0.2,-
DC_3-7-8-20_n78,-,-,0.2,0.2,0.5
DC_3-7-20-28_n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-8_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-8-40_n78,0.2,-,0.2,0.45,0.55
DC_3-7-20_n1-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-20_n8-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-20-28_n1,-,-,0.2,0.2,-
DC_3-7-20_n28-n78,0.2,0.2,0.2,0.2,-
DC_3-7-20-38_n78,0.2,0.2,-,0.2,0.5
DC_3-7-28_n1-n40,-,0.3,0.2,-,0.8
DC_3-7-28_n1-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-28_n3-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-28_n5-n40,-,0.7,0.2,0.2,0.8
DC_3-7-28_n7-n78,0.2,0.2,0.2,0.2,0.5
DC_3-7-32_n1-n28,0.2,0.2,-,0.2,0.2
DC_3-7-32_n28-n78,0.2,0.2,-,0.2,0.5
DC_3-7-28_n40-n78,0.2,-,0.2,0.4,0.5
DC_3-7-32_n1-n78,0.3,0.3,-,0.3,0.5
DC_3-7-40_n1-n78,0.2,-,0.45,0.2,0.55
DC_3-7_n40-n78-n105,0.2,0.2,0.2,0.5,0.3
DC_3-8-11_n28-n77,0.3,0.2,0.5,0.2,0.5
DC_3-8-20_n1-n78,0.2,0.2,0.2,0.3,0.5
DC_3-8-20-28_n1,02,0.2,0.2,0.2,0.2
DC_3-8-20-38_n1,02,0.2,0.2,0.4,0.2
DC_3-8-20-38_n28,02,0.2,0.2,0.4,0.2
DC_3-8-20-40_n1,02,0.2,0.2,0.4,0.2
DC_3-8-20-40_n28,02,0.2,0.2,0.4,0.2
DC_3-8-20-40_n78,02,0.2,0.2,0.4,0.5
DC_3-8-28-38_n1,02,0.2,0.2,0.4,0.2
DC_3-8-28-40_n1,02,0.2,0.2,0.4,0.2
DC_3-8-28_n40-n71,-,0.2,0.7,-,0.7
DC_3-8-28_n40-n77,-,-,-,-,0.5
DC_3-8-28_n71-n77,0.2,0.2,0.7,0.7,0.5
DC_3-8-32_n1-n78,0.2,0.2,0.5,0.3,0.5
DC_3-8-40_n1-n78,0.2,0.2,0.45,0.2,0.55
DC_3-8-41_n1-n41DC_3-3-8-41_n1-n41,-,-,03 / 0.54,-,03 / 0.54
DC_3-8-41_n1-n78DC_3-3-8-41_n1-n78,0.2,0.2,0.2,0.2,0.5
DC_3-19-21-42_n77,0.3,-,0.5,0.5,0.5
DC_3-19-21-42_n78,0.3,-,0.5,0.5,0.5
DC_3-19-21-42_n79,0.3,-,0.5,0.5,-
DC_3-19-42_n1-n77,0.2,-,0.5,0.2,0.5
DC_3-19-42_n1-n78,0.2,-,0.5,0.2,0.5
DC_3-19-42_n1-n79,0.2,-,0.5,0.2,-
DC_3-20_n1-n28-n75,0.5,0.2,-,0.5,-
DC_3-20-28-38_n1,0.2,0.2,0.2,0.4,0.2
DC_3-20-28-40_n1,0.2,0.2,0.2,0.4,0.2
DC_3-20-28-40_n78,0.2,0.2,0.2,0.4,0.5
DC_3-20-32_n1-n28,0.5,0.2,-,0.2,0.5
DC_3-20-32_n1-n78,0.2,0.2,-,0.2,0.5
DC_3-20-38-40_n1,0.2,0.2,0.4,0.4,0.2
DC_3-20-38-40_n28,0.2,0.2,0.4,0.4,0.2
DC_3-20-41_n1-n78DC_3-3-20-41_n1-n78,-,-,-,-,0.5
DC_3-21_n1-n77-n79,0.3,0.5,0.2,0.5,-
DC_3-21_n1-n78-n79,0.3,0.5,0.2,0.5,-
DC_3-21_n28-n77-n79,0.3,0.5,0.2,0.5,-
DC_3-21-42_n1-n77,0.3,0.5,0.5,0.2,0.2
DC_3-21-42_n1-n78,0.3,0.5,0.5,0.2,0.2
DC_3-21-42_n1-n79,0.3,0.5,0.5,0.2,-
DC_3-28_n1-n40-n78,0.2,0.2,0.2,0.8,0.5
DC_3-28-41-42_n78,0.5,0.2,0.43 / 0.54,N/A,0.5
DC_5-7-66_n2-n66,-,0.5,0.3,0.3,0.5
DC_5-7-66_n2-n77,0.5,0.5,0.5,0.3,0.5
DC_5-7-66_n2-n78,0.5,0.5,0.5,0.3,0.5
DC_5-7-66_n66-n77,0.5,0.5,0.5,0.3,0.5
DC_7-8-20-32_n1,-,0.2,0.2,-,-
DC_7-8-20-38_n1,-,0.2,0.2,0.2,-
DC_7-8-20_n1-n78,-,0.2,0.2,-,0.5
DC_7-8-32_n1-n78,-,0.2,-,-,0.5
DC_7-8-32-38_n1,-,0.2,-,0.2,-
DC_7-8-40_n1-n78,-,0.2,0.45,0.2,0.55
DC_7-12-66_n2-n66,0.5,0.5,0.3,0.3,0.3
DC_7-12-66_n2-n77,0.5,0.5,0.5,0.3,0.5
DC_7-12-66_n2-n78,0.5,0.5,0.5,0.3,0.5
DC_7-12-66_n66-n77,0.5,0.5,0.5,0.3,0.5
DC_7-20-28-32_n3,-,0.2,0.1,-,-
DC_7-20-28-38_n1,-,0.2,-,-,-
DC_7-20-32_n1-n78,-,-,-,-,0.5
DC_7-20-32-38_n1,-,-,-,0.2,-
DC_7-28-32-38_n1,-,0.2,-,0.2,-
DC_7-20-32-38_n1,-,-,-,0.2,-
DC_7-20-38_n3-n78,-,-,0.4,-,0.6
DC_7-28_n1-n40-n78,0.3,0.2,0.2,0.8,0.5
DC_7-66-71_n2-n66,0.5,0.3,0.2,0.3,0.5
DC_7-66-71_n2-n77,0.5,0.5,-,0.3,0.5
DC_7-66-71_n2-n78,0.5,0.5,-,0.3,0.5
DC_7-66-71_n66-n77,0.5,0.5,0.1,0.5,0.5
DC_8_n3-n28-n77-n79,0.2,0.2,0.2,0.5,0.5
DC_8-11_n3-n28-n77,0.2,0.3,0.5,0.2,0.5
DC_8-11_n3-n77-n79,0.2,0.3,0.5,0.5,0.5
DC_8-20-28-38_n1,-,0.2,-,-,-
DC_8-20-28-40_n1,-,0.2,-,-,-
DC_8-20-38-40_n28,-,0.2,-,-,-
DC_8-42_n3-n28-n77,0.2,0.5,0.2,0.5,0.5
DC_19-21-42_n1-n77,-,-,0.5,0.2,0.5
DC_19-21-42_n1-n78,-,-,0.5,-,0.5
DC_19-21-42_n1-n79,-,-,0.5,-,-
DC_19-21-42_n77-n79,-,-,0.5,0.5,-
DC_19-21-42_n78-n79,-,-,0.5,0.5,-
DC_19-42_n1-n77-n79,0.3,0.5,0.3,0.5,-
DC_19-42_n1-n78-n79,0.3,0.5,0.3,0.5,-
DC_20-28-32-38_n1,0.2,0.2,-,-,-
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2545 – 2690 MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496 – 2545 MHz.NOTE 3:The requirement is applied for UE transmitting on the frequency range of 2515 - 2690 MHz.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 5:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 6:“-” denotes ΔRIB,c = 0.NOTE 7:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively, such as for DC_2-30-66-(n)5 the band order from left to right is 2, 5, 30, 66 and n5.",,,,,
