Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)6",,
DC_2-7_n5DC_2-7-7_n5,0.3,0.3,0.3
DC_2-7_n7,0.5,0.5,0.5
DC_2-7_n12DC_2-2-7_n12,0.5,0.5,0.3
DC_2_n7-n12,0.5,0.5,0.3
DC_2-7_n25DC_2-7-7_n25,0.5,0.5,0.5
DC_2-7_n28,0.5,0.5,0.3
DC_2_n5-n77,0.6,0.3,0.8
DC_2-7_n38DC_2-2-7_n38,0.5,N/A,N/A
DC_2-7_n71,0.5,0.5,0.6
DC_2_n7-n71,0.5,0.5,0.3
DC_2-7_n66DC_2-7-7_n66DC_2_n7-n66,0.5,0.5,0.5
DC_2-7_n77DC_2-2-7_n77DC_2-7-7_n77,0.6,0.5,0.8
DC_2_n7-n77,0.6,0.5,0.8
DC_2-7_n78DC_2-2-7_n78,0.5,0.5,-
DC_2_n7-n78,0.6,0.5,0.8
DC_2-8_n2,0.3,0.3,0.3
DC_2-12_n2,0.3,0.3,-
DC_2-12_n5DC_2-2-12_n5,0.3,0.4,0.8
DC_2-12_n7DC_2-2-12_n7,0.5,0.3,0.5
DC_2_(n)12,0.3,0.3,0.3
DC_2-12_n30DC_2-2-12_n30,0.5,0.3,0.3
DC_2-12_n41DC_2-2-12_n41,0.5,0.3,0.5
"DC_2-12_n66, DC_2-2-12_n66",0.5,0.8,0.5
DC_2-12_n77DC_2-2-12_n77,0.6,0.3,0.8
DC_2_n12-n77DC_2-2_n12-n77,0.6,0.3,0.8
DC_2-12_n78,0.6,0.6,0.8
DC_2_n12-n78,0.6,0.3,0.8
DC_2_n38-n66,0.5,0.9,0.5
DC_2-13_n2,0.3,0.3,0.3
DC_2-13_n5DC_2-2-13_n5,0.3,0.5,0.3
DC_2-13_n25,0.3,0.3,0.3
DC_2-13_n48,0.6,0.3,0.8
DC_2-13_n66DC_2-2-13_n66,0.5,0.3,0.5
DC_2-13_n77DC_2-2-13_n77,0.6,0.5,0.8
DC_2-14_n2,0.3,0.3,0.3
DC_2-14_n5DC_2-2-14_n5,0.3,0.4,0.8
DC_2-14_n30DC_2-2-14_n30,0.5,0.3,0.5
DC_2-14_n66DC_2-2-14_n66,0.5,0.3,0.5
DC_2-14_n77DC_2-2-14_n77,0.5,0.3,0.8
DC_2_n25-n66,0.5,0.5,0.5
DC_2-28_n7,0.5,0.3,0.5
DC_2-28_n66,0.5,0.6,0.5
DC_2-28_n78,0.6,0.5,0.8
DC_2-29_n30DC_2-2-29_n30,0.5,N/A,0.3
DC_2-29_n66DC_2-2-29_n66,0.5,N/A,0.5
DC_2-29_n77DC_2-2-29_n77,0.6,N/A,0.8
DC_2-29-n78,0.6,N/A,0.8
DC_2-30_n2,0.5,0.3,0.5
"DC_2-30_n5, DC_2-2-30_n5",0.5,0.3,0.3
"DC_2-30_n66, DC_2-2-30_n66",0.5,0.3,0.5
DC_2-30_n77DC_2-2-30_n77,0.6,0.3,0.8
DC_2_n38-n71,0.5,0.5,0.3
DC_2-38_n78,0.6,0.9,0.8
DC_2_n38-n78,0.6,0.9,0.8
DC_2_n41-n66DC_2-2_n41-n66,0.5,0.5,0.5
DC_2_n41-n71DC_2-2_n41-n71,0.5,0.5,0.3
DC_2_n41-n77,0.6,0.41 / 0.92,0.8
DC_2_n41-n78,0.6,0.41 / 0.92,0.8
DC_2-46_n5DC_2-2-46_n5,0.3,NA,0.3
DC_2-46_n41,0.5,NA,0.41 / 0.92
DC_2-46_n66,0.5,NA,0.5
DC_2-46_n77DC_2-46-46_n77,0.6,NA,0.8
DC_2-48_n2,0.6,0.8,0.6
DC_2-48_n5,0.6,0.8,0.3
DC_2-48_n12,0.6,0.3,0.8
DC_2-48_n48,0.6,0.8,0.8
DC_2-48_n66,0.6,0.8,0.6
DC_2-48_n71,0.6,0.8,0.3
DC_2-48_n77DC_2-48-48_n77DC_2-48-48-48_n77,0.3,N/A,0.5
DC_2-66_n2DC_2-66-66_n2,0.5,0.5,0.5
"DC_2-66_n5,DC_2-2-66_n5,DC_2-66-66_n5,DC_2-2-66-66_n5,DC_2-66-66-66_n5",0.5,0.5,0.3
DC_2-66_n7DC_2-2-66_n7,0.5,0.5,0.5
DC_2-66_n12,0.5,0.5,0.8
DC_2-66_n25,0.5,0.5,0.5
DC_2-66-n28,0.5,0.5,0.6
DC_2-66_n30DC_2-2-66_n30DC_2-66-66_n30DC_2-2-66-66_n30,0.5,0.5,0.3
DC_2-66_n38DC_2-2-66_n38DC_2-66-66_n38,0.5,0.5,0.9
DC_2-66_n41,0.5,0.5,0.81 / 1.32
DC_2-66_n48DC_2-66-66_n48,0.6,0.6,0.8
DC_2-66_n66DC_2-2-66-66_n66,0.5,0.5,0.5
DC_2_(n)66,0.5,0.5,0.5
DC_2-66_n71DC_2_n66-n71DC_2-2_n66-n71,0.5,0.5,0.3
DC_2-66_n77DC_2-2-66_n77DC_2-66-66_n77DC_2-2-66-66_n77,0.6,0.6,0.8
DC_2_n66-n77DC_2-2_n66-n77,0.6,0.6,0.8
DC_2-66_n78DC_2-66-66_n78DC_2_n66-n78,0.6,0.6,0.8
DC_2-71_n7 DC_2-2-71_n7,0.5,0.6,0.5
DC_2-71_n38DC_2-2-71_n38,0.5,0.3,0.5
DC_2-71_n41DC_2-2-71_n41,0.5,0.3,0.5
DC_2-71_n66DC_2-2-71_n66,0.5,0.3,0.5
DC_2-71_n71,0.3,0.3,0.3
DC_2-(n)71,0.3,0.3,0.3
DC_2_n71-n77DC_2-2_n71-n77,0.6,0.6,0.8
DC_2-71_n77DC_2-2-71_n77,0.6,0.6,0.8
DC_2-71_n78DC_2-2-71_n78,0.6,0.6,0.8
DC_2_n71-n78DC_2-2_n71-n78,0.6,0.6,0.8
DC_3_n1-n5,0.3,0.3,0.3
DC_3_n1-n7,0.6,0.6,0.6
DC_3_n1-n8DC_3-3_n1-n8,0.3,0.3,0.3
DC_3_n1-n20DC_3-3_n1-n20,0.3,0.3,0.3
DC_3_n1-n28,0.3,0.3,0.6
DC_3_n1-n38,0.5,0.5,0.5
DC_3_n1-n40,0.5,0.5,0.5
DC_3_n1-n41DC_3-3_n1-n41,0.5,0.5,0.5
DC_3_n1-n75,0.5,0.5,N/A
DC_3_n1-n77,0.6,0.6,0.8
DC_3_n1-n78,0.6,0.6,0.8
DC_3_n1-n105,0.3,0.3,0.6
DC_(n)3-n7,0.5,0.5,0.5
DC_3_n3-n7,0.5,0.5,0.5
DC_(n)3-n8,0.3,-,0.3
DC_(n)3-n28,0.3,0.3,0.3
DC_3_n3-n28,0.3,0.3,0.3
DC_(n)3-n77,-,0.6,0.8
DC_(n)3-n78,-,0.6,0.8
DC_3_n1-n79,0.3,0.3,-
DC_3_n3-n41,0.5,0.5,0.33 / 0.84
DC_3_n3-n77,0.6,0.6,0.8
DC_3_n3-n78,0.6,0.6,0.8
DC_3-5_n1,0.3,0.3,0.3
DC_3-5_n3,0.3,0.3,0.3
DC_3-5_n28,0.3,0.7,0.7
DC_3_n5-n40DC_3-5_n40,0.5,0.3,0.5
DC_3-5_n77,0.6,0.6,0.8
DC_3-5_n78,0.6,0.6,0.8
DC_3-5_n79,0.3,0.3,-
DC_3_n5-n105,0.3,0.3,0.6
DC_3-7_n1DC_3-3-7_n1DC_3-7-7_n1DC_3-3-7-7_n1,0.3,0.6,0.5
DC_3-7_n3,0.5,0.5,0.5
DC_3-7_n5,0.5,0.5,0.3
DC_3-7_n7DC_3-(n)7,0.5,0.5,0.5
DC_3-7_n8DC_3-3-7_n8DC_3-7-7_n8DC_3-3-7-7_n8,0.5,0.5,0.6
DC_3-7_n26,0.5,0.5,0.3
DC_3-7_n28,0.5,0.5,0.3
DC_3_n7-n28,0.5,0.5,0.3
DC_3-7_n38,0.5,N/A,N/A
DC_3-7_n40DC_3-7-7_n40,0.6,0.8,0.9
DC_3-7_n77DC_3-3-7_n77DC_3-7-7_n77DC_3-3-7-7_n77,0.6,0.6,0.8
DC_3-7_n78DC_3-7-7_n78DC_3-3-7_n78DC_3-3-7-7_n78,0.6,0.6,0.8
DC_3_n7-n78,0.6,0.6,0.8
DC_3-7_n79DC_3-3-7_n79DC_3-7-7_n79DC_3-3-7-7_n79,0.5,0.5,0.8
DC_3-7_n105,0.5,0.5,0.6
DC_3-8_n1DC_3-3-8_n1,0.3,0.3,0.3
DC_3-8_n7,0.5,0.6,0.5
DC_3-8_n40,0.5,0.3,0.5
DC_3_n8-n40,0.5,0.3,0.5
DC_3_n8-n41,0.5,0.3,0.33/0.84
DC_3-8_n41DC_3-3-8_n41,0.5,0.3,0.33/0.84
DC_3-8_n28,0.3,0.6,0.5
DC_3-8_n71,0.3,0.6,0.5
DC_3-8_n77,0.6,0.6,0.8
DC_3_n8-n77,0.6,0.6,0.8
DC_3-8_n78DC_3-3-8_n78,0.6,0.6,0.8
DC_3_n8-n78DC_3-3_n8-n78,0.6,0.6,0.8
DC_3-8_n79,0.3,0.3,-
DC_3-11_n28,0.8,0.9,0.6
DC_3-11_n77,0.8,0.9,0.8
DC_3-11_n79,0.8,0.9,-
DC_3-18_n3,0.3,0.3,0.3
DC_3-18_n28,0.3,0.5,0.3
DC_3-18_n41,0.6,0.3,0.33 / 0.84
DC_3-18_n77,0.6,0.3,0.8
DC_3-18_n78,0.6,0.3,0.8
DC_3-18_n79,0.3,0.3,-
DC_3-19_n1,0.3,0.3,0.3
DC_3-19_n77,0.6,0.3,0.8
DC_3-19_n78,0.6,0.3,0.8
DC_3-19_n79,0.3,0.3,-
DC_3-20_n1,0.3,0.3,0.3
DC_3-20_n3,0.3,0.3,0.3
DC_3-20_n7,0.5,0.3,0.5
DC_3-20_n8,0.3,0.4,0.4
DC_3-20_n28,0.3,0.5,0.5
DC_3-20_n38,0.5,0.3,0.5
DC_3-20_n41DC_3-3-20_n41,0.5,0.3,0.53 / 1.24
DC_3_n20-n67,0.3,0.5,N/A
DC_3-20_n78,0.5,0.3,0.8
DC_3_n20-n78DC_3-3_n20-n78,0.5,0.3,0.8
DC_3-21_n1,0.8,0.9,0.3
DC_3-21_n28,0.8,0.9,0.3
DC_3-21_n77,0.8,0.9,0.8
DC_3-21_n78,0.8,0.9,0.8
DC_3-21_n79,0.8,0.9,-
DC_3-26_n78,0.6,0.6,0.8
DC_3_n26-n78,0.6,0.6,0.8
DC_3-28_n1,0.3,0.6,0.3
DC_3-28_n3,0.3,0.3,0.3
DC_3-28_n5,0.3,0.5,0.5
DC_3-28_n7,0.5,0.3,0.5
DC_3-28_n38,0.5,0.3,0.5
DC_3_n28-n40,0.5,0.3,0.5
DC_3-28_n40,0.5,0.3,0.5
DC_3-28_n41,0.5,0.5,0.33 / 0.84
DC_3-28_n71,0.3,1.1,1.1
DC_3_n28-n75,0.3,0.3,N/A
DC_3-28_n77,0.6,0.5,0.8
DC_3_n28-n77,0.6,0.5,0.8
DC_3-28_n78,0.5,0.3,0.8
DC_3_n28-n78,0.5,0.3,0.8
DC_3_n28-n79,0.3,0.3,-
DC_3-32_n1,0.5,NA,0.5
DC_3-32_n7,0.7,NA,0.7
DC_3-32_n28,0.3,NA,0.3
DC_3-32_n41,0.7,N/A,0.7
DC_3-32_n78,0.6,NA,0.8
DC_3-38_n7,0.5,NA,NA
DC_3A-38A_n1A,0.5,0.5,0.5
DC_3-38_n28,0.5,0.5,0.6
DC_3_n38-n40,0.5,0.53,0.5
DC_3-38_n78,0.6,0.5,0.8
DC_8A-38A_n78A,0.6,0.3,0.8
DC_3_n38-n78,0.6,0.5,0.8
DC_3-40_n1,0.5,0.5,0.5
DC_3A-40A_n28A,0.5,0.5,0.3
DC_3_n40-n41,0.5,0.5,0.53 / 0.84
DC_3_n40-n71,0.5,0.5,0.6
DC_3-40_n77,0.6,0.5,0.8
DC_3_n40-n77,0.6,0.5,0.8
DC_3-40_n78,0.6,0.35,0.85
DC_3_n40-n78,0.6,0.5,0.8
DC_3_n40-n79,0.5,0.5,-
DC_3_n40-n105,0.5,0.5,0.6
DC_3-41_n1,0.5,0.33 / 0.84,0.5
DC_3-41_n3,0.5,0.33 / 0.84,0.5
DC_3-41_n28,0.5,0.33 / 0.84,0.3
DC_3-(n)41,0.5,0.33 / 0.84,0.33 / 0.84
DC_3-41_n41DC_3-3-41_n41,0.5,0.33 / 0.84,0.33 / 0.84
DC_3_n41-n71,0.5,0.33 / 0.84,0.6
DC_3-41_n77DC_3_n41-n77,0.6,0.33 / 0.84,0.8
DC_3-41_n78,0.6,0.33 / 0.84,0.8
DC_3_n41-n78,0.6,0.33 / 0.84,0.8
DC_3-41_n79,0.6,0.33 / 0.84,-
DC_3_n41-n79,0.6,0.33 / 0.84,-
DC_3_SUL_n41-n80,0.5,0.33 / 0.84,0.5
DC_3-42_n1,0.6,0.8,0.6
DC_3-42_n28,0.6,0.8,0.8
DC_3-42_n77,0.6,N/A,0.8
DC_3-42_n78,0.6,N/A,0.8
DC_3-42_n79,0.6,N/A,-
DC_3_n71-n77,0.6,0.6,0.8
DC_3_n71-n78,0.3,0.6,0.8
DC_3_n75-n78,0.6,N/A,0.8
DC_3_n77-n79,0.6,0.8,-
DC_3_SUL_n77-n80,0.6,0.8,0.6
DC_3_SUL_n77-n84,0.6,0.8,0.6
DC_3_n78-n79DC_3-3_n78-n79,0.6,0.8,0.5
DC_3_SUL_n78-n80,0.6,0.8,0.6
DC_3_SUL_n78-n82,0.5,0.8,0.3
DC_3_SUL_n78-n84,0.6,0.8,0.6
DC_3_n78-n105,0.3,0.8,0.6
DC_4-5_n78,0.6,0.6,0.8
DC_4-7_n28,0.5,0.5,0.6
DC_4-7_n78,0.6,0.5,0.8
DC_5_n1-n28,0.5,0.3,0.6
DC_5_n1-n78,0.6,0.6,0.8
DC_5_n2-n41,0.6,0.5,0.41 / 0.92
DC_5_n2-n66,0.3,0.5,0.5
DC_5_n2-n77,0.6,0.6,0.8
DC_5_n2-n78,0.6,0.6,0.8
DC_5_n2-n7,0.3,0.5,0.5
DC_5_n3-n28,0.5,0.3,0.5
DC_5_n3-n78,0.6,0.6,0.8
DC_5_n5-n77,0.6,0.6,0.8
DC_5-7_n1DC_5-7-7_n1,0.3,0.6,0.5
DC_5-7_n3,0.3,0.5,0.5
DC_5-7_n7,0.5,0.3,0.3
DC_5-7_n25,0.6,0.4,0.5
DC_5_n7-n25,0.6,0.4,0.5
DC_5-7_n28DC_5-7-7_n28,0.7,0.3,0.7
DC_5-7_n40DC_5-7-7_n40,0.3,0.5,0.6
DC_5-7_n66,0.3,0.5,0.5
DC_5_n7-n66,0.3,0.5,0.5
DC_5-7_n71,0.5,0.3,0.6
DC_5-7_n77,0.6,0.6,0.8
DC_5_n7-n77,0.6,0.6,0.8
DC_5-7_n78DC_5-7-7_n78,0.6,0.6,0.8
DC_5_n7-n78,0.6,0.6,0.8
DC_5_(n)12,0.8,0.4,0.4
DC_5-13_n2,0.5,0.5,0.3
DC_5-13_n66,0.3,0.3,0.3
DC_5-13_n77,0.6,0.5,0.8
DC_5_n28-n77,0.6,0.5,0.9
DC_5_n28-n78,0.6,0.5,0.9
DC_5_n28-n79,0.7,0.7,0.8
DC_5-30_n2,0.3,0.3,0.5
DC_5-30_n66,0.3,0.3,0.5
DC_5-30_n77,0.6,0.3,0.8
DC_5_n38-n66,0.5,0.8,0.5
DC_5-40_n77,0.6,0.3,0.8
DC_5_n40-n77,0.6,0.3,0.8
DC_5-40_n78,0.6,0.5,0.8
DC_5_n40-n78,0.6,0.5,0.8
DC_5_n41-n66,0.6,0.81 / 1.32,0.5
DC_5_n41-n77,0.6,0.3,0.8
DC_5_n41-n78,0.6,0.3,0.8
DC_5-41_n79,0.3,0.3,-
DC_5-46_n66,0.3,N/A,0.3
DC_5-48_n12,0.8,0.3,0.4
DC_5-48_n71,0.5,0.3,0.5
DC_5-48_n77,0.6,N/A,0.8
DC_5-66_n2DC_5-5-66_n2DC_5-66-66_n2DC_5-5-66-66_n2,0.3,0.5,0.5
DC_5-66_n5DC_5-66-66_n5,0.3,0.3,0.3
DC_5-66-n7,0.3,0.5,0.5
DC_5-66_n12,0.3,0.8,0.8
DC_5-66_n25,0.3,0.5,0.5
DC_5-66_n30DC_5-66-66_n30,0.3,0.5,0.3
DC_5-66_n41,0.6,0.5,0.81 / 1.32
DC_5-66_n48DC_5-66-66_n48,0.3,0.6,0.8
DC_5-(n)66DC_5-66_n66DC_5-5-66_n66DC_5-66-(n)66DC_5-66-66_n66DC_5-5-66-66_n66,0.3,0.3,0.3
DC_5-66_n71,0.5,0.3,0.5
DC_5-66_n77DC_5-66-66_n77,0.6,0.6,0.8
DC_5_n66-n77,0.6,0.6,0.8
DC_5-66_n78,0.6,0.6,0.8
DC_5_n66-n78,0.6,0.6,0.8
DC_5_SUL_n78-n89,0.6,0.8,0.6
DC_7_n1-n8DC_7-7_n1-n8,0.6,0.5,0.5
DC_7_n1-n28,0.6,0.5,0.6
DC_7_n1-n40,0.8,0.6,0.9
DC_7_n1-n75,0.6,0.5,N/A
DC_7_n1-n78,0.6,0.6,0.8
DC_7_n2-n66,0.5,0.5,0.5
DC_7_n2-n71,0.5,0.5,0.3
DC_7_n2-n77,0.5,0.6,0.8
DC_7_n2-n78,0.5,0.6,0.8
DC_7_n3-n78,0.6,0.6,0.8
DC_7_n5-n40,0.8,0.6,0.9
DC_7_n7-n78,0.5,0.5,0.8
DC_7-8_n1DC_7-7-8_n1,0.6,0.6,0.5
DC_7-8_n3,0.5,0.6,0.5
DC_7-8_n7,0.3,0.6,0.3
DC_7-8_n20,0.3,0.6,0.6
DC_7-8_n28,0.3,0.6,0.5
DC_7-8_n40,0.5,0.6,0.6
DC_7_n8-n40,0.5,0.6,0.6
DC_7-8_n77,0.5,0.6,0.8
DC_7-8_n78DC_7-7-8_n78,0.5,0.6,0.8
DC_7_n8-n78DC_7-7_n8-n78,0.5,0.6,0.8
DC_7-12_n25,0.5,0.3,0.5
DC_7-12_n66,0.5,0.5,0.5
DC_7_n12-n77,0.5,0.5,0.8
DC_7-12_n77,0.5,0.5,0.8
DC_7-12_n78,0.5,0.5,0.8
DC_7_n12-n78,0.5,0.5,0.8
DC_7-13_n25DC_7-7-13_n25,0.5,0.3,0.5
DC_7-13_n66,0.5,0.3,0.5
DC_7-20_n1,0.6,0.3,0.5
DC_7-20_n3,0.5,0.3,0.5
DC_7-20_n7,0.3,0.3,0.3
DC_7-20_n8,0.3,0.4,0.4
DC_7-20_n28,0.3,0.6,0.6
DC_7-20_n38,N/A,0.3,N/A
DC_7-20_n78DC_7-7-20_n78,0.3,0.3,0.8
DC_7-25_n77DC_7-7-25_n77DC_7-25-25_n77DC_7-7-25-25_n77,0.5,0.6,0.8
DC_7_n25-n71,0.5,0.5,0.6
DC_7-25_n78DC_7-7-25_n78DC_7-25-25_n78DC_7-7-25-25_n78,0.5,0.6,0.8
DC_7_n25-n66DC_7-7_n25-n66,0.5,0.5,0.5
DC_7-26_n78,0.6,0.6,0.8
DC_7_n26-n78,0.6,0.6,0.8
DC_7-28_n1DC_7-7-28_n1,0.6,0.6,0.5
DC_7-28_n2,0.5,0.3,0.5
DC_7-28_n3,0.5,0.3,0.5
DC_7-28_n5,0.3,0.5,0.5
DC_7-28_n7,0.3,0.3,0.3
DC_7-28_n20,0.3,0.6,0.6
DC_7_n28-n40,0.5,0.3,0.6
DC_7-28_n40,0.5,0.3,0.6
DC_7-28_n66,0.5,0.6,0.5
DC_7-28_n78,0.3,0.3,0.8
DC_7_n28-n78DC_7-7_n28-n78,0.3,0.3,0.8
DC_7-29_n78,0.5,N/A,0.8
DC_7-32_n1,0.6,N/A,0.5
DC_7-32_n3,0.7,N/A,0.7
DC_7-32_n8,0.7,N/A,0.6
DC_7-32_n28,0.3,N/A,0.7
DC_7-32_n78,0.5,N/A,0.8
