NR Band,Spurious emission for UE co-existence,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
"n24, n99","E-UTRA Band 2, 4, 5, 10, 12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 48, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
n25,"E-UTRA Band 4, 5, 7, 12, 13, 14, 17, 24, 26, 27, 28, 29, 30, 38, 41, 42, 53, 54, 66, 70, 71, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 2,FDL_low,-,FDL_high,-50,1,15
,E-UTRA Band 25,FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 43, 48NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
n26,"E-UTRA Band 1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 17, 18, 19, 21, 24, 25, 29, 30, 31, 34, 39, 40, 42, 43, 48, 50, 51, 65, 66, 70, 71, 73, 74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 41, 53, 54NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 26,FDL_low,-,FDL_high,-50,1,15
,Frequency range,703,-,79948,-50,1,
,Frequency range,79948,-,803,-40,1,15
,Frequency range,945,-,960,-50,1,
"n28, n83","E-UTRA Band 1, 4, 22, 32, 42, 43, 50, 51, 65, 66, 74, 75, 76NR Band n77, n78, n109",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 1,FDL_low,-,FDL_high,-50,1,"19, 25"
,"E-UTRA Band 2, 3, 5, 7, 8, 18, 19, 20, 25, 26, 27, 31, 34, 38, 39, 40, 41, 52, 71, 72, 73, 87, 88NR Band n79, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 11, 21",FDL_low,-,FDL_high,-50,1,"19, 24"
,Frequency range,470,-,694,-42,8,"15, 35"
,Frequency range,470,-,710,-26.2,6,34
,Frequency range,662,-,694,-26.2,6,15
,Frequency range,758,-,773,-32,1,15
,Frequency range,773,-,803,-50,1,
n30,"E-UTRA Band 2, 4, 5, 7, 12, 13, 14, 17, 24, 25, 26, 27, 29, 30, 38, 41, 48, 53, 54, 66, 70, 71, 85, 103, 106NR Band n77",FDL_low,-,FDL_high,-50,1,
n31,"E-UTRA Band 1, 5, 7, 8, 20, 22, 26, 27, 28, 31, 32, 33, 34, 38, 40, 42, 43, 50, 51, 52, 65, 67, 68, 69, 74, 75, 76, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,2
,Frequency range,470,-,694,-42,8,
n34,"E-UTRA Band 1, 3, 7, 8, 11, 18, 19, 20, 21, 22, 26, 28, 31, 32, 33, 38, 39, 40, 41, 42, 43, 44, 45, 50, 51, 52, 65, 67, 69, 72, 74, 75, 76NR Band n78, n79, n100, n101, n105, n109",FDL_low,-,FDL_high,-50,1,5
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
n38,"E-UTRA Band 1, 2, 3, 4, 5, 8, 12, 13, 14, 17, 20, 22, 25, 27, 28, 29, 30, 31, 32, 33, 34, 40, 42, 43, 50, 51, 52, 65, 66, 67, 68, 71, 72, 74, 75, 76, 85, 103NR Band n100, n101, n109",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,
,Frequency range,2620,-,2645,-15.5,5,"15, 22, 26"
,Frequency range,2645,-,2690,-40,1,"15, 22"
"n39, n98","E-UTRA Band 1, 8, 22, 26, 28, 34, 40, 41, 42, 44, 45, 50, 51, 52, 74NR Band n79, n105",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,1805,-,1855,-40,1,33
,Frequency range,1855,-,1880,-15.5,5,"15, 26, 33"
"n40, n97","E-UTRA Band 1, 3, 5, 7, 8, 11, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 33, 34, 38, 39, 41, 42, 43, 44, 45, 50, 51, 52, 65, 67, 68, 69, 72, 74, 75, 76NR Band n77, n78, n100, n101, n105, n109",FDL_low,-,FDL_high,-50,1,44
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
n41,"E-UTRA Band 1, 2, 3, 4, 5, 8, 12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 34, 39, 42, 44, 45, 48, 50, 51, 52, 54, 65, 66, 70, 71, 73, 74, 85, 103, 106NR Band n77, n78, n105",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 40,FDL_low,-,FDL_high,-40,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 11, 18, 19, 21",FDL_low,-,FDL_high,-50,1,
,Frequency range,2530,-,2535,-25,1,49
,Frequency range,2505,-,2530,-30,1,49
n47,"E-UTRA Band 1, 3, 5, 7, 8, 22, 26, 28, 34, 39, 40, 41, 42, 44, 45, 65, 68, 72, 73, 75, 76",FDL_low,-,FDL_high,-50,1,
,"NR Band n71, n77, n78, n79, n105, n109",FDL_low,-,FDL_high,-50,1,
n48,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 50, 51, 53, 54, 66, 70, 71, 74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
n50,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 29, 31, 34, 38, 39, 40, 41, 42, 43, 48, 65, 66, 67, 68, 103NR Band n100, n101, n105",FDL_low,-,FDL_high,-50,1,
n51,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 29, 31, 34, 38, 39, 40, 41, 42, 43, 48, 52, 65, 66, 67, 68, 85, 103NR Band n100, n101, n105",FDL_low,-,FDL_high,-50,1,
n53,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 48, 54, 66, 70, 71, 85, 103, 106NR Band n77",FDL_low,-,FDL_high,-50,1,
n54,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 48, 50, 51, 53, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"NR NTN Band n255, n256",,,,,,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
n65,"E-UTRA Band 1, 3, 5, 7, 8, 11, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 38, 40, 41, 42, 43, 50, 51, 65, 68, 69, 72, 74, 75, 76NR Band n78, n79, n100, n105 n109",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 34,FDL_low,-,FDL_high,-50,1,43
,Frequency range,1900,-,1915,-15.5,5,"15, 26, 27"
,Frequency range,1915,-,1920,+1.6,5,"15, 26, 27"
"n66, n86","E-UTRA Band 2, 4, 5, 7, 12, 13, 14, 17, 25, 26, 27, 28, 29, 30, 38, 41, 43, 50, 51, 53, 66, 70, 71, 74, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 42, 48 NR Band n77",FDL_low,-,FDL_high,-50,1,2
n68,"E-UTRA Band 3, 7, 8, 20, 28, 31, 38, 40, 47, 72, 74, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 1, 22, 42, 43, 50, 51, 52, 65",FDL_low,-,FDL_high,-50,1,2
n70,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 47, 48, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
n71,"E-UTRA Band 4, 5, 12, 13, 14, 17, 24, 26, 28, 30, 38, 48, 53, 54, 66, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 2, 7, 25, 41, 70NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 29,FDL_low,-,FDL_high,-38,1,15
,E-UTRA Band 71,FDL_low,-,FDL_high,-50,1,15
n72,"E-UTRA Band 1, 7, 20, 22, 28, 31, 32, 33, 34, 38, 42, 43, 47, 52, 65, 68, 72, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 3, 8, 40",FDL_low,-,FDL_high,-50,1,2
,Frequency range,470,-,694,-42,8,
n74,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 29, 31, 34, 38, 39, 40, 41, 42, 43, 48, 52, 65, 66, 67, 68, 85NR Band n77, n78, n100, n101, n103, n105",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,Frequency range,1400,-,1427,-32,27,"15, 41"
,Frequency range,1475,-,1488,-28,1,"15, 42"
,Frequency range,1475,-,1488,-50,1,"15, 45"
,Frequency range,1475.9,-,1510.9,-35,1,"15, 46"
,Frequency range,1488,-,1518,-50,1,15
n77,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30, 34, 39, 40, 41, 53, 54, 65, 66, 70, 71, 74, 85, 103NR Band n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,NR Band n104,FDL_low,-,FDL_high,-50,1,2
n78,"E-UTRA Band 1, 2, 3, 5, 7, 8, 11, 18, 19, 20, 21, 25, 26, 28, 32, 34, 38, 39, 40, 41, 50, 65, 66, 67, 70, 71, 74, 75, 76NR Band n100, n101, n105, n109",FDL_low,-,FDL_high,-50,1,
,NR Band n104,FDL_low,-,FDL_high,-50,1,2
n79,"E-UTRA Band 1, 3, 5, 7, 8, 11, 18, 19, 21, 28, 34, 38, 39, 40, 41, 42, 65, 74NR Band n105",FDL_low,-,FDL_high,-50,1,
n85,"E-UTRA Band 2, 5, 13, 14, 17, 24, 25, 26, 27, 30, 41, 53, 54, 70, 71, 74, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 4, 48, 50, 51, 66NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 12, 85",FDL_low,-,FDL_high,-50,1,15
n87,"E-UTRA Band 1, 3, 7, 8, 22, 28, 31, 32, 33, 34, 38, 40, 42, 43, 47, 52, 65, 68, 72NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band, 20",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 87, 88",FDL_low,-,FDL_high,-50,1,15
,Frequency range,470,-,694,-42,8,
n88,"E-UTRA Band 1, 3, 7, 8, 20, 22, 28, 31, 32, 33, 34, 38, 40, 42, 43, 47, 52, 65, 68, 72NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 87,FDL_low,-,FDL_high,-20,1,15
,E-UTRA Band 88,FDL_low,-,FDL_high,-50,1,15
,Frequency range,470,-,694,-42,8,
n95,"E-UTRA Band 1, 3, 5, 8, 28, 39, 40, 41NR Band n78, n79",FDL_low,-,FDL_high,-50,1,5
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
,Frequency range,1884.5,-,1915.7,-41,0.3,8
n100,"E-UTRA Band 1, 3, 8, 20, 28, 31, 32, 33, 34, 38, 40, 43, 50, 51, 52, 65, 67, 68, 69, 72, 74, 75, 76, 87, 88NR Band n101, n105, n109",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 7, 22, 42NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,758,-,788,-50,1,
n101,"E-UTRA Band 1, 3, 8, 20, 22, 28, 31, 32, 38, 40, 50, 51, 52, 65, 67, 68, 69, 72, 74, 75, 76, 87, 88NR Band n100, n109",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 7, 42, 43NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,758,-,788,-50,1,
n104,"E-UTRA Band 1, 3, 7, 8, 20",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,
n105,"E-UTRA Band 1, 3, 4, 5, 8, 11, 18, 19, 20, 21, 26, 27, 28, 31, 32, 38, 39, 40, 43, 50, 51, 65, 66, 72, 73, 74, 75, 76NR Band n79, n100, n109",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 2, 7, 22, 25, 34, 41, 42, 52 NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
n106,"E-UTRA Band 2, 4, 12, 13, 14, 23, 24, 25, 30, 53, 54, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 41, 48,NR Band n77",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 5, 26",FDL_low,-,FDL_high,-30,1,
n109,"E-UTRA Band 22, 32, 42, 43, 65, 75, 76,NR Band n78, n100, n101",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 1,FDL_low,-,FDL_high,-50,1,"19, 25"
,"E-UTRA Band 3, 7, 8, 20, 38,40",FDL_low,-,FDL_high,-50,1,
,Frequency range,662,-,694,-26.2,6,15
,Frequency range,758,-,773,-32,1,15
,Frequency range,773,-,803,-50,1,
n110,"E-UTRA Band 2, 4, 5, 12, 13, 14, 24, 25, 26, 27, 29, 30, 41, 48, 53, 54, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
"NOTE 1:FDL_low and FDL_high refer to each frequency band specified in Table 5.2-1 in TS 38.101-1 or Table 5.5-1 in TS 36.101NOTE 2:As exceptions, measurements with a level up to the applicable requirements defined in Table 6.5.3.1-2 are permitted for each assigned NR carrier used in the measurement due to 2nd, 3rd, 4th or 5th harmonic spurious emissions. Due to spreading of the harmonic emission the exception is also allowed for the first 1 MHz frequency range immediately outside the harmonic emission on both sides of the harmonic emission. This results in an overall exception interval centred at the harmonic emission of (2 MHz + N x LCRB x RBsize kHz), where N is 2, 3, 4, 5 for the 2nd, 3rd, 4th or 5th harmonic respectively. The exception is allowed if the measurement bandwidth (MBW) totally or partially overlaps the overall exception interval.NOTE 3:15 kHz SCS is assumed when RB is mentioned in the note when channel bandwidth is less than or equal to 50 MHz, lowest SCS is assumed when channel bandwidth is larger than 50 MHz. The transmission bandwidth in terms of RB position and range is not limited to 15 kHz SCS and shall scale with SCS accordingly.NOTE 4:VoidNOTE 5:For non-synchronised TDD operation to meet these requirements some restriction will be needed for either the operating band or protected bandNOTE 6:N/ANOTE 7:VoidNOTE 8:Void.NOTE 9:VoidNOTE 10:VoidNOTE 11:VoidNOTE 12:The emissions measurement shall be sufficiently power averaged to ensure a standard deviation < 0.5 dBNOTE 13:VoidNOTE 14:VoidNOTE 15:These requirements also apply for the frequency ranges that are less than FOOB (MHz) in Table 6.5.3.1-1 from the edge of the channel bandwidth.NOTE 16:VoidNOTE 17:VoidNOTE 18:VoidNOTE 19:Applicable when the assigned NR carrier is confined within 718 MHz and 748 MHz and when the channel bandwidth used is 5 or 10 MHz. Applicable when the assigned NR carrier is confined within 715 MHz and 718 MHz and when the channel bandwidth used is 3 MHz.NOTE 20:VoidNOTE 21:This requirement is applicable for any channel bandwidths up to 20MHz within the range 2500 - 2570 MHz with the following restriction: for carriers of 15 MHz bandwidth when carrier centre frequency is within the range 2560.5 - 2562.5 MHz and for carriers of 20 MHz bandwidth when carrier centre frequency is within the range 2552 - 2560 MHz the requirement is applicable only for an uplink transmission bandwidth less than or equal to 54 RB.NOTE 22:This requirement is applicable for power class 3 UE for any channel bandwidths up to 20 MHz. For channel bandwidth within the range 2570 - 2615 MHz with the following restriction: for carriers of 15 MHz bandwidth when the carrier centre frequency is within the range 2605.5 - 2607.5 MHz and for carriers of 20 MHz bandwidth when the carrier centre frequency is within the range 2597 - 2605 MHz the requirement is applicable only for an uplink transmission bandwidth less than or equal to 54 RB. For carriers overlapping the frequency range 2615 - 2620 MHz the requirement applies with the maximum output power configured to +19 dBm in the IE P-Max.NOTE 23:VoidNOTE 24:As exceptions, measurements with a level up to the applicable requirement of -38 dBm/MHz is permitted for each assigned NR carrier used in the measurement due to 2nd harmonic spurious emissions. An exception is allowed if there is at least one individual RB within the transmission bandwidth (see Figure 5.3.1-1) for which the 2nd harmonic totally or partially overlaps the measurement bandwidth (MBW).NOTE 25:As exceptions, measurements with a level up to the applicable requirement of -36 dBm/MHz is permitted for each assigned NR carrier used in the measurement due to 3rd harmonic spurious emissions. An exception is allowed if there is at least one individual RB within the transmission bandwidth (see Figure 5.3.1-1) for which the 3rd harmonic totally or partially overlaps the measurement bandwidth (MBW).NOTE 26: For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.NOTE 27:This requirement is applicable for power class 3 and channel bandwidths up to 20 MHz within the range 1920 - 1980 MHz with the following restriction: for carriers of 15 MHz bandwidth when the carrier centre frequency is within the range 1927.5 - 1929.5 MHz and for carriers of 20 MHz bandwidth when the carrier centre frequency is within the range 1930 - 1938 MHz the requirement is applicable only for an uplink transmission bandwidth less than or equal to 54 RB.NOTE 28:VoidNOTE 29:VoidNOTE 30:VoidNOTE 31:VoidNOTE 32:VoidNOTE 33:This requirement is only applicable for carriers with bandwidth up to 20MHz and confined within 1885-1920 MHz (requirement for carriers with at least 1RB confined within 1880 - 1885 MHz is not specified). This requirement applies for an uplink transmission bandwidth less than or equal to 54 RB for carriers of 15 MHz bandwidth when carrier center frequency is within the range 1892.5 - 1894.5 MHz and for carriers of 20 MHz bandwidth when carrier center frequency is within the range 1895 - 1903 MHz. The above restriction is applicable to only power class 3 UEs.NOTE 34:This requirement is applicable for 5 and 10 MHz NR channel bandwidth allocated within 718-728 MHz. For carriers of 10 MHz bandwidth, this requirement applies for an uplink transmission bandwidth less than or equal to 30 RB with RBstart > 1 and RBstart < 48. Applicable when the assigned NR carrier is confined within 715 MHz and 718 MHz and when the channel bandwidth used is 3 MHz.NOTE 35:This requirement is applicable in the case of a 10 MHz NR carrier confined within 703 MHz and 733 MHz, otherwise the requirement of -25 dBm with a measurement bandwidth of 8 MHz applies.NOTE 36:VoidNOTE 37:VoidNOTE 38:VoidNOTE 39:Void NOTE 40:VoidNOTE 41:Applicable for cases and when the lower edge of the assigned NR UL channel bandwidth frequency is greater than or equal to 1427 MHz + the channel BW assigned for 5 and 10 MHz bandwidth, and when the lower edge of the assigned NR UL channel bandwidth frequency is greater than or equal to 1440 MHz for 15 and 20 MHz bandwidth. This requirement shall be verified with UE transmission power configured as high as possible but no higher than 15 dBm.NOTE 42:Applicable when upper edge of the assigned NR UL channel bandwidth frequency is more than 1460 MHz and less than or equal to 1470 MHz for 5 MHz bandwidth, and when the upper edge of the assigned NR UL channel bandwidth frequency is more than 1460 MHz and less than or equal to 1465 MHz for 10 MHz bandwidth.NOTE 43:This requirement is applicable for UE which is operating in power class 3 and NR channel bandwidths up to 20MHz within frequency range 1920-1980 MHz.NOTE 44:As exceptions, for 90 and 100 MHz channel bandwidth, -40 dBm/MHz is applicable in the frequency range of 2496 – 2505 MHz.NOTE 45:Applicable when upper edge of the assigned NR UL channel bandwidth frequency is equal to or less than 1460 MHz.NOTE 46:Applicable for 5 MHz bandwidth and when the NR carrier is within 1447.9 – 1462.9 MHz.NOTE 47:This requirement is applicable for power class 3 and channel bandwidths up to 20MHz.NOTE 48: For 20MHz channel bandwidth this value is changed to 794MHz.NOTE 49: Applicable when contained within 2545 – 2575 MHz in Japan and not applicable to 25MHz CBW due to regulation. Channel bandwidth shall be confined so that there is at least BWChannel separation between 2535 MHz and lower BWChannel edge in the current release. With this BWChannel placement the requirement is covered by general SEM and the spurious emission limits.",,,,,,,
