Uplink CA Configuration,Class 1.5 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
CA_n3A-n79C,,,26,+2/-3,23,+2/-3,,
CA_n3A-n102A,,,,,23,+2/-3,,
CA_n3A-n102B,,,,,23,+2/-3,,
CA_n3A-n102C,,,,,23,+2/-3,,
CA_n3A-n104A,,,,,23,+2/-3,,
CA_n3A-n104C,,,,,23,+2/-3,,
CA_n3A-n105A,,,,,23,+2/-3,,
CA_n5A-n7A,,,,,23,+2/-3,,
CA_n5A-n8A,,,,,23,+2/-3,,
CA_n5A-n12A,,,,,23,+2/-3,,
CA_n5A-n13A,,,,,23,+2/-3,,
CA_n5A-n14A,,,,,23,+2/-3,,
CA_n5A-n25A,,,,,23,+2/-3,,
CA_n5A-n28A,,,,,23,+2/-3,,
CA_n5A-n30A,,,,,23,+2/-3,,
CA_n5A-n40A,,,,,23,+2/-3,,
CA_n5A-n41A,,,,,23,+2/-3,,
CA_n5A-n48A,,,,,23,+2/-3,,
CA_n5A-n48B,,,,,23,+2/-3,,
CA_n5A-n66A,,,,,23,+2/-3,,
CA_n5A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n5A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n5A-n78C,,,,,23,+2/-3,,
CA_n5A-n79A,,,,,23,+2/-3,,
CA_n5A-n105A,,,,,23,+2/-3,,
CA_n7A-n8A,,,,,23,+2/-3,,
CA_n7A-n20A,,,26,+2/-3,23,+2/-3,,
CA_n7A-n25A,,,,,23,+2/-3,,
CA_n7A-n26A,,,,,23,+2/-3,,
CA_n7A-n28A,,,26,+2/-3,23,+2/-3,,
CA_n7A-n40A,,,,,23,+2/-3,,
CA_n7A-n46A,,,,,23,+2/-3,,
CA_n7A-n66A,,,,,23,+2/-3,,
CA_n7A-n71A,,,,,23,+2/-3,,
CA_n7A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n7A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n7A-n102A,,,,,23,+2/-3,,
CA_n7A-n102B,,,,,23,+2/-3,,
CA_n7A-n102C,,,,,23,+2/-3,,
CA_n7A-n105A,,,,,23,+2/-3,,
CA_n8A-n20A,,,,,23,+2/-3,,
CA_n8A-n28A,,,,,23,+2/-3,,
CA_n8A-n34A,,,26,+2/-3,23,+2/-3,,
CA_n8A-n39A,,,26,+2/-3,23,+2/-3,,
CA_n8A-n40A,,,26,+2/-3,23,+2/-3,,
CA_n8A-n41A,,,,,23,+2/-3,,
CA_n8A-n41C,,,,,23,+2/-3,,
CA_n8A-n50A,,,,,23,+2/-3,,
CA_n8A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n8A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n8A-n78C,,,,,23,+2/-3,,
CA_n8A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n8A-n79C,,,26,+2/-3,23,+2/-3,,
CA_n8A-n104A,,,,,23,+2/-3,,
CA_n8A-n104C,,,,,23,+2/-3,,
CA_n12A-n25A,,,,,23,+2/-3,,
CA_n12A-n30A,,,,,23,+2/-3,,
CA_n12A-n66A,,,,,23,+2/-3,,
CA_n12A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n12A-n78A,,,,,23,+2/-3,,
CA_n13A-n25A,,,,,23,+2/-3,,
CA_n13A-n66A,,,,,23,+2/-3,,
CA_n13A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n14A-n30A,,,,,23,+2/-3,,
CA_n14A-n66A,,,,,23,+2/-3,,
CA_n14A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n18A-n28A,,,,,23,+2/-3,,
CA_n18A-n40A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n18A-n41A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n18A-n74A,,,,,23,+2/-3,,
CA_n18A-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n18A-n78A,,,,,23,+2/-3,,
CA_n20A-n28A,,,,,23,+2/-3,,
CA_n20A-n41A,,,,,23,+2/-3,,
CA_n20A-n71A,,,,,23,+2/-3,,
CA_n20A-n77A,,,,,23,+2/-3,,
CA_n20A-n78A,,,,,23,+2/-3,,
CA_n24A-n41A,,,,,23,+2/-3,,
CA_n24A-n48A,,,,,23,+2/-3,,
CA_n24A-n77A,,,,,23,+2/-3,,
CA_n25A-n38A,,,,,23,+2/-3,,
CA_n25A-n41A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n25A-n41C,29,+2/-3,26,+2/-32,23,+2/-3,,
CA_n25A-n48A,,,,,23,+2/-3,,
CA_n25A-n66A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n25A-n71A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n25A-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n25A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n25A-n85A,,,26,+2/-3,23,+2/-3,,
CA_n26A-n28A,,,,,23,+2/-3,,
CA_n26A-n48A,,,,,23,+2/-3,,
CA_n26A-n66A,,,,,23,+2/-3,,
CA_n26A-n70A,,,,,23,+2/-3,,
CA_n26A-n77A,,,,,23,+2/-3,,
CA_n26A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n34A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n39A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n40A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n41A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n28A-n41C,,,26,+2/-3,23,+2/-3,,
CA_n28A-n46A,,,,,23,+2/-3,,
CA_n28A-n50A,,,,,23,+2/-3,,
CA_n28A-n74A,,,,,23,+2/-3,,
CA_n28A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n28A-n79C,,,26,+2/-3,23,+2/-3,,
CA_n28A-n102A,,,,,23,+2/-3,,
CA_n28A-n102B,,,,,23,+2/-3,,
CA_n28A-n102C,,,,,23,+2/-3,,
CA_n30A-n66A,,,,,23,+2/-3,,
CA_n30A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n34A-n39A,,,26,+2/-3,23,+2/-3,,
CA_n34A-n40A,,,26,+2/-3,23,+2/-3,,
CA_n34A-n41A,,,26,+2/-3,23,+2/-3,,
CA_n34A-n41C,,,,,23,+2/-3,,
CA_n34A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n34A-n79C,,,,,23,+2/-3,,
CA_n34A-n104A,,,,,23,+2/-3,,
CA_n34A-n104C,,,,,23,+2/-3,,
CA_n38A-n66A,,,,,23,+2/-3,,
CA_n38A-n78A,,,,,23,+2/-3,,
CA_n39A-n40A,,,26,+2/-3,23,+2/-3,,
CA_n39A-n41A,,,26,+2/-3,23,+2/-3,,
CA_n39A-n41C,,,26,+2/-3,23,+2/-3,,
CA_n39A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n39A-n79C,,,,,23,+2/-3,,
CA_n40A-n41A,,,26,+2/-3,23,+2/-3,,
CA_n40A-n41C,,,,,23,+2/-3,,
CA_n40A-n50A,,,,,23,+2/-3,,
CA_n40A-n71A,,,,,23,+2/-3,,
CA_n40A-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n40A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n40A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n40A-n79C,,,26,+2/-3,23,+2/-3,,
CA_n40A-n105A,,,,,23,+2/-3,,
CA_n41A-n48A,,,,,23,+2/-3,,
CA_n41A-n50A,,,,,23,+2/-3,,
CA_n41A-n66A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n41C-n66A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n41A-n70A,,,,,23,+2/-3,,
CA_n41A-n71A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n41C-n71A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n41A-n74A,,,26,+2/-3,23,+2/-3,,
CA_n41A-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n41C-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n41A-n78A,,,,,23,+2/-3,,
CA_n41A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n41A-n79C,,,26,+2/-3,23,+2/-3,,
CA_n41C-n79A,,,26,+2/-3,23,+2/-3,,
CA_n41A-n85A,,,26,+2/-3,23,+2/-3,,
CA_n41A-n104A,,,,,23,+2/-3,,
CA_n41A-n104C,,,,,23,+2/-3,,
CA_n41C-n104A,,,,,23,+2/-3,,
CA_n46A-n48A,,,,,23,+2/-3,,
CA_n46A-n48B,,,,,23,+2/-3,,
CA_n46A-n77A,,,,,23,+2/-3,,
CA_n46A-n78A,,,,,23,+2/-3,,
CA_n48A-n66A,,,,,23,+2/-3,,
CA_n48B-n66A,,,,,23,+2/-3,,
CA_n48A-n70A,,,,,23,+2/-3,,
CA_n48A-n71A,,,,,23,+2/-3,,
CA_n48A-n96A,,,,,23,+2/-3,,
CA_n48B-n96A,,,,,23,+2/-3,,
CA_n48A-n96B,,,,,23,+2/-3,,
CA_n50A-n77A,,,,,23,+2/-3,,
CA_n50A-n78A,,,,,23,+2/-3,,
CA_n66A-n71A,,,26,+2/-3,23,+2/-3,,
CA_n66A-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n66A-n77C,,,,,23,+2/-3,,
CA_n66A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n66A-n85A,,,26,+2/-3,23,+2/-3,,
CA_n70A-n71A,,,,,23,+2/-3,,
CA_n70A-n77A,,,,,23,+2/-3,,
CA_n70A-n78A,,,,,23,+2/-3,,
CA_n71A-n77A,29,+2/-3,26,+2/-3,23,+2/-3,,
CA_n71A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n74A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n74A-n78A,,,,,23,+2/-3,,
CA_n77A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n77A-n85A,,,26,+2/-3,23,+2/-3,,
CA_n77A-n102A,,,,,23,+2/-3,,
CA_n77A-n102B,,,,,23,+2/-3,,
CA_n77A-n102C,,,,,23,+2/-3,,
CA_n78A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n78A-n92A,,,,,23,+2/-3,,
CA_n78A-n102A,,,,,23,+2/-3,,
CA_n78A-n102B,,,,,23,+2/-3,,
CA_n78A-n102C,,,,,23,+2/-3,,
CA_n78A-n104A,,,,,23,+2/-3,,
CA_n78A-n105A,,,,,23,+2/-3,,
CA_n100A-n101A,,,,,23,+2/-3,,
NOTE 1:VoidNOTE 2:An uplink CA configuration in which at least one of the bands has NOTE 3 in Table 6.2.1-1 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths of at least one of the bands is confined within FUL_low and FUL_low + 4 MHz or FUL_high - 4 MHz and FUL_high.NOTE 3:PPowerClass is the maximum UE power specified without taking into account the toleranceNOTE 4:For inter-band carrier aggregation the maximum power requirement should apply to the total transmitted power over all component carriers (per UE).NOTE 5:Power class 3 is the default power class unless otherwise stated.NOTE 6:The per band power class applicable to REFSENS exceptions is specified in Table 6.2A.1.3-2.NOTE 7:Void.NOTE 8:Void.NOTE 9:Void.NOTE 10:Void.NOTE 11:Void.,,,,,,,,
