Inter-band CA combination,"ΔTIB,c for NR bands (dB)9",
CA_n71-n77,0.5,0.8
CA_n71-n78,0.5,0.8
CA_n71-n85,1,1
CA_n74-n77,0.4,0.8
CA_n74-n78,0.4,0.8
CA_n75-n78,-,0.8
CA_n76-n78,-,0.8
CA_n77-n79,0.5,0.5
CA_n77-n85,0.7,0.5
CA_n77-n102,1.5,1.5
CA_n78-n79,0.5 / 1.58,0.5 / 1.58
CA_n78-n92,0.8,0.6
CA_n78-n102,1.5,1.5
CA_n78-n104,0.9,1.0
CA_n78-n105,0.8,0.5
CA_n100-n101,0.3,0.3
"NOTE 1:The requirements only apply when the sub-frame and Tx-Rx timings are synchronized between the component carriers. In the absence of synchronization, the requirements are not within scope of these specifications.NOTE 2:Only applicable for UE supporting inter-band carrier aggregation with uplink in one NR band and without simultaneous Rx/Tx.NOTE 3:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2515-2690 MHz.NOTE 5:The requirement is applied for UE transmitting on the frequency range of 2496-2515 MHz.NOTE 6:The requirement is applied for UE transmitting on the frequency range of 2545-2690 MHz.NOTE 7:The requirement is applied for UE transmitting on the frequency range of 2496-2545 MHz.NOTE 8:The requirements only apply for UE supporting inter-band carrier aggregation with simultaneous Rx/Tx capability, and NR UL carrier frequencies are confined to 3700 MHz-3800MHz for n78 and 4400 MHz-4500MHz for n79. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.NOTE 9:“-” denotes ΔTIB,c = 0.NOTE 10:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1-n3 the band order from left to right is n1 and n3.NOTE 11: Not applicable to UEs indicating support of low NR band inter-band carrier aggregation only via switching featureSetCombinationLowBandSwitching-r19 for this band combination",,
