Inter-band CA combination,"ΔTIB,c for NR bands (dB)5",,,
CA_n1-n5-n40-n105,0.5,0.3,0.5,0.6
CA_n1-n5-n78-n79,0.6,0.6,0.8,0.5
CA_n1-n5-n78-n105,0.3,0.6,0.8,0.6
CA_n1-n7-n8-n40,0.6,0.8,0.6,0.9
CA_n1-n7-n8-n78,0.6,0.6,0.6,0.8
CA_n1-n7-n20-n28,0.6,0.5,0.6,0.5
CA_n1-n7-n20-n67,0.5,0.6,0.3,N/A
CA_n1-n7-n20-n75,0.5,0.6,0.3,N/A
CA_n1-n7-n20-n78,0.6,0.6,0.6,0.8
CA_n1-n7-n26-n78,0.6,0.6,0.6,0.8
CA_n1-n7-n28-n38,0.5,N/A,0.6,N/A
CA_n1-n7-n28-n75,0.5,0.6,0.6,N/A
CA_n1-n7-n28-n78,0.6,0.6,0.6,0.8
CA_n1-n7-n40-n78,0.6,0.5,0.5,0.8
CA_n1-n7-n40-n79,0.6,0.6,0.5,0.8
CA_n1-n7-n40-n105,0.6,0.5,0.5,0.5
CA_n1-n7-n67-n78,0.6,0.6,N/A,0.8
CA_n1-n7-n75-n78,0.6,0.6,N/A,0.8
CA_n1-n7-n78-n105,0.6,0.6,0.8,0.5
CA_n1-n8-n28-n40,0.3,0.6,0.6,0.3
CA_n1-n8-n40-n78,0.5,0.3,0.5,0.8
CA_n1-n8-n40-n79,0.5,0.3,0.5,0.8
CA_n1-n8-n41-n78,0.5,0.6,0.5,0.8
CA_n1-n8-n78-n79,0.3,0.6,0.8,0.5
CA_n1-n18-n28-n41,0.6,0.5,0.6,0.5
CA_n1-n18-n28-n77,0.6,0.5,0.6,0.8
CA_n1-n18-n41-n77,0.5,0.5,0.5,0.8
CA_n1-n20-n41-n71,0.5,0.8,0.5,0.6
CA_n1-n20-n41-n77,0.5,0.6,0.5,0.8
CA_n1-n20-n41-n78,0.5,0.6,0.5,0.8
CA_n1-n20-n67-n78,0.5,0.6,N/A,0.8
CA_n1-n20-n71-n78,0.3,0.6,0.6,0.8
CA_n1-n20-n75-n78,0.3,0.6,N/A,0.8
CA_n1-n28-n38-n78,0.6,0.6,0.6,0.8
CA_n1-n28-n40-n41,0.6,0.6,0.5,0.5
CA_n1-n28-n40-n77,0.3,0.6,0.5,0.8
CA_n1-n28-n40-n78,0.3,0.6,0.5,0.8
CA_n1-n28-n40-n79,0.3,0.6,0.5,0.8
CA_n1-n28-n41-n77,0.6,0.6,0.6,0.8
CA_n1-n28-n41-n79,0.5,0.6,0.6,0.8
CA_n1-n28-n75-n78,0.5,0.6,N/A,0.8
CA_n1-n28-n77-n79,0.6,0.6,0.8,0.8
CA_n1-n28-n78-n79,0.6,0.6,0.8,0.8
CA_n1-n40-n78-n79,0.5,0.5,0.8,0.8
CA_n1-n41-n71-n77,0.5,0.5,0.6,0.8
CA_n1-n41-n71-n78,0.6,0.6,0.6,0.8
CA_n1-n41-n77-n79,0.6,0.5,0.8,0.8
CA_n2-n5-n30-n66,0.5,0.3,0.3,0.5
CA_n2-n5-n30-n77,0.6,0.6,0.3,0.8
CA_n2-n5-n48-n66,0.6,0.3,0.8,0.6
CA_n2-n5-n48-n77,0.6,0.3,0.8,0.8
CA_n2-n5-n66-n77,0.5,0.3,0.5,0.8
CA_n2-n12-n30-n66,0.5,0.8,0.3,0.5
CA_n2-n12-n30-n77,0.6,0.5,0.3,0.8
CA_n2-n12-n66-n77,0.6,0.8,0.6,0.8
CA_n2-n14-n30-n66,0.5,0.3,0.3,0.5
CA_n2-n14-n30-n77,0.6,0.5,0.3,0.8
CA_n2-n14-n66-n77,0.6,0.6,0.6,0.8
CA_n2-n29-n30-n66,0.5,N/A,0.3,0.5
CA_n2-n29-n30-n77,0.6,N/A,0.3,0.8
CA_n2-n29-n66-n77,0.6,N/A,0.6,0.8
CA_n2-n30-n66-n77,0.6,0.3,0.6,0.8
CA_n2-n41-n66-n71,0.5,0.83 / 1.34,0.5,0.6
CA_n2-n48-n66-n77,0.6,0.8,0.6,0.8
CA_n2-n66-n71-n77,0.5,0.5,0.3,0.5
CA_n2-n66-n71-n78,0.5,0.5,0.3,0.5
CA_n3-n5-n7-n78,0.6,0.6,0.6,0.8
CA_n3-n5-n28-n78,0.6,0.7,0.7,0.8
CA_n3-n5-n28-n79,0.6,0.7,0.7,0.8
CA_n3-n7-n8-n40,0.6,0.6,0.6,0.6
CA_n3-n7-n8-n78,0.6,0.6,0.6,0.8
CA_n3-n7-n20-n28,0.5,0.8,0.4,0.4
CA_n3-n7-n20-n67,0.5,0.5,0.3,N/A
CA_n3-n7-n20-n75,0.5,0.5,0.3,N/A
CA_n3-n7-n20-n78,0.6,0.6,0.6,0.8
CA_n3-n7-n26-n78,0.6,0.6,0.6,0.6
CA_n3-n7-n28-n38,0.5,N/A,0.3,N/A
CA_n3-n7-n28-n75,0.5,0.5,0.3,N/A
CA_n3-n7-n28-n78,0.6,0.6,0.6,0.6
CA_n3-n7-n40-n78,0.6,0.6,0.6,0.8
CA_n3-n7-n40-n79,0.6,0.6,0.6,0.8
CA_n3-n7-n40-n105,0.6,0.6,0.6,0.5
CA_n3-n7-n67-n78,0.6,0.6,N/A,0.6
CA_n3-n7-n75-n78,0.6,0.6,N/A,0.6
CA_n3-n7-n78-n105,0.6,0.6,0.8,0.5
CA_n3-n8-n28-n40,0.5,0.6,0.5,0.5
CA_n3-n8-n39-n41,0.5,0.3,0.5,0.33 / 0.84
CA_n3-n8-n39-n79,0.5,0.3,0.5,0.8
CA_n3-n8-n40-n78,0.6,0.6,0.5,0.8
CA_n3-n8-n40-n79,0.5,0.3,0.5,0.5
CA_n3-n8-n41-n78,0.5,0.5,0.31 / 0.82,0.8
CA_n3-n8-n41-n79,0.5,0.5,0.31 / 0.82,0.8
CA_n3-n18-n28-n41,0.5,0.4,0.4,0.33 / 0.84
CA_n3-n18-n28-n77,0.6,0.5,0.5,0.8
CA_n3-n18-n41-n77,0.6,0.4,0.33 / 0.84,0.8
CA_n3-n20-n28-n78,0.6,0.8,0.6,0.8
CA_n3-n20-n41-n71,0.5,0.8,0.33 / 0.84,0.6
CA_n3-n20-n41-n77,0.6,0.6,0.33 / 0.84,0.8
CA_n3-n20-n41-n78,0.6,0.6,0.33 / 0.84,0.8
CA_n3-n20-n67-n78,0.5,0.5,N/A,0.8
CA_n3-n20-n71-n78,0.6,0.8,0.6,0.8
CA_n3-n20-n75-n78,0.5,0.5,N/A,0.8
CA_n3-n28-n40-n41,0.5,0.5,0.5,0.33 / 0.84
CA_n3-n28-n40-n77,0.6,0.6,0.6,0.8
CA_n3-n28-n40-n78,0.5,0.3,0.5,0.8
CA_n3-n28-n40-n79,0.5,0.5,0.5,0.8
CA_n3-n28-n41-n77,1,0.5,0.31 / 0.82,0.8
CA_n3-n28-n41-n78,1,0.5,0.31 / 0.82,0.8
CA_n3-n28-n41-n79,0.5,0.5,0.31 / 0.82,0.8
CA_n3-n28-n75-n78,0.5,0.5,N/A,0.8
CA_n3-n28-n77-n79,0.6,0.5,0.8,0.8
CA_n3-n39-n41-n79,0.5,0.5,0.33 / 0.84,0.8
CA_n3-n40-n78-n79,0.6,0.5,0.8,0.8
CA_n3-n41-n71-n77,0.6,0.33 / 0.84,0.6,0.8
CA_n3-n41-n71-n78,0.6,0.31 / 0.82,0.6,0.8
CA_n3-n41-n77-n79,0.6,0.31 / 0.82,0.8,0.8
CA_n5-n7-n40-n78,0.6,0.6,0.5,0.8
CA_n5-n7-n40-n105,0.3,0.3,0.6,0.6
CA_n5-n7-n66-n77,0.6,0.6,0.6,0.8
CA_n5-n7-n78-n105,0.6,0.3,0.8,0.5
CA_n5-n14-n30-n66,0.5,0.5,0.5,0.8
CA_n5-n25-n29-n66,0.5,0.5,N/A,0.5
CA_n5-n25-n66-n77,0.6,0.6,0.6,0.8
CA_n5-n25-n66-n78,0.6,0.6,0.6,0.8
CA_n5-n28-n78-n79,0.7,0.7,0.8,0.8
CA_n5-n30-n66-n77,0.6,0.3,0.6,0.8
CA_n5-n40-n78-n105,0.6,0.3,0.8,0.5
CA_n5-n48-n66-n77,0.6,0.8,0.6,0.8
CA_n7-n8-n28-n40,0.5,0.6,0.5,0.6
CA_n7-n8-n40-n78,0.5,0.3,0.5,0.8
CA_n7A-n8-n40-n79,0.5,0.6,0.6,0.8
CA_n7-n12-n25-n66,0.5,0.3,0.5,0.5
CA_n7-n20-n28-n78,0.8,0.5,0.5,0.8
CA_n7-n20-n67-n78,0.6,0.6,N/A,0.8
CA_n7-n20-n75-n78,0.6,0.6,N/A,0.8
CA_n7-n25-n29-n77,0.5,0.6,N/A,0.8
CA_n7-n25-n66-n71,0.5,0.5,0.5,0.6
CA_n7-n25-n66-n77,0.5,0.6,0.6,0.8
CA_n7-n25-n66-n78,0.5,0.6,0.6,0.8
CA_n7-n28-n40-n78,0.5,0.5,0.6,0.8
CA_n7-n28-n40-n79,0.5,0.5,0.6,0.8
CA_n7-n28-n75-n78,0.5,0.5,N/A,0.8
CA_n7-n29-n66-n77,0.5,N/A,0.6,0.8
CA_n7-n40-n78-n79,0.5,0.6,0.5 / 1.57,0.5 / 1.57
CA_n7-n40-n78-n105,0.5,0.6,0.8,0.5
CA_n7-n66-n71-n77,0.5,0.6,0.6,0.8
CA_n8-n20-n28-n75,0.8,0.7,0.7,N/A
CA_n8-n28-n40-n78,0.6,0.5,0.3,0.8
CA_n8-n28-n40-n79,0.6,0.5,0.3,0.8
CA_n8-n39-n41-n79,0.5,0.5,0.31 / 0.82,0.8
CA_n8-n40-n78-n79,0.6,0.3,0.8,0.8
CA_n12-n30-n66-n77,0.8,0.3,0.6,0.8
CA_n13-n25-n66-n77,0.5,0.6,0.6,0.8
CA_n14-n30-n66-n77,0.6,0.3,0.6,0.8
CA_n18-n28-n41-n77,0.5,0.5,0.33 / 0.84,0.8
CA_n20-n41-n71-n78,0.6,0.33 / 0.84,0.6,0.8
CA_n25-n29-n66-n77,0.6,N/A,0.6,0.8
CA_n25-n38-n66-n78,0.6,0.6,0.6,0.8
CA_n25-n41-n66-n71,0.5,0.5,0.5,0.3
CA_n25-n41-n66-n77,0.5,0.83 / 1.34,0.5,0.8
CA_n25-n41-n66-n78,0.5,0.83 / 1.34,0.5,0.8
CA_n25-n41-n66-n85,0.5,0.5,0.5,0.3
CA_n25-n41-n71-n77,0.5,0.5,0.6,0.8
CA_n25-n41-n71-n78,0.5,0.5,0.6,0.8
CA_n25-n41-n71-n85,0.5,0.5,0.5,0.5
CA_n25-n41-n77-n85,0.5,0.5,0.8,0.6
CA_n25-n66-n71-n77,0.5,0.5,0.6,0.8
CA_n25-n66-n71-n78,0.6,0.6,0.6,0.8
CA_n25-n66-n71-n85,0.5,0.5,1,1
CA_n25-n66-n77-n85,0.6,0.6,0.8,0.8
CA_n28-n40-n71-n77,1.1,0.3,1.1,0.8
CA_n28-n40-n78-n79,0.5,0.3,0.8 / 1.57,0.5 / 1.57
CA_n28-n41-n75-n78,0.3,0.7,N/A,0.8
CA_n28-n41-n77-n79,0.5,0.3,0.8,0.8
CA_n29-n30-n66-n77,N/A,0.3,0.6,0.8
CA_n29-n66-n70-n71,N/A,0.5,0.5,0.6
CA_n41-n66-n70-n78,0.5,0.6,0.6,0.8
CA_n41-n66-n71-n77,0.33 / 0.84,1,0.5,0.8
CA_n41-n66-n71-n78,0.33 / 0.84,1,0.5,0.8
CA_n41-n66-n71-n85,0.5,0.5,0.5,0.5
CA_n41-n66-n77-n85,0.33 / 0.84,1,0.8,0.5
CA_n48-n66-n70-n77,0.8,0.6,0.6,0.8
"NOTE 1:Applicable for the frequency range of 2515-2690 MHz. NOTE 2:Applicable for the frequency range of 2496-2515 MHz.NOTE 3:The requirement is applied for UE transmitting on the frequency range of 2545 - 2690 MHz.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2496 - 2545 MHz.NOTE 5:“-” denotes ΔTIB,c = 0.NOTE 6:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1-n3-n5-n78 the band order from left to right is n1, n3, n5 and n78.",,,,
