NR CA combination,Spurious emission,,,,,,
,Protected Band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
,Frequency range,773,-,803,-50,1,
CA_n28-n50,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n28-n77,Frequency range,758,-,773,-32,1,
,Frequency range,773,-,803,-50,1,
CA_n28-n74,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
,Frequency range,1400,-,1427,-32,27,"4, 20, 2"
,Frequency range,1475,-,1488,-28,1,"4, 21, 2"
,Frequency range,1475,-,1488,-50,1,"4, 22, 2"
,Frequency range,1488,-,1510.9,-35,1,"4, 23, 2"
,Frequency range,1488,-,1518,-50,1,"4, 2"
CA_n28-n78,Frequency range,758,-,773,-32,1,
,Frequency range,773,-,803,-50,1,
CA_n28-n79,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n41-n74,Frequency range,1400,-,1427,-32,27,"4, 20"
,Frequency range,1475,-,1488,-28,1,"4, 21"
,Frequency range,1475,-,1488,-50,1,"4, 22"
,Frequency range,1488,-,1510.9,-35,1,"4, 23"
,Frequency range,1488,-,1518,-50,1,4
CA_n74-n77,Frequency range,1400,-,1427,-32,27,"4, 20"
,Frequency range,1475,-,1488,-50,1,21
,Frequency range,1475,-,1488,-28,1,"4, 21"
,Frequency range,1475,-,1488,-50,1,"4, 22"
,Frequency range,1488,-,1510.9,-35,1,"4, 23"
CA_n74-n78,Frequency range,1400,-,1427,-32,27,"4, 20"
,Frequency range,1475,-,1488,-28,1,"4, 21"
,Frequency range,1475,-,1488,-50,1,"4, 22"
,Frequency range,1488,-,1510.9,-35,1,"4, 23"
,Frequency range,1488,-,1518,-50,1,4
CA_n100-n101,Frequency range,758,-,788,-50,1,
"NOTE 1:Void.NOTE 2:As exceptions, measurements with a level up to the applicable requirements defined in Table 6.5.3.1-2 are permitted for each assigned NR carrier used in the measurement due to 2nd, 3rd, 4th or 5th harmonic spurious emissions. Due to spreading of the harmonic emission the exception is also allowed for the first 1 MHz frequency range immediately outside the harmonic emission on both sides of the harmonic emission. This results in an overall exception interval centred at the harmonic emission of (2 MHz + N x LCRB x 180kHz), where N is 2, 3, 4, 5 for the 2nd, 3rd, 4th or 5th harmonic respectively. The exception is allowed if the measurement bandwidth (MBW) totally or partially overlaps the overall exception interval.NOTE 3:VoidNOTE 4:These requirements also apply for the frequency ranges that are less than FOOB (MHz) in Table 6.5.3.1-1 from the edge of the channel bandwidth.NOTE 5:Void.NOTE 6:Void.NOTE 7:Void.NOTE 8:This requirement is only applicable for carriers with bandwidth confined within 1885-1920 MHz (requirement for carriers with at least 1RB confined within 1880 - 1885 MHz is not specified). This requirement applies for an uplink transmission bandwidth less than or equal to 54 RB for carriers of 15 MHz bandwidth when carrier center frequency is within the range 1892.5 - 1894.5 MHz and for carriers of 20 MHz bandwidth when carrier center frequency is within the range 1895 - 1903 MHz.NOTE 9:Void.NOTE 10:Void.NOTE 11:Applicable when the assigned NR carrier is confined within 718 MHz and 748 MHz and when the channel bandwidth used is 5 or 10 MHz.NOTE 12:Void.NOTE 13:This requirement is applicable for 5 and 10 MHz NR channel bandwidth allocated within 718 - 728 MHz. For carriers of 10 MHz bandwidth, this requirement applies for an uplink transmission bandwidth less than or equal to 30 RB with RBstart > 1 and Rbstart < 48.NOTE 14:This requirement is applicable in the case of a 10 MHz NR carrier confined within 703 MHz and 733 MHz, otherwise the requirement of -25 dBm with a measurement bandwidth of 8 MHz applies.NOTE 15:As exceptions, measurements with a level up to the applicable requirement of -36 dBm/MHz is permitted for each assigned E-UTRA carrier used in the measurement due to 3rd harmonic spurious emissions. An exception is allowed if there is at least one individual RB within the transmission bandwidth (see Figure 5.6-1) for which the 3rd harmonic totally or partially overlaps the measurement bandwidth (MBW).NOTE 17:Void.NOTE 18: Void.NOTE 19:This requirement is applicable for power class 3 UE for any channel bandwidths within the range 2570 - 2615 MHz with the following restriction: for carriers of 15 MHz bandwidth when carrier centre frequency is within the range 2605.5 - 2607.5 MHz and for carriers of 20 MHz bandwidth when carrier centre frequency is within the range 2597 - 2605 MHz the requirement is applicable only for an uplink transmission bandwidth less than or equal to 54 RB.  For power class 2 UE for any channel bandwidths within the range 2570 - 2615 MHz, NS_44 shall apply. For power class 2 or 3 UE for carriers with channel bandwidth overlapping the frequency range 2615 - 2620 MHz the requirement applies with the maximum output power configured to +19 dBm in the IE P-Max.NOTE 20: Applicable for cases and when the lower edge of the assigned NR UL channel bandwidth frequency is greater than or equal to 1427 MHz + the channel BW assigned for 5 and 10 MHz bandwidth, and when the lower edge of the assigned NR UL channel bandwidth frequency is greater than or equal to 1440 MHz for 15 and 20 MHz bandwidth.NOTE 21: Applicable for 5 MHz bandwidth, and when the upper edge of the assigned NR UL channel bandwidth frequency is less than or equal to 1467 MHz assigned for 10 MHz bandwidth, and when the upper edge of the assigned NR UL channel bandwidth frequency is less than or equal to 1463.8 MHz for 15 MHz bandwidth, and when the upper edge of the assigned NR UL channel bandwidth.NOTE 22:As exceptions, for 90 and 100 MHz channel bandwidth, -40 dBm/MHz is applicable in the frequency range of 2496 – 2505 MHz.NOTE 23: For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.if the measurement bandwidth (MBW) totally or partially overlaps the overall exception interval.NOTE 24: For 20MHz channel bandwidth in band n26 this value is changed to 794MHz.",,,,,,,
