Change history after change control,,,,,,,
Date,TSG,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
,RP-82,RP-182678,0249,3,F,Correction on PDCP for eV2X,15.2.0
,RP-82,RP-182679,0255,4,F,Correction on PDCP duplication,15.2.0
,RP-82,RP-182678,0264,1,F,Correction to SLRB and state variables for sidelink transmission,15.2.0
,RP-82,RP-182678,0265,-,F,Header Decompression for SLRB,15.2.0
2019-03,RP-83,RP-190552,0266,1,F,Correction on UDC data format,15.3.0
,RP-83,RP-190551,0270,1,F,CR on ROHC for V2X,15.3.0
,RP-83,RP-190552,0271,1,F,CR on PDCP structure for split bearer and LWA bearer,15.3.0
2019-06,RP-84,RP-191385,0272,1,F,CR on HFN maintainance,15.4.0
,RP-84,RP-191387,0273,-,F,Clarification of the PDCP structure,15.4.0
2019-12,RP-86,RP-192941,0277,-,F,Specify UDC Header is part of Data Field,15.5.0
2020-03,RP-87,RP-200450,0278,1,B,Introducing EHC in LTE PDCP,16.0.0
,RP-87,RP-200364,0279,2,B,Introduction of DAPS handover,16.0.0
2020-07,RP-88,RP-201168,0281,2,A,Correction on SRB duplication,16.1.0
,RP-88,RP-201195,0282,3,C,CR on 36.323 for LTE feMob,16.1.0
,RP-88,RP-201168,0284,1,A,CR on RLC out-of-order delivery configuration,16.1.0
,RP-88,RP-201181,0286,1,F,LTE PDCP corrections for NR IIOT,16.1.0
2020-09,RP-89,RP-201933,0287,1,F,Correction for PDCP status report,16.2.0
,RP-89,RP-201963,0290,1,F,CR on LTE PDCP re-establishment when t-Reordering is used,16.2.0
2020-12,RP-90,RP-202773,0291,1,F,CR on LTE PDCP re-establishment for UM DRB when t-Reordering is used,16.3.0
2021-09,RP-93,RP-212442,0296,1,F,CR for LTE PDCP operation after DAPS release,16.4.0
2021-12,RP-94,RP-213343,0298,2,A,Clarification on Security Coverage,16.5.0
2022-03,RP-95,,,,,"Upgraded to Rel-17, no technical change",17.0.0
2022-06,RP-96,RP-221713,0301,1,A,CR for EHC decompression,17.1.0
2022-12,RP-98,RP-223416,0304,1,F,Correction on PDCP Control PDU for UDC feedback,17.2.0
,RP-98,RP-223406,0309,1,A,Data available transmission for DAPS,17.2.0
2024-03,RP-103,,,,,"Upgraded to Rel-18, no technical change",18.0.0
2025-09,RP-109,,,,,"Upgraded to Rel-19, no technical change",19.0.0
