Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n2,1860,5,25,1940,N/A,FDD,N/A
,n30,N/A,5,N/A,2354,12.9,FDD,IMD5
,n77,3967,10,50,3967,N/A,TDD,N/A
CA_n2-n66-n77,n2,1855,5,25,1935,N/A,FDD,N/A
,n66,N/A,5,N/A,2115,34.7,FDD,"IMD21,2"
,n77,3970,10,50,3970,N/A,TDD,N/A
,n2,N/A,5,N/A,1960,37.6,FDD,"IMD21,2"
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3720,10,50,3720,N/A,TDD,N/A
,n2,N/A,5,25,1950,21,FDD,IMD3
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,3300,100,1 (RBstart=203),3300,N/A,TDD,N/A
,,3400,100,1 (RBstart=67),3400,,,
CA_n3-n7-n20,n3,1747,5,25,1842,N/A,FDD,N/A
,n7,2543,10,50,2663,N/A,FDD,N/A
,n20,N/A,5,N/A,796,26.0,FDD,IMD2
,n3,1780,5,25,1875,N/A,FDD,N/A
,n7,N/A,10,N/A,2625,35.0,FDD,IMD2
,n20,845,5,25,804,N/A,FDD,N/A
,n3,1750,5,25,1845,N/A,FDD,N/A
,n7,N/A,5,25,N/A,25.9,FDD,IMD3
,n20,835,5,25,794,N/A,FDD,N/A
CA_n3-n7-n28,n3,1747,5,25,1842,N/A,FDD,N/A
,n7,2543,5,25,2663,N/A,FDD,N/A
,n28,N/A,5,N/A,796,26.0,FDD,IMD2
,n3,1712.5,5,25,1807.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2682,25.9,FDD,IMD3
,n28,743,5,25,798,N/A,FDD,N/A
,n3,N/A,5,N/A,1832.5,32,FDD,IMD2
,n7,2543,5,25,2663,N/A,FDD,N/A
,n28,710.5,5,25,765.5,N/A,FDD,N/A
CA_n3-n7-n78,n3,N/A,5,N/A,1820,26.6,FDD,IMD3
,n7,2565,5,25,2685,N/A,FDD,N/A
,n78,3310,10,50,3310,N/A,TDD,N/A
,n3,N/A,5,N/A,1820,17,FDD,IMD4
,n7,2565,5,25,2685,N/A,FDD,N/A
,n78,3475,10,50,3475,N/A,TDD,N/A
,n3,1730,5,25,1825,N/A,FDD,N/A
,n7,2560,5,25,2680,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,25.1,TDD,IMD3
CA_n3-n18-n41,n3,1765,5,25,1860,N/A,FDD,N/A
,n18,N/A,5,N/A,865,34.9,FDD,IMD2
,n41,2630,10,50,2630,N/A,TDD,N/A
,n3,1730,5,25,1825,N/A,FDD,N/A
,n18,N/A,5,N/A,862.5,26.5,FDD,IMD3
,n41,2597.5,10,50,2597.5,N/A,TDD,N/A
,n3,N/A,5,N/A,1850,34.8,FDD,IMD2
,n18,820,5,25,865,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
CA_n3-n18-n77,n18,820,5,25,865,N/A,TDD,N/A
,n3,N/A,5,N/A,1865,24.2,FDD,IMD3
,n77,3505,10,50,3505,N/A,TDD,N/A
CA_n3-n26-n78,n3,N/A,5,N/A,1862,24.6,FDD,IMD3
,n26,839,5,25,884,N/A,FDD,N/A
,n78,3540,10,50,3540,N/A,TDD,N/A
CA_n3-n28-n41,n3,1760,5,25,1855,N/A,FDD,N/A
,n28,N/A,5,N/A,790,30.5,FDD,IMD24
,n41,2550,10,50,2550,N/A,TDD,N/A
,n3,N/A,5,N/A,1832.5,32,FDD,IMD2
,n28,710.5,5,25,765.5,N/A,FDD,N/A
,n41,2543,10,50,2543,N/A,TDD,N/A
CA_n3-n28-n77,n3,1712.5,5,25,1807.5,N/A,FDD,N/A
,n28,N/A,5,N/A,770,24.2,FDD,IMD3
,n77,4195,10,50,4195,N/A,TDD,N/A
,n3,N/A,5,N/A,1850,25.8,FDD,IMD32
,n28,735,5,25,790,N/A,FDD,N/A
,n77,3320,10,50,3320,N/A,TDD,N/A
CA_n3-n28-n78,n3,N/A,5,N/A,1850,29.2,FDD,IMD3
,n28,735,5,25,790,N/A,FDD,N/A
,n78,3320,10,50,3320,N/A,TDD,N/A
,n3,1750,5,25,1845,N/A,FDD,N/A
,n28,743,5,25,798,N/A,FDD,N/A
,n78,N/A,10,N/A,3764,16.9,TDD,IMD5
CA_n3-n28-n79,n3,1770,5,25,1865,N/A,FDD,N/A
,n79,4530,40,216,4530,N/A,TDD,N/A
,n28,N/A,5,N/A,780,21.5,FDD,IMD4
,n28,725,5,25,780,N/A,FDD,N/A
,n79,4770,40,216,4770,N/A,TDD,N/A
,n3,N/A,5,N/A,1870,20.5,FDD,IMD5
CA_n3-n41-n77,n3,1720,5,25,1815,N/A,FDD,N/A
,n41,2580,10,50,2580,N/A,TDD,N/A
,n77,N/A,10,N/A,3440,24.3,TDD,IMD31
,n3,N/A,5,N/A,1840,23.9,FDD,IMD32
,n41,2620,10,50,2620,N/A,TDD,N/A
,n77,3400,10,50,3400,N/A,TDD,N/A
,n3,1720,5,25,1815,N/A,FDD,N/A
,n41,N/A,10,N/A,2640,16.7,TDD,IMD5
,n77,3900,10,50,3900,N/A,TDD,N/A
CA_n3-n41-n79,n3,1755,5,25,1850,35.4,FDD,IMD21
,n41,2570,10,50,2570,N/A,TDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n41,2670,10,50,2670,36.2,TDD,IMD21
,n79,4440,40,216,4440,N/A,TDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
,n79,4440,40,216,4440,36.8,TDD,IMD21
CA_n3-n77-n79,n77,3350,10,50,3350,N/A,FDD,N/A
,n79,4840,40,216,4840,N/A,TDD,N/A
,n3,1765,5,25,1860,24.2,TDD,"IMD31, 2"
CA_n3-n78-n79,n3,1780,5,25,1875,N/A,FDD,N/A
,n78,3320,10,50,3320,N/A,TDD,N/A
,n79,N/A,10,N/A,4860,22.1,TDD,IMD3
,n3,1780,5,25,1875,N/A,FDD,N/A
,n78,N/A,10,N/A,3480,8.5,TDD,IMD5
,n79,4410,10,50,4410,N/A,TDD,N/A
,n3,1765,5,25,1860,24.7,FDD,IMD31
,n78,3350,10,50,3350,N/A,TDD,N/A
,n79,4840,10,50,4840,N/A,TDD,N/A
,n3,1745,5,25,1840,11.5,FDD,IMD4
,n78,3780,10,50,3780,N/A,TDD,N/A
,n79,4700,10,50,4700,N/A,TDD,N/A
CA_n5-n7-n77,n5,N/A,5,N/A,879,35.2,FDD,"IMD21,4"
,n7,2550,5,25,2670,N/A,FDD,N/A
,n77,3429,10,50,3429,N/A,TDD,N/A
,n5,844,5,25,889,N/A,FDD,N/A
,n7,N/A,5,N/A,2645,35.1,FDD,IMD2
,n77,3489,10,50,3489,N/A,TDD,N/A
CA_n5-n7-n78,n5,N/A,5,N/A,879,35.2,FDD,IMD21
,n7,2550,5,25,2670,N/A,FDD,N/A
,n78,3429,10,50,3429,N/A,TDD,N/A
,n5,844,5,25,889,N/A,FDD,N/A
,n7,N/A,5,N/A,2645,35.1,FDD,IMD2
,n78,3489,10,50,3489,N/A,TDD,N/A
CA_n5-n12-n77,n5,N/A,5,N/A,880,14.0,FDD,IMD5
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n77,3710,10,50,3710,N/A,TDD,N/A
,n5,835,5,25,880,N/A,FDD,N/A
,n12,N/A,5,N/A,740,14.9,FDD,IMD55
,n77,4080,10,50,4080,N/A,TDD,N/A
CA_n5-n14-n77,n5,N/A,5,N/A,880,14.0,FDD,IMD55
,n14,793,5,25,763,N/A,FDD,N/A
,n77,4052,10,50,4052,N/A,TDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n14,N/A,5,N/A,765.5,20.3,FDD,IMD41.5
,n77,3305,10,50,3305,N/A,TDD,N/A
CA_n5-n25-n77,n5,N/A,5,N/A,889,13.6,FDD,IMD55
,n25,1907,5,25,1987,N/A,FDD,N/A
,n77,3305,10,50,3305,N/A,TDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n25,N/A,5,N/A,1987,24.8,FDD,IMD3
,n77,3680,10,25,3680,N/A,TDD,N/A
CA_n5-n25-n78,n5,N/A,5,N/A,889,13.6,FDD,IMD5
,n25,1907,5,25,1987,N/A,FDD,N/A
,n78,3305,10,50,3305,N/A,TDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n25,N/A,5,N/A,1987,24.8,FDD,IMD3
,n78,3680,10,50,3680,N/A,TDD,N/A
CA_n5-n29-n77,n5,835,5,25,880,N/A,FDD,N/A
,n29,N/A,5,N/A,722,14.9,FDD,IMD55
,n77,4062,10,50,4062,N/A,TDD,N/A
CA_n5-n30-n77,n5,N/A,5,N/A,880,23.5,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3740,10,50,3740,N/A,TDD,N/A
,n5,835,5,25,880,N/A,FDD,N/A
,n30,N/A,5,N/A,2355,21.4,FDD,IMD35
,n77,4025,10,50,4025,N/A,TDD,N/A
CA_n5-n66-n77,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,N/A,5,N/A,2142,22.2,FDD,IMD3
,n77,3795,10,50,3795,N/A,TDD,N/A
,n5,845,5,25,890,N/A,FDD,N/A
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,N/A,10,N/A,3465,25.1,TDD,IMD3
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n77,N/A,10,N/A,4192,19,TDD,IMD45
,n5,835,5,25,880,N/A,FDD,N/A
,n66,1735,5,25,2135,N/A,FDD,N/A
,n77,N/A,10,N/A,3535,14.2,TDD,IMD5
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,N/A,5,N/A,2142,22.2,FDD,IMD3
,n77,3795,10,50,3795,N/A,TDD,N/A
CA_n7-n25-n77,n7,2550,5,25,2670,N/A,FDD,N/A
,n25,N/A,5,N/A,1950,20.0,FDD,IMD4
,n77,3525,10,50,3525,N/A,TDD,N/A
,n7,N/A,5,N/A,2640,18.8,FDD,IMD5
,n25,1870,5,25,1950,N/A,FDD,N/A
,n77,4125,10,50,4125,N/A,TDD,N/A
CA_n7-n66-n77,n7,2550,5,25,2670,N/A,FDD,N/A
,n66,N/A,5,N/A,2150,20.5,FDD,IMD4
,n77,3625,10,50,3625,N/A,TDD,N/A
,n7,N/A,5,N/A,2640,18.8,FDD,IMD5
,n66,1720,5,25,2120,N/A,FDD,N/A
,n77,3900,10,50,3900,N/A,TDD,N/A
CA_n7-n71-n77,n7,N/A,5,N/A,2670,34.6,FDD,IMD2
,n71,680,5,25,634,N/A,FDD,N/A
,n77,3350,10,50,3350,N/A,TDD,N/A
CA_n7-n26-n78,n7,2550,5,25,2670,N/A,FDD,N/A
,n26,N/A,5,N/A,879,36.2,FDD,IMD2
,n78,3429,10,50,3429,N/A,TDD,N/A
,n7,2525,5,25,2645,N/A,FDD,N/A
,n26,N/A,5,N/A,875,15.7,FDD,IMD5
,n78,3350,10,50,3350,N/A,TDD,N/A
,n7,N/A,5,N/A,2645,36.1,FDD,IMD2
,n26,844,5,25,889,N/A,FDD,N/A
,n78,3489,10,50,3489,N/A,TDD,N/A
CA_n7-n28-n78,n7,2567.5,5,25,2687.5,N/A,FDD,N/A
,n28,N/A,5,N/A,782.5,33.8,FDD,IMD21
,n78,3350,10,50,3350,N/A,TDD,N/A
,n7,N/A,5,N/A,2650,35.5,FDD,IMD2
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3390,10,50,3390,N/A,TDD,N/A
,n7,2565,5,25,2685,N/A,FDD,N/A
,n28,745,5,25,800,N/A,FDD,N/A
,n78,N/A,10,N/A,3310,35.7,TDD,IMD2
CA_n7-n66-n78,n7,2540,5,25,2660,N/A,FDD,N/A
,n66,1760,5,25,2160,20.5,FDD,IMD4
,n78,3620,10,50,3620,N/A,TDD,N/A
CA_n12-n30-n77,n12,N/A,5,N/A,740,23.5,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3880,10,50,3880,N/A,TDD,N/A
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n30,N/A,5,N/A,2355,21.4,FDD,IMD3
,n77,3770,10,50,3770,N/A,TDD,N/A
CA_n12-n66-n77,n12,N/A,5,N/A,740,23.5,FDD,IMD35
,n66,1720,5,25,2120,N/A,FDD,N/A
,n77,4180,10,50,4180,N/A,TDD,N/A
,n12,707,5,25,737,N/A,FDD,N/A
,n66,N/A,5,N/A,2126,21.4,FDD,IMD3
,n77,3540,10,50,3540,N/A,TDD,N/A
CA_n13-n25-n77,n13,782,5,25,751,N/A,FDD,N/A
,n25,N/A,5,N/A,1960,24.0,FDD,IMD3
,n77,3524,10,50,3524,N/A,TDD,N/A
CA_n13-n66-n77,n13,782,5,25,751,N/A,FDD,N/A
,n66,N/A,5,N/A,2146,26.0,FDD,IMD3
,n77,3710,10,50,3710,N/A,TDD,N/A
,n13,N/A,5,N/A,750,24.1,FDD,IMD3
,n66,1710,5,25,2110,N/A,FDD,N/A
,n77,4170,10,50,4170,N/A,TDD,N/A
CA_n14-n30-n77,n14,N/A,5,N/A,763,23.5,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3857,10,50,3857,N/A,TDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n30,N/A,5,N/A,2355,21.4,FDD,IMD3
,n77,3941,10,50,3941,N/A,TDD,N/A
CA_n14-n66-n77,n14,N/A,5,N/A,763,23.5,FDD,IMD35
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n77,4188,10,50,4188,N/A,TDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n66,N/A,5,N/A,2155,21.4,FDD,IMD3
,n77,3741,10,50,3741,N/A,TDD,N/A
CA_n18-n28-n41,n18,825,5,25,870,N/A,FDD,N/A
,n41,2505,10,50,2505,N/A,TDD,N/A
,n28,N/A,5,N/A,795,16.9,FDD,IMD5
CA_n18-n28-n77,n18,820,5,25,865,N/A,FDD,N/A
,n28,N/A,5,N/A,778,17.5,FDD,IMD5
,n77,4058,10,50,4058,N/A,TDD,N/A
,n18,N/A,5,N/A,865,12.1,FDD,IMD5
,n28,723,5,25,778,N/A,FDD,N/A
,n77,3757,10,50,3757,N/A,TDD,N/A
CA_n18-n41-n77,n18,820,5,25,865,N/A,FDD,N/A
,n41,2630,10,50,2630,N/A,TDD,N/A
,n77,N/A,10,N/A,3450,34.6,TDD,"IMD22,4"
,n18,820,5,25,865,N/A,FDD,N/A
,n41,N/A,10,N/A,2630,32.5,TDD,IMD24
,n77,3450,10,50,3450,N/A,TDD,N/A
,n18,N/A,5,N/A,870,33.8,FDD,"IMD21,4"
,n41,2590,10,50,2590,N/A,TDD,N/A
,n77,3460,10,50,3460,N/A,TDD,N/A
CA_n25-n41-n66,n25,N/A,5,N/A,1940,23.0,FDD,IMD4
,n41,2685,10,50,2685,N/A,TDD,N/A
,n66,1715,5,25,2115,N/A,FDD,N/A
CA_n25-n41-n71,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2532,10,50,2532,N/A,TDD,N/A
,n71,N/A,5,N/A,632,34.7,FDD,IMD2
,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2534,10,50,2534,N/A,TDD,N/A
,n71,N/A,5,N/A,632,19.3,FDD,IMD5
,n25,N/A,5,N/A,1980,32.0,FDD,IMD2
,n41,2658,10,50,2658,N/A,TDD,N/A
,n71,678,5,50,632,N/A,FDD,N/A
CA_n25-n41-n77,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
,n77,N/A,10,N/A,3470,22.3,TDD,IMD31
,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,N/A,10,N/A,2640,16.7,TDD,IMD55
,n77,4125,10,50,4125,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,25.1,FDD,IMD35
,n41,2675,10,50,2675,N/A,TDD,N/A
,n77,3400,10,50,3400,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,18.3,FDD,IMD4
,n41,2550,10,50,2685,N/A,TDD,N/A
,n77,3525,10,50,3525,N/A,TDD,N/A
CA_n25-n66-n77,n25,1855,5,25,1935,N/A,FDD,N/A
,n66,N/A,5,N/A,2115,35.2,FDD,IMD22
,n77,3970,10,50,3970,N/A,TDD,N/A
,n25,1900,5,25,1980,N/A,FDD,N/A
,n66,N/A,5,N/A,2160,16.4,FDD,IMD5
,n77,3930,10,50,3930,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,38.1,FDD,IMD2
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3720,10,50,3720,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,21.1,FDD,IMD45
,n66,1770,5,25,2170,N/A,FDD,N/A
,n77,3350,10,50,3350,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,13.0,FDD,IMD55
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3620,10,50,3620,N/A,TDD,N/A
,n25,1880,5,25,1960,N/A,FDD,N/A
,n66,1740,5,25,2140,N/A,FDD,N/A
,n77,N/A,10,N/A,3620,35.4,TDD,IMD25
CA_n25-n66-n78,n25,1880,5,25,1960,M/A,FDD,N/A
,n66,1740,5,25,2140,21.1,FDD,IMD4
,n78,3500,10,50,3500,N/A,TDD,N/A
,n25,1880,5,25,1960,37.6,FDD,"IMD21,2"
,n66,1760,5,25,2160,N/A,FDD,N/A
,n78,3720,10,50,3720,N/A,TDD,N/A
CA_n25-n71-n77,n25,1907.5,5,25,1987.5,N/A,FDD,N/A
,n71,695.5,5,25,649.5,N/A,FDD,N/A
,n77,N/A,10,N/A,3305,16.1,TDD,"IMD31,2,5"
,n25,N/A,5,N/A,1954,25.5,FDD,"IMD32,5"
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3340,10,50,3340,N/A,TDD,N/A
CA_n28-n41-n74,n28,N/A,5,N/A,782,17.5,FDD,IMD5
,n41,2569,10,50,2569,N/A,TDD,N/A
,n74,1452,5,25,1500,N/A,FDD,N/A
CA_n28-n41-n77,n28,743,5,25,798,N/A,FDD,N/A
,n41,2580,10,50,2580,N/A,TDD,N/A
,n77,N/A,10,N/A,3323,32.7,TDD,"IMD22,4"
,n28,N/A,5,N/A,798,35.3,FDD,"IMD21,4"
,n41,2642,10,50,2642,N/A,TDD,N/A
,n77,3440,10,50,3440,N/A,TDD,N/A
,n28,738,5,25,793,N/A,FDD,N/A
,n41,N/A,10,N/A,2642,33.5,TDD,IMD24
,n77,3380,10,50,3380,N/A,TDD,N/A
CA_n28-n41-n79,n28,725,5,25,780,22,FDD,IMD31
,n41,2600,10,50,2600,N/A,TDD,N/A
,n79,4600,40,216,4600,N/A,TDD,N/A
,n28,720,5,25,775,N/A,FDD,N/A
,n41,2600,10,50,2600,N/A,TDD,N/A
,n79,4480,40,216,4600,19.1,TDD,IMD32
,n28,735,5,25,790,N/A,FDD,N/A
,n41,2645,10,50,2645,22.4,TDD,IMD4
,n79,4850,40,216,4850,N/A,TDD,N/A
CA_n28-n74-n77,n28,730,5,25,785,N/A,FDD,N/A
,n74,N/A,5,25,1500,20.7,FDD,IMD4
,n77,3690,10,50,3690,N/A,TDD,N/A
,n28,N/A,5,25,785,27.7,FDD,IMD3
,n74,1452,5,25,1500,N/A,FDD,N/A
,n77,3689,10,50,1818.5,N/A,FDD,N/A
,n28,N/A,5,25,785,25.1,FDD,IMD4
,n74,1458,5,25,1516,N/A,FDD,N/A
,n77,3589,10,50,1818.5,N/A,FDD,N/A
CA_n28-n77-n79,n77,3620,10,50,3620,N/A,TDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n28,745,5,25,800,22.7,FDD,"IMD21, 2"
CA_n28-n78-n79,n28,740,5,25,795,N/A,FDD,N/A
,n78,3700,10,50,3700,N/A,TDD,N/A
,n79,N/A,40,N/A,4440,32.2,TDD,"IMD23,4"
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3320,10,50,3320,N/A,TDD,N/A
,n79,N/A,40,N/A,4440,5.7,TDD,"IMD53,4"
,n28,740,5,25,795,N/A,FDD,N/A
,n78,N/A,10,N/A,3700,32.9,TDD,IMD23
,n79,4440,40,216,4440,N/A,TDD,N/A
,n28,740,5,25,795,N/A,FDD,N/A
,n78,N/A,10,N/A,3420,16.8,TDD,IMD33
,n79,4900,40,216,4900,N/A,TDD,N/A
,n28,N/A,5,N/A,800,22.2,FDD,IMD2
,n78,3620,10,50,3620,N/A,TDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n28,N/A,5,N/A,790,5.7,FDD,IMD5
