Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n20,851,5,25,810,12,FDD,IMD3
CA_n7-n26,n7,2556,5,25,2676,N/A,FDD,N/A
,n26,837,5,25,882,16.0,FDD,IMD34
,n7,2567.5,5,25,2687.5,2.5,FDD,IMD5
,n26,816.5,5,25,861.5,N/A,FDD,N/A
CA_n7-n40,n7,2510,5,25,2630,23,FDD,IMD3
,n40,2390,10,50,2390,N/A,TDD,N/A
CA_n7-n46,n7,2550,10,50,2670,26.8,FDD,IMD24
,n46,5220,20,100,5220,N/A,TDD,N/A
CA_n7-n66,n7,2535,10,50,2655,15,FDD,IMD4
,n66,1730,5,25,2130,N/A,FDD,N/A
CA_n7-n77,n7,2540,5,25,2660,7.1,FDD,IMD4
,n77,3870,10,50,3870,N/A,TDD,N/A
,n7,N/A,5,N/A,2687.5,15,FDD,IMD5
,n7712,3455,10,1 (RBSTART=0),3455,N/A,TDD,N/A
,,3835,10,1 (RBSTART=7),3835,,,
CA_n7-n78,n7,N/A,5,N/A,2650,15,FDD,IMD5
,n7812,3350,10,1 (RBSTART=25),3350,N/A,TDD,N/A
,,3700,10,1 (RBSTART=25),3700,,,
CA_n8-n20,n8,890.5,5,25,935.5,N/A,FDD,N/A
,n20,849.5,5,25,808.5,25,FDD,IMD34
,n8,892.5,5,25,937.5,25,FDD,IMD34
,n20,847.5,5,25,806.5,N/A,FDD,N/A
CA_n8-n41,n8,882.5,5,25,927.5,12.1,FDD,IMD34
,n41,2685,10,50,2685,N/A,TDD,N/A
CA_n8-n77,n8,897.5,5,25,942.5,8.3,FDD,IMD4
,n77,3635,10,50,3635,N/A,TDD,N/A
CA_n8-n78,n8,897.5,5,25,942.5,8.3,FDD,IMD4
,n78,3635,10,50,3635,N/A,TDD,N/A
CA_n8-n79,n8,897.5,5,25,942.5,4.8,FDD,IMD5
,n79,4532.5,40,216,4532.5,N/A,TDD,N/A
CA_n12-n66,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n66,1765,5,25,2115,5.0,FDD,IMD4
CA_n12-n77,n12,702,5,20,732,5.5,FDD,IMD5
,n77,3540,10,50,3540,N/A,TDD,N/A
CA_n12-n78,n12,710,5,25,740,5.5,FDD,IMD5
,n78,3580,10,50,3580,N/A,TDD,N/A
CA_n13-n77,n13,782,5,20,751,5.5,FDD,IMD5
,n77,3880,10,50,3880,N/A,TDD,N/A
,n13,N/A,5,N/A,750,8.6,FDD,IMD415
,n7712,3510,10,1 (RBSTART=25),3510,N/A,TDD,N/A
,,3885,10,1 (RBSTART=25),3885,,,
CA_n14-n77,n14,793,5,20,763,5.5,FDD,IMD5
,n77,3935,10,50,3935,N/A,TDD,N/A
CA_n18-n41,n18,820,5,25,865,14.1,FDD,IMD3
,n41,2505,10,50,2505,N/A,TDD,N/A
CA_n18-n77,n18,827.5,5,25,872.5,8.4,FDD,IMD48
,n77,3355,10,50,3355,N/A,TDD,N/A
,n18,817.5,5,25,862.5,4.5,FDD,IMD58
,n77,4130,10,50,4130,N/A,TDD,N/A
,n18,N/A,N/A,N/A,N/A,N/A,FDD,IMD27
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n18,N/A,5,N/A,870,8.6,FDD,IMD4
,n7712,3480,10,1 (RBSTART=25),3480,N/A,TDD,N/A
,,3915,10,1 (RBSTART=25),3800,,,
CA_n18-n78,n18,827.5,5,25,872.5,8.3,FDD,IMD49
,n78,3355,10,50,3355,N/A,TDD,N/A
CA_n20-n41,n20,851,5,25,810,12.1,FDD,IMD34
,n41,2512,10,50,N/A,N/A,TDD,N/A
CA_n20-n77,n20,850,5,25,809,11,FDD,IMD4
,n77,3359,10,50,3359,N/A,TDD,N/A
,n20,840,5,25,799,6.5,FDD,IMD5
,n77,4159,10,50,4159,N/A,TDD,N/A
CA_n20-n78,n20,850,5,25,809,11,FDD,IMD4
,n78,3359,10,50,3359,N/A,TDD,N/A
,n20,N/A,5,N/A,800,8.6,FDD,IMD415
,n7812,3350,10,1 (RBSTART=25),3350,N/A,TDD,N/A
,,3750,10,1 (RBSTART=25),3750,,,
CA_n24-n77,n24,N/A,N/A,N/A,N/A,N/A,FDD,IMD410
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
CA_n25-n41,n25,N/A,5,N/A,1992.5,8.5,FDD,IMD7
,n41,2545,90,1 (RBSTART=0),2545,N/A,TDD,N/A
,,2640,100,1 (RBSTART=221),2640,,,
,n25,1860,5,25,1940,15.3,FDD,IMD3
,n41,2501,10,1 (RBstart = 25),2501,N/A,TDD,N/A
,,2556,100,1 (RBstart = 208),2556,,,
CA_n25-n48,n25,1852.5,5,25,1932.5,12,FDD,IMD4
,n48,3625,20,100,3625,N/A,TDD,N/A
CA_n25-n66,n25,1855,5,25,1935,20,FDD,IMD3
,n66,1775,5,25,2175,N/A,FDD,N/A
,n25,1912.5,5,25,1992.5,N/A,FDD,N/A
,n66,1712.5,5,25,2112.5,23,FDD,IMD34
CA_n25-n77,n25,1855,5,25,1935,26,FDD,IMD221
,n77,3790,10,50,3790,N/A,TDD,N/A
,n25,1885,5,25,1965,5,FDD,IMD5
,n77,3790,10,50,3790,N/A,TDD,N/A
,n25,N/A,5,N/A,1987.5,2.7,FDD,IMD7
,n7712,3455,10,1 (RBSTART=10),3455,N/A,TDD,N/A
,,3945,10,1 (RBSTART=0),3945,,,
CA_n25-n78,n25,1855,5,25,1935,26,FDD,IMD24
,n78,3790,10,50,3790,N/A,TDD,N/A
,n25,N/A,5,N/A,1980,2.7,FDD,IMD7
,n7812,3315,10,1 (RBSTART=7),3315,N/A,TDD,N/A
,,3760,10,1 (RBSTART=0),3760,,,
CA_n26-n66,n26,838,5,25,883,30,FDD,IMD24
,n66,1721,5,25,2121,N/A,FDD,N/A
CA_n26-n70,n26,831,5,25,876,30,FDD,IMD24
,n70,1707.5,5,25,2007.5,N/A,FDD,N/A
CA_n26-n77,n26,N/A,N/A,N/A,N/A,N/A,FDD,IMD413
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n26,N/A,N/A,N/A,N/A,N/A,FDD,IMD513
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
CA_n26-n78,n26,836.5,5,25,881.5,11.1,FDD,IMD4
,n78,3391,10,50,3391,N/A,TDD,N/A
,n26,824,5,12 (RBSTART=0),869,N/A,TDD,N/A
,,839,5,12 (RBSTART=0),884,,,
,n78,N/A,10,N/A,3336,11.1,FDD,IMD4
CA_n28-n50,n28,730,10,50,775,15.3,FDD,"IMD24,21"
,n50,1500,10,50,1500,N/A,TDD,N/A
CA_n28-n74,n28,705.5,5,25,760.5,24.6,FDD,"IMD24,21"
,n74,1466,5,25,1514,N/A,FDD,N/A
,n28,709,5,25,764,N/A,FDD,N/A
,n74,1466,5,25,1514,14.6,FDD,IMD4
,n28,735.5,5,25,790.5,N/A,FDD,N/A
,n74,1450.4,5,25,1498.4,2.5,FDD,IMD5
CA_n28-n77,n28,N/A,N/A,N/A,N/A,N/A,FDD,IMD27
,n7712,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n28,705.5,5,25,760.5,5.5,FDD,IMD5
,n77,3582.5,10,50,3582.5,N/A,TDD,N/A
,n28,N/A,5,N/A,780,8.5,FDD,IMD415
,n7712,3510,10,1 (RBSTART=25),3510,N/A,TDD,N/A
,,3900,10,1 (RBSTART=25),3900,,,
,n28,N/A,5,N/A,705.5,8.6,FDD,IMD4
,n7712,3455,10,1 (RBSTART=17),3455,N/A,TDD,N/A
,,3805,10,1 (RBSTART=0),3805,,,
CA_n28-n78,n28,705.5,5,25,760.5,5.5,FDD,IMD5
,n78,3582.5,10,50,3582.5,N/A,TDD,N/A
,n28,N/A,5,N/A,750,8.6,FDD,IMD415
,n78,3310,10,1 (RBSTART=7),3310,N/A,TDD,N/A
,,3700,10,1 (RBSTART=0),3700,,,
CA_n29-n77,n29,N/A,5,N/A,720,8.6,SDL,IMD415
,n7712,3540,10,1 (RBSTART=25),3410,N/A,TDD,N/A
,,3900,10,1 (RBSTART=25),3850,,,
CA_n30-n77,n30,2310,5,25,2355,8.0,FDD,IMD4
,n77,3487.5,10,50,3487.5,N/A,TDD,N/A
,n30,N/A,5,N/A,2352.5,3.2,FDD,IMD7
,n7712,3455,10,1 (RBSTART=17),3455,N/A,TDD,N/A
,,3825,10,1 (RBSTART=0),3825,,,
CA_n40-n41,n40,N/A,10,N/A,2395,38.7,TDD,"IMD314,16,19"
,n41,2565,100,1 (RBSTART=0),2565,N/A,TDD,N/A
,,2644.8,60,1 (RBSTART=52),2644.8,N/A,TDD,N/A
,n40,N/A,10,N/A,2395,32.5,TDD,"IMD314,16,19,20"
,n41,2565,100,270 (RBSTART=3),2565,N/A,TDD,N/A
,,2644.8,60,162 (RBSTART=0),2644.8,N/A,TDD,N/A
CA_n41-n66,n41,2545,90,1 (RBSTART=0),2545,N/A,TDD,N/A
,,2640,100,1 (RBSTART=171),2640,,,
,n66,N/A,5,N/A,2197.5,32.5,FDD,IMD5
CA_n41-n71,n41,2614,10,50,2614,N/A,TDD,N/A
,n71,665,5,25,619,9.5,FDD,IMD4
CA_n41-n77,n41,2545,60,1 (RBSTART=0),2545,N/A,TDD,N/A
,,2625,100,1 (RBSTART=272),2625,,,
,n77,N/A,10,N/A,3305,2.7,TDD,IMD9
,n41,N/A,10,N/A,2565,17,TDD,IMD516
,n7712,3485,10,1 (RBSTART=25),3485,N/A,TDD,N/A
,,3945,10,1 (RBSTART=25),3945,,,
CA_n41-n78,n41,N/A,10,N/A,2500,2.7,TDD,IMD9
,n78,3350,100,1 (RBSTART=0),N/A,N/A,TDD,N/A
,,3450,,1 (RBSTART=272),,,,
CA_n41-n79,n41,2565,100,1 (RBSTART=89),2565,N/A,TDD,N/A
,,2644.8,60,1 (RBSTART=93),2644.8,N/A,TDD,N/A
,n79,N/A,10,N/A,4995,10.4,TDD,"IMD414,15"
,n41,2565,100,270 (RBSTART=3),2565,N/A,TDD,N/A
,,2644.8,60,162 (RBSTART=0),2644.8,N/A,TDD,N/A
,n79,N/A,10,N/A,4995,6,TDD,"IMD414,15,20"
,n4112,2565,100,270 (RBSTART=3),2565,N/A,TDD,N/A
,,2655,40,100 (RBSTART=6),2655,N/A,TDD,N/A
,n79,N/A,10,N/A,4995,5.3,TDD,"IMD414,15,20"
CA_n46-n77,n46,N/A,20,N/A,5155,N/A,TDD,IMD5
,n7712,3385,10,1 (RBSTART= 25),3385,N/A,TDD,N/A
,,3975,10,1 (RBSTART= 25),3975,,,
,n46,N/A,20,N/A,5660,N/A,TDD,IMD6
,n7712,3310,10,1 (RBSTART= 25),3310,N/A,TDD,N/A
,,3790,10,1 (RBSTART= 25),3790,,,
,n46,N/A,20,N/A,5230,N/A,TDD,IMD7
,n7712,3310,10,1 (RBSTART= 25),3310,N/A,TDD,N/A
,,3790,10,1 (RBSTART= 25),3790,,,
CA_n46-n78,n46,N/A,20,N/A,5660,N/A,TDD,IMD6
,n7812,3310,10,1 (RBSTART= 25),3310,N/A,TDD,N/A
,,3790,10,1 (RBSTART= 25),3790,,,
,n46,N/A,20,N/A,5230,N/A,TDD,IMD7
,n7812,3310,10,1 (RBSTART= 25),3310,N/A,TDD,N/A
,,3790,10,1 (RBSTART= 25),3790,,,
CA_n48-n66,n48,3660,10,50,3660,N/A,TDD,N/A
,n66,1730,5,25,2130,5.0,FDD,IMD5
CA_n48-n70,n48,3695,10,50,3695,N/A,TDD,N/A
,n70,1697.5,15/25,25,1997.5,26,FDD,IMD24
CA_n66-n71,n66,1750,5,25,2150,5,FDD,IMD4
,n71,675,5,25,629,N/A,FDD,N/A
CA_n66-n77,n66,1775,5,25,2175,31,FDD,IMD2
,n77,3950,10,50,3950,N/A,TDD,N/A
,n66,1760,5,25,2160,5.0,FDD,IMD5
,n77,3720,10,50,3720,N/A,TDD,N/A
,n66,N/A,5,N/A,2197.5,15,FDD,IMD513
,n7712,3305,10,1 (RBSTART=0),3305,N/A,TDD,N/A
,,3855,10,1 (RBSTART=8),3855,,,
,n66,1730,5,25,2130,1.7,FDD,IMD7
,n7712,3455,10,1 (RBSTART=10),3455,N/A,TDD,N/A
,,3875,10,1 (RBSTART=0),3875,,,
CA_n66-n78,n66,1730,5,25,2130,5.0,FDD,IMD5
,n78,3660,10,50,3660,N/A,TDD,N/A
,n66,N/A,5,25,2150,1.7,FDD,IMD7
,n7812,3350,10,1 (RBSTART=7),3350,N/A,TDD,N/A
,,3750,10,1 (RBSTART=0),3750,,,
CA_n66-n85,n66,1770,5,25,2138,5,FDD,IMD4
,n85,701,5,25,731,N/A,FDD,N/A
CA_n67-n78,n67,N/A,5,N/A,748,8.6,SDL,IMD415
,n7812,3376,10,1 (RBSTART=25),3376,N/A,TDD,N/A
,,3750,10,1 (RBSTART=25),3750,,,
CA_n70-n71,n70,1697.5,5,25,1997.5,5,FDD,IMD4
,n71,695.5,5,25,649.5,N/A,FDD,N/A
CA_n70-n77,n70,1702.5,5,25,2002.5,31,FDD,IMD2
,n77,3705,10,50,3705,N/A,TDD,N/A
,n70,1697.5,5,25,1997.5,5.0,FDD,IMD5
,n77,3545,10,50,3545,N/A,TDD,N/A
CA_n70-n78,n70,1705,5,25,2005,31,FDD,IMD2
,n78,3710,10,50,3710,N/A,TDD,N/A
,n70,1705,5,25,2005,5.0,FDD,IMD5
,n78,3560,10,50,3560,N/A,TDD,N/A
CA_n71-n77,n71,671,5,25,625,5.5,FDD,IMD513
,n77,3309,10,50,3309,N/A,TDD,N/A
,n71,N/A,5,N/A,640,8.6,FDD,IMD4
,n7712,3480,10,1 (RBSTART=25),3480,N/A,TDD,N/A
,,3800,10,1 (RBSTART=25),3800,,,
CA_n71-n78,n71,681.5,5,25,635.5,5.5,FDD,IMD5
,n78,3361.5,10,50,3361.5,N/A,TDD,N/A
CA_n74-n77,n74,N/A,5,N/A,1500,4.6,FDD,IMD6
,n7712,3505,10,1(Rbstart=26),3505,N/A,TDD,N/A
,,4005,10,1(Rbstart=26),4005,,,
,n74,N/A,5,N/A,1505,1.7,FDD,IMD7
,n7712,3305,10,1(Rbstart=26),3305,N/A,TDD,N/A
,,3905,10,1(Rbstart=26),3905,,,
CA_n75-n78,n75,N/A,5,N/A,1505,2.7,SDL,IMD9
,n7812,3305,10,1 (RBSTART=25),3305,N/A,TDD,N/A
,,3795,10,1 (RBSTART=25),3795,,,
CA_n77-n85,n77,3540,10,50,3540,N/A,TDD,N/A
,n85,702,5,20,732,5.5,FDD,IMD5
CA_n78-n102,n7812,3320,10,1 (RBSTART=25),3320,N/A,TDD,N/A
,,3680,10,1 (RBSTART=25),3680,,,
,n102,6280,20,100,6280,N/A,TDD,IMD44
CA_n78-n105,n78,3361.5,10,50,3361.5,N/A,TDD,N/A
,n105,682.5,5,25,631.5,5.5,FDD,IMD5
"NOTE 1:Both of the transmitters shall be set min(+20 dBm, PCMAX_L,f,c) as defined in clause 6.2A.4NOTE 2:RBSTART = 0, 15 kHz SCS is assumed.NOTE 3:No requirements apply when there is at least one individual RE within the intermodulation generated by the dual uplink is within the downlink transmission bandwidth of the FDD band. The reference sensitivity should only be verified when this is not the case (the requirements specified in clause 7.3 apply).NOTE 4:This band is subject to IMD5 also which MSD is not specified.NOTE 5:Void.NOTE 6: Void.NOTE 7: In current release the maximum separation bandwidth class is 600MHz, therefore, no IMD MSD requirement apply for this CA configuration when two uplink sub blocks are assigned within CA_77(2A).NOTE8:For a UE which supports this band combination only when the Band n77 frequency range restriction of 3400 – 4100 MHz applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 9:For a UE which supports this band combination only when the Band n78 frequency range restriction of 3400 – 3800 MHz, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 10: There is no IMD4 product in band n24 downlink for n77 operating in 3450 – 3980 MHz and n24 uplink restricted to between 1627.5 – 1637.5 MHz and between 1646.5 – 1656.5 MHz.NOTE 11:Void.NOTE 12:This band supports intra-band non-contiguous uplink configuration.NOTE 13:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 14: Applicable when n41 spectrum is restricted to 2515-2675MHzNOTE 15:This band is subject to IMD6 also which MSD is not specifiedNOTE 16:This band is subject to IMD7 also which MSD is not specified.NOTE 17: For a UE which supports this band combination only when the Band n78 frequency range restriction of 3400 – 3800 MHz or 3300 – 3600 MHz applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 18:This component carrier is affected by IMD due to CA_n5B for which the MSD is not specified.NOTE 19: This band is subject to IMD5, IMD9, IMD11 and IMD13 also which MSD are not specified.NOTE 20: This second test point is optional.NOTE 21:This band is subject to IMD4 also which MSD is not specified.",,,,,,,,
