UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
n70,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n71,n71,5,15,6,5,14.6,NOTE 4,UL4/DL1direct-hit
n71,n2511,5,15,8,5,6.9,NOTE 3,UL3/DL1direct-hit
n71,n41,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n71,n41,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n71,n70,5,15,8,5,9.9,NOTE 3,UL3/DL1direct-hit
n71,n70,5,15,8,25,4.1,NOTE 3,UL3/DL1direct-hit
n71,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n71,n78,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n77,n18,10,15,25,5,5.4,NOTE 8,UL1/DL4 direct-hit14
n77,n18,10,15,25,15,2.5,NOTE 8,UL1/DL4 direct-hit14
n78,n104,10,15,12,20,37.5,NOTE 2,UL2/DL1direct-hit
n85,n66,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
n85,n66,5,15,8,40,3.1,NOTE 3,UL3/DL1direct-hit
n85,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
n85,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
n92,n78,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n92,n78,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n94,n78,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
n94,n78,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
n105,n7,5,15,8,5,18,NOTE 3,UL3/DL1direct-hit
n105,n78,5,15,5,10,11.8,NOTE 5,UL5/DL1direct-hit
"NOTE 1:The direct-hit requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd / 3rd / 4th / 5th transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band. The requirements should be verified using RBstart = floor((NRB-LCRB)/2), where floor(x) is the greatest integer less than or equal to x, and where the UL parameters NRB and LCRB are respectively, the transmission bandwidth configuration and the number of RB’s for the specified UL band channel bandwidth and the UL band subcarrier spacing.NOTE 2:The requirements should be verified for UL NR ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band. This DL band may be affected by near-miss interference for which the MSD is not specified.NOTE 3:The requirements should be verified for UL NR ARFCN of the aggressor (lower) band (superscript LB) such that  in MHz and  with the carrier frequency in the victim (higher) band in MHz and the channel bandwidth configured in the low band.NOTE 4:The requirements should be verified for UL NR-ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 5:The requirements should be verified for UL NR-ARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 6:The near-miss requirements are only applicable when direct-hit requirements do not apply. These requirements should be verified for downlink channel bandwidths no larger than 10 MHz and with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 7:For these bandwidths, the minimum requirements are restricted to operation when carrier is configured as a downlink carrier part of CA configuration.NOTE 8:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 9:Void.NOTE 10:Void.NOTE 11:These requirements apply when the upper edge frequency of the 5 MHz uplink channel in Band n71 is located at 668 MHz and the downlink channel in Band n25 is located with its upper edge at 1995 MHz.NOTE 12: Void.NOTE 13:No requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the low band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of the high band. The reference sensitivity for all active downlink component carriers is only verified when this is not the case (the requirements specified in clause 7.3.2 apply unless otherwise specified).NOTE 14:For a UE which supports this band combination only when the Band n77 frequency range restriction of 3400 – 4100 MHz applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.±10+BWChannelHB/2",,,,,,,,
