UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
n28,n71,718,30,15,25 (RBstart=0),649.5,5,13.3,ACLR2
n28,n105,718,30,15,25 (RBstart=0),649.5,5,12.1,ACLR2
n30,n66,2310,10,15,20 (RBstart=0),2197.5,5,8.3,>ACLR2
n34,n3,2017.5,15,15,75 (RBstart=0),1877.5,5,3,>ACLR2
n34,n40,2017.5,15,15,75 (RBstart=4),2305,10,3,>ACLR2
n34,n41,2017.5,15,15,75 (RBstart=4),2501,10,3.2,>ACLR2
n38,n1,2590,40,15,216 (RBstart=0),2167.5,5,1.9,>ACLR2
n38,n2,2590,40,15,216 (RBstart=0),1987.5,5,0.6,>ACLR2
n38,n25,2590,40,15,216 (RBstart=0),1992.5,5,0.6,>ACLR2
n38,n66,2590,40,15,216 (RBstart=0),2197.5,5,1.9,>ACLR2
n38,n78,2600,40,15,216 (RBstart=0),3305,10,8.3,>ACLR2
n39,n41,1900,40,15,216 (RBstart=0),2501,10,3.3,>ACLR2
n40,n1,2340,100,30,270 (RBstart=0),2167.5,5,21.9,ACLR2
n40,n7,2350,100,30,270 (RBstart=3),2622.5,5,22.3,>ACLR2
n40,n7,2350,100,30,270 (RBstart=3),2645,50,15.6,>ACLR2
n40,n34,2350,100,30,270 (RBstart=0),2022.5,5,17.9,>ACLR2
n40,n41,2345,50,30,128 (RBstart=5),2565,100,11.28,>ACLR2
n40,n41,2350,100,30,270 (RBstart=3),2501,10,28.1,ACLR2
n41,n1,2546,100,30,270 (RBstart=0),2167.5,5,18.1,>ACLR2
n41,n2,2546,100,30,270 (RBstart=0),1987.5,5,0.6,>ACLR2
n41,n3,2546,100,30,270 (RBstart=0),1877.5,5,0.6,>ACLR2
n41,n25,2546,100,30,270 (RBstart=0),1992.5,5,0.6,>ACLR2
n41,n34,2456,100,30,270 (RBstart=0),2022.5,5,7.2,>ACLR2
n41,n39,2546,100,30,270 (RBstart=3),1917.5,5,1.6,>ACLR2
n41,n40,2546,100,30,270 (RBstart=0),2395,10,31.4,ACLR2
n41,n40,2565,100,30,270 (RBstart=0),2345,50,27.18,ACLR2
n41,n48,2680,100,30,270 (RBstart=3),3555,10,8.3,>ACLR2
n411,n66,2546,100,30,270 (RBstart=0),2197.5,5,10.5,>ACLR2
n41,n70,2546,100,30,270 (RBstart=0),2017.5,5,0.6,>ACLR2
n41,n77,2640,100,30,270 (RBstart=3),3305,10,8.3,>ACLR2
n41,n78,2640,100,30,270 (RBstart=3),3305,10,8.3,>ACLR2
n46,n48,5190,80,30,216 (RBstart=0),3695,10,13.3,>ACLR2
n46,n48,5190,80,30,216 (RBstart=0),3650,100,6.2,>ACLR2
n46,n77,5190,80,30,216 (RBstart=0),3975,10,10.5,>ACLR2
n46,n77,5190,80,30,216 (RBstart=0),3930,100,5.5,>ACLR2
n46,n78,5190,80,30,216 (RBstart=0),3795,10,10.4,>ACLR2
n46,n78,5190,80,30,216 (RBstart=0),3750,100,5.1,>ACLR2
n48,n411,3570,40,15,216 (RBstart=0),2685,10,4.5,>ACLR2
n48,n411,3570,40,15,216 (RBstart=0),2640,100,4.5,>ACLR2
n48,n46,3680,40,15,216 (RBstart=0),5160,20,15.7,>ACLR2
n48,n96,3680,40,15,216 (RBstart=0),5935,20,15.7,>ACLR2
n66,n2,1760,40,15,216 (RBstart=0),1932.5,5,1.2,>ACLR2
n66,n25,1757.5,45,15,240 (RBstart=2),1932.5,5,1.4,>ACLR2
n66,n2,1757.5,45,15,240 (RBstart=2),1932.5,5,1.2,>ACLR2
n66,n41,1760,40,15,216 (RBstart=0),2501,10,0.4,>ACLR2
n71,n5,685.5,25,15,20 (RBstart=113),871.5,5,2.0,>ACLR2
n71,n12,688,20,15,20 (RBstart=86),731.5,5,8.2,ACLR2
n71,n20,688,20,15,20 (RBstart=86),796,5,3.0,>ACLR2
n71,n26,688,20,15,20 (RBstart=86),861.5,5,2.0,>ACLR2
n71,n28,688,20,15,20 (RBstart=86),760.5,5,6.5,>ACLR2
n71,n29,685.5,25,15,20 (RBstart=113),719.5,5,"386,9",ACLR1
n71,n29,688,20,15,20 (RBstart=86),719.5,5,17.59,ACLR2
n71,n85,685.5,25,15,20 (RBstart=113),730.5,5,10.26,ACLR2
n71,n85,680.5,35,15,20 (Rbstart=168),730.5,5,237,ACLR1
n77,n7,3350,100,30,270 (RBstart=0),2687.5,5,4.5,>ACLR2
n77,n401,3350,100,30,270 (RBstart=0),2395,5,7.5,>ACLR2
n77,n401,3350,100,30,270 (RBstart=0),2350,100,4.5,>ACLR2
n77,n411,3350,100,30,270 (RBstart=0),2685,10,4.5,>ACLR2
n77,n411,3350,100,30,270 (RBstart=0),2640,100,4.5,>ACLR2
n78,n71,3350,100,30,270 (RBstart=0),2687.5,5,4.5,>ACLR2
n78,n38,3350,100,30,270 (RBstart=0),2617.5,5,3.3,>ACLR2
n78,n38,3350,100,30,270 (RBstart=0),2600,40,3.3,>ACLR2
n78,n401,3350,100,30,270 (RBstart=0),2395,10,4.5,>ACLR2
n78,n401,3350,100,30,270 (RBstart=0),2350,100,4.5,>ACLR2
n78,n411,3350,100,30,270 (RBstart=0),2685,10,4.5,>ACLR2
n78,n411,3350,100,30,270 (RBstart=0),2640,100,4.5,>ACLR2
n78,n46,3750,100,30,270 (RBstart=3),5160,20,13.5,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4420,40,2,>ACLR2
n783,n79,3750,100,30,270 (RBstart=3),4405,10,2,>ACLR2
n78,n104,3750,100,30,270 (RBstart=0),6435,20,14.4,>ACLR2
n79,n783,4450,100,30,270 (RBstart=0),3795,10,2.6,>ACLR2
n79,n783,4450,100,30,270 (RBstart=0),3750,100,2.6,>ACLR2
n85,n71,705.5,15,15,20 (RBstart=0),649.5,5,3.8,>ACLR2
n96,n48,5965,80,30,216 (RBstart=0),3695,10,13.3,>ACLR2
n96,n48,5965,80,30,216 (RBstart=0),3650,100,6.2,>ACLR2
n104,n78,6475,100,30,270 (RBstart=0),3795,10,15.8,>ACLR2
n105,n5,693,20,15,20 (RBstart=86),871.5,5,1.7,>ACLR2
n105,n28,693,20,15,20 (RBstart=86),760.5,5,6.9,>ACLR2
NOTE 1:Applicable only when harmonic mixing MSD for this combination is not applied.NOTE 2:VoidNOTE 3:The requirements only apply for UEs supporting inter-band carrier aggregation with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.NOTE 4:VoidNOTE 5:The MSD exceptions are applicable to the case that interference of UL band 3rd order IMD product falls into the affected DL channels.NOTE 6:Applicable to UE not supporting n71 optional maximum symmetrical UL/DL channel bandwidthNOTE 7:Applicable to UE supporting n71 optional maximum symmetrical UL/DL channel bandwidthNOTE 8:Applicable when n41 spectrum is restricted to 2515-2675MHzNOTE 9: Not applicable to UEs indicating support of low NR band inter-band carrier aggregation via switching featureSetCombinationLowBandSwitching-r19 for this band combination,,,,,,,,,
