Inter-band CA combination,"ΔRIB,c for NR bands (dB)7",,,
CA_n1-n5-n7-n40,0.2,0.2,0.3,0.3
CA_n1-n5-n7-n78,0.2,0.2,0.2,0.5
CA_n1-n5-n7-n105,0.2,0.2,0.2,0.3
CA_n1-n5-n28-n78,0.2,0.2,0.2,0.5
CA_n1-n5-n28-n79,0.2,0.2,0.2,0.5
CA_n1-n5-n40-n78,0.2,0.2,0.4,0.5
CA_n1-n5-n40-n105,0.2,0.2,0.3,0.3
CA_n1-n5-n78-n79,0.2,0.2,0.5,0.5
CA_n1-n5-n78-n105,0.2,0.2,0.5,0.3
CA_n1-n7-n8-n40,-,-,0.3,0.8
CA_n1-n7-n8-n78,0.2,0.2,0.2,0.5
CA_n1-n7-n20-n28,-,-,0.2,0.2
CA_n1-n7-n20-n67,-,-,0.2,0.2
CA_n1-n7-n20-n75,-,-,0.2,0.2
CA_n1-n7-n26-n78,0.2,0.2,-,-
CA_n1-n7-n28-n38,-,-,0.2,-
CA_n1-n7-n28-n75,-,-,0.2,0.2
CA_n1-n7-n28-n78,0.2,0.2,-,-
CA_n1-n7-n40-n78,0.2,-,0.4,0.5
CA_n1-n7-n40-n79,0.2,-,0.4,0.5
CA_n1-n7-n40-n105,0.2,-,0.4,0.3
CA_n1-n7-n67-n78,0.2,0.2,-,-
CA_n1-n7-n75-n78,-,-,-,0.5
CA_n1-n7-n78-n105,0.2,0.2,0.5,0.3
CA_n1-n8-n28-n40,-,0.2,0.2,-
CA_n1-n8-n40-n78,0.2,-,0.4,0.5
CA_n1-n8-n40-n79,0.2,-,0.4,0.5
CA_n1-n8-n41-n78,0.2,-,0.4,0.5
CA_n1-n8-n78-n79,0.3,0.3,0.5,-
CA_n1-n18-n28-n41,0.2,-,0.2,-
CA_n1-n18-n28-n77,0.2,-,0.2,0.5
CA_n1-n18-n41-n77,0.2,-,-,0.5
CA_n1-n20-n28-n78,-,0.2,0.2,0.5
CA_n1-n20-n41-n71,0.2,0.4,05 / 0.56,0.4
CA_n1-n20-n41-n77,0.2,-,05 / 0.56,0.5
CA_n1-n20-n41-n78,0.2,-,05 / 0.56,0.5
CA_n1-n20-n67-n78,-,0.2,0.2,0.5
CA_n1-n20-n71-n78,0.2,-,0.2,0.5
CA_n1-n20-n75-n78,0.2,-,0.2,0.5
CA_n1-n28-n38-n78,0.2,0.2,-,0.5
CA_n1-n28-n40-n41,-,0.2,-,-
CA_n1-n28-n40-n77,-,0.2,-,0.5
CA_n1-n28-n40-n78,-,0.2,-,0.5
CA_n1-n28-n40-n79,-,0.2,-,0.5
CA_n1-n28-n41-n77,0.2,0.2,-,0.5
CA_n1-n28-n41-n79,-,0.2,0.5,0.5
CA_n1-n28-n75-n78,-,0.2,-,0.5
CA_n1-n28-n77-n79,0.2,0.2,0.5,0.5
CA_n1-n28-n78-n79,0.2,0.2,0.5,0.5
CA_n1-n40-n78-n79,-,0.5,0.5,0.5
CA_n1-n41-n71-n77,0.2,05 / 0.56,0.2,0.5
CA_n1-n41-n71-n78,0.2,0.5,0.2,0.5
CA_n1-n41-n77-n79,0.2,0.5,0.5,0.5
CA_n2-n5-n30-n66,0.4,-,0.5,0.4
CA_n2-n5-n30-n77,0.2,0.2,-,0.5
CA_n2-n5-n48-n66,0.2,-,0.5,0.2
CA_n2-n5-n48-n77,0.2,-,0.5,0.5
CA_n2-n5-n66-n77,0.3,-,0.3,0.5
CA_n2-n12-n30-n66,0.4,0.5,0.5,0.4
CA_n2-n12-n30-n77,0.2,0.2,-,0.5
CA_n2-n12-n66-n77,0.2,0.5,0.5,0.5
CA_n2-n14-n30-n66,0.4,-,0.5,0.4
CA_n2-n14-n30-n77,0.2,0.2,-,0.5
CA_n2-n14-n66-n77,0.2,0.2,0.5,0.5
CA_n2-n29-n30-n66,0.4,-,0.5,0.4
CA_n2-n29-n30-n77,0.2,0.2,-,0.5
CA_n2-n30-n66-n77,0.2,0.5,0.4,0.5
CA_n2-n41-n66-n71,0.3,0.51 / 12,0.5,0.3
CA_n2-n48-n66-n77,0.3,0.5,0.3,0.5
CA_n2-n66-n71-n77,0.3,0.5,-,0.5
CA_n2-n66-n71-n78,0.3,0.5,-,0.5
CA_n3-n5-n7-n78,0.2,0.2,0.2,0.5
CA_n3-n5-n28-n78,0.2,0.2,0.2,0.5
CA_n3-n5-n28-n79,0.2,0.2,0.2,0.5
CA_n3-n7-n8-n40,0.2,0.2,0.2,0.3
CA_n3-n7-n8-n78,0.2,0.2,0.2,0.5
CA_n3-n7-n20-n28,-,0.5,-,-
CA_n3-n7-n20-n75,0.2,0.2,0.2,0.2
CA_n3-n7-n20-n78,0.2,0.2,0.2,0.5
CA_n3-n7-n26-n78,0.2,0.2,0.2,0.5
CA_n3-n7-n28-n75,0.2,0.2,0.2,0.2
CA_n3-n7-n28-n78,0.2,0.2,0.2,0.5
CA_n3-n7-n40-n78,0.2,0.2,0.3,0.5
CA_n3-n7-n40-n79,0.2,0.2,0.3,0.5
CA_n3-n7-n40-n105,0.2,0.2,0.2,0.3
CA_n3-n7-n67-n78,0.2,0.2,0.2,0.5
CA_n3-n7-n75-n78,-,-,-,0.5
CA_n3-n7-n78-n105,0.2,0.2,0.5,0.3
CA_n3-n8-n28-n40,-,0.2,0.2,-
CA_n3-n8-n40-n78,,0.2,0.4,0.5
CA_n3-n8-n40-n79,,-,-,0.5
CA_n3-n8-n41-n79,-,0.2,0.5,0.5
CA_n3-n18-n28-n41,-,-,-,05 / 0.56
CA_n3-n18-n28-n77,0.2,-,0.2,0.5
CA_n3-n18-n41-n77,0.2,-,05 / 0.56,0.5
CA_n3-n20-n28-n78,0.2,-,-,0.5
CA_n3-n20-n41-n71,0.2,0.4,05 / 0.56,0.4
CA_n3-n20-n41-n77,0.2,-,05 / 0.56,0.5
CA_n3-n20-n41-n78,0.2,-,05 / 0.56,0.5
CA_n3-n20-n67-n78,0.2,0.2,0.2,0.5
CA_n3-n20-n71-n78,0.2,-,-,0.5
CA_n3-n20-n75-n78,0.2,0.2,0.2,0.5
CA_n3-n28-n40-n41,-,-,-,05 / 0.56
CA_n3-n28-n40-n77,0.2,0.2,0.2,0.5
CA_n3-n28-n40-n78,-,0.2,-,0.5
CA_n3-n28-n40-n79,-,0.2,-,0.5
CA_n3-n28-n41-n77,0.5,0.2,01 / 0.52,0.5
CA_n3-n28-n41-n78,0.5,0.2,01 / 0.52,0.5
CA_n3-n28-n41-n79,-,0.2,0.5,0.5
CA_n3-n28-n75-n78,0.2,0.2,0.2,0.5
CA_n3-n28-n77-n79,0.2,0.2,0.5,0.5
CA_n3-n40-n78-n79,-,-,0.5,0.5
CA_n3-n41-n71-n77,0.2,05 / 0.56,0.2,0.5
CA_n3-n41-n71-n78,0.5,01 / 0.52,0.2,0.5
CA_n3-n41-n77-n79,0.2,0.5,0.5,0.5
CA_n5-n7-n40-n78,0.2,0.2,0.5,0.5
CA_n5-n7-n40-n105,0.2,0.2,0.5,0.3
CA_n5-n7-n66-n77,0.2,0.5,0.5,0.5
CA_n5-n7-n78-n105,0.2,0.2,0.5,0.3
CA_n5-n14-n30-n66,-,-,0.5,0.4
CA_n5-n25-n29-n66,0.5,-,0.3,-
CA_n5-n25-n66-n77,0.5,0.3,0.3,0.5
CA_n5-n25-n66-n78,0.5,0.3,0.3,0.5
CA_n5-n28-n78-n79,0.2,0.2,0.5,0.5
CA_n5-n30-n66-n77,0.2,0.4,0.4,0.5
CA_n5-n40-n78-n105,0.2,0.4,0.5,0.3
CA_n5-n48-n66-n77,0.2,0.5,0.2,0.5
CA_n7-n8-n28-n40,-,0.2,0.2,-
CA_n7-n8-n40-n78,-,0.2,0.4,0.5
CA_n7-n8-n40-n79,-,0.2,0.5,0.5
CA_n7-n12-n25-n66,0.5,0.5,0.3,0.5
CA_n7-n20-n28-n78,-,0.2,0.2,-
CA_n7-n20-n67-n78,0.2,0.2,0.2,0.5
CA_n7-n20-n75-n78,0.2,0.2,0.2,0.5
CA_n7-n25-n29-n77,0.5,0.2,0.2,0.5
CA_n7-n25-n66-n71,0.5,0.3,0.5,0.3
CA_n7-n25-n66-n77,0.5,0.6,0.6,0.8
CA_n7-n25-n66-n78,0.5,0.6,0.6,0.8
CA_n7-n28-n40-n78,-,-,0.5,0.5
CA_n7-n28-n40-n79,-,-,0.5,0.5
CA_n7-n28-n75-n78,0.2,0.2,0.2,0.5
CA_n7-n29-n66-n77,0.5,0.5,0.5,0.5
CA_n7-n40-n78-n79,-,0.5,0.5,0.5
CA_n7-n40-n78-n105,0.5,0.5,0.8,0.3
CA_n7-n66-n71-n77,0.5,0.5,0.2,0.5
CA_n8-n20-n28-n75,0.3,0.2,0.2,-
CA_n8-n28-n40-n78,0.2,0.2,-,0.5
CA_n8-n28-n40-n79,0.2,0.2,-,0.5
CA_n8-n39-n41-n79,0.2,-,0.5,0.5
CA_n8-n40-n78-n79,0.2,0.4,0.5,0.5
CA_n12-n30-n66-n77,0.5,0.5,0.5,0.5
CA_n13-n25-n66-n77,0.3,0.3,0.3,0.5
CA_n14-n30-n66-n77,0.2,0.5,0.5,0.5
CA_n18-n28-n41-n77,-,0.2,05 / 0.56,0.5
CA_n20-n41-n71-n78,0.4,-,0.4,0.5
CA_n25-n29-n66-n77,0.3,0.5,0.5,0.5
CA_n25-n38-n66-n78,0.3,0.4,0.3,0.5
CA_n25-n41-n66-n71,0.3,0.5,0.5,-
CA_n25-n41-n66-n77,0.3,0.53 / 1.04,0.3,0.5
CA_n25-n41-n66-n78,0.3,0.53 / 1.04,0.3,0.5
CA_n25-n41-n66-n85,0.3,0.5,0.5,-
CA_n25-n41-n71-n77,-,-,0.2,0.5
CA_n25-n41-n77-n85,-,-,0.5,0.2
CA_n25-n41-n71-n78,-,-,0.2,0.5
CA_n25-n41-n71-n85,0.3,0.5,-,0.2
CA_n25-n66-n71-n77,0.3,0.3,0.3,0.5
CA_n25-n66-n71-n78,0.3,0.3,0.3,0.5
CA_n25-n66-n71-n85,0.3,0.3,0.8,0.8
CA_n25-n66-n77-n85,0.2,0.5,0.5,0.5
CA_n28-n40-n78-n79,0.2,-,0.5,0.5
CA_n28-n41-n75-n78,0.2,-,-,0.5
CA_n28-n41-n77-n79,0.2,0.5,0.5,0.5
CA_n29-n30-n66-n77,0.5,0.5,0.5,0.5
CA_n29-n66-n70-n71,0.5,0.3,0.2,0.7
CA_n41-n66-n70-n78,-,0.2,0.2,0.5
CA_n41-n66-n71-n77,03 / 0.54,0.5,0.2,0.5
CA_n41-n66-n71-n78,03 / 0.54,0.5,0.2,0.5
CA_n41-n66-n71-n85,0.5,0.3,-,0.2
CA_n41-n66-n77-n85,03 / 0.54,0.5,0.5,0.2
CA_n48-n66-n70-n77,0.5,0.2,0.2,0.5
"NOTE 1:Applicable for the frequency range of 2515-2690 MHz. NOTE 2:Applicable for the frequency range of 2496-2515 MHzNOTE 5:The requirement is applied for UE transmitting on the frequency range of 2545 - 2690 MHz.NOTE 6:The requirement is applied for UE transmitting on the frequency range of 2496 - 2545 MHzNOTE 7: “-” denotes ΔRIB,c = 0.NOTE 8:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1-n3-n7-n78 the band order from left to right is n1 n3, n7 and n78.",,,,
