Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CAConfiguration,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n78,3582.5,10,50,3582.5,N/A,TDD,N/A
CA_n30-n77,n30,2310,5,25,2355,17.6,FDD,IMD4
,n77,3487.5,10,50,3487.5,N/A,TDD,N/A
CA_n41-n66,n41,2545,90,1 (RBstart=0),2545,N/A,TDD,N/A
,,2640,100,1 (RBstart=171),2640,,,
,n66,N/A,5,N/A,2197.5,35.5,FDD,IMD5
CA_n41-n71,n41,2614,10,50,2614,N/A,TDD,N/A
,n71,665,5,25,619,21.5,FDD,IMD4
CA_n41-n77,n41,2545,60,1 (RBstart=0),2545,N/A,TDD,N/A
,,2625,100,1 (RBstart=272),2625,,,
,n77,N/A,10,N/A,3305,8.4,TDD,IMD9
,n41,N/A,10,N/A,2565,20,TDD,IMD516
,n7712,3485,10,1 (RBSTART=25),3485,N/A,TDD,N/A
,,3945,10,1 (RBSTART=25),3945,,,
CA_n66-n71,n66,1750,5,25,2150,15.5,FDD,IMD4
,n71,675,5,25,629,N/A,FDD,N/A
CA_n66-n77,n66,1775,5,25,2175,34.33,FDD,IMD2
,n77,3950,10,50,3950,N/A,TDD,N/A
,n66,1760,5,25,2160,11.27,FDD,IMD5
,n77,3720,10,50,3720,N/A,TDD,N/A
,n66,N/A,5,N/A,2197.5,18,FDD,IMD515
,n7712,3305,10,1 (RBstart=0),3305,N/A,TDD,N/A
,,3855,10,1 (RBstart=8),3855,,,
CA_n66-n78,n66,1760,5,25,2160,11.27,FDD,IMD5
,n78,3720,10,50,3720,N/A,TDD,N/A
,n66,N/A,5,25,2150,6.5,FDD,IMD7
,n7812,3350,10,1 (RBSTART=7),3350,N/A,TDD,N/A
,,3750,10,1 (RBSTART=0),3750,,,
CA_n66-n85,n66,1770,5,25,2138,15.5,FDD,IMD4
,n85,701,5,25,731,N/A,FDD,N/A
CA_n70-n77,n70,1702.5,5,25,2002.5,37,FDD,IMD2
,n77,3705,10,50,3705,N/A,TDD,N/A
,n70,1697.5,5,25,1997.5,18.4,FDD,IMD5
,n77,3545,10,50,3545,N/A,TDD,N/A
CA_n71-n77,n71,681.5,5,25,635.5,11.4,FDD,IMD513
,n77,3361.5,10,50,3361.5,N/A,TDD,N/A
,n71,N/A,5,N/A,640,16.7,FDD,IMD414
,n7712,3480,10,1 (RBSTART=25),3480,N/A,TDD,N/A
,,3800,10,1 (RBSTART=25),3800,,,
CA_n71-n78,n71,681.5,5,25,635.5,11.4,FDD,IMD5
,n78,3361.5,10,50,3361.5,N/A,TDD,N/A
CA_n74-n77,n74,N/A,5,N/A,1500,11.4,FDD,IMD6
,n7712,35054005,1010,1(Rbstart=26)1(Rbstart=26),35054005,N/A,TDD,N/A
,n74,N/A,5,N/A,1505,6.5,FDD,IMD7
,n7712,33053905,1010,1(Rbstart=26)1(Rbstart=26),33053905,N/A,TDD,N/A
CA_n77-n85,n77,3540,10,50,3540,N/A,TDD,N/A
,n85,702,5,20,732,11.7,FDD,IMD5
"NOTE 1:Both of the transmitters shall be set min(+23 dBm, PCMAX_L,f,c) as defined in clause 6.2A.4NOTE 2:RBSTART = 0, 15 kHz SCS is assumed.NOTE 3:No requirements apply when there is at least one individual RE within the intermodulation generated by the dual uplink is within the downlink transmission bandwidth of the FDD band. The reference sensitivity should only be verified when this is not the case (the requirements specified in clause 7.3 apply).NOTE 4:This band is subject to IMD5 also which MSD is not specified.NOTE 5:Void.NOTE 6:Void.NOTE 7: In current release the maximum separation bandwidth class is 600MHz, therefore, no IMD2 MSD requirement apply for this CA configuration when two uplink sub blocks are assigned within CA_77(2A).NOTE8:For a UE which supports this band combination only when the Band n77 frequency range restriction of 3400 – 4100 MHz applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 9:Void.NOTE 10: Void.NOTE 11:Void.NOTE 12:This band supports intra-band non-contiguous uplink configuration.NOTE 13:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 14:This band is subject to IMD6 also which MSD is not specified.NOTE 15:This band is subject to IMD7 also which MSD is not specified.NOTE 16: Void. NOTE 17: Applicable when n41 spectrum is restricted to 2515-2675MHz.NOTE 18:This band is subject to IMD4 also which MSD is not specified.",,,,,,,,
