Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CAConfiguration,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n2,N/A,5,N/A,1960,44.1,FDD,"IMD21,2"
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3720,10,50,3720,N/A,TDD,N/A
,n2,N/A,5,25,1950,27,FDD,IMD3
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,3300,100,1 (RBstart=203),3300,N/A,TDD,N/A
,,3400,100,1 (RBstart=67),3400,,,
CA_n3-n7-n78,n3,N/A,5,N/A,1820,31.4,FDD,IMD3
,n7,2565,5,25,2685,N/A,FDD,N/A
,n78,3310,10,50,3310,N/A,TDD,N/A
,n3,N/A,5,N/A,1820,29.4,FDD,IMD4
,n7,2565,5,25,2685,N/A,FDD,N/A
,n78,3475,10,50,3475,N/A,TDD,N/A
CA_n3-n26-n78,n3,N/A,5,N/A,1862,29.4,FDD,IMD3
,n26,839,5,25,884,N/A,FDD,N/A
,n78,3540,10,50,3540,N/A,TDD,N/A
CA_n3-n28-n78,n3,N/A,5,N/A,1850,31,FDD,IMD3
,n28,735,5,25,790,N/A,FDD,N/A
,n78,3320,10,50,3320,N/A,TDD,N/A
CA_n5-n66-n77,n5,845,5,25,890,N/A,FDD,N/A
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,N/A,10,N/A,3465,34.1,TDD,IMD3
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n77,N/A,10,N/A,4192,30.8,TDD,IMD45
,n5,835,5,25,880,N/A,FDD,N/A
,n66,1735,5,25,2135,N/A,FDD,N/A
,n77,N/A,10,N/A,3535,28.8,TDD,IMD5
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n66,N/A,5,N/A,2142,31.2,FDD,IMD3
,n77,3795,10,50,3795,N/A,TDD,N/A
CA_n7-n26-n78,n7,2550,5,25,2670,N/A,FDD,N/A
,n26,N/A,5,N/A,879,41,FDD,IMD2
,n78,3429,10,50,3429,N/A,TDD,N/A
,n7,2525,5,25,2645,N/A,FDD,N/A
,n26,N/A,5,N/A,875,24.3,FDD,IMD5
,n78,3350,10,50,3350,N/A,TDD,N/A
,n7,N/A,5,N/A,2645,40.9,FDD,IMD2
,n26,844,5,25,889,N/A,FDD,N/A
,n78,3489,10,50,3489,N/A,TDD,N/A
CA_n7-n28-n78,n7,2567.5,5,25,2687.5,N/A,FDD,N/A
,n28,N/A,5,N/A,782.5,39.6,FDD,IMD21
,n78,3350,10,50,3350,N/A,TDD,N/A
,n7,N/A,5,N/A,2650,41.3,FDD,IMD2
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3390,10,50,3390,N/A,TDD,N/A
CA_n25-n41-n66,n25,N/A,5,N/A,1940,35.0,FDD,IMD4
,n41,2685,10,50,2685,N/A,TDD,N/A
,n66,1715,5,25,2115,N/A,FDD,N/A
CA_n25-n41-n71,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2532,10,50,2532,N/A,TDD,N/A
,n71,N/A,5,N/A,632,40.7,FDD,IMD2
,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2534,10,50,2534,N/A,TDD,N/A
,n71,N/A,5,N/A,632,31.5,FDD,IMD5
,n25,N/A,5,N/A,1980,38.0,FDD,IMD2
,n41,2658,10,50,2658,N/A,TDD,N/A
,n71,678,5,50,632,N/A,FDD,N/A
CA_n25-n41-n77,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
,n77,N/A,10,N/A,3470,31.3,TDD,IMD31
,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,N/A,10,N/A,2640,31.5,TDD,IMD55
,n77,4125,10,50,4125,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,34.1,FDD,IMD35
,n41,2675,10,50,2675,N/A,TDD,N/A
,n77,3400,10,50,3400,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,30.1,FDD,IMD4
,n41,2550,10,50,2550,N/A,TDD,N/A
,n77,3525,10,50,3525,N/A,TDD,N/A
CA_n25-n66-n77,n25,1855,5,25,1935,N/A,FDD,N/A
,n66,N/A,5,N/A,2115,41.2,FDD,IMD22
,n77,3970,10,50,3970,N/A,TDD,N/A
,n25,1900,5,25,1980,N/A,FDD,N/A
,n66,N/A,5,N/A,2160,31.2,FDD,IMD5
,n77,3930,10,50,3930,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,44.1,FDD,"IMD22,5"
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3720,10,50,3720,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,27.6,FDD,IMD55
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3620,10,50,3620,N/A,TDD,N/A
CA_n25-n71-n77,n25,N/A,5,N/A,1954,34.5,FDD,"IMD32,5"
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3340,10,50,3340,N/A,TDD,N/A
CA_n41-n66-n77,n41,2600,10,50,2600,N/A,TDD,N/A
,n66,1730,5,25,2130,N/A,FDD,N/A
,n77,N/A,10,N/A,3470,32.6,TDD,"IMD31,2"
,n41,N/A,10,N/A,2670,31.4,TDD,IMD55
,n66,1715,5,25,2115,N/A,FDD,N/A
,n77,4190,10,50,4190,N/A,TDD,N/A
,n41,2640,10,50,2640,N/A,TDD,N/A
,n66,N/A,5,N/A,2160,30.8,FDD,IMD4
,n77,3720,10,50,3720,N/A,TDD,N/A
CA_n41-n71-n77,n41,2615,10,50,2615,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n77,N/A,10,N/A,3308,39.7,TDD,"IMD21,2,5"
,n41,2564,10,50,2564,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n77,N/A,10,N/A,3950,32.8,TDD,IMD31
,n41,N/A,10,N/A,2615,38.7,TDD,IMD25
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3308,10,50,3308,N/A,TDD,N/A
,n41,N/A,10,N/A,2564,31.5,TDD,IMD3
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3950,10,50,3950,N/A,TDD,N/A
,41,2680,10,50,2680,N/A,TDD,N/A
,n71,N/A,5,N/A,640,41.3,FDD,IMD25
,n77,3320,10,50,3320,N/A,TDD,N/A
CA_n66-n71-n77,n66,N/A,5,N/A,2150,33.5,FDD,IMD32
,n71,690,5,25,644,N/A,FDD,N/A
,n77,3530,10,50,3530,N/A,TDD,N/A
,n66,1720,5,25,2120,N/A,FDD,N/A
,n71,N/A,5,N/A,640,33.3,FDD,IMD35
,n77,4080,10,50,4080,N/A,TDD,N/A
"NOTE 1:This band is subject to IMD5 also which MSD is not specified.NOTE 2:This band is subject to IMD4 also which MSD is not specified.NOTE 3:The requirements only apply for UEs supporting inter-band carrier aggregation with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.NOTE 4:This band is subject to IMD3 also which MSD is not specified.NOTE 5:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skippedNOTE 6:This band combination is specified with support of two band inter-band UL CA with UL MIMO or Tx diversity capabilities, and the transmitter shall be set at min (+23 dBm, PCMAX_L,f,c) for the UL band with single Tx antenna connector as defined in clause 6.2A.4, and set at min (+27.8 dBm, PCMAX_L,f,c) for the UL band with 2Tx antenna connectors as defined in clause 6.2H.3.4 or 6.2L.3.4.",,,,,,,,
