Operating band / SCS / Channel bandwidth / REFSENS,,,,
Operating band,SCSkHz,Channel bandwidth (MHz),REFSENS (dBm)8,Duplex Mode
,60,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100",-96.5 + 10log10(NRB/11),
n91,15,5,-100,FDD
n92,15,"5,10,15,20",-100 + 10log10(NRB/25),FDD
,30,"10,15,20",-97.1 + 10log10(NRB/24),
n93,15,5,-100,FDD
n94,15,"5,10,15,20",-100 + 10log10(NRB/25),FDD
,30,"10,15,20",-97.1 + 10log10(NRB/24),
n101,15,"5, 10",-100 + 10log10(NRB/25),TDD
,30,10,-97.1 + 10log10(NRB/24),
"n1041,10",15,"20, 30, 40, 50",-90.7 + 10log10(NRB/106),TDD
,30,"20, 30, 40, 50, 60, 70, 80, 90, 100",-90.8 + 10log10(NRB/51),
,60,"20, 30, 40, 50, 60, 70, 80, 90, 100",-91.1 + 10log10(NRB/24),
n10911,15,"5,10,15,20,25,30,40,50",-100 + 10log10(NRB/25),FDD
,30,"10,15,20,25,30,40,50",-97.1 + 10log10(NRB/24),
"NOTE 1:Four Rx antenna ports shall be the baseline for this operating band except for two Rx vehicular UE and two Rx antenna port XR UEs indicating UE capability supportOf2RxXR-r18. Four Rx antenna ports for (e)RedCap UE is not supported for this operating band.NOTE 2:The transmitter shall be set to PUMAX as defined in clause 6.2.4.NOTE 3:VoidNOTE 4:The requirement is modified by -0.5 dB when the assigned UE channel bandwidth is confined within 3300 - 3800 MHz.NOTE 5:For these bandwidths, the minimum requirements are restricted to operation when carrier is configured as a downlink carrier part of CA configuration.NOTE 6:VoidNOTE 7:For SDL bands, the reference sensitivity requirements shall be verified by inter-band CA combinations with SDL band, which are supported by UE.NOTE 8:The REFSENS value is rounded to the nearest number down to one decimal point. “NRB” in REFSENS formula is the maximum transmission bandwidth configuration as defined in Table 5.3.2-1.NOTE 9:Void.NOTE 10:A UE may implement two RX antenna ports for band n104 when conditions are met. The exact conditions are FFS.NOTE 11: Applies for DL channels for which channels edges are > 15 MHz away from 2xFUL at 15 kHz SCS and > 30 MHz away from 2xFUL at 30 kHz SCS. In case of UL second harmonic direct hit, the value is modified to -71.9 dBm for all channel bandwidths.",,,,
