Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n5,832,5,25,877,N/A,FDD,N/A
,n40,2320,10,50,2320,N/A,TDD,N/A
,n1,1945,5,25,2135,N/A,FDD,N/A
,n5,N/A,5,N/A,880,8.0,FDD,IMD4
,n40,2385,10,50,2385,N/A,TDD,N/A
,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n40,N/A,10,N/A,2305,9.0,TDD,IMD4
CA_n1-n5-n78,n1,N/A,5,N/A,2122,18.1,FDD,IMD3
,n5,829,5,25,874,N/A,FDD,N/A
,n78,3780,10,50,3780,N/A,TDD,N/A
,n1,1975,5,25,2165,N/A,FDD,N/A
,n5,N/A,5,N/A,885,3.1,FDD,IMD5
,n78,3405,10,50,3405,N/A,TDD,N/A
,n1,1950,5,25,2140,N/A,FDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n78,N/A,10,N/A,3610,15.7,TDD,IMD3
CA_n1-n5-n79,n1,N/A,5,N/A,2160,1.2,FDD,IMD4
,n5,830,5,25,875,N/A,FDD,N/A
,n79,4650,40,100,4650,N/A,TDD,N/A
,n1,1930,5,25,2120,N/A,FDD,N/A
,n5,N/A,5,N/A,890,15.2,FDD,IMD3
,n79,4750,40,100,4750,N/A,TDD,N/A
,n1,1923,5,25,2113,N/A,FDD,N/A
,n5,N/A,5,N/A,879,10.3,FDD,IMD4
,n79,4890,40,100,4890,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n5,845,5,25,890,N/A,FDD,N/A
,n79,N/A,40,N/A,4785,14.9,TDD,IMD3
,n1,1940,5,25,2130,N/A,FDD,N/A
,n5,830,5,25,874,N/A,FDD,N/A
,n79,N/A,40,N/A,4430,9.4,TDD,IMD4
CA_n1-n5-n105,n1,1925,5,25,2115,N/A,FDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n105,N/A,5,N/A,614.5,9.4,FDD,IMD4
,n1,1929,5,25,2119,N/A,FDD,N/A
,n5,N/A,5,N/A,873,4.6,FDD,IMD5
,n105,700.5,5,25,649.5,N/A,FDD,NA
,n1,N/A,5,N/A,2162,16,FDD,IMD3
,n5,830,5,25,875,N/A,FDD,N/A
,n105,635,5,25,615,N/A,FDD,NA
CA_n1-n7-n8,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n7,2502.5,5,25,2622.5,N/A,FDD,N/A
,n8,N/A,5,N/A,927.5,1.0,FDD,IMD5
CA_n1-n7-n20,n1,1940,5,25,2130,N/A,FDD,N/A
,n7,2510,10,50,2630,N/A,FDD,N/A
,n20,N/A,5,N/A,800,4.5,FDD,IMD5
CA_n1-n7-n26,n1,1965,5,25,2155,N/A,FDD,N/A
,n7,2510,10,50,2630,N/A,FDD,N/A
,n26,N/A,5,N/A,875,3.5,FDD,IMD5
CA_n1-n7-n28,n1,1935,5,25,2125,N/A,FDD,N/A
,n7,N/A,10,N/A,2653,30.0,FDD,IMD2
,n28,718,5,25,773,N/A,FDD,N/A
,n1,1935,5,25,2125,N/A,FDD,N/A
,n7,2510,10,50,2630,N/A,FDD,N/A
,n28,N/A,10,N/A,785,4.5,FDD,IMD5
CA_n1-n7-n40,n1,1970,5,25,2160,N/A,FDD,N/A
,n7,N/A,5,N/A,2630,23,FDD,IMD3
,n40,2390,10,50,2390,N/A,TDD,N/A
,n1,N/A,5,N/A,2120,16.4,FDD,IMD3
,n7,2530,5,25,2650,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
CA_n1-n7-n67,n1,1948,5,25,2138,N/A,FDD,N/A
,n7,2548,5,25,2668,N/A,FDD,N/A
,n67,N/A,5,N/A,748,3.3,SDL,IMD5
CA_n1-n7-n75,n1,1975,5,25,2165,N/A,FDD,N/A
,n7,2510,5,25,2630,N/A,FDD,N/A
,n75,N/A,5,N/A,1450,13.2,SDL,IMD3
CA_n1-n7-n77,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2627.5,9.1,FDD,IMD4
,n77,3305,10,50,3305,N/A,TDD,N/A
,n1,1922.5,5,25,2112.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2622.5,1.3,FDD,IMD5
,n77,4195,10,50,4195,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,8.7,FDD,IMD4
,n7,2510,10,50,2630,N/A,FDD,N/A
,n77,3580,10,50,3580,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n77,N/A,10,N/A,3390,10.1,TDD,IMD4
,n1,1940,5,25,2130,N/A,FDD,N/A
,n7,2550,5,25,2670,N/A,FDD,N/A
,n77,N/A,10,N/A,3770,1.3,TDD,IMD5
CA_n1-n7-n78,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2627.5,9.1,FDD,IMD4
,n78,3305,10,50,3305,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,8.7,FDD,IMD4
,n7,2510,10,50,2630,N/A,FDD,N/A
,n78,3580,10,50,3580,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,10.1,TDD,IMD4
,n1,1940,5,25,2130,N/A,FDD,N/A
,n7,2550,5,25,2670,N/A,FDD,N/A
,n78,N/A,10,N/A,3770,1.3,TDD,IMD5
CA_n1-n7-n105,n1,1935,5,25,2125,N/A,FDD,N/A
,n7,2565,10,50,2685,N/A,FDD,N/A
,n105,N/A,5,N/A,630,28.7,FDD,IMD2
,n1,1925,5,25,2115,N/A,FDD,N/A
,n7,2565,10,50,2565,N/A,FDD,N/A
,n105,N/A,5,N/A,645,1,FDD,IMD5
,n1,1968.5,5,25,2158.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2634.5,30,FDD,IMD22
,n105,666,5,25,615,N/A,FDD,N/A
CA_n1-n8-n40,n1,1930,5,25,2120,N/A,FDD,N/A
,n8,N/A,5,N/A,930,8.0,FDD,IMD4
,n40,2395,10,50,2395,N/A,TDD,N/A
CA_n1-n8-n41,n1,1977.5,5,25,2167.5,N/A,FDD,N/A
,n8,N/A,5,N/A,927.5,1.0,FDD,IMD5
,n41,2502.5,10,50,2502.5,N/A,TDD,N/A
CA_n1-n8-n78,n1,1945,5,25,2135,N/A,FDD,N/A
,n8,900,5,25,945,N/A,FDD,N/A
,n78,N/A,10,N/A,3745,14.9,TDD,IMD3
,n1,1940,5,25,2130,N/A,FDD,N/A
,n8,N/A,5,N/A,940,3.3,FDD,IMD5
,n78,3380,10,50,3380,N/A,TDD,N/A
CA_n1-n18-n28,n1,1965,5,25,2155,N/A,FDD,N/A
,n28,708,5,25,763,N/A,FDD,N/A
,n18,N/A,5,N/A,867,4.6,FDD,IMD5
,n18,825,5,25,870,N/A,FDD,N/A
,n28,738,5,25,793,N/A,FDD,N/A
,n1,N/A,5,N/A,2127,4,FDD,IMD5
CA_n1-n18-n41,n1,1960,5,25,2150,N/A,FDD,N/A
,n41,2505,10,50,2505,N/A,TDD,N/A
,n18,N/A,5,N/A,870,3.3,FDD,IMD5
CA_n1-n18-n77,n1,1950,5,25,2140,N/A,FDD,N/A
,n18,825,5,25,870,N/A,FDD,N/A
,n77,N/A,10,N/A,3600,15.7,TDD,IMD31
,n1,1970,5,25,2160,N/A,FDD,N/A
,n77,3390,10,50,3390,N/A,TDD,N/A
,n18,N/A,5,N/A,870,3.5,FDD,IMD5
,n1,N/A,5,N/A,2120,16.4,FDD,IMD3
,n18,825,5,25,870,N/A,FDD,N/A
,n77,3770,10,50,3770,N/A,TDD,N/A
CA_n1-n20-n28,n1,N/A,5,N/A,2110,4,FDD,IMD5
,n20,834,5,25,793,N/A,FDD,N/A
,n28,736,5,25,791,N/A,FDD,N/A
CA_n1-n20-n41,n1,1970,5,25,2160,N/A,FDD,N/A
,n20,N/A,5,N/A,810,3.3,FDD,IMD5
,n41,2550,10,50,2550,N/A,TDD,N/A
CA_n1-n20-n71,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,859,5,25,818,N/A,FDD,N/A
,n71,N/A,5,N/A,627,9.4,FDD,IMD4
,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,N/A,5,N/A,806,4.6,FDD,IMD5
,n71,689,5,25,643,N/A,FDD,N/A
,n1,N/A,5,N/A,2167,16,FDD,IMD3
,n20,835,5,25,794,N/A,FDD,N/A
,n71,666,5,25,620,N/A,FDD,N/A
CA_n1-n20-n75,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,856,5,25,815,N/A,FDD,N/A
,n75,N/A,5,N/A,1474,4.0,SDL,IMD5
CA_n1-n20-n77,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,847,5,25,806,N/A,FDD,N/A
,n77,N/A,10,N/A,3644,15.7,TDD,IMD31
,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,N/A,5,N/A,806,3.5,FDD,IMD5
,n77,3328,10,50,3328,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,16.4,FDD,IMD3
,n20,847,5,25,806,N/A,FDD,N/A
,n77,3834,10,50,3834,N/A,TDD,N/A
CA_n1-n20-n78,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,847,5,25,806,N/A,FDD,N/A
,n78,N/A,10,N/A,3644,15.7,TDD,IMD3
,n1,1950,5,25,2140,N/A,FDD,N/A
,n20,N/A,5,N/A,806,3.1,FDD,IMD5
,n78,3328,10,50,3328,N/A,TDD,N/A
,n1,N/A,5,N/A,2120,18.1,FDD,IMD3
,n20,835,5,25,794,N/A,FDD,N/A
,n78,3790,10,50,3790,N/A,TDD,N/A
CA_n1-n26-n78,n1,N/A,5,N/A,2122,18.1,FDD,IMD3
,n26,829,5,25,874,N/A,FDD,N/A
,n78,3780,10,50,3780,N/A,TDD,N/A
,n1,1975,5,25,2165,N/A,FDD,N/A
,n26,N/A,5,N/A,885,3.1,FDD,IMD5
,n78,3405,10,50,3405,N/A,TDD,N/A
,n1,1950,5,25,2140,N/A,FDD,N/A
,n26,830,5,25,875,N/A,FDD,N/A
,n78,N/A,10,N/A,3610,15.7,TDD,IMD3
CA_n1-n28-n40,n1,1950,5,25,2140,N/A,FDD,N/A
,n28,N/A,5,N/A,780,8,FDD,IMD4
,n40,2340,10,50,2340,N/A,TDD,N/A
,n1,1930,5,25,2120,N/A,FDD,N/A
,n28,735,5,25,790,N/A,FDD,N/A
,n40,N/A,10,N/A,2390,9.0,TDD,IMD4
CA_n1-n28-n41,n1,1935,5,25,2125,N/A,FDD,N/A
,n28,718,5,25,773,N/A,FDD,N/A
,n41,N/A,10,N/A,2653,30.1,TDD,IMD22
,n1,1923,5,25,2113,N/A,FDD,N/A
,n41,2685,10,50,2685,N/A,TDD,N/A
,n28,N/A,5,N/A,762,29.3,FDD,IMD21
CA_n1-n28-n46,n1,1975,5,25,2165,N/A,FDD,N/A
,n28,710,5,25,765,N/A,FDD,N/A
,n46,N/A,20,N/A,5215,N/A,TDD,IMD4
,n1,1975,5,25,2165,N/A,FDD,N/A
,n28,N/A,5,N/A,765,10.5,FDD,IMD4
,n46,5160,20,100,5160,N/A,TDD,N/A
CA_n1-n28-n77,n1,1950,5,25,2140,N/A,FDD,N/A
,n28,733,5,25,788,N/A,FDD,N/A
,n77,N/A,10,N/A,3416,15.7,TDD,IMD32
,n1,1950,5,25,2140,N/A,FDD,N/A
,n77,3320,10,50,3320,N/A,TDD,N/A
,n28,N/A,5,N/A,790,4.2,FDD,IMD5
,n28,740,5,25,795,N/A,FDD,N/A
,n77,3630,10,50,3630,N/A,TDD,N/A
,n1,N/A,5,N/A,2150,15.7,FDD,IMD3
CA_n1-n28-n78,n1,N/A,5,N/A,2150,15.7,FDD,IMD3
,n28,740,5,25,795,N/A,FDD,N/A
,n78,3630,10,50,3630,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n28,N/A,5,N/A,794,4.2,FDD,IMD5
,n78,3352,10,50,3352,N/A,TDD,N/A
,n1,1950,5,25,2140,N/A,FDD,N/A
,n28,733,5,25,788,N/A,FDD,N/A
,n78,N/A,10,N/A,3416,15.7,TDD,IMD3
CA_n1-n28-n79,n1,1950,5,25,2140,N/A,FDD,N/A
,n28,730,5,25,785,N/A,FDD,N/A
,n79,N/A,40,N/A,4630,14.9,TDD,IMD31
,n1,1930,5,25,2120,N/A,FDD,N/A
,n79,4648,40,216,4648,N/A,TDD,N/A
,n28,N/A,5,N/A,788,15.2,FDD,IMD32
,n28,745.5,5,25,800.5,N/A,FDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n1,N/A,5,N/A,2167.5,1.2,FDD,IMD41
CA_n1-n28-n102,n1,1930,5,25,2120,N/A,FDD,N/A
,n28,706,5,25,761,N/A,FDD,N/A
,n102,N/A,40,N/A,5978,N/A12,TDD,IMD5
CA_n1-n40-n41,n1,1975,5,25,2165,N/A,FDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,N/A,10,N/A,2635,21,TDD,IMD3
,n1,N/A,5,N/A,2130,23.7,FDD,IMD31
,n40,2335,10,50,2335,N/A,TDD,N/A
,n41,2540,10,50,2540,N/A,TDD,N/A
CA_n1-n40-n77,n1,1930,5,25,2120,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n77,N/A,10,N/A,3480,9.8,TDD,IMD41
,n1,1930,5,25,2120,N/A,FDD,N/A
,n40,N/A,10,N/A,2340,10.6,TDD,IMD41
,n77,3450,10,50,3450,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,9.1,FDD,IMD4
,n40,2380,10,50,2380,N/A,TDD,N/A
,n77,3450,10,50,3450,N/A,TDD,N/A
CA_n1-n40-n78,n1,1930,5,25,2120,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,N/A,10,N/A,3480,9.8,TDD,IMD41
,n1,1930,5,25,2120,N/A,FDD,N/A
,n40,N/A,10,N/A,2340,10.6,TDD,IMD4
,n78,3450,10,50,3450,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,9.1,FDD,IMD4
,n40,2380,10,50,2380,N/A,TDD,N/A
,n78,3450,10,50,3450,N/A,TDD,N/A
CA_n1-n40-n79,n1,1970,5,25,2160,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n79,N/A,10,N/A,4960,19,TDD,IMD4
,n1,N/A,5,N/A,2150,29.4,FDD,IMD22
,n40,2380,10,50,2380,N/A,TDD,N/A
,n79,4530,10,50,4530,N/A,TDD,N/A
,n1,N/A,5,N/A,2150,0,FDD,IMD5
,n40,2350,10,50,2350,N/A,TDD,N/A
,n79,4600,10,50,4600,N/A,TDD,N/A
CA_n1-n40-n105,n1,1977,5,25,2167,N/A,FDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
,n105,N/A,5,N/A,649,1dB,FDD,IMD4
CA_n1-n41-n77,n1,1970,5,25,2160,N/A,FDD,N/A
,n41,2650,10,50,2650,N/A,TDD,N/A
,n77,N/A,10,N/A,3330,19.6,TDD,"IMD31,2"
,n1,1975,5,10,2165,N/A,FDD,N/A
,n77,3410,10,50,3410,N/A,TDD,N/A
,n41,N/A,10,N/A,2515,11.5,TDD,IMD41
,n41,2640,10,50,2640,N/A,TDD,N/A
,n77,3710,10,50,3710,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,9.3,FDD,IMD4
CA_n1-n41-n78,n1,1970,5,25,2160,N/A,FDD,N/A
,n41,2650,10,50,2650,N/A,TDD,N/A
,n78,N/A,10,N/A,3330,19.6,TDD,"IMD31,2"
,n1,1975,5,10,2165,N/A,FDD,N/A
,n78,3410,10,50,3410,N/A,TDD,N/A
,n41,N/A,10,N/A,2515,11.5,TDD,IMD4
,n1,N/A,5,N/A,2140,9.3,FDD,IMD4
,n78,3710,10,50,3710,N/A,TDD,N/A
,n41,2640,10,50,2640,N/A,TDD,N/A
CA_n1-n41-n79,n1,1970,5,25,2160,N/A,FDD,N/A
,n41,2530,10,50,2530,N/A,TDD,N/A
,n79,N/A,40,N/A,4500,19.0,TDD,IMD21
,n1,1970,5,25,2160,N/A,FDD,N/A
,n79,4500,40,216,4500,N/A,TDD,N/A
,n41,N/A,10,N/A,2530,29.4,TDD,IMD21
,n41,2530,10,50,2530,N/A,TDD,N/A
,n79,4690,40,216,4690,N/A,TDD,N/A
,n1,N/A,5,N/A,2160,29.9,FDD,IMD21
CA_n1-n46-n78,n1,1930,5,25,2120,N/A,FDD,N/A
,n46,5430,20,100,5430,N/A,TDD,N/A
,n78,N/A,10,N/A,3500,29,TDD,IMD2
,n1,N/A,5,N/A,2130,30,FDD,IMD2
,n46,5630,20,100,5630,N/A,TDD,N/A
,n78,3500,10,50,3500,N/A,TDD,N/A
,n1,N/A,5,N/A,2120,15,FDD,IMD3
,n46,5160,20,100,5160,N/A,TDD,N/A
,n78,3640,10,50,3640,N/A,TDD,N/A
,n1,1930,5,25,2120,N/A,FDD,N/A
,n46,N/A,20,N/A,5430,N/A,TDD,IMD2
,n78,3500,10,50,3500,N/A,TDD,N/A
,n1,1930,5,25,2120,N/A,FDD,N/A
,n46,N/A,20,N/A,5250,N/A,TDD,IMD3
,n78,3590,10,50,3590,N/A,TDD,N/A
CA_n1-n67-n78,n1,1970,5,25,2160,N/A,FDD,N/A
,n67,N/A,5,N/A,748,3.5,SDL,IMD5
,n78,3329,10,50,3329,N/A,TDD,N/A
CA_n1-n71-n77,n1,1970,5,25,2160,N/A,FDD,N/A
,n71,N/A,5,N/A,635,15.2,FDD,IMD3
,n77,3305,10,50,3305,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n71,686,5,25,640,N/A,FDD,N/A
,n77,N/A,10,N/A,3342,15.7,TDD,IMD3
,n1,1950,5,25,2140,N/A,FDD,N/A
,n71,680,5,25,634,N/A,FDD,N/A
,n77,N/A,10,N/A,3992,9.4,TDD,IMD4
,n1,N/A,5,N/A,2160,15.7,FDD,IMD3
,n71,686,5,25,640,N/A,FDD,N/A
,n77,3532,10,50,3532,N/A,TDD,N/A
,n1,N/A,5,N/A,2141,10.1,FDD,IMD4
,n71,680,5,25,634,N/A,FDD,N/A
,n77,4181,10,50,4181,N/A,TDD,N/A
CA_n1-n71-n78,n1,1970,5,25,2160,N/A,FDD,N/A
,n71,N/A,5,N/A,635,15.2,FDD,IMD3
,n78,3305,10,50,3305,N/A,TDD,N/A
,n1,1970,5,25,2160,N/A,FDD,N/A
,n71,686,5,25,640,N/A,FDD,N/A
,n78,N/A,10,N/A,3342,15.7,TDD,IMD3
,n1,N/A,5,N/A,2160,15.7,FDD,IMD3
,n71,686,5,25,640,N/A,FDD,N/A
,n78,3532,10,50,3532,N/A,TDD,N/A
CA_n1-n75-n78,n1,1930,5,25,2120,N/A,FDD,N/A
,n75,N/A,5,N/A,1470,30.4,SDL,IMD2
,n78,3400,10,50,3400,N/A,TDD,N/A
CA_n1-n77-n79,n1,N/A,5,N/A,2140,15.6,FDD,"IMD31,2"
,n77,3400,10,50,3400,N/A,TDD,N/A
,n79,4660,40,216,4660,N/A,TDD,N/A
CA_n1-n78-n79,n1,1950,5,25,2140,N/A,FDD,N/A
,n78,3410,10,50,3410,N/A,TDD,N/A
,n79,N/A,40,N/A,4870,15.9,TDD,"IMD31,3"
,n1,1950,5,25,2140,N/A,FDD,N/A
,n78,N/A,10,N/A,3490,4.6,TDD,IMD53
,n79,4670,40,216,4670,N/A,TDD,N/A
,n1,N/A,5,N/A,2140,15.6,FDD,"IMD31,2"
,n78,3400,10,50,3400,N/A,TDD,N/A
,n79,4660,40,216,4660,N/A,TDD,N/A
CA_n1-n78-n102,n1,1970,5,25,2160,N/A,FDD,N/A
,n78,3320,5,25,3320,N/A,TDD,N/A
,n102,N/A,40,N/A,6020,N/A12,TDD,IMD5
,n1,N/A,5,N/A,2155,29.9,FDD,IMD21
,n78,3790,5,25,3790,N/A,TDD,N/A
,n102,5945,40,216,5945,N/A,TDD,N/A
CA_n1-n78-n105,n1,1970,5,25,2160,N/A,FDD,N/A
,n78,3305,10,50,3305,N/A,TDD,N/A
,n105,N/A,5,N/A,635,15.2,FDD,IMD3
,n1,1970,5,25,2160,N/A,FDD,N/A
,n78,N/A,10,N/A,3342,15.7,TDD,IMD3
,n105,686,5,25,635,N/A,FDD,N/A
,n1,N/A,5,N/A,2160,15.7,FDD,IMD3
,n78,3532,10,50,3532,N/A,TDD,N/A
,n105,686,5,25,635,N/A,FDD,N/A
CA_n2-n5-n30,n2,1870,5,25,1950,N/A,FDD,N/A
,n5,N/A,5,N/A,880,9.7,FDD,IMD4
,n30,2310,10,50,2355,N/A,FDD,N/A
CA_n2-n5-n41,n2,1855,10,50,1935,N/A,FDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n41,N/A,10,N/A,2685,30.0,TDD,IMD2
CA_n2-n5-n48,n2,N/A,5,N/A,1962,15.6,FDD,IMD3
,n5,839,5,25,884,N/A,FDD,N/A
,n48,3640,10,50,3640,N/A,TDD,N/A
,n2,1905,5,25,1985,N/A,FDD,N/A
,n5,844,5,25,889,N/A,FDD,N/A
,n48,N/A,10,50,3593,16.6,TDD,IMD3
CA_n2-n5-n66,n2,1900,5,25,1980,N/A,FDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n66,N/A,5,N/A,2140,7.2,FDD,IMD4
CA_n2-n5-n77,n2,1907.5,5,25,1987.5,N/A,FDD,N/A
,n5,N/A,5,N/A,887.5,3.8,FDD,IMD55
,n77,3305,10,50,3305,N/A,TDD,N/A
,n2,N/A,5,N/A,1987,16.5,FDD,IMD35
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n77,3680,10,50,3680,N/A,TDD,N/A
,n2,1880,5,25,1960,N/A,FDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n77,N/A,10,N/A,3540,16.0,TDD,IMD31
CA_n2-n12-n30,n2,1885,5,25,1965,N/A,FDD,N/A
,n12,708.5,5,25,738.5,N/A,FDD,N/A
,n30,N/A,5,N/A,2353,12.0,FDD,IMD4
CA_n2-n12-n71,n2,1907.5,5,25,1987.5,N/A,FDD,N/A
,n12,N/A,5,N/A,743.5,4.2,FDD,IMD5
,n71,665.5,5,25,649.5,N/A,FDD,N/A
CA_n2-n12-n77,n2,N/A,5,N/A,1960,16.5,FDD,"IMD32,5"
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n77,3375,10,50,3375,N/A,TDD,N/A
,n2,1900,5,25,1980,N/A,FDD,N/A
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n77,N/A,10,N/A,3315,16.0,TDD,"IMD31,2,5"
CA_n2-n14-n66,n2,1874,5,25,1954,N/A,FDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n66,N/A,5,N/A,2162,7.6,FDD,IMD4
,n2,N/A,5,N/A,1954,7.2,FDD,IMD4
,n14,793,5,25,763,N/A,FDD,N/A
,n66,1770,5,25,2170,N/A,FDD,N/A
CA_n2-n14-n77,n2,N/A,5,N/A,1954,16.5,FDD,IMD3
,n14,793,5,25,763,N/A,FDD,N/A
,n77,3540,10,50,3540,N/A,TDD,N/A
,n2,1880,5,25,1960,N/A,FDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n77,N/A,10,N/A,3466,16.0,TDD,IMD31
CA_n2-n30-n77,n2,N/A,5,N/A,1986,8.6,FDD,IMD45
,n30,2312,5,25,2357,N/A,FDD,N/A
,n77,3305,10,50,3305,N/A,TDD,N/A
,n2,1905,5,25,1985,N/A,FDD,N/A
,n30,N/A,5,N/A,2354,10.6,FDD,IMD45
