Inter-band CA combination,"ΔRIB,c for NR bands (dB)9",,
CA_n2-n12-n30,0.4,-,0.5
CA_n2-n12-n41,0.5,0.3,0.45 / 0.96
CA_n2-n12-n66,0.3,0.5,0.3
CA_n2-n12-n71,-,0.8,0.8
CA_n2-n12-n77,0.2,0.2,0.5
CA_n2-n14-n30,0.3,-,0.3
CA_n2-n14-n66,0.3,-,0.3
CA_n2-n14-n77,0.2,0.2,0.5
CA_n2-n29-n30,0.3,-,0.3
CA_n2-n29-n66,0.3,-,0.3
CA_n2-n29-n77,0.2,0.2,0.5
CA_n2-n30-n66,0.4,0.5,0.4
CA_n2-n30-n77,0.2,-,0.5
CA_n2-n41-n66,0.3,0.56 / 17,0.5
CA_n2-n41-n71,-,-,0.3
CA_n2-n48-n66,0.3,0.5,0.3
CA_n2-n48-n77,0.2,0.5,0.5
CA_n2-n66-n71,0.3,0.3,-
CA_n2-n66-n77,0.2,0.2,0.5
CA_n2-n66-n78,0.3,0.3,0.5
CA_n2-n71-n77,0.2,0.2,0.5
CA_n3-n5-n8,-,0.4,0.4
CA_n3-n5-n28,-,0.2,0.1
CA_n3-n5-n79,-,0.2,0.5
CA_n3-n7-n8,-,-,0.2
CA_n3-n7-n38,-,0.5,0.5
CA_n3-n7-n40,0.2,0.2,0.3
CA_n3-n7-n77,0.2,0.2,0.5
CA_n3-n7-n78,0.2,0.2,0.5
CA_n3-n7-n79,-,-,0.5
CA_n3-n7-n105,-,-,0.3
CA_n3-n8-n28,-,0.2,0.1
CA_n3-n8-n77,0.2,0.2,0.5
CA_n3-n8-n41,-,-,01 / 0.52
CA_n3-n5-n78,0.2,0.2,0.5
CA_n3-n8-n78,0.2,0.2,0.5
CA_n3-n18-n41,-,-,01 / 0.52
CA_n3-n18-n77,0.2,-,0.5
CA_n3-n20-n28,-,0.1,0.1
CA_n3-n20-n41,-,-,01 / 0.52
CA_n3-n20-n67,-,0.1,0.1
CA_n3-n20-n71,-,-,0.3
CA_n3-n20-n75,0.3,0.6,0.6
CA_n3-n20-n77,0.2,-,0.5
CA_n3-n20-n78,0.2,-,0.5
CA_n3-n26-n78,0.2,0.2,0.5
CA_n3-n28-n41,-,-,01 / 0.52
CA_n3-n28-n75,0.3,0.6,0.6
CA_n3-n28-n77,0.2,0.2,0.5
CA_n3-n28-n78,-,0.2,0.5
CA_n3-n28-n79,-,0.2,0.5
CA_n3-n39-n41,0.2,0.2,0.24 / 0.75
CA_n3-n39-n79,-,-,0.5
CA_n3-n40-n78,0.2,-,0.5
CA_n3-n40-n105,-,-,0.3
CA_n3-n67-n78,-,0.2,0.5
CA_n3-n77-n79,0.2,0.5,-
CA_n3-n78-n79,0.2,0.5,0.5
CA_n3-n40-n41,-,-,01 / 0.52
CA_n3-n40-n79,-,-,0.5
CA_n3-n41-n71,-,-,0.3
CA_n3-n41-n77,0.2,01 / 0.52,0.5
CA_n3-n41-n78,0.2,01 / 0.52,0.5
CA_n3-n41-n79,-,0.5,0.5
CA_n3-n71-n77,0.2,0.3,0.5
CA_n3-n71-n78,0.2,0.3,0.5
CA_n3-n75-n78,0.2,-,0.5
CA_n3-n78-n105,0.2,0.5,0.3
CA_n5-n7-n28,-,-,0.2
CA_n5-n7-n40,0.2,0.3,0.7
CA_n5-n7-n66,-,0.5,0.5
CA_n5-n7-n77,0.2,0.2,0.5
CA_n5-n7-n78,0.2,0.2,0.5
CA_n5-n12-n77,0.5,0.3,0.5
CA_n5-n14-n77,0.2,0.2,0.5
CA_n5-n25-n29,0.5,-,0.3
CA_n5-n25-n41,0.2,-,-
CA_n5-n25-n77,0.2,0.2,0.5
CA_n5-n25-n78,0.2,0.2,0.5
CA_n5-n28-n78,0.2,0.2,0.5
CA_n5-n28-n79,0.2,0.2,0.5
CA_n5-n28-n105,0.2,0.7,0.7
CA_n5-n29-n66,0.5,0.3,-
CA_n5-n29-n77,0.5,0.3,0.5
CA_n5-n30-n66,-,0.5,0.4
CA_n5-n30-n77,0.2,-,0.5
CA_n5-n40-n78,0.2,0.4,0.5
CA_n5-n40-n105,0.2,0.8,0.2
CA_n5-n41-n66,0.2,0.55 / 16,0.5
CA_n5-n41-n77,0.2,-,0.5
CA_n5-n48-n66,-,0.5,0.2
CA_n5-n48-n77,0.2,0.5,0.5
CA_n5-n66-n77,0.2,0.2,0.5
CA_n5-n66-n78,0.5,0.2,0.5
CA_n5-n78-n79,0.2,0.5,-
CA_n5-n78-n105,0.2,0.5,0.2
CA_n7-n8-n28,-,0.2,0.1
CA_n7-n8-n40,-,0.2,0.5
CA_n7-n8-n78,-,0.2,0.5
CA_n7-n12-n71,0.2,0.8,0.8
CA_n7-n12-n77,0.2,0.5,0.5
CA_n7-n20-n28,-,-,0.2
CA_n7-n20-n67,-,0.2,0.2
CA_n7-n20-n75,-,0.2,0.2
CA_n7-n20-n78,-,-,0.5
CA_n7-n25-n66,0.5,0.3,0.5
CA_n7-n25-n71,0.3,0.3,-
CA_n7-n25-n77,0.5,0.2,0.5
CA_n7-n25-n78,0.5,0.2,0.5
CA_n7-n26-n78,0.2,0.2,0.5
CA_n7-n28-n40,-,-,0.5
CA_n7-n28-n75,-,0.2,0.2
CA_n7-n28-n78,-,-,0.5
CA_n7-n29-n66,0.5,-,0.5
CA_n7-n29-n77,0.2,0.5,0.5
CA_n7-n40-n79,-,0.5,0.5
CA_n7-n40-n105,-,0.5,0.2
CA_n7-n46-n78,0.5,-,0.5
CA_n7-n66-n71,0.5,0.5,0.1
CA_n7-n66-n77,0.5,0.5,0.5
CA_n7-n66-n78,0.5,0.5,0.5
CA_n7-n67-n78,-,-,0.5
CA_n7-n71-n77,-,0.2,0.5
CA_n7-n75-n78,-,-,0.5
CA_n7-n78-n79,0.5,0.5,0.5
CA_n7-n78-n102,-,0.5,0.5
CA_n7-n78-n105,-,0.5,0.2
CA_n8-n20-n28,0.3,0.2,0.2
CA_n8-n28-n40,0.2,0.2,-
CA_n8-n28-n75,0.2,0.2,-
CA_n8-n28-n77,0.2,0.2,0.5
CA_n8-n28-n78,0.2,0.2,0.5
CA_n8-n39-n40,-,0.3,0.3
CA_n8-n39-n41,-,0.24,0.2
CA_n8-n40-n77,0.2,0.4,0.5
CA_n8-n40-n78,0.2,0.4,0.5
CA_n8-n40-n79,-,-,0.5
CA_n8-n41-n78,0.2,0.4,0.5
CA_n8-n41-n79,-,0.5,0.5
CA_n8-n78-n79,0.2,0.5,0.5
CA_n12-n25-n66,0.5,0.3,0.3
CA_n12-n30-n66,0.5,0.5,0.4
CA_n12-n30-n77,0.2,-,0.5
CA_n12-n41-n66,0.1,0.5,0.5
CA_n12-n41-n77,0.5,0.2,0.5
CA_n12-n66-n77,0.5,0.5,0.5
CA_n12-n71-n77,0.8,0.8,0.5
CA_n13-n25-n66,-,0.3,0.3
CA_n13-n25-n77,-,0.2,0.5
CA_n13-n66-n77,0.3,0.3,0.5
CA_n14-n30-n66,-,0.5,0.4
CA_n14-n30-n77,0.2,-,0.5
CA_n14-n66-n77,0.2,0.5,0.5
CA_n18-n28-n77,-,-,0.5
CA_n18-n40-n77,0.2,0.4,0.5
CA_n18-n41-n77,-,-,0.5
CA_n20-n28-n75,-,0.2,-
CA_n20-n28-n78,-,0.2,0.5
CA_n20-n41-n71,-,-,0.2
CA_n20-n41-n77,0.2,-,0.5
CA_n20-n41-n78,-,-,0.5
CA_n20-n67-n78,0.2,0.2,0.5
CA_n20-n71-n78,0.2,0.2,0.5
CA_n20-n75-n78,-,0.2,0.5
CA_n24-n41-n48,-,-,0.5
CA_n24-n41-n77,0.2,-,0.5
CA_n24-n48-n77,0.2,0.5,0.5
CA_n25-n29-n66,0.3,-,0.3
CA_n25-n29-n77,0.2,0.2,0.5
CA_n25-n38-n78,0.2,0.4,0.5
CA_n25-n41-n66,0.3,0.55 / 16,0.3
CA_n25-n41-n71,-,-,0.2
CA_n25-n41-n78,0.2,0.5,0.5
CA_n25-n48-n66,0.3,0.5,0.3
CA_n25-n66-n71,0.3,0.3,0.3
CA_n25-n66-n78,0.3,0.3,0.5
CA_n25-n66-n77,0.3,0.3,0.5
CA_n25-n66-n85,0.3,0.3,0.5
CA_n25-n71-n77,0.2,0.2,0.5
CA_n25-n71-n78,0.2,0.3,0.5
CA_n25-n71-n85,-,0.8,0.8
CA_n25-n77-n85,0.2,0.5,0.2
CA_n26-n29-n66,0.5,0.3,-
CA_n26-n29-n70,0.5,0.3,-
CA_n26-n48-n66,-,0.5,0.2
CA_n26-n48-n70,-,0.5,0.2
CA_n26-n66-n71,0.5,-,0.3
CA_n26-n66-n77,0.2,0.2,0.5
CA_n26-n70-n71,0.5,-,0.3
CA_n26-n70-n77,0.2,0.2,0.5
CA_n28-n38-n78,0.2,-,0.5
CA_n28-n39-n40,-,0.3,0.3
CA_n28-n39-n41,-,0.2,0.2
CA_n28-n39-n79,0.2,-,0.5
CA_n28-n40-n75,-,-,-
CA_n28-n40-n77,-,-,0.5
CA_n28-n40-n78,-,-,0.5
CA_n28-n40-n79,0.2,-,0.5
CA_n28-n41-n75,0.2,-,-
CA_n28-n41-n75,0.2,-,-
CA_n28-n41-n77,0.2,-,0.5
CA_n28-n41-n78,0.2,-,0.5
CA_n28-n41-n79,0.2,0.5,0.5
CA_n28-n46-n78,0.2,-,0.5
CA_n28-n75-n78,0.2,-,0.5
CA_n28-n77-n79,0.2,0.5,-
CA_n28-n78-n79,0.2,0.5,-
CA_n28-n78-n102,0.2,0.5,0.5
CA_n29-n30-n66,-,0.5,0.4
CA_n29-n30-n77,0.2,-,0.5
CA_n29-n66-n71,0.5,0.3,0.7
CA_n29-n66-n77,0.5,0.5,0.5
CA_n29-n70-n71,0.2,0.2,0.2
CA_n30-n66-n77,0.5,0.4,0.5
CA_n34-n39-n40,0.3,0.3,0.3
CA_n34-n39-n41,0.3,0.3,0.2
CA_n34-n40-n41,0.3,0.3,-
CA_n34-n41-n78,-,0.5,0.5
CA_n39-n40-n41,0.3,0.6,0.6
CA_n39-n40-n79,0.3,0.3,0.5
CA_n39-n41-n79,0,0.5,0.8
CA_n40-n41-n75,-,0.5,-
CA_n40-n41-n77,0.4,-,0.5
CA_n40-n41-n79,08,0.58,0.5
CA_n40-78-n79,0.4,0.5,0.5
CA_n40-n78-n105,0.4,0.5,0.2
CA_n41-n66-n71,0.51 / 12,0.5,-
CA_n41-n66-n77,0.2,0.2,0.5
CA_n41-n66-n78,0.2,0.2,0.5
CA_n41-n66-n85,0.51 / 12,0.5,0.5
CA_n41-n70-n78,0.2,0.2,0.5
CA_n41-n71-n77,-,0.2,0.5
CA_n41-n71-n78,-,0.2,0.5
CA_n41-n71-n85,-,0.8,0.8
CA_n41-n74-n77,-,-,0.5
CA_n41-n75-n78,-,-,0.5
CA_n41-n77-n79,0.5,0.5,0.5
CA_n41-n77-n85,0.5,0.5,0.5
CA_n46-n48-n96,0.5,0.5,0.6
CA_n48-n66-n70,0.5,0.2,0.2
CA_n46-n78-n102,-,0.5,-
CA_n48-n66-n71,0.2,0.2,0.2
CA_n48-n66-n77,0.5,0.2,0.5
CA_n48-n70-n71,0.2,0.2,0.2
CA_n48-n70-n77,0.5,0.2,0.5
CA_n48-n71-n77,0.5,0.2,0.5
CA_n66-n70-n77,0.2,0.2,0.5
CA_n66-n71-n77,0.2,0.2,0.5
CA_n66-n71-n78,0.2,0.2,0.5
CA_n66-n71-n85,-,0.8,0.8
CA_n66-n77-n85,0.5,0.5,0.5
CA_n70-n71-n77,0.2,0.2,0.5
"NOTE 1:Applicable for the frequency range of 2515-2690 MHz.NOTE 2:Applicable for the frequency range of 2496-2515 MHz.NOTE 3:Void.NOTE 4:Void.NOTE 5:The requirement is applied for UE transmitting on the frequency range of 2545 - 2690 MHz.NOTE 6:The requirement is applied for UE transmitting on the frequency range of 2496 - 2545 MHz.NOTE 7:Void.NOTE 8:Void.NOTE 9: “-” denotes ΔRIB,c = 0.NOTE 10:The component band order in the configuration should be listed by the order of NR bands, such as for CA_n1-n3-n8 the band order from left to right is n1, n3 and n8.",,,
