NR CA Band,NR Band(Table 5.2-1),DL interruption allowed (Note 8)
CA_n18-n28,"n18, n28",
CA_n18-n40,"n18, n40",
CA_n18-n41,"n18, n41",
CA_n18-n74,"n18, n74",
CA_n18-n7710,"n18, n77",
CA_n18-n7811,"n18, n78",
CA_n20-n282,"n20, n28",
CA_n20-n40,"n20, n40",
CA_n20-n41,"n20, n41",
CA_n20-n67,"n20, n67",
CA_n20-n71,"n20, n71",
CA_n20-n75,"n20, n75",
CA_n20-n77,"n20, n77",
CA_n20-n78,"n20, n78",
CA_n24-n41,"n24, n41",
CA_n24-n48,"n24, n48",
CA_n24-n77,"n24, n77",
CA_n25-n29,"n25, n29",
CA_n25-n38,"n25, n38",
CA_n25-n41,"n25, n41",
CA_n25-n466,"n25, n46",
CA_n25-n48,"n25, n48",
CA_n25-n66,"n25, n66",
CA_n25-n71,"n25, n71",
CA_n25-n77,"n25, n77",
CA_n25-n78,"n25, n78",
CA_n25-n85,"n25, n85",
CA_n26-n28,"n26, n28",
CA_n26-n29,"n26, n29",
CA_n26-n48,"n26, n48",
CA_n26-n66,"n26, n66",
CA_n26-n70,"n26, n70",
CA_n26-n71,"n26, n71",
CA_n26-n77,"n26, n77",
CA_n26-n78,"n26, n78",
CA_n28-n6721,"n28, n67",
CA_n28-n34,"n28, n34",
CA_n28-n38,"n28, n38",
CA_n28-n39,"n28, n39",
CA_n28-n40,"n28, n40",
CA_n28-n41,"n28, n41",
CA_n28-n466,"n28, n46",
CA_n28-n50,"n28, n50",
CA_n28-n7112,"n28, n71",
CA_n28-n74,"n28, n74",
CA_n28-n752,"n28, n75",
CA_n28-n77,"n28, n77",No
CA_n28-n78,"n28, n78",No
CA_n28-n79,"n28, n79",
CA_n28-n94,"n28, n94",
CA_n28-n102,"n28, n102",
CA_n28-n105,"n28, n105",
CA_n29-n30,"n29, n30",
CA_n29-n48,"n29, n48",
CA_n29-n66,"n29, n66",
CA_n29-n70,"n29, n70",
CA_n29-n7121,"n29, n71",
CA_n29-n77,"n29, n77",
CA_n30-n66,"n30, n66",
CA_n30-n77,"n30, n77",
CA_n34-n399,"n34, n39",
CA_n34-n40,"n34, n40",
CA_n34-n41,"n34, n41",
CA_n34-n791,"n34, n79",
CA_n38-n409,"n38, n40",
CA_n38-n66,"n38, n66",
CA_n38-n71,"n38, n71",
CA_n38-n781,"n38, n78",
CA_n38-n791,"n38, n79",
CA_n39-n40,"n39, n40",
CA_n39-n41,"n39, n41",No
CA_n39-n791,"n39, n79",No
CA_n40-n41,"n40, n41",
CA_n40-n71,"n40, n71",
CA_n40-n771,"n40, n77",
CA_n40-n781,"n40, n78",
"CA_n40-n791,4","n40, n79",No
CA_n40-n105,"n40, n105",
CA_n41-n481,"n41, n48",
CA_n41-n501,"n41, n50",
CA_n41-n66,"n41, n66",
CA_n41-n70,"n41, n70",
CA_n41-n71,"n41, n71",
CA_n41-n74,"n41, n74",
CA_n41-n771,"n41, n77",
CA_n41-n781,"n41, n78",
"CA_n41-n791,3","n41, n79",No
CA_n41-n85,"n41, n85",
CA_n41-n104,"n41, n104",
"CA_n46-n481,6","n46, n48",
CA_n46-n666,"n46, n66",
"CA_n46-n771,6","n46, n77",
"CA_n46-n781,6","n46, n78",
"CA_n46-n969,16,17,18","n46, n96",
"CA_n46-n1029,16,18,20","n46, n102",
CA_n48-n539,"n48, n53",
CA_n48-n66,"n48, n66",
CA_n48-n70,"n48, n70",
CA_n48-n71,"n48, n71",
"CA_n48-n779,14,18","n48, n77",
"CA_n48-n961, 6","n48, n96",
CA_n50-n78,"n50, n78",
CA_n66-n70,"n66, n70",
CA_n66-n71,"n66, n71",
CA_n66-n77,"n66, n77",
CA_n66-n78,"n66, n78",
CA_n66-n85,"n66, n85",
CA_n67-n78,"n67, n78",
CA_n70-n71,"n70, n71",
CA_n70-n77,"n70, n77",
CA_n70-n78,"n70, n78",
CA_n71-n77,"n71, n77",
CA_n71-n78,"n71, n78",
CA_n71-n85,"n71, n85",
CA_n74-n77,"n74, n77",
CA_n74-n78,"n74, n78",
CA_n75-n781,"n75, n78",
CA_n76-n781,"n76, n78",
CA_n77-n789,"n77, n78",
CA_n77-n795,"n77, n79",
CA_n77-n85,"n77, n85",
CA_n77-n102,"n77, n102",
CA_n78-n795,"n78, n79",
CA_n78-n92,"n78, n92",
CA_n78-n94,"n78, n94",
CA_n78-n102,"n78, n102",
CA_n78-n104,"n78, n104",
CA_n78-n105,"n78, n105",
CA_n100-n101,"n100, n101",
"NOTE 1:Applicable for UE supporting inter-band carrier aggregation with mandatory simultaneous Rx/Tx capability.NOTE 2:The frequency range in band n28 is restricted for this band combination to 703-733 MHz for the UL and 758-788 MHz for the DL.NOTE 3:The frequency range below 2506 MHz for Band n41 is not used in this combination.NOTE 4:Applicable for frequency range above 4800 MHz for Band n79 in this combination.NOTE 5:For UEs supporting band n77, the minimum requirements apply only when there is non-simultaneous Rx/Tx operation between n78-n79 or n77-n79 NR carriers. This restriction applies also for these carriers when applicable NR CA configuration is part of a higher order configuration.NOTE 6:The PCell is allocated in the licensed band in this combination.NOTE 7:Void.NOTE 8:Applicable when dynamic Tx switching is conducted. The DL interruption requirement is specified in clause 8.2.2.2.10 of 38.133 [13].NOTE 9:Only applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx. Same restrictions are applied when applicable NR CA configuration is part of a higher order configurations.NOTE 10The frequency range in band n77 is restricted for this band combination to 3520-3560 MHz, 3700-3800 MHz, 4000-4100 MHz.NOTE 11:The frequency range in band n78 is restricted for this band combination to 3520 -3560 MHz and 3700– 3800 MHz.NOTE 12:The implementation with 4 antennas is targeted for FWA form factor for this band combination.NOTE 13:VoidNOTE 14:The band n48 and n77 will synchronize their uplink and downlink configurations and in commonly TDD network coordinationNOTE 15: VoidNOTE 16: The minimum requirements for intra-band non-contiguous CA/DC apply for CA_n46-n96 or CA_n46-n102 and related higher order CA/DC configurations.NOTE 17: The combination is not used alone as fall back mode of other band combinations in which UL in Band 48 is not used.NOTE 18:The minimum requirements for inter-band CA apply when the maximum power spectral density imbalance between downlink carriers is within 6 dB. The power spectral density imbalance condition also applies for these carriers when applicable CA configuration is a subset of a higher order CA configuration.NOTE 19: VoidNOTE 20: The combination is not used alone as fall back mode of other band combinations in which UL in Band n78 is not used.NOTE 21: Concurrent operation between these bands is not applicable to UEs indicating support of low NR band inter-band carrier aggregation via switching featureSetCombinationLowBandSwitching-r19 for this band combination.",,
