,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-83.28,
,NR_FDD_FR1_F,,,,,,,,-82.78,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-82.28,
,NR_FDD_FR1_H,,,,,,,,-81.78,
,NR_FDD_FR1_N,,,,,,,,-78.78,
,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6,","3,6",dBm/38.16 MHz,-50.19,,,(Io for Channel 3 +19.45dB),,-79.19,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-78.69,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-78.19,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-77.69,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-77.19,
,NR_FDD_FR1_F,,,,,,,,-76.69,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-76.19,
,NR_FDD_FR1_H,,,,,,,,-75.69,
,NR_FDD_FR1_N,,,,,,,,-72.69,
for SSB,,1~6,dB,10,,10,13,,-3,
for CSI-RS,,1~6,dB,10,,10,13,,-3,
Propagation condition,,1~6,-,AWGN,,,AWGN,,,
Antenna configuration,,,,1x2,,,1x2,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for to be fulfilled.NOTE 3:CSI-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:CSI-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port. Note 5 The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification,,,,,,,,,,
